tick,day,resident,cause_action,direct_effect,delayed_effect,affected_resource,recovery_path,causal_chain_id,chain_scrubbable,non_magical_trust_repair
1437,80,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:interrupt_work:080:15,True,True
1438,80,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:wait_offscreen:080:16,True,True
1439,80,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:repair_trust:080:17,True,True
1440,81,Nia,talk,trust warms,movement only,herb,finish owed work,chain:nia:talk:081:00,True,True
1441,81,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:offer_help:081:01,True,True
1442,81,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:borrow_tool:081:02,True,True
1443,81,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:return_tool:081:03,True,True
1444,81,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:interrupt_work:081:04,True,True
1445,81,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:wait_offscreen:081:05,True,True
1446,81,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:repair_trust:081:06,True,True
1447,81,Ari,move,trust warms,movement only,care,apologize,chain:ari:move:081:07,True,True
1448,81,Fay,talk,trust warms,movement only,tool time,return tool,chain:fay:talk:081:08,True,True
1449,81,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:offer_help:081:09,True,True
1450,81,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:borrow_tool:081:10,True,True
1451,81,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:return_tool:081:11,True,True
1452,81,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:interrupt_work:081:12,True,True
1453,81,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:wait_offscreen:081:13,True,True
1454,81,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:repair_trust:081:14,True,True
1455,81,Milo,move,trust warms,movement only,water,give space,chain:milo:move:081:15,True,True
1456,81,Sera,talk,trust warms,movement only,fiber,offer help,chain:sera:talk:081:16,True,True
1457,81,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:offer_help:081:17,True,True
1458,82,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:return_tool:082:00,True,True
1459,82,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:interrupt_work:082:01,True,True
1460,82,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:wait_offscreen:082:02,True,True
1461,82,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:repair_trust:082:03,True,True
1462,82,Sera,move,trust warms,movement only,wood,offer help,chain:sera:move:082:04,True,True
1463,82,Tovan,talk,trust warms,movement only,herb,wait,chain:tovan:talk:082:05,True,True
1464,82,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:offer_help:082:06,True,True
1465,82,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:borrow_tool:082:07,True,True
1466,82,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:return_tool:082:08,True,True
1467,82,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:interrupt_work:082:09,True,True
1468,82,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:wait_offscreen:082:10,True,True
1469,82,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:repair_trust:082:11,True,True
1470,82,Nia,move,trust warms,movement only,care,finish owed work,chain:nia:move:082:12,True,True
1471,82,Ari,talk,trust warms,movement only,tool time,apologize,chain:ari:talk:082:13,True,True
1472,82,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:offer_help:082:14,True,True
1473,82,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:borrow_tool:082:15,True,True
1474,82,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:return_tool:082:16,True,True
1475,82,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:interrupt_work:082:17,True,True
1476,83,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:repair_trust:083:00,True,True
1477,83,Ari,move,trust warms,movement only,water,apologize,chain:ari:move:083:01,True,True
1478,83,Fay,talk,trust warms,movement only,fiber,return tool,chain:fay:talk:083:02,True,True
1479,83,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:offer_help:083:03,True,True
1480,83,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:borrow_tool:083:04,True,True
1481,83,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:return_tool:083:05,True,True
1482,83,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:interrupt_work:083:06,True,True
1483,83,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:wait_offscreen:083:07,True,True
1484,83,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:repair_trust:083:08,True,True
1485,83,Milo,move,trust warms,movement only,wood,give space,chain:milo:move:083:09,True,True
1486,83,Sera,talk,trust warms,movement only,herb,offer help,chain:sera:talk:083:10,True,True
1487,83,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:offer_help:083:11,True,True
1488,83,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:borrow_tool:083:12,True,True
1489,83,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:return_tool:083:13,True,True
1490,83,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:interrupt_work:083:14,True,True
1491,83,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:wait_offscreen:083:15,True,True
1492,83,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:repair_trust:083:16,True,True
1493,83,Tovan,move,trust warms,movement only,care,wait,chain:tovan:move:083:17,True,True
1494,84,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:offer_help:084:00,True,True
1495,84,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:borrow_tool:084:01,True,True
1496,84,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:return_tool:084:02,True,True
1497,84,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:interrupt_work:084:03,True,True
1498,84,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:wait_offscreen:084:04,True,True
1499,84,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:repair_trust:084:05,True,True
1500,84,Nia,move,trust warms,movement only,water,finish owed work,chain:nia:move:084:06,True,True
1501,84,Ari,talk,trust warms,movement only,fiber,apologize,chain:ari:talk:084:07,True,True
1502,84,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:offer_help:084:08,True,True
1503,84,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:borrow_tool:084:09,True,True
1504,84,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:return_tool:084:10,True,True
1505,84,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:interrupt_work:084:11,True,True
1506,84,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:wait_offscreen:084:12,True,True
1507,84,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:repair_trust:084:13,True,True
1508,84,Fay,move,trust warms,movement only,wood,return tool,chain:fay:move:084:14,True,True
1509,84,Milo,talk,trust warms,movement only,herb,give space,chain:milo:talk:084:15,True,True
1510,84,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:offer_help:084:16,True,True
1511,84,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:borrow_tool:084:17,True,True
1512,85,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:interrupt_work:085:00,True,True
1513,85,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:wait_offscreen:085:01,True,True
1514,85,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:repair_trust:085:02,True,True
1515,85,Milo,move,trust warms,movement only,care,give space,chain:milo:move:085:03,True,True
1516,85,Sera,talk,trust warms,movement only,tool time,offer help,chain:sera:talk:085:04,True,True
1517,85,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:offer_help:085:05,True,True
1518,85,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:borrow_tool:085:06,True,True
1519,85,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:return_tool:085:07,True,True
1520,85,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:interrupt_work:085:08,True,True
1521,85,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:wait_offscreen:085:09,True,True
1522,85,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:repair_trust:085:10,True,True
1523,85,Tovan,move,trust warms,movement only,water,wait,chain:tovan:move:085:11,True,True
1524,85,Nia,talk,trust warms,movement only,fiber,finish owed work,chain:nia:talk:085:12,True,True
1525,85,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:offer_help:085:13,True,True
1526,85,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:borrow_tool:085:14,True,True
1527,85,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:return_tool:085:15,True,True
1528,85,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:interrupt_work:085:16,True,True
1529,85,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:wait_offscreen:085:17,True,True
1530,86,Nia,move,trust warms,movement only,wood,finish owed work,chain:nia:move:086:00,True,True
1531,86,Ari,talk,trust warms,movement only,herb,apologize,chain:ari:talk:086:01,True,True
1532,86,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:offer_help:086:02,True,True
1533,86,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:borrow_tool:086:03,True,True
1534,86,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:return_tool:086:04,True,True
1535,86,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:interrupt_work:086:05,True,True
1536,86,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:wait_offscreen:086:06,True,True
1537,86,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:repair_trust:086:07,True,True
1538,86,Fay,move,trust warms,movement only,care,return tool,chain:fay:move:086:08,True,True
1539,86,Milo,talk,trust warms,movement only,tool time,give space,chain:milo:talk:086:09,True,True
1540,86,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:offer_help:086:10,True,True
1541,86,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:borrow_tool:086:11,True,True
1542,86,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:return_tool:086:12,True,True
1543,86,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:interrupt_work:086:13,True,True
1544,86,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:wait_offscreen:086:14,True,True
1545,86,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:repair_trust:086:15,True,True
1546,86,Sera,move,trust warms,movement only,water,offer help,chain:sera:move:086:16,True,True
1547,86,Tovan,talk,trust warms,movement only,fiber,wait,chain:tovan:talk:086:17,True,True
1548,87,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:borrow_tool:087:00,True,True
1549,87,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:return_tool:087:01,True,True
1550,87,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:interrupt_work:087:02,True,True
1551,87,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:wait_offscreen:087:03,True,True
1552,87,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:repair_trust:087:04,True,True
1553,87,Tovan,move,trust warms,movement only,wood,wait,chain:tovan:move:087:05,True,True
1554,87,Nia,talk,trust warms,movement only,herb,finish owed work,chain:nia:talk:087:06,True,True
1555,87,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:offer_help:087:07,True,True
1556,87,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:borrow_tool:087:08,True,True
1557,87,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:return_tool:087:09,True,True
1558,87,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:interrupt_work:087:10,True,True
1559,87,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:wait_offscreen:087:11,True,True
1560,87,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:repair_trust:087:12,True,True
1561,87,Ari,move,trust warms,movement only,care,apologize,chain:ari:move:087:13,True,True
1562,87,Fay,talk,trust warms,movement only,tool time,return tool,chain:fay:talk:087:14,True,True
1563,87,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:offer_help:087:15,True,True
1564,87,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:borrow_tool:087:16,True,True
1565,87,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:return_tool:087:17,True,True
1566,88,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:wait_offscreen:088:00,True,True
1567,88,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:repair_trust:088:01,True,True
1568,88,Fay,move,trust warms,movement only,water,return tool,chain:fay:move:088:02,True,True
1569,88,Milo,talk,trust warms,movement only,fiber,give space,chain:milo:talk:088:03,True,True
1570,88,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:offer_help:088:04,True,True
1571,88,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:borrow_tool:088:05,True,True
1572,88,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:return_tool:088:06,True,True
1573,88,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:interrupt_work:088:07,True,True
1574,88,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:wait_offscreen:088:08,True,True
1575,88,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:repair_trust:088:09,True,True
1576,88,Sera,move,trust warms,movement only,wood,offer help,chain:sera:move:088:10,True,True
1577,88,Tovan,talk,trust warms,movement only,herb,wait,chain:tovan:talk:088:11,True,True
1578,88,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:offer_help:088:12,True,True
1579,88,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:borrow_tool:088:13,True,True
1580,88,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:return_tool:088:14,True,True
1581,88,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:interrupt_work:088:15,True,True
1582,88,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:wait_offscreen:088:16,True,True
1583,88,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:repair_trust:088:17,True,True
1584,89,Nia,talk,trust warms,movement only,tool time,finish owed work,chain:nia:talk:089:00,True,True
1585,89,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:offer_help:089:01,True,True
1586,89,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:borrow_tool:089:02,True,True
1587,89,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:return_tool:089:03,True,True
1588,89,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:interrupt_work:089:04,True,True
1589,89,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:wait_offscreen:089:05,True,True
1590,89,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:repair_trust:089:06,True,True
1591,89,Ari,move,trust warms,movement only,water,apologize,chain:ari:move:089:07,True,True
1592,89,Fay,talk,trust warms,movement only,fiber,return tool,chain:fay:talk:089:08,True,True
1593,89,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,give space,chain:milo:offer_help:089:09,True,True
1594,89,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,offer help,chain:sera:borrow_tool:089:10,True,True
1595,89,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:return_tool:089:11,True,True
1596,89,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,finish owed work,chain:nia:interrupt_work:089:12,True,True
1597,89,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,apologize,chain:ari:wait_offscreen:089:13,True,True
1598,89,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,return tool,chain:fay:repair_trust:089:14,True,True
1599,89,Milo,move,trust warms,movement only,wood,give space,chain:milo:move:089:15,True,True
1600,89,Sera,talk,trust warms,movement only,herb,offer help,chain:sera:talk:089:16,True,True
1601,89,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,care,wait,chain:tovan:offer_help:089:17,True,True
1602,90,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:return_tool:090:00,True,True
1603,90,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:interrupt_work:090:01,True,True
1604,90,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:wait_offscreen:090:02,True,True
1605,90,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,give space,chain:milo:repair_trust:090:03,True,True
1606,90,Sera,move,trust warms,movement only,care,offer help,chain:sera:move:090:04,True,True
1607,90,Tovan,talk,trust warms,movement only,tool time,wait,chain:tovan:talk:090:05,True,True
1608,90,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,water,finish owed work,chain:nia:offer_help:090:06,True,True
1609,90,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,apologize,chain:ari:borrow_tool:090:07,True,True
1610,90,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:return_tool:090:08,True,True
1611,90,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:interrupt_work:090:09,True,True
1612,90,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:wait_offscreen:090:10,True,True
1613,90,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:repair_trust:090:11,True,True
1614,90,Nia,move,trust warms,movement only,water,finish owed work,chain:nia:move:090:12,True,True
1615,90,Ari,talk,trust warms,movement only,fiber,apologize,chain:ari:talk:090:13,True,True
1616,90,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,return tool,chain:fay:offer_help:090:14,True,True
1617,90,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,give space,chain:milo:borrow_tool:090:15,True,True
1618,90,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,care,offer help,chain:sera:return_tool:090:16,True,True
1619,90,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,wait,chain:tovan:interrupt_work:090:17,True,True
1620,91,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:repair_trust:091:00,True,True
1621,91,Ari,move,trust warms,movement only,wood,apologize,chain:ari:move:091:01,True,True
1622,91,Fay,talk,trust warms,movement only,herb,return tool,chain:fay:talk:091:02,True,True
1623,91,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:offer_help:091:03,True,True
1624,91,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:borrow_tool:091:04,True,True
1625,91,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:return_tool:091:05,True,True
1626,91,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:interrupt_work:091:06,True,True
1627,91,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:wait_offscreen:091:07,True,True
1628,91,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:repair_trust:091:08,True,True
1629,91,Milo,move,trust warms,movement only,care,give space,chain:milo:move:091:09,True,True
1630,91,Sera,talk,trust warms,movement only,tool time,offer help,chain:sera:talk:091:10,True,True
1631,91,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:offer_help:091:11,True,True
1632,91,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:borrow_tool:091:12,True,True
1633,91,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:return_tool:091:13,True,True
1634,91,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:interrupt_work:091:14,True,True
1635,91,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:wait_offscreen:091:15,True,True
1636,91,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:repair_trust:091:16,True,True
1637,91,Tovan,move,trust warms,movement only,water,wait,chain:tovan:move:091:17,True,True
1638,92,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:offer_help:092:00,True,True
1639,92,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:borrow_tool:092:01,True,True
1640,92,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:return_tool:092:02,True,True
1641,92,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:interrupt_work:092:03,True,True
1642,92,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:wait_offscreen:092:04,True,True
1643,92,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:repair_trust:092:05,True,True
1644,92,Nia,move,trust warms,movement only,wood,finish owed work,chain:nia:move:092:06,True,True
1645,92,Ari,talk,trust warms,movement only,herb,apologize,chain:ari:talk:092:07,True,True
1646,92,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:offer_help:092:08,True,True
1647,92,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:borrow_tool:092:09,True,True
1648,92,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:return_tool:092:10,True,True
1649,92,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:interrupt_work:092:11,True,True
1650,92,Nia,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:wait_offscreen:092:12,True,True
1651,92,Ari,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:repair_trust:092:13,True,True
1652,92,Fay,move,trust warms,movement only,care,return tool,chain:fay:move:092:14,True,True
1653,92,Milo,talk,trust warms,movement only,tool time,give space,chain:milo:talk:092:15,True,True
1654,92,Sera,offer_help,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:offer_help:092:16,True,True
1655,92,Tovan,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:borrow_tool:092:17,True,True
1656,93,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:interrupt_work:093:00,True,True
1657,93,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:wait_offscreen:093:01,True,True
1658,93,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:repair_trust:093:02,True,True
1659,93,Milo,move,trust warms,movement only,water,give space,chain:milo:move:093:03,True,True
1660,93,Sera,talk,trust warms,movement only,fiber,offer help,chain:sera:talk:093:04,True,True
1661,93,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:offer_help:093:05,True,True
1662,93,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:borrow_tool:093:06,True,True
1663,93,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:return_tool:093:07,True,True
1664,93,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:interrupt_work:093:08,True,True
1665,93,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:wait_offscreen:093:09,True,True
1666,93,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:repair_trust:093:10,True,True
1667,93,Tovan,move,trust warms,movement only,wood,wait,chain:tovan:move:093:11,True,True
1668,93,Nia,talk,trust warms,movement only,herb,finish owed work,chain:nia:talk:093:12,True,True
1669,93,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:offer_help:093:13,True,True
1670,93,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:borrow_tool:093:14,True,True
1671,93,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:return_tool:093:15,True,True
