generation,year,settlement_id,ritual_name,ritual_function,flower_node,frequency_rate_hz,sensory_anchor,social_boundary_taught,inherited_ritual,variation_marker
34,1020,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.458,river slap and cedar resin,ask before touching owned tools,True,v4.7
34,1020,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.478,hinge ticks and thyme paper,ask before touching owned tools,True,v4.8
34,1020,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.498,page flutter and ink linen,ask before touching owned tools,True,v4.0
34,1020,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.518,static crickets and lamp oil,ask before touching owned tools,True,v4.1
34,1020,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.538,cart creak and apple soil,ask before touching owned tools,True,v4.2
34,1020,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.558,bell hum and hot copper,ask before touching owned tools,True,v4.3
35,1050,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.461,river slap and cedar resin,ask before touching owned tools,True,v4.8
35,1050,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.481,hinge ticks and thyme paper,ask before touching owned tools,True,v4.0
35,1050,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.501,page flutter and ink linen,ask before touching owned tools,True,v4.1
35,1050,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.521,static crickets and lamp oil,ask before touching owned tools,True,v4.2
35,1050,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.541,cart creak and apple soil,ask before touching owned tools,True,v4.3
35,1050,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.561,bell hum and hot copper,ask before touching owned tools,True,v4.4
36,1080,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.428,river slap and cedar resin,ask before touching owned tools,True,v4.0
36,1080,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.448,hinge ticks and thyme paper,ask before touching owned tools,True,v4.1
36,1080,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.468,page flutter and ink linen,ask before touching owned tools,True,v4.2
36,1080,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.488,static crickets and lamp oil,ask before touching owned tools,True,v4.3
36,1080,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.508,cart creak and apple soil,ask before touching owned tools,True,v4.4
36,1080,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.528,bell hum and hot copper,ask before touching owned tools,True,v4.5
37,1110,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.431,river slap and cedar resin,ask before touching owned tools,True,v4.1
37,1110,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.451,hinge ticks and thyme paper,ask before touching owned tools,True,v4.2
37,1110,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.471,page flutter and ink linen,ask before touching owned tools,True,v4.3
37,1110,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.491,static crickets and lamp oil,ask before touching owned tools,True,v4.4
37,1110,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.511,cart creak and apple soil,ask before touching owned tools,True,v4.5
37,1110,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.531,bell hum and hot copper,ask before touching owned tools,True,v4.6
38,1140,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.434,river slap and cedar resin,ask before touching owned tools,True,v4.2
38,1140,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.454,hinge ticks and thyme paper,ask before touching owned tools,True,v4.3
38,1140,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.474,page flutter and ink linen,ask before touching owned tools,True,v4.4
38,1140,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.494,static crickets and lamp oil,ask before touching owned tools,True,v4.5
38,1140,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.514,cart creak and apple soil,ask before touching owned tools,True,v4.6
38,1140,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.534,bell hum and hot copper,ask before touching owned tools,True,v4.7
39,1170,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.437,river slap and cedar resin,ask before touching owned tools,True,v4.3
39,1170,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.457,hinge ticks and thyme paper,ask before touching owned tools,True,v4.4
39,1170,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.477,page flutter and ink linen,ask before touching owned tools,True,v4.5
39,1170,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.497,static crickets and lamp oil,ask before touching owned tools,True,v4.6
39,1170,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.517,cart creak and apple soil,ask before touching owned tools,True,v4.7
39,1170,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.537,bell hum and hot copper,ask before touching owned tools,True,v4.8
40,1200,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.44,river slap and cedar resin,ask before touching owned tools,True,v4.4
40,1200,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.46,hinge ticks and thyme paper,ask before touching owned tools,True,v4.5
40,1200,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.48,page flutter and ink linen,ask before touching owned tools,True,v4.6
40,1200,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.5,static crickets and lamp oil,ask before touching owned tools,True,v4.7
40,1200,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.52,cart creak and apple soil,ask before touching owned tools,True,v4.8
40,1200,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.54,bell hum and hot copper,ask before touching owned tools,True,v4.0
41,1230,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.455,river slap and cedar resin,ask before touching owned tools,True,v5.5
41,1230,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.475,hinge ticks and thyme paper,ask before touching owned tools,True,v5.6
41,1230,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.495,page flutter and ink linen,ask before touching owned tools,True,v5.7
41,1230,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.515,static crickets and lamp oil,ask before touching owned tools,True,v5.8
41,1230,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.535,cart creak and apple soil,ask before touching owned tools,True,v5.0
41,1230,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.555,bell hum and hot copper,ask before touching owned tools,True,v5.1
42,1260,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.458,river slap and cedar resin,ask before touching owned tools,True,v5.6
42,1260,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.478,hinge ticks and thyme paper,ask before touching owned tools,True,v5.7
42,1260,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.498,page flutter and ink linen,ask before touching owned tools,True,v5.8
42,1260,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.518,static crickets and lamp oil,ask before touching owned tools,True,v5.0
42,1260,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.538,cart creak and apple soil,ask before touching owned tools,True,v5.1
42,1260,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.558,bell hum and hot copper,ask before touching owned tools,True,v5.2
43,1290,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.461,river slap and cedar resin,ask before touching owned tools,True,v5.7
43,1290,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.481,hinge ticks and thyme paper,ask before touching owned tools,True,v5.8
43,1290,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.501,page flutter and ink linen,ask before touching owned tools,True,v5.0
43,1290,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.521,static crickets and lamp oil,ask before touching owned tools,True,v5.1
43,1290,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.541,cart creak and apple soil,ask before touching owned tools,True,v5.2
43,1290,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.561,bell hum and hot copper,ask before touching owned tools,True,v5.3
44,1320,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.464,river slap and cedar resin,ask before touching owned tools,True,v5.8
44,1320,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.484,hinge ticks and thyme paper,ask before touching owned tools,True,v5.0
44,1320,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.504,page flutter and ink linen,ask before touching owned tools,True,v5.1
44,1320,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.524,static crickets and lamp oil,ask before touching owned tools,True,v5.2
44,1320,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.544,cart creak and apple soil,ask before touching owned tools,True,v5.3
44,1320,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.564,bell hum and hot copper,ask before touching owned tools,True,v5.4
45,1350,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.467,river slap and cedar resin,ask before touching owned tools,True,v5.0
45,1350,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.487,hinge ticks and thyme paper,ask before touching owned tools,True,v5.1
45,1350,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.507,page flutter and ink linen,ask before touching owned tools,True,v5.2
45,1350,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.527,static crickets and lamp oil,ask before touching owned tools,True,v5.3
45,1350,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.547,cart creak and apple soil,ask before touching owned tools,True,v5.4
45,1350,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.567,bell hum and hot copper,ask before touching owned tools,True,v5.5
46,1380,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.47,river slap and cedar resin,ask before touching owned tools,True,v5.1
46,1380,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.49,hinge ticks and thyme paper,ask before touching owned tools,True,v5.2
46,1380,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.51,page flutter and ink linen,ask before touching owned tools,True,v5.3
46,1380,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.53,static crickets and lamp oil,ask before touching owned tools,True,v5.4
46,1380,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.55,cart creak and apple soil,ask before touching owned tools,True,v5.5
46,1380,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.57,bell hum and hot copper,ask before touching owned tools,True,v5.6
47,1410,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.473,river slap and cedar resin,ask before touching owned tools,True,v5.2
47,1410,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.493,hinge ticks and thyme paper,ask before touching owned tools,True,v5.3
47,1410,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.513,page flutter and ink linen,ask before touching owned tools,True,v5.4
47,1410,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.533,static crickets and lamp oil,ask before touching owned tools,True,v5.5
47,1410,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.553,cart creak and apple soil,ask before touching owned tools,True,v5.6
47,1410,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.573,bell hum and hot copper,ask before touching owned tools,True,v5.7
48,1440,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.44,river slap and cedar resin,ask before touching owned tools,True,v5.3
48,1440,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.46,hinge ticks and thyme paper,ask before touching owned tools,True,v5.4
48,1440,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.48,page flutter and ink linen,ask before touching owned tools,True,v5.5
48,1440,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.5,static crickets and lamp oil,ask before touching owned tools,True,v5.6
48,1440,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.52,cart creak and apple soil,ask before touching owned tools,True,v5.7
48,1440,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.54,bell hum and hot copper,ask before touching owned tools,True,v5.8
49,1470,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.443,river slap and cedar resin,ask before touching owned tools,True,v5.4
49,1470,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.463,hinge ticks and thyme paper,ask before touching owned tools,True,v5.5
49,1470,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.483,page flutter and ink linen,ask before touching owned tools,True,v5.6
49,1470,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.503,static crickets and lamp oil,ask before touching owned tools,True,v5.7
49,1470,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.523,cart creak and apple soil,ask before touching owned tools,True,v5.8
49,1470,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.543,bell hum and hot copper,ask before touching owned tools,True,v5.0
50,1500,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.446,river slap and cedar resin,ask before touching owned tools,True,v5.5
50,1500,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.466,hinge ticks and thyme paper,ask before touching owned tools,True,v5.6
50,1500,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.486,page flutter and ink linen,ask before touching owned tools,True,v5.7
50,1500,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.506,static crickets and lamp oil,ask before touching owned tools,True,v5.8
50,1500,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.526,cart creak and apple soil,ask before touching owned tools,True,v5.0
50,1500,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.546,bell hum and hot copper,ask before touching owned tools,True,v5.1
51,1530,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.461,river slap and cedar resin,ask before touching owned tools,True,v6.6
51,1530,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.481,hinge ticks and thyme paper,ask before touching owned tools,True,v6.7
51,1530,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.501,page flutter and ink linen,ask before touching owned tools,True,v6.8
51,1530,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.521,static crickets and lamp oil,ask before touching owned tools,True,v6.0
51,1530,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.541,cart creak and apple soil,ask before touching owned tools,True,v6.1
51,1530,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.561,bell hum and hot copper,ask before touching owned tools,True,v6.2
52,1560,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.464,river slap and cedar resin,ask before touching owned tools,True,v6.7
52,1560,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.484,hinge ticks and thyme paper,ask before touching owned tools,True,v6.8
52,1560,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.504,page flutter and ink linen,ask before touching owned tools,True,v6.0
52,1560,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.524,static crickets and lamp oil,ask before touching owned tools,True,v6.1
52,1560,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.544,cart creak and apple soil,ask before touching owned tools,True,v6.2
52,1560,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.564,bell hum and hot copper,ask before touching owned tools,True,v6.3
53,1590,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.467,river slap and cedar resin,ask before touching owned tools,True,v6.8
53,1590,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.487,hinge ticks and thyme paper,ask before touching owned tools,True,v6.0
53,1590,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.507,page flutter and ink linen,ask before touching owned tools,True,v6.1
53,1590,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.527,static crickets and lamp oil,ask before touching owned tools,True,v6.2
53,1590,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.547,cart creak and apple soil,ask before touching owned tools,True,v6.3
53,1590,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.567,bell hum and hot copper,ask before touching owned tools,True,v6.4
54,1620,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.47,river slap and cedar resin,ask before touching owned tools,True,v6.0
54,1620,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.49,hinge ticks and thyme paper,ask before touching owned tools,True,v6.1
54,1620,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.51,page flutter and ink linen,ask before touching owned tools,True,v6.2
54,1620,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.53,static crickets and lamp oil,ask before touching owned tools,True,v6.3
54,1620,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.55,cart creak and apple soil,ask before touching owned tools,True,v6.4
54,1620,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.57,bell hum and hot copper,ask before touching owned tools,True,v6.5
55,1650,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.473,river slap and cedar resin,ask before touching owned tools,True,v6.1
55,1650,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.493,hinge ticks and thyme paper,ask before touching owned tools,True,v6.2
55,1650,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.513,page flutter and ink linen,ask before touching owned tools,True,v6.3
55,1650,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.533,static crickets and lamp oil,ask before touching owned tools,True,v6.4
55,1650,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.553,cart creak and apple soil,ask before touching owned tools,True,v6.5
55,1650,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.573,bell hum and hot copper,ask before touching owned tools,True,v6.6
56,1680,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.476,river slap and cedar resin,ask before touching owned tools,True,v6.2
56,1680,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.496,hinge ticks and thyme paper,ask before touching owned tools,True,v6.3
56,1680,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.516,page flutter and ink linen,ask before touching owned tools,True,v6.4
56,1680,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.536,static crickets and lamp oil,ask before touching owned tools,True,v6.5
56,1680,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.556,cart creak and apple soil,ask before touching owned tools,True,v6.6
56,1680,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.576,bell hum and hot copper,ask before touching owned tools,True,v6.7
57,1710,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.479,river slap and cedar resin,ask before touching owned tools,True,v6.3
57,1710,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.499,hinge ticks and thyme paper,ask before touching owned tools,True,v6.4
57,1710,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.519,page flutter and ink linen,ask before touching owned tools,True,v6.5
57,1710,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.539,static crickets and lamp oil,ask before touching owned tools,True,v6.6
57,1710,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.559,cart creak and apple soil,ask before touching owned tools,True,v6.7
57,1710,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.579,bell hum and hot copper,ask before touching owned tools,True,v6.8
58,1740,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.482,river slap and cedar resin,ask before touching owned tools,True,v6.4
58,1740,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.502,hinge ticks and thyme paper,ask before touching owned tools,True,v6.5
58,1740,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.522,page flutter and ink linen,ask before touching owned tools,True,v6.6
58,1740,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.542,static crickets and lamp oil,ask before touching owned tools,True,v6.7
58,1740,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.562,cart creak and apple soil,ask before touching owned tools,True,v6.8
58,1740,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.582,bell hum and hot copper,ask before touching owned tools,True,v6.0
59,1770,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.485,river slap and cedar resin,ask before touching owned tools,True,v6.5
59,1770,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.505,hinge ticks and thyme paper,ask before touching owned tools,True,v6.6
59,1770,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.525,page flutter and ink linen,ask before touching owned tools,True,v6.7
59,1770,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.545,static crickets and lamp oil,ask before touching owned tools,True,v6.8
59,1770,orchard,satchel-vow-child naming,teach dry seed continuity and bounded consent,node-01,0.565,cart creak and apple soil,ask before touching owned tools,True,v6.0
59,1770,repair_ring,spark-distance-trade witness,teach safe repair space and bounded consent,node-09,0.585,bell hum and hot copper,ask before touching owned tools,True,v6.1
60,1800,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.452,river slap and cedar resin,ask before touching owned tools,True,v6.6
60,1800,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.472,hinge ticks and thyme paper,ask before touching owned tools,True,v6.7
60,1800,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.492,page flutter and ink linen,ask before touching owned tools,True,v6.8
60,1800,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.512,static crickets and lamp oil,ask before touching owned tools,True,v6.0
60,1800,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.532,cart creak and apple soil,ask before touching owned tools,True,v6.1
60,1800,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.552,bell hum and hot copper,ask before touching owned tools,True,v6.2
61,1830,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.467,river slap and cedar resin,ask before touching owned tools,True,v7.7
61,1830,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.487,hinge ticks and thyme paper,ask before touching owned tools,True,v7.8
61,1830,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.507,page flutter and ink linen,ask before touching owned tools,True,v7.0
61,1830,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.527,static crickets and lamp oil,ask before touching owned tools,True,v7.1
61,1830,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.547,cart creak and apple soil,ask before touching owned tools,True,v7.2
61,1830,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.567,bell hum and hot copper,ask before touching owned tools,True,v7.3
62,1860,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.47,river slap and cedar resin,ask before touching owned tools,True,v7.8
62,1860,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.49,hinge ticks and thyme paper,ask before touching owned tools,True,v7.0
62,1860,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.51,page flutter and ink linen,ask before touching owned tools,True,v7.1
62,1860,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.53,static crickets and lamp oil,ask before touching owned tools,True,v7.2
62,1860,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.55,cart creak and apple soil,ask before touching owned tools,True,v7.3
62,1860,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.57,bell hum and hot copper,ask before touching owned tools,True,v7.4
63,1890,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.473,river slap and cedar resin,ask before touching owned tools,True,v7.0
63,1890,roofward,sun-ledger-avatar waiting myth,teach herb preservation and bounded consent,node-05,0.493,hinge ticks and thyme paper,ask before touching owned tools,True,v7.1
63,1890,archive,spool-naming-founding vow,teach signal memory and bounded consent,node-08,0.513,page flutter and ink linen,ask before touching owned tools,True,v7.2
63,1890,signal,lantern-turning-seasonal repair,teach path visibility and bounded consent,node-11,0.533,static crickets and lamp oil,ask before touching owned tools,True,v7.3
63,1890,orchard,satchel-vow-object blessing,teach dry seed continuity and bounded consent,node-01,0.553,cart creak and apple soil,ask before touching owned tools,True,v7.4
63,1890,repair_ring,spark-distance-boundary asking,teach safe repair space and bounded consent,node-09,0.573,bell hum and hot copper,ask before touching owned tools,True,v7.5
64,1920,riverbend,plank-listening-avatar waiting myth,teach dry crossing and bounded consent,node-03,0.476,river slap and cedar resin,ask before touching owned tools,True,v7.1
64,1920,roofward,sun-ledger-founding vow,teach herb preservation and bounded consent,node-05,0.496,hinge ticks and thyme paper,ask before touching owned tools,True,v7.2
64,1920,archive,spool-naming-seasonal repair,teach signal memory and bounded consent,node-08,0.516,page flutter and ink linen,ask before touching owned tools,True,v7.3
64,1920,signal,lantern-turning-object blessing,teach path visibility and bounded consent,node-11,0.536,static crickets and lamp oil,ask before touching owned tools,True,v7.4
64,1920,orchard,satchel-vow-boundary asking,teach dry seed continuity and bounded consent,node-01,0.556,cart creak and apple soil,ask before touching owned tools,True,v7.5
64,1920,repair_ring,spark-distance-grief return,teach safe repair space and bounded consent,node-09,0.576,bell hum and hot copper,ask before touching owned tools,True,v7.6
65,1950,riverbend,plank-listening-founding vow,teach dry crossing and bounded consent,node-03,0.479,river slap and cedar resin,ask before touching owned tools,True,v7.2
65,1950,roofward,sun-ledger-seasonal repair,teach herb preservation and bounded consent,node-05,0.499,hinge ticks and thyme paper,ask before touching owned tools,True,v7.3
65,1950,archive,spool-naming-object blessing,teach signal memory and bounded consent,node-08,0.519,page flutter and ink linen,ask before touching owned tools,True,v7.4
65,1950,signal,lantern-turning-boundary asking,teach path visibility and bounded consent,node-11,0.539,static crickets and lamp oil,ask before touching owned tools,True,v7.5
65,1950,orchard,satchel-vow-grief return,teach dry seed continuity and bounded consent,node-01,0.559,cart creak and apple soil,ask before touching owned tools,True,v7.6
65,1950,repair_ring,spark-distance-child naming,teach safe repair space and bounded consent,node-09,0.579,bell hum and hot copper,ask before touching owned tools,True,v7.7
66,1980,riverbend,plank-listening-seasonal repair,teach dry crossing and bounded consent,node-03,0.482,river slap and cedar resin,ask before touching owned tools,True,v7.3
66,1980,roofward,sun-ledger-object blessing,teach herb preservation and bounded consent,node-05,0.502,hinge ticks and thyme paper,ask before touching owned tools,True,v7.4
66,1980,archive,spool-naming-boundary asking,teach signal memory and bounded consent,node-08,0.522,page flutter and ink linen,ask before touching owned tools,True,v7.5
66,1980,signal,lantern-turning-grief return,teach path visibility and bounded consent,node-11,0.542,static crickets and lamp oil,ask before touching owned tools,True,v7.6
