event_id,household,ritual_name,ritual_source,adoption_level,variation_level,rhythm_hz,flower_alignment,welfare_benefit,learned_boundary_clause
250,Orchardring,nari-a-circle,Quietledger,1.0,0.415,2.480226,0.8668,0.693476,invite without pressure
251,Rainloft,lum-a-circle,Orchardring,1.0,0.415,2.197547,0.8668,0.8223,invite without pressure
252,Hearthnest,sova-a-circle,Rainloft,1.0,0.295,2.405021,0.8764,0.692552,invite without pressure
253,Quietledger,vonn-v-circle,Hearthnest,1.0,0.37,2.142182,0.8704,0.668164,pause if sleep debt or boundary warning appears
254,Orchardring,nari-na-circle,Routehall,1.0,0.37,2.508586,0.8704,0.669676,pause if sleep debt or boundary warning appears
255,Rainloft,melo-ri-circle,Marketroof,1.0,0.44,2.223834,0.8648,0.8223,invite without pressure
256,Hearthnest,sova-so-circle,Quietledger,1.0,0.37,2.427601,0.8704,0.668752,pause if sleep debt or boundary warning appears
257,Routehall,vonn-v-circle,Orchardring,1.0,0.37,2.289651,0.8704,0.66892,pause if sleep debt or boundary warning appears
258,Marketroof,nari-na-circle,Rainloft,1.0,0.37,2.589858,0.8704,0.669508,pause if sleep debt or boundary warning appears
259,Orchardring,sova-so-circle,Hearthnest,1.0,0.37,2.518208,0.8704,0.669676,pause if sleep debt or boundary warning appears
260,Rainloft,keth-v-circle,Routehall,1.0,0.37,2.224805,0.8704,0.6685,pause if sleep debt or boundary warning appears
261,Hearthnest,vonn-na-circle,Marketroof,1.0,0.37,2.419859,0.8704,0.668752,pause if sleep debt or boundary warning appears
262,Routehall,nari-ri-circle,Quietledger,1.0,0.44,2.273679,0.8648,0.82272,invite without pressure
263,Marketroof,vonn-so-circle,Orchardring,1.0,0.37,2.566648,0.8704,0.669508,pause if sleep debt or boundary warning appears
264,Quietledger,vonn-v-circle,Rainloft,1.0,0.37,2.129203,0.8704,0.668164,pause if sleep debt or boundary warning appears
265,Rainloft,ori-ri-circle,Hearthnest,1.0,0.44,2.191809,0.9048,0.8223,invite without pressure
266,Hearthnest,vonn-so-circle,Routehall,1.0,0.37,2.384923,0.8704,0.668752,pause if sleep debt or boundary warning appears
267,Routehall,keth-v-circle,Marketroof,1.0,0.37,2.238975,0.8704,0.66892,pause if sleep debt or boundary warning appears
268,Marketroof,nari-na-circle,Quietledger,1.0,0.37,2.534334,0.8704,0.669508,pause if sleep debt or boundary warning appears
269,Quietledger,lum-ri-circle,Orchardring,1.0,0.44,2.101289,0.8648,0.821964,invite without pressure
270,Orchardring,sova-so-circle,Rainloft,1.0,0.37,2.460029,0.8704,0.669676,pause if sleep debt or boundary warning appears
271,Routehall,vonn-na-circle,Hearthnest,1.0,0.37,2.230633,0.8704,0.66892,pause if sleep debt or boundary warning appears
272,Marketroof,tek-ri-circle,Routehall,1.0,0.44,2.533062,0.8648,0.823308,invite without pressure
273,Quietledger,vonn-so-circle,Marketroof,1.0,0.37,2.107166,0.8704,0.668164,pause if sleep debt or boundary warning appears
274,Orchardring,vonn-v-circle,Quietledger,1.0,0.37,2.47269,0.8704,0.669676,pause if sleep debt or boundary warning appears
275,Rainloft,vonn-na-circle,Orchardring,1.0,0.37,2.18929,0.8704,0.6685,pause if sleep debt or boundary warning appears
276,Hearthnest,sova-ri-circle,Rainloft,1.0,0.44,2.396556,0.8648,0.822552,invite without pressure
277,Routehall,vonn-v-circle,Hearthnest,1.0,0.37,2.264037,0.8704,0.66892,pause if sleep debt or boundary warning appears
278,Marketroof,nari-na-circle,Routehall,1.0,0.37,2.571266,0.8704,0.669508,pause if sleep debt or boundary warning appears
279,Quietledger,melo-ri-circle,Marketroof,1.0,0.44,2.147794,0.8648,0.821964,invite without pressure
280,Orchardring,sova-so-circle,Quietledger,1.0,0.37,2.513217,0.8704,0.669676,pause if sleep debt or boundary warning appears
281,Rainloft,vonn-v-circle,Orchardring,1.0,0.37,2.227196,0.8704,0.6685,pause if sleep debt or boundary warning appears
282,Hearthnest,nari-na-circle,Rainloft,1.0,0.37,2.429483,0.8704,0.668752,pause if sleep debt or boundary warning appears
283,Marketroof,sova-so-circle,Hearthnest,1.0,0.37,2.589938,0.8704,0.669508,pause if sleep debt or boundary warning appears
284,Quietledger,keth-v-circle,Routehall,1.0,0.37,2.158532,0.8704,0.668164,pause if sleep debt or boundary warning appears
285,Orchardring,vonn-na-circle,Marketroof,1.0,0.37,2.515351,0.8704,0.669676,pause if sleep debt or boundary warning appears
286,Rainloft,nari-ri-circle,Quietledger,1.0,0.44,2.220594,0.8648,0.8223,invite without pressure
287,Hearthnest,vonn-so-circle,Orchardring,1.0,0.37,2.414557,0.8704,0.668752,pause if sleep debt or boundary warning appears
288,Routehall,vonn-v-circle,Rainloft,1.0,0.37,2.267615,0.8704,0.66892,pause if sleep debt or boundary warning appears
