tick,day,slot,avatar_room,avatar_action_key,resident,project,trust_before,trust_after,obligation_before,obligation_after,schedule_before,schedule_after,visible_consequence,avatar_agency_bound,resident_agency_bound,replay_key
1362,76,12,tool alcove,wait_offscreen,Sera,dry seed store,0.649983,0.647983,0.37301,0.36701,seek tool,care duty,residents continue without avatar,True,True,v58-loop-01362
1363,76,13,rain court,repair_trust,Tovan,sort herb shelf,0.499739,0.515739,0.159839,0.133839,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01363
1364,76,14,fiber loft,move,Nia,map safe route,0.350724,0.354724,0.082435,0.080435,private task,recover focus,position changes but history remains intact,True,True,v58-loop-01364
1365,76,15,west hearth,talk,Ari,dry seed store,0.364264,0.380264,0.215775,0.189775,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01365
1366,76,16,river gate,offer_help,Fay,sort herb shelf,0.501361,0.521361,0.430699,0.404699,work,rest,trust warms and obligation decreases,True,True,v58-loop-01366
1367,76,17,arrival court,borrow_tool,Milo,map safe route,0.635262,0.615262,0.519022,0.549022,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-01367
1368,77,0,rain court,interrupt_work,Sera,fix bridge peg,0.617776,0.597776,0.213904,0.243904,seek tool,private task,work is delayed and debt marker increases,True,False,v58-loop-01368
1369,77,1,fiber loft,wait_offscreen,Tovan,patch cloak,0.490458,0.492458,0.082143,0.076143,care duty,private task,residents continue without avatar,True,True,v58-loop-01369
1370,77,2,west hearth,repair_trust,Nia,repair awning,0.324028,0.340028,0.161409,0.135409,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01370
1371,77,3,river gate,move,Ari,fix bridge peg,0.361844,0.365844,0.37492,0.37292,recover focus,work,position changes but history remains intact,True,True,v58-loop-01371
1372,77,4,arrival court,talk,Fay,patch cloak,0.506303,0.526303,0.51586,0.48986,work,rest,trust warms and obligation decreases,True,True,v58-loop-01372
1373,77,5,tool alcove,offer_help,Milo,repair awning,0.665048,0.685048,0.447708,0.421708,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01373
1374,77,6,rain court,borrow_tool,Sera,fix bridge peg,0.628214,0.608214,0.236478,0.266478,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-01374
1375,77,7,fiber loft,return_tool,Tovan,patch cloak,0.483089,0.499089,0.086779,0.060779,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01375
1376,77,8,west hearth,interrupt_work,Nia,repair awning,0.332659,0.312659,0.143616,0.173616,care duty,recover focus,work is delayed and debt marker increases,True,False,v58-loop-01376
1377,77,9,river gate,wait_offscreen,Ari,fix bridge peg,0.355444,0.357444,0.351934,0.345934,private task,recover focus,residents continue without avatar,True,True,v58-loop-01377
1378,77,10,arrival court,repair_trust,Fay,patch cloak,0.514502,0.534502,0.509946,0.483946,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01378
1379,77,11,tool alcove,move,Milo,repair awning,0.650655,0.654655,0.464594,0.462594,work,rest,position changes but history remains intact,True,True,v58-loop-01379
1380,77,12,rain court,talk,Sera,fix bridge peg,0.629227,0.645227,0.259808,0.233808,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01380
1381,77,13,fiber loft,offer_help,Tovan,patch cloak,0.484907,0.500907,0.093954,0.067954,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01381
1382,77,14,west hearth,borrow_tool,Nia,repair awning,0.335112,0.315112,0.127686,0.157686,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-01382
1383,77,15,river gate,return_tool,Ari,fix bridge peg,0.36252,0.37852,0.328329,0.302329,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01383
1384,77,16,arrival court,interrupt_work,Fay,patch cloak,0.529668,0.509668,0.501532,0.531532,private task,work,work is delayed and debt marker increases,True,False,v58-loop-01384
1385,77,17,tool alcove,wait_offscreen,Milo,repair awning,0.669011,0.671011,0.479521,0.473521,recover focus,work,residents continue without avatar,True,True,v58-loop-01385
1386,78,0,fiber loft,move,Sera,sort herb shelf,0.626746,0.630746,0.124424,0.122424,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-01386
1387,78,1,west hearth,talk,Tovan,map safe route,0.464062,0.480062,0.095882,0.069882,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01387
1388,78,2,river gate,offer_help,Nia,dry seed store,0.328272,0.344272,0.265058,0.239058,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01388
1389,78,3,arrival court,borrow_tool,Ari,sort herb shelf,0.370447,0.350447,0.468081,0.498081,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-01389
1390,78,4,tool alcove,return_tool,Fay,map safe route,0.52779,0.54779,0.508293,0.482293,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01390
1391,78,5,rain court,interrupt_work,Milo,dry seed store,0.662287,0.642287,0.346742,0.376742,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-01391
1392,78,6,fiber loft,wait_offscreen,Sera,sort herb shelf,0.638727,0.636727,0.139914,0.133914,work,rest,residents continue without avatar,True,True,v58-loop-01392
1393,78,7,west hearth,repair_trust,Tovan,map safe route,0.454868,0.470868,0.088154,0.062154,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01393
1394,78,8,river gate,move,Nia,dry seed store,0.321358,0.325358,0.241598,0.239598,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-01394
1395,78,9,arrival court,talk,Ari,sort herb shelf,0.373016,0.393016,0.451613,0.425613,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01395
1396,78,10,tool alcove,offer_help,Fay,map safe route,0.533841,0.553841,0.514768,0.488768,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01396
1397,78,11,rain court,borrow_tool,Milo,dry seed store,0.651517,0.631517,0.369889,0.399889,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01397
1398,78,12,fiber loft,return_tool,Sera,sort herb shelf,0.637716,0.653716,0.157312,0.131312,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01398
1399,78,13,west hearth,interrupt_work,Tovan,map safe route,0.459427,0.439427,0.082949,0.112949,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-01399
1400,78,14,river gate,wait_offscreen,Nia,dry seed store,0.339646,0.337646,0.218833,0.212833,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-01400
1401,78,15,arrival court,repair_trust,Ari,sort herb shelf,0.356359,0.376359,0.433339,0.407339,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01401
1402,78,16,tool alcove,move,Fay,map safe route,0.519659,0.523659,0.518686,0.516686,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-01402
1403,78,17,rain court,talk,Milo,dry seed store,0.646339,0.662339,0.392204,0.366204,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01403
1404,79,0,west hearth,borrow_tool,Sera,patch cloak,0.634655,0.614655,0.081708,0.111708,recover focus,rest,work is delayed and debt marker increases,True,False,v58-loop-01404
1405,79,1,river gate,return_tool,Tovan,repair awning,0.466369,0.482369,0.163987,0.137987,work,rest,trust warms and obligation decreases,True,True,v58-loop-01405
1406,79,2,arrival court,interrupt_work,Nia,fix bridge peg,0.324993,0.304993,0.378015,0.408015,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-01406
1407,79,3,tool alcove,wait_offscreen,Ari,patch cloak,0.381126,0.383126,0.516473,0.510473,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-01407
1408,79,4,rain court,repair_trust,Fay,repair awning,0.556017,0.576017,0.445245,0.419245,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01408
1409,79,5,fiber loft,move,Milo,fix bridge peg,0.653565,0.657565,0.233326,0.231326,care duty,private task,position changes but history remains intact,True,True,v58-loop-01409
1410,79,6,west hearth,talk,Sera,patch cloak,0.614002,0.630002,0.08599,0.05999,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01410
1411,79,7,river gate,offer_help,Tovan,repair awning,0.441428,0.457428,0.145955,0.119955,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01411
1412,79,8,arrival court,borrow_tool,Nia,fix bridge peg,0.32908,0.30908,0.355135,0.385135,work,negotiate debt,work is delayed and debt marker increases,True,False,v58-loop-01412
1413,79,9,tool alcove,return_tool,Ari,patch cloak,0.370411,0.390411,0.510909,0.484909,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01413
1414,79,10,rain court,interrupt_work,Fay,repair awning,0.560345,0.540345,0.462386,0.492386,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-01414
1415,79,11,fiber loft,wait_offscreen,Milo,fix bridge peg,0.664516,0.666516,0.256569,0.250569,seek tool,care duty,residents continue without avatar,True,True,v58-loop-01415
1416,79,12,west hearth,repair_trust,Sera,patch cloak,0.619111,0.635111,0.092821,0.066821,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01416
1417,79,13,river gate,move,Tovan,repair awning,0.450313,0.454313,0.129757,0.127757,private task,recover focus,position changes but history remains intact,True,True,v58-loop-01417
1418,79,14,arrival court,talk,Nia,fix bridge peg,0.321363,0.337363,0.331599,0.305599,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01418
1419,79,15,tool alcove,offer_help,Ari,patch cloak,0.373672,0.393672,0.502833,0.476833,work,rest,trust warms and obligation decreases,True,True,v58-loop-01419
1420,79,16,rain court,borrow_tool,Fay,repair awning,0.556468,0.536468,0.477593,0.507593,rest,seek tool,work is delayed and debt marker increases,True,False,v58-loop-01420
1421,79,17,fiber loft,return_tool,Milo,fix bridge peg,0.659229,0.675229,0.280328,0.254328,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01421
1422,80,0,river gate,wait_offscreen,Sera,map safe route,0.620576,0.618576,0.097136,0.091136,care duty,private task,residents continue without avatar,True,True,v58-loop-01422
1423,80,1,arrival court,repair_trust,Tovan,dry seed store,0.440617,0.456617,0.26832,0.24232,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01423
1424,80,2,tool alcove,move,Nia,sort herb shelf,0.310791,0.314791,0.470191,0.468191,recover focus,work,position changes but history remains intact,True,True,v58-loop-01424
1425,80,3,rain court,talk,Ari,map safe route,0.380726,0.400726,0.507207,0.481207,work,rest,trust warms and obligation decreases,True,True,v58-loop-01425
1426,80,4,fiber loft,offer_help,Fay,dry seed store,0.549848,0.565848,0.343512,0.317512,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01426
1427,80,5,west hearth,borrow_tool,Milo,sort herb shelf,0.66317,0.64317,0.137669,0.167669,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-01427
1428,80,6,river gate,return_tool,Sera,map safe route,0.59641,0.61241,0.089068,0.063068,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01428
1429,80,7,arrival court,interrupt_work,Tovan,dry seed store,0.456966,0.436966,0.244786,0.274786,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-01429
1430,80,8,tool alcove,wait_offscreen,Nia,sort herb shelf,0.307117,0.305117,0.453987,0.447987,private task,recover focus,residents continue without avatar,True,True,v58-loop-01430
1431,80,9,rain court,repair_trust,Ari,map safe route,0.399743,0.419743,0.514029,0.488029,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01431
1432,80,10,fiber loft,move,Fay,dry seed store,0.573646,0.577646,0.366752,0.364752,work,rest,position changes but history remains intact,True,True,v58-loop-01432
1433,80,11,west hearth,talk,Milo,sort herb shelf,0.654452,0.670452,0.154816,0.128816,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01433
1434,80,12,river gate,offer_help,Sera,map safe route,0.61743,0.63343,0.083512,0.057512,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01434
1435,80,13,arrival court,borrow_tool,Tovan,dry seed store,0.435042,0.415042,0.221909,0.251909,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-01435
1436,80,14,tool alcove,return_tool,Nia,sort herb shelf,0.302646,0.322646,0.435948,0.409948,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01436
1437,80,15,rain court,interrupt_work,Ari,map safe route,0.371956,0.351956,0.518302,0.548302,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01437
1438,80,16,fiber loft,wait_offscreen,Fay,dry seed store,0.551615,0.549615,0.389198,0.383198,recover focus,work,residents continue without avatar,True,True,v58-loop-01438
1439,80,17,west hearth,repair_trust,Milo,sort herb shelf,0.682132,0.698132,0.173692,0.147692,work,rest,trust warms and obligation decreases,True,True,v58-loop-01439
1440,81,0,arrival court,talk,Sera,repair awning,0.59038,0.60638,0.166596,0.140596,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01440
1441,81,1,tool alcove,offer_help,Tovan,fix bridge peg,0.431774,0.447774,0.381091,0.355091,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01441
1442,81,2,rain court,borrow_tool,Nia,patch cloak,0.307502,0.287502,0.517037,0.547037,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-01442
1443,81,3,fiber loft,return_tool,Ari,repair awning,0.380798,0.400798,0.442751,0.416751,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01443
1444,81,4,west hearth,interrupt_work,Fay,fix bridge peg,0.554122,0.534122,0.230189,0.260189,recover focus,rest,work is delayed and debt marker increases,True,False,v58-loop-01444
1445,81,5,river gate,wait_offscreen,Milo,patch cloak,0.675443,0.677443,0.085249,0.079249,work,rest,residents continue without avatar,True,True,v58-loop-01445
1446,81,6,arrival court,repair_trust,Sera,repair awning,0.58448,0.60048,0.148328,0.122328,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01446
1447,81,7,tool alcove,move,Tovan,fix bridge peg,0.43017,0.43417,0.358323,0.356323,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-01447
1448,81,8,rain court,talk,Nia,patch cloak,0.316857,0.336857,0.511824,0.485824,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01448
1449,81,9,fiber loft,offer_help,Ari,repair awning,0.386574,0.406574,0.460142,0.434142,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01449
1450,81,10,west hearth,borrow_tool,Fay,fix bridge peg,0.561429,0.541429,0.253338,0.283338,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01450
1451,81,11,river gate,return_tool,Milo,patch cloak,0.654794,0.670794,0.091734,0.065734,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01451
1452,81,12,arrival court,interrupt_work,Sera,repair awning,0.604808,0.584808,0.131866,0.161866,work,negotiate debt,work is delayed and debt marker increases,True,False,v58-loop-01452
1453,81,13,tool alcove,wait_offscreen,Tovan,fix bridge peg,0.440939,0.442939,0.334861,0.328861,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-01453
1454,81,14,rain court,repair_trust,Nia,patch cloak,0.308299,0.328299,0.504088,0.478088,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01454
1455,81,15,fiber loft,move,Ari,repair awning,0.401939,0.405939,0.475626,0.473626,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-01455
1456,81,16,west hearth,talk,Fay,fix bridge peg,0.568731,0.584731,0.277044,0.251044,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01456
1457,81,17,river gate,offer_help,Milo,patch cloak,0.655745,0.671745,0.100699,0.074699,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01457
1458,82,0,tool alcove,return_tool,Sera,dry seed store,0.586822,0.602822,0.271589,0.245589,work,rest,trust warms and obligation decreases,True,True,v58-loop-01458
1459,82,1,rain court,interrupt_work,Tovan,sort herb shelf,0.426143,0.406143,0.472263,0.502263,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-01459
1460,82,2,fiber loft,wait_offscreen,Nia,map safe route,0.323507,0.321507,0.506075,0.500075,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-01460
1461,82,3,west hearth,repair_trust,Ari,dry seed store,0.421758,0.437758,0.340272,0.314272,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01461
1462,82,4,river gate,move,Fay,sort herb shelf,0.593658,0.597658,0.13546,0.13346,care duty,private task,position changes but history remains intact,True,True,v58-loop-01462
1463,82,5,arrival court,talk,Milo,map safe route,0.655396,0.671396,0.090029,0.064029,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01463
1464,82,6,tool alcove,offer_help,Sera,dry seed store,0.585492,0.601492,0.247986,0.221986,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01464
1465,82,7,rain court,borrow_tool,Tovan,sort herb shelf,0.41192,0.39192,0.456326,0.486326,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-01465
1466,82,8,fiber loft,return_tool,Nia,map safe route,0.307927,0.327927,0.513241,0.487241,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01466
1467,82,9,west hearth,interrupt_work,Ari,dry seed store,0.401385,0.381385,0.3636,0.3936,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-01467
1468,82,10,river gate,wait_offscreen,Fay,sort herb shelf,0.571748,0.569748,0.152353,0.146353,seek tool,care duty,residents continue without avatar,True,True,v58-loop-01468
1469,82,11,arrival court,repair_trust,Milo,map safe route,0.666752,0.682752,0.084124,0.058124,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01469
1470,82,12,tool alcove,move,Sera,dry seed store,0.596889,0.600889,0.225003,0.223003,private task,recover focus,position changes but history remains intact,True,True,v58-loop-01470
1471,82,13,rain court,talk,Tovan,sort herb shelf,0.420716,0.440716,0.438527,0.412527,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01471
1472,82,14,fiber loft,offer_help,Nia,map safe route,0.299147,0.319147,0.517868,0.491868,work,rest,trust warms and obligation decreases,True,True,v58-loop-01472
1473,82,15,west hearth,borrow_tool,Ari,dry seed store,0.414922,0.394922,0.386171,0.416171,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-01473
1474,82,16,river gate,return_tool,Fay,sort herb shelf,0.563351,0.579351,0.171005,0.145005,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01474
1475,82,17,arrival court,interrupt_work,Milo,map safe route,0.684251,0.664251,0.080789,0.110789,seek tool,private task,work is delayed and debt marker increases,True,True,v58-loop-01475
1476,83,0,rain court,repair_trust,Sera,fix bridge peg,0.587114,0.603114,0.38415,0.35815,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01476
1477,83,1,fiber loft,move,Tovan,patch cloak,0.417199,0.421199,0.517553,0.515553,recover focus,work,position changes but history remains intact,True,True,v58-loop-01477
1478,83,2,west hearth,talk,Nia,repair awning,0.313764,0.333764,0.440224,0.414224,work,rest,trust warms and obligation decreases,True,True,v58-loop-01478
1479,83,3,river gate,offer_help,Ari,fix bridge peg,0.431187,0.447187,0.227067,0.201067,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01479
1480,83,4,arrival court,borrow_tool,Fay,patch cloak,0.586811,0.566811,0.084557,0.114557,negotiate debt,care duty,work is delayed and debt marker increases,True,False,v58-loop-01480
1481,83,5,tool alcove,return_tool,Milo,repair awning,0.664236,0.680236,0.150735,0.124735,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01481
1482,83,6,rain court,interrupt_work,Sera,fix bridge peg,0.593694,0.573694,0.361499,0.391499,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-01482
1483,83,7,fiber loft,wait_offscreen,Tovan,patch cloak,0.399144,0.401144,0.512691,0.506691,private task,recover focus,residents continue without avatar,True,True,v58-loop-01483
1484,83,8,west hearth,repair_trust,Nia,repair awning,0.294111,0.314111,0.457861,0.431861,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01484
1485,83,9,river gate,move,Ari,fix bridge peg,0.404137,0.408137,0.250119,0.248119,work,rest,position changes but history remains intact,True,True,v58-loop-01485
1486,83,10,arrival court,talk,Fay,patch cloak,0.604243,0.620243,0.090694,0.064694,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01486
1487,83,11,tool alcove,offer_help,Milo,repair awning,0.681336,0.697336,0.134013,0.108013,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01487
1488,83,12,rain court,borrow_tool,Sera,fix bridge peg,0.567824,0.547824,0.338115,0.368115,seek tool,private task,work is delayed and debt marker increases,True,False,v58-loop-01488
1489,83,13,fiber loft,return_tool,Tovan,patch cloak,0.391311,0.411311,0.505297,0.479297,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01489
1490,83,14,west hearth,interrupt_work,Nia,repair awning,0.32453,0.30453,0.473618,0.503618,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01490
1491,83,15,river gate,wait_offscreen,Ari,fix bridge peg,0.419695,0.421695,0.273765,0.267765,recover focus,work,residents continue without avatar,True,True,v58-loop-01491
1492,83,16,arrival court,repair_trust,Fay,patch cloak,0.582906,0.598906,0.099324,0.073324,work,rest,trust warms and obligation decreases,True,True,v58-loop-01492
1493,83,17,tool alcove,move,Milo,repair awning,0.666817,0.670817,0.119267,0.117267,rest,negotiate debt,position changes but history remains intact,True,True,v58-loop-01493
1494,84,0,fiber loft,offer_help,Sera,sort herb shelf,0.582964,0.602964,0.474297,0.448297,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01494
1495,84,1,west hearth,borrow_tool,Tovan,map safe route,0.402256,0.382256,0.504896,0.534896,care duty,recover focus,work is delayed and debt marker increases,True,True,v58-loop-01495
1496,84,2,river gate,return_tool,Nia,dry seed store,0.324041,0.340041,0.337024,0.311024,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01496
1497,84,3,arrival court,interrupt_work,Ari,sort herb shelf,0.436954,0.416954,0.133288,0.163288,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-01497
1498,84,4,tool alcove,wait_offscreen,Fay,map safe route,0.606072,0.604072,0.091038,0.085038,work,rest,residents continue without avatar,True,True,v58-loop-01498
1499,84,5,rain court,repair_trust,Milo,dry seed store,0.680531,0.696531,0.251198,0.225198,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01499
1500,84,6,fiber loft,move,Sera,sort herb shelf,0.581224,0.585224,0.458631,0.456631,negotiate debt,seek tool,position changes but history remains intact,True,True,v58-loop-01500
1501,84,7,west hearth,talk,Tovan,map safe route,0.379011,0.399011,0.512406,0.486406,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01501
1502,84,8,river gate,offer_help,Nia,dry seed store,0.302178,0.318178,0.360434,0.334434,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01502
1503,84,9,arrival court,borrow_tool,Ari,sort herb shelf,0.446358,0.426358,0.149923,0.179923,private task,work,work is delayed and debt marker increases,True,True,v58-loop-01503
1504,84,10,tool alcove,return_tool,Fay,map safe route,0.61219,0.62819,0.084784,0.058784,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01504
1505,84,11,rain court,interrupt_work,Milo,dry seed store,0.660605,0.640605,0.228113,0.258113,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-01505
1506,84,12,fiber loft,wait_offscreen,Sera,sort herb shelf,0.574526,0.572526,0.441075,0.435075,rest,negotiate debt,residents continue without avatar,True,True,v58-loop-01506
1507,84,13,west hearth,repair_trust,Tovan,map safe route,0.377993,0.397993,0.517385,0.491385,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01507
1508,84,14,river gate,move,Nia,dry seed store,0.293721,0.297721,0.383125,0.381125,seek tool,care duty,position changes but history remains intact,True,True,v58-loop-01508
1509,84,15,arrival court,talk,Ari,sort herb shelf,0.426652,0.442652,0.168346,0.142346,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01509
1510,84,16,tool alcove,offer_help,Fay,map safe route,0.614717,0.630717,0.081093,0.055093,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01510
1511,84,17,rain court,borrow_tool,Milo,dry seed store,0.668827,0.648827,0.205884,0.235884,recover focus,rest,work is delayed and debt marker increases,True,True,v58-loop-01511
1512,85,0,west hearth,interrupt_work,Sera,patch cloak,0.544115,0.524115,0.518019,0.548019,rest,seek tool,work is delayed and debt marker increases,True,False,v58-loop-01512
1513,85,1,river gate,wait_offscreen,Tovan,repair awning,0.382778,0.384778,0.437665,0.431665,negotiate debt,seek tool,residents continue without avatar,True,True,v58-loop-01513
1514,85,2,arrival court,repair_trust,Nia,fix bridge peg,0.320432,0.336432,0.223962,0.197962,seek tool,care duty,trust warms and obligation decreases,True,True,v58-loop-01514
1515,85,3,tool alcove,move,Ari,patch cloak,0.460258,0.464258,0.083913,0.081913,care duty,private task,position changes but history remains intact,True,True,v58-loop-01515
1516,85,4,rain court,talk,Fay,repair awning,0.625663,0.641663,0.153176,0.127176,private task,recover focus,trust warms and obligation decreases,True,True,v58-loop-01516
1517,85,5,fiber loft,offer_help,Milo,fix bridge peg,0.67018,0.68618,0.36466,0.33866,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01517
1518,85,6,west hearth,borrow_tool,Sera,patch cloak,0.542335,0.522335,0.513511,0.543511,work,negotiate debt,work is delayed and debt marker increases,True,True,v58-loop-01518
1519,85,7,river gate,return_tool,Tovan,repair awning,0.391604,0.411604,0.455545,0.429545,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01519
1520,85,8,arrival court,interrupt_work,Nia,fix bridge peg,0.322106,0.302106,0.246911,0.276911,negotiate debt,care duty,work is delayed and debt marker increases,True,False,v58-loop-01520
1521,85,9,tool alcove,wait_offscreen,Ari,patch cloak,0.449362,0.451362,0.089701,0.083701,seek tool,care duty,residents continue without avatar,True,True,v58-loop-01521
1522,85,10,rain court,repair_trust,Fay,repair awning,0.621236,0.637236,0.136197,0.110197,care duty,private task,trust warms and obligation decreases,True,True,v58-loop-01522
1523,85,11,fiber loft,move,Milo,fix bridge peg,0.647897,0.651897,0.341361,0.339361,private task,recover focus,position changes but history remains intact,True,True,v58-loop-01523
1524,85,12,west hearth,talk,Sera,patch cloak,0.567308,0.587308,0.50646,0.48046,recover focus,work,trust warms and obligation decreases,True,True,v58-loop-01524
1525,85,13,river gate,offer_help,Tovan,repair awning,0.373896,0.393896,0.471572,0.445572,work,rest,trust warms and obligation decreases,True,True,v58-loop-01525
1526,85,14,arrival court,borrow_tool,Nia,fix bridge peg,0.310284,0.290284,0.270491,0.300491,rest,seek tool,work is delayed and debt marker increases,True,True,v58-loop-01526
1527,85,15,tool alcove,return_tool,Ari,patch cloak,0.446423,0.462423,0.097994,0.071994,negotiate debt,seek tool,trust warms and obligation decreases,True,True,v58-loop-01527
1528,85,16,rain court,interrupt_work,Fay,repair awning,0.59717,0.57717,0.121169,0.151169,seek tool,private task,work is delayed and debt marker increases,True,False,v58-loop-01528
1529,85,17,fiber loft,wait_offscreen,Milo,fix bridge peg,0.659115,0.661115,0.317569,0.311569,care duty,private task,residents continue without avatar,True,True,v58-loop-01529
1530,86,0,river gate,move,Sera,map safe route,0.551329,0.555329,0.503672,0.501672,recover focus,work,position changes but history remains intact,True,True,v58-loop-01530
1531,86,1,arrival court,talk,Tovan,dry seed store,0.369027,0.385027,0.333767,0.307767,work,rest,trust warms and obligation decreases,True,True,v58-loop-01531
1532,86,2,tool alcove,offer_help,Nia,sort herb shelf,0.315536,0.331536,0.131154,0.105154,rest,negotiate debt,trust warms and obligation decreases,True,True,v58-loop-01532
1533,86,3,rain court,borrow_tool,Ari,map safe route,0.440465,0.420465,0.092093,0.122093,negotiate debt,care duty,work is delayed and debt marker increases,True,True,v58-loop-01533
