frame_id,generation,simulated_year,household,public_lineage_marker,public_learning_marker,public_avatar_legacy_marker,private_inheritance_hint,welfare_marker,replay_checkpoint,trace_integrity_token
1,1,52,Hearthnest,gen 1 year 52: Hearthnest carries 7 stories,adult_transmission learns lum-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.40,hash=5f361899d797; strongest=lum-g10; semantic=0.99,welfare inheritance intact,r246-gen01-Hearthnest,r246:1:e9d4944b0c
91,16,832,Hearthnest,gen 16 year 832: Hearthnest carries 22 stories,adult_transmission learns lum-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.65,hash=3b765c8652b0; strongest=lum-g40; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:91:baa4538260
92,16,832,Routehall,gen 16 year 832: Routehall carries 22 stories,adult_transmission learns tek-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.61,hash=a246bbffad5b; strongest=tek-g40; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:92:57bc9e6f77
93,16,832,Marketroof,gen 16 year 832: Marketroof carries 22 stories,adult_transmission learns melo-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=0a18e88ddb06; strongest=melo-g40; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:93:d1f817df0a
94,16,832,Quietledger,gen 16 year 832: Quietledger carries 23 stories,adult_transmission learns nari-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.61,hash=44974926acdc; strongest=nari-g40; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:94:7b94862569
95,16,832,Orchardring,gen 16 year 832: Orchardring carries 22 stories,adult_transmission learns lum-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=dd6efbffbaf7; strongest=lum-g40; semantic=0.97,welfare inheritance needs review,no_checkpoint,r246:95:0f3da76c78
96,16,832,Rainloft,gen 16 year 832: Rainloft carries 23 stories,adult_transmission learns sova-voice; confidence=0.87,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.61,hash=01bb56d6bbaf; strongest=sova-g40; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:96:d0657ed352
97,17,884,Hearthnest,gen 17 year 884: Hearthnest carries 23 stories,adult_transmission learns ori-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.65,hash=8928ac94ead5; strongest=lum-g50; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:97:701de7f059
98,17,884,Routehall,gen 17 year 884: Routehall carries 23 stories,adult_transmission learns nari-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=95392ec7559f; strongest=tek-g50; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:98:9494d14c6f
99,17,884,Marketroof,gen 17 year 884: Marketroof carries 23 stories,adult_transmission learns keth-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=0fc1bd6edfa3; strongest=melo-g50; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:99:cd8e6f682c
100,17,884,Quietledger,gen 17 year 884: Quietledger carries 24 stories,adult_transmission learns vonn-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=135488ccfa4b; strongest=nari-g50; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:100:6adcb8c418
101,17,884,Orchardring,gen 17 year 884: Orchardring carries 23 stories,adult_transmission learns melo-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.63,hash=bdac9db9a305; strongest=lum-g50; semantic=0.97,welfare inheritance needs review,no_checkpoint,r246:101:353032b5a4
102,17,884,Rainloft,gen 17 year 884: Rainloft carries 24 stories,adult_transmission learns vonn-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=5e5cb3bd3f12; strongest=sova-g50; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:102:c12a4d13bd
103,18,936,Hearthnest,gen 18 year 936: Hearthnest carries 24 stories,adult_transmission learns sova-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.66,hash=3011f23b79ea; strongest=lum-g00; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:103:a6f60a009a
104,18,936,Routehall,gen 18 year 936: Routehall carries 24 stories,adult_transmission learns keth-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.63,hash=2c649a90f9b5; strongest=tek-g00; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:104:523ad480e2
105,18,936,Marketroof,gen 18 year 936: Marketroof carries 24 stories,adult_transmission learns vonn-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.63,hash=88ec461f3599; strongest=melo-g00; semantic=0.97,welfare inheritance intact,no_checkpoint,r246:105:7427060947
106,18,936,Quietledger,gen 18 year 936: Quietledger carries 25 stories,adult_transmission learns sova-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=deb7b01609c4; strongest=nari-g00; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:106:3cc996baf0
107,18,936,Orchardring,gen 18 year 936: Orchardring carries 24 stories,adult_transmission learns tek-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.64,hash=a53a30c9f88b; strongest=lum-g00; semantic=0.97,welfare inheritance needs review,no_checkpoint,r246:107:d5e2e80a4c
108,18,936,Rainloft,gen 18 year 936: Rainloft carries 25 stories,adult_transmission learns nari-voice; confidence=0.88,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.62,hash=c351fb62c854; strongest=sova-g00; semantic=1.00,welfare inheritance intact,r246-gen18-Rainloft,r246:108:f78f362ef1
