tick_id,day,tick,route_id,speaker,listener,dialogue_choice,keyframe_index,pose,gesture,gaze_target,mouth_shape,screen_x,screen_y,animation_visible,private_workspace_sealed
241,21,1,orchard_riverbend,Ari,Ivo,ask rollback,2,relieved reset stance,open palm,avatar,pause,0.594,0.39,True,True
242,21,2,central_repair_ring,Juno,Pax,none,4,relieved reset stance,small nod,route board,rest,0.708,0.46,True,True
243,21,3,riverbend_roofward,Fay,Ari,none,0,guarded crossed arms,small nod,route board,rest,0.222,0.32,True,True
244,21,4,roofward_archive,Fay,Nia,ask rollback,2,relieved reset stance,route point,avatar,short syllable,0.28,0.39,True,True
245,21,5,archive_signal,Milo,Nia,none,4,relieved reset stance,small nod,route board,rest,0.394,0.46,False,True
246,21,6,signal_orchard,Milo,Ivo,none,0,relieved reset stance,small nod,route board,rest,0.508,0.32,True,True
247,21,7,orchard_riverbend,Ari,Ivo,ask rollback,2,relieved reset stance,open palm,avatar,soft close,0.622,0.39,True,True
248,21,8,central_repair_ring,Juno,Pax,none,4,relieved reset stance,small nod,route board,rest,0.68,0.46,True,True
249,21,9,riverbend_roofward,Fay,Ari,none,0,relieved reset stance,small nod,route board,rest,0.194,0.32,True,True
250,21,10,roofward_archive,Fay,Nia,ask rollback,2,relieved reset stance,route point,avatar,long syllable,0.308,0.39,True,True
251,21,11,archive_signal,Milo,Nia,none,4,relieved reset stance,small nod,route board,rest,0.422,0.46,True,True
252,22,0,signal_orchard,Milo,Ivo,none,1,relieved reset stance,small nod,route board,rest,0.48,0.355,True,True
253,22,1,orchard_riverbend,Ari,Ivo,ask rollback,3,careful pointing,tight grip,avatar,soft close,0.594,0.425,True,True
254,22,2,central_repair_ring,Juno,Pax,ask merge,5,route-board reach,step back,avatar,long syllable,0.708,0.495,True,True
255,22,3,riverbend_roofward,Fay,Ari,none,1,relieved reset stance,small nod,route board,rest,0.222,0.355,False,True
256,22,4,roofward_archive,Fay,Nia,ask rollback,3,careful pointing,step back,avatar,long syllable,0.28,0.425,True,True
257,22,5,archive_signal,Milo,Nia,none,5,relieved reset stance,small nod,route board,rest,0.394,0.495,True,True
258,22,6,signal_orchard,Milo,Ivo,none,1,relieved reset stance,small nod,route board,rest,0.508,0.355,True,True
259,22,7,orchard_riverbend,Ari,Ivo,ask rollback,3,careful pointing,tight grip,avatar,rest,0.622,0.425,True,True
260,22,8,central_repair_ring,Juno,Pax,ask rollback,5,route-board reach,step back,avatar,pause,0.68,0.495,True,True
261,22,9,riverbend_roofward,Fay,Ari,none,1,careful pointing,small nod,route board,rest,0.194,0.355,True,True
262,22,10,roofward_archive,Fay,Nia,ask rollback,3,careful pointing,step back,avatar,pause,0.308,0.425,True,True
263,22,11,archive_signal,Milo,Nia,none,5,relieved reset stance,small nod,route board,rest,0.422,0.495,True,True
264,23,0,signal_orchard,Milo,Ivo,none,2,relieved reset stance,small nod,route board,rest,0.48,0.39,True,True
265,23,1,orchard_riverbend,Ari,Ivo,ask rollback,4,listening tilt,small nod,avatar,rest,0.594,0.46,True,True
266,23,2,central_repair_ring,Juno,Pax,none,0,route-board reach,small nod,route board,rest,0.708,0.32,True,True
267,23,3,riverbend_roofward,Fay,Ari,none,2,careful pointing,small nod,route board,rest,0.222,0.39,True,True
268,23,4,roofward_archive,Fay,Nia,ask rollback,4,listening tilt,two-hand offer,avatar,pause,0.28,0.46,True,True
269,23,5,archive_signal,Milo,Nia,none,0,relieved reset stance,small nod,route board,rest,0.394,0.32,True,True
270,23,6,signal_orchard,Milo,Ivo,none,2,relieved reset stance,small nod,route board,rest,0.508,0.39,False,True
271,23,7,orchard_riverbend,Ari,Ivo,ask rollback,4,listening tilt,small nod,avatar,short syllable,0.622,0.46,True,True
272,23,8,central_repair_ring,Juno,Pax,none,0,route-board reach,small nod,route board,rest,0.68,0.32,True,True
273,23,9,riverbend_roofward,Fay,Ari,none,2,listening tilt,small nod,route board,rest,0.194,0.39,True,True
274,23,10,roofward_archive,Fay,Nia,ask rollback,4,listening tilt,two-hand offer,avatar,soft close,0.308,0.46,True,True
275,23,11,archive_signal,Milo,Nia,none,0,relieved reset stance,small nod,route board,rest,0.422,0.32,False,True
276,24,0,orchard_riverbend,Ivo,Ari,none,4,careful pointing,small nod,route board,rest,0.58,0.46,True,True
277,24,1,central_repair_ring,Pax,Juno,ask merge,0,open forward lean,two-hand offer,avatar,short syllable,0.694,0.32,True,True
278,24,2,riverbend_roofward,Ari,Fay,none,2,listening tilt,small nod,route board,rest,0.208,0.39,True,True
279,24,3,roofward_archive,Nia,Fay,none,4,route-board reach,small nod,route board,rest,0.322,0.46,True,True
280,24,4,archive_signal,Nia,Milo,ask merge,0,open forward lean,small nod,avatar,soft close,0.38,0.32,True,True
281,24,5,signal_orchard,Ivo,Milo,ask rollback,2,relieved reset stance,two-hand offer,avatar,long syllable,0.494,0.39,True,True
282,24,6,orchard_riverbend,Ivo,Ari,none,4,relieved reset stance,small nod,route board,rest,0.608,0.46,True,True
283,24,7,central_repair_ring,Pax,Juno,ask merge,0,open forward lean,two-hand offer,avatar,long syllable,0.722,0.32,True,True
284,24,8,riverbend_roofward,Ari,Fay,none,2,listening tilt,small nod,route board,rest,0.18,0.39,True,True
285,24,9,roofward_archive,Nia,Fay,none,4,open forward lean,small nod,route board,rest,0.294,0.46,False,True
286,24,10,archive_signal,Nia,Milo,ask rollback,0,open forward lean,small nod,avatar,rest,0.408,0.32,True,True
287,24,11,signal_orchard,Ivo,Milo,ask rollback,2,relieved reset stance,two-hand offer,avatar,pause,0.522,0.39,True,True
288,25,0,orchard_riverbend,Ivo,Ari,none,5,relieved reset stance,small nod,route board,rest,0.58,0.495,True,True
289,25,1,central_repair_ring,Pax,Juno,ask merge,1,guarded crossed arms,open palm,avatar,long syllable,0.694,0.355,True,True
290,25,2,riverbend_roofward,Ari,Fay,none,3,listening tilt,small nod,route board,rest,0.208,0.425,False,True
291,25,3,roofward_archive,Nia,Fay,none,5,open forward lean,small nod,route board,rest,0.322,0.495,True,True
292,25,4,archive_signal,Nia,Milo,ask rollback,1,guarded crossed arms,route point,avatar,rest,0.38,0.355,True,True
293,25,5,signal_orchard,Ivo,Milo,none,3,relieved reset stance,small nod,route board,rest,0.494,0.425,True,True
294,25,6,orchard_riverbend,Ivo,Ari,none,5,relieved reset stance,small nod,route board,rest,0.608,0.495,True,True
295,25,7,central_repair_ring,Pax,Juno,ask merge,1,guarded crossed arms,open palm,avatar,pause,0.722,0.355,True,True
296,25,8,riverbend_roofward,Ari,Fay,none,3,listening tilt,small nod,route board,rest,0.18,0.425,True,True
297,25,9,roofward_archive,Nia,Fay,none,5,guarded crossed arms,small nod,route board,rest,0.294,0.495,True,True
298,25,10,archive_signal,Nia,Milo,ask rollback,1,guarded crossed arms,route point,avatar,short syllable,0.408,0.355,True,True
299,25,11,signal_orchard,Ivo,Milo,none,3,relieved reset stance,small nod,route board,rest,0.522,0.425,True,True
300,26,0,orchard_riverbend,Ivo,Ari,none,0,relieved reset stance,small nod,route board,rest,0.58,0.32,False,True
301,26,1,central_repair_ring,Pax,Juno,ask merge,2,relieved reset stance,tight grip,avatar,pause,0.694,0.39,True,True
302,26,2,riverbend_roofward,Ari,Fay,none,4,listening tilt,small nod,route board,rest,0.208,0.46,True,True
303,26,3,roofward_archive,Nia,Fay,ask rollback,0,open forward lean,tight grip,avatar,pause,0.322,0.32,True,True
304,26,4,archive_signal,Nia,Milo,ask rollback,2,relieved reset stance,step back,avatar,short syllable,0.38,0.39,True,True
305,26,5,signal_orchard,Ivo,Milo,none,4,relieved reset stance,small nod,route board,rest,0.494,0.46,False,True
306,26,6,orchard_riverbend,Ivo,Ari,none,0,relieved reset stance,small nod,route board,rest,0.608,0.32,True,True
307,26,7,central_repair_ring,Pax,Juno,ask rollback,2,relieved reset stance,tight grip,avatar,soft close,0.722,0.39,True,True
308,26,8,riverbend_roofward,Ari,Fay,none,4,listening tilt,small nod,route board,rest,0.18,0.46,True,True
309,26,9,roofward_archive,Nia,Fay,ask merge,0,open forward lean,tight grip,avatar,soft close,0.294,0.32,True,True
310,26,10,archive_signal,Nia,Milo,ask rollback,2,relieved reset stance,step back,avatar,long syllable,0.408,0.39,True,True
311,26,11,signal_orchard,Ivo,Milo,none,4,relieved reset stance,small nod,route board,rest,0.522,0.46,True,True
312,27,0,orchard_riverbend,Ivo,Ari,none,1,relieved reset stance,small nod,route board,rest,0.58,0.355,True,True
313,27,1,central_repair_ring,Pax,Juno,ask rollback,3,careful pointing,small nod,avatar,soft close,0.694,0.425,True,True
314,27,2,riverbend_roofward,Ari,Fay,ask merge,5,route-board reach,two-hand offer,avatar,long syllable,0.208,0.495,True,True
315,27,3,roofward_archive,Nia,Fay,none,1,relieved reset stance,small nod,route board,rest,0.322,0.355,False,True
316,27,4,archive_signal,Nia,Milo,ask rollback,3,careful pointing,two-hand offer,avatar,long syllable,0.38,0.425,True,True
317,27,5,signal_orchard,Ivo,Milo,none,5,relieved reset stance,small nod,route board,rest,0.494,0.495,True,True
318,27,6,orchard_riverbend,Ivo,Ari,none,1,relieved reset stance,small nod,route board,rest,0.608,0.355,True,True
319,27,7,central_repair_ring,Pax,Juno,ask rollback,3,careful pointing,small nod,avatar,rest,0.722,0.425,True,True
320,27,8,riverbend_roofward,Ari,Fay,ask rollback,5,route-board reach,two-hand offer,avatar,pause,0.18,0.495,True,True
321,27,9,roofward_archive,Nia,Fay,none,1,careful pointing,small nod,route board,rest,0.294,0.355,True,True
322,27,10,archive_signal,Nia,Milo,ask rollback,3,careful pointing,two-hand offer,avatar,pause,0.408,0.425,True,True
323,27,11,signal_orchard,Ivo,Milo,none,5,relieved reset stance,small nod,route board,rest,0.522,0.495,True,True
324,28,0,orchard_riverbend,Ivo,Ari,none,2,relieved reset stance,small nod,route board,rest,0.58,0.39,True,True
325,28,1,central_repair_ring,Pax,Juno,ask rollback,4,listening tilt,route point,avatar,rest,0.694,0.46,True,True
326,28,2,riverbend_roofward,Ari,Fay,none,0,route-board reach,small nod,route board,rest,0.208,0.32,True,True
327,28,3,roofward_archive,Nia,Fay,none,2,careful pointing,small nod,route board,rest,0.322,0.39,True,True
328,28,4,archive_signal,Nia,Milo,ask rollback,4,listening tilt,open palm,avatar,pause,0.38,0.46,True,True
329,28,5,signal_orchard,Ivo,Milo,none,0,relieved reset stance,small nod,route board,rest,0.494,0.32,True,True
330,28,6,orchard_riverbend,Ivo,Ari,none,2,relieved reset stance,small nod,route board,rest,0.608,0.39,False,True
331,28,7,central_repair_ring,Pax,Juno,ask rollback,4,listening tilt,route point,avatar,short syllable,0.722,0.46,True,True
332,28,8,riverbend_roofward,Ari,Fay,none,0,route-board reach,small nod,route board,rest,0.18,0.32,True,True
333,28,9,roofward_archive,Nia,Fay,none,2,listening tilt,small nod,route board,rest,0.294,0.39,True,True
334,28,10,archive_signal,Nia,Milo,ask rollback,4,listening tilt,open palm,avatar,soft close,0.408,0.46,True,True
335,28,11,signal_orchard,Ivo,Milo,none,0,relieved reset stance,small nod,route board,rest,0.522,0.32,False,True
336,29,0,orchard_riverbend,Ivo,Ari,none,3,relieved reset stance,small nod,route board,rest,0.58,0.425,True,True
337,29,1,central_repair_ring,Pax,Juno,ask rollback,5,route-board reach,step back,avatar,short syllable,0.694,0.495,True,True
338,29,2,riverbend_roofward,Ari,Fay,none,1,route-board reach,small nod,route board,rest,0.208,0.355,True,True
339,29,3,roofward_archive,Nia,Fay,none,3,listening tilt,small nod,route board,rest,0.322,0.425,True,True
340,29,4,archive_signal,Nia,Milo,ask rollback,5,route-board reach,tight grip,avatar,soft close,0.38,0.495,True,True
341,29,5,signal_orchard,Ivo,Milo,none,1,relieved reset stance,small nod,route board,rest,0.494,0.355,True,True
342,29,6,orchard_riverbend,Ivo,Ari,none,3,relieved reset stance,small nod,route board,rest,0.608,0.425,True,True
343,29,7,central_repair_ring,Pax,Juno,ask rollback,5,route-board reach,step back,avatar,long syllable,0.722,0.495,True,True
344,29,8,riverbend_roofward,Ari,Fay,none,1,route-board reach,small nod,route board,rest,0.18,0.355,True,True
345,29,9,roofward_archive,Nia,Fay,none,3,route-board reach,small nod,route board,rest,0.294,0.425,False,True
346,29,10,archive_signal,Nia,Milo,ask rollback,5,route-board reach,tight grip,avatar,rest,0.408,0.495,True,True
347,29,11,signal_orchard,Ivo,Milo,none,1,relieved reset stance,small nod,route board,rest,0.522,0.355,True,True
348,30,0,central_repair_ring,Juno,Pax,none,5,route-board reach,small nod,route board,rest,0.68,0.495,True,True
349,30,1,riverbend_roofward,Fay,Ari,ask merge,1,guarded crossed arms,tight grip,avatar,long syllable,0.194,0.355,True,True
350,30,2,roofward_archive,Fay,Nia,none,3,guarded crossed arms,small nod,route board,rest,0.308,0.425,False,True
351,30,3,archive_signal,Milo,Nia,none,5,relieved reset stance,small nod,route board,rest,0.422,0.495,True,True
352,30,4,signal_orchard,Milo,Ivo,ask merge,1,guarded crossed arms,step back,avatar,rest,0.48,0.355,True,True
353,30,5,orchard_riverbend,Ari,Ivo,none,3,route-board reach,small nod,route board,rest,0.594,0.425,True,True
354,30,6,central_repair_ring,Juno,Pax,none,5,route-board reach,small nod,route board,rest,0.708,0.495,True,True
355,30,7,riverbend_roofward,Fay,Ari,ask merge,1,guarded crossed arms,tight grip,avatar,pause,0.222,0.355,True,True
356,30,8,roofward_archive,Fay,Nia,none,3,guarded crossed arms,small nod,route board,rest,0.28,0.425,True,True
357,30,9,archive_signal,Milo,Nia,none,5,guarded crossed arms,small nod,route board,rest,0.394,0.495,True,True
358,30,10,signal_orchard,Milo,Ivo,ask merge,1,guarded crossed arms,step back,avatar,short syllable,0.508,0.355,True,True
359,30,11,orchard_riverbend,Ari,Ivo,none,3,route-board reach,small nod,route board,rest,0.622,0.425,True,True
360,31,0,central_repair_ring,Juno,Pax,ask rollback,0,open forward lean,two-hand offer,avatar,rest,0.68,0.32,True,True
361,31,1,riverbend_roofward,Fay,Ari,ask merge,2,relieved reset stance,small nod,avatar,pause,0.194,0.39,True,True
362,31,2,roofward_archive,Fay,Nia,none,4,relieved reset stance,small nod,route board,rest,0.308,0.46,True,True
363,31,3,archive_signal,Milo,Nia,none,0,guarded crossed arms,small nod,route board,rest,0.422,0.32,True,True
364,31,4,signal_orchard,Milo,Ivo,ask merge,2,relieved reset stance,two-hand offer,avatar,short syllable,0.48,0.39,True,True
365,31,5,orchard_riverbend,Ari,Ivo,none,4,route-board reach,small nod,route board,rest,0.594,0.46,False,True
366,31,6,central_repair_ring,Juno,Pax,ask rollback,0,open forward lean,two-hand offer,avatar,short syllable,0.708,0.32,True,True
367,31,7,riverbend_roofward,Fay,Ari,ask merge,2,relieved reset stance,small nod,avatar,soft close,0.222,0.39,True,True
368,31,8,roofward_archive,Fay,Nia,none,4,relieved reset stance,small nod,route board,rest,0.28,0.46,True,True
369,31,9,archive_signal,Milo,Nia,none,0,relieved reset stance,small nod,route board,rest,0.394,0.32,True,True
370,31,10,signal_orchard,Milo,Ivo,ask rollback,2,relieved reset stance,two-hand offer,avatar,long syllable,0.508,0.39,True,True
371,31,11,orchard_riverbend,Ari,Ivo,none,4,route-board reach,small nod,route board,rest,0.622,0.46,True,True
372,32,0,central_repair_ring,Juno,Pax,none,1,open forward lean,small nod,route board,rest,0.68,0.355,True,True
373,32,1,riverbend_roofward,Fay,Ari,ask merge,3,careful pointing,route point,avatar,soft close,0.194,0.425,True,True
374,32,2,roofward_archive,Fay,Nia,none,5,careful pointing,small nod,route board,rest,0.308,0.495,True,True
375,32,3,archive_signal,Milo,Nia,none,1,relieved reset stance,small nod,route board,rest,0.422,0.355,False,True
376,32,4,signal_orchard,Milo,Ivo,ask rollback,3,careful pointing,open palm,avatar,long syllable,0.48,0.425,True,True
377,32,5,orchard_riverbend,Ari,Ivo,ask merge,5,route-board reach,route point,avatar,rest,0.594,0.495,True,True
378,32,6,central_repair_ring,Juno,Pax,none,1,open forward lean,small nod,route board,rest,0.708,0.355,True,True
379,32,7,riverbend_roofward,Fay,Ari,ask merge,3,careful pointing,route point,avatar,rest,0.222,0.425,True,True
380,32,8,roofward_archive,Fay,Nia,none,5,careful pointing,small nod,route board,rest,0.28,0.495,False,True
381,32,9,archive_signal,Milo,Nia,none,1,careful pointing,small nod,route board,rest,0.394,0.355,True,True
382,32,10,signal_orchard,Milo,Ivo,ask rollback,3,careful pointing,open palm,avatar,pause,0.508,0.425,True,True
383,32,11,orchard_riverbend,Ari,Ivo,ask merge,5,route-board reach,route point,avatar,short syllable,0.622,0.495,True,True
384,33,0,central_repair_ring,Juno,Pax,none,2,open forward lean,small nod,route board,rest,0.68,0.39,True,True
385,33,1,riverbend_roofward,Fay,Ari,ask merge,4,listening tilt,step back,avatar,rest,0.194,0.46,True,True
386,33,2,roofward_archive,Fay,Nia,none,0,listening tilt,small nod,route board,rest,0.308,0.32,True,True
387,33,3,archive_signal,Milo,Nia,none,2,careful pointing,small nod,route board,rest,0.422,0.39,True,True
388,33,4,signal_orchard,Milo,Ivo,ask rollback,4,listening tilt,tight grip,avatar,pause,0.48,0.46,True,True
389,33,5,orchard_riverbend,Ari,Ivo,none,0,route-board reach,small nod,route board,rest,0.594,0.32,True,True
390,33,6,central_repair_ring,Juno,Pax,none,2,open forward lean,small nod,route board,rest,0.708,0.39,False,True
391,33,7,riverbend_roofward,Fay,Ari,ask rollback,4,listening tilt,step back,avatar,short syllable,0.222,0.46,True,True
392,33,8,roofward_archive,Fay,Nia,none,0,listening tilt,small nod,route board,rest,0.28,0.32,True,True
393,33,9,archive_signal,Milo,Nia,none,2,listening tilt,small nod,route board,rest,0.394,0.39,True,True
394,33,10,signal_orchard,Milo,Ivo,ask rollback,4,listening tilt,tight grip,avatar,soft close,0.508,0.46,True,True
395,33,11,orchard_riverbend,Ari,Ivo,none,0,route-board reach,small nod,route board,rest,0.622,0.32,False,True
396,34,0,central_repair_ring,Juno,Pax,none,3,open forward lean,small nod,route board,rest,0.68,0.425,True,True
397,34,1,riverbend_roofward,Fay,Ari,ask rollback,5,route-board reach,two-hand offer,avatar,short syllable,0.194,0.495,True,True
398,34,2,roofward_archive,Fay,Nia,none,1,route-board reach,small nod,route board,rest,0.308,0.355,True,True
399,34,3,archive_signal,Milo,Nia,ask rollback,3,careful pointing,two-hand offer,avatar,short syllable,0.422,0.425,True,True
400,34,4,signal_orchard,Milo,Ivo,ask rollback,5,route-board reach,small nod,avatar,soft close,0.48,0.495,True,True
401,34,5,orchard_riverbend,Ari,Ivo,none,1,route-board reach,small nod,route board,rest,0.594,0.355,True,True
402,34,6,central_repair_ring,Juno,Pax,none,3,open forward lean,small nod,route board,rest,0.708,0.425,True,True
403,34,7,riverbend_roofward,Fay,Ari,ask rollback,5,route-board reach,two-hand offer,avatar,long syllable,0.222,0.495,True,True
404,34,8,roofward_archive,Fay,Nia,none,1,route-board reach,small nod,route board,rest,0.28,0.355,True,True
405,34,9,archive_signal,Milo,Nia,ask merge,3,careful pointing,two-hand offer,avatar,long syllable,0.394,0.425,True,True
406,34,10,signal_orchard,Milo,Ivo,ask rollback,5,route-board reach,small nod,avatar,rest,0.508,0.495,True,True
407,34,11,orchard_riverbend,Ari,Ivo,none,1,route-board reach,small nod,route board,rest,0.622,0.355,True,True
408,35,0,central_repair_ring,Juno,Pax,none,4,open forward lean,small nod,route board,rest,0.68,0.46,True,True
409,35,1,riverbend_roofward,Fay,Ari,ask rollback,0,open forward lean,open palm,avatar,short syllable,0.194,0.32,True,True
410,35,2,roofward_archive,Fay,Nia,ask merge,2,relieved reset stance,route point,avatar,soft close,0.308,0.39,True,True
411,35,3,archive_signal,Milo,Nia,none,4,route-board reach,small nod,route board,rest,0.422,0.46,True,True
412,35,4,signal_orchard,Milo,Ivo,ask rollback,0,open forward lean,route point,avatar,soft close,0.48,0.32,True,True
413,35,5,orchard_riverbend,Ari,Ivo,none,2,route-board reach,small nod,route board,rest,0.594,0.39,True,True
414,35,6,central_repair_ring,Juno,Pax,none,4,open forward lean,small nod,route board,rest,0.708,0.46,True,True
415,35,7,riverbend_roofward,Fay,Ari,ask rollback,0,open forward lean,open palm,avatar,long syllable,0.222,0.32,True,True
416,35,8,roofward_archive,Fay,Nia,ask rollback,2,relieved reset stance,route point,avatar,rest,0.28,0.39,True,True
417,35,9,archive_signal,Milo,Nia,none,4,open forward lean,small nod,route board,rest,0.394,0.46,True,True
418,35,10,signal_orchard,Milo,Ivo,ask rollback,0,open forward lean,route point,avatar,rest,0.508,0.32,True,True
419,35,11,orchard_riverbend,Ari,Ivo,none,2,route-board reach,small nod,route board,rest,0.622,0.39,True,True
420,36,0,riverbend_roofward,Ari,Fay,ask rollback,0,open forward lean,open palm,avatar,rest,0.18,0.32,True,True
421,36,1,roofward_archive,Nia,Fay,ask merge,2,relieved reset stance,route point,avatar,pause,0.294,0.39,True,True
422,36,2,archive_signal,Nia,Milo,none,4,guarded crossed arms,small nod,route board,rest,0.408,0.46,True,True
423,36,3,signal_orchard,Ivo,Milo,none,0,relieved reset stance,small nod,route board,rest,0.522,0.32,True,True
424,36,4,orchard_riverbend,Ivo,Ari,ask merge,2,relieved reset stance,open palm,avatar,short syllable,0.58,0.39,True,True
425,36,5,central_repair_ring,Pax,Juno,none,4,route-board reach,small nod,route board,rest,0.694,0.46,False,True
426,36,6,riverbend_roofward,Ari,Fay,ask rollback,0,open forward lean,open palm,avatar,short syllable,0.208,0.32,True,True
427,36,7,roofward_archive,Nia,Fay,ask merge,2,relieved reset stance,route point,avatar,soft close,0.322,0.39,True,True
428,36,8,archive_signal,Nia,Milo,none,4,open forward lean,small nod,route board,rest,0.38,0.46,True,True
429,36,9,signal_orchard,Ivo,Milo,none,0,guarded crossed arms,small nod,route board,rest,0.494,0.32,True,True
430,36,10,orchard_riverbend,Ivo,Ari,ask merge,2,relieved reset stance,open palm,avatar,long syllable,0.608,0.39,True,True
431,36,11,central_repair_ring,Pax,Juno,none,4,open forward lean,small nod,route board,rest,0.722,0.46,True,True
432,37,0,riverbend_roofward,Ari,Fay,none,1,open forward lean,small nod,route board,rest,0.18,0.355,True,True
433,37,1,roofward_archive,Nia,Fay,ask rollback,3,careful pointing,step back,avatar,soft close,0.294,0.425,True,True
434,37,2,archive_signal,Nia,Milo,none,5,open forward lean,small nod,route board,rest,0.408,0.495,True,True
435,37,3,signal_orchard,Ivo,Milo,none,1,guarded crossed arms,small nod,route board,rest,0.522,0.355,False,True
436,37,4,orchard_riverbend,Ivo,Ari,ask merge,3,careful pointing,tight grip,avatar,long syllable,0.58,0.425,True,True
437,37,5,central_repair_ring,Pax,Juno,none,5,guarded crossed arms,small nod,route board,rest,0.694,0.495,True,True
438,37,6,riverbend_roofward,Ari,Fay,none,1,open forward lean,small nod,route board,rest,0.208,0.355,True,True
439,37,7,roofward_archive,Nia,Fay,ask rollback,3,careful pointing,step back,avatar,rest,0.322,0.425,True,True
440,37,8,archive_signal,Nia,Milo,none,5,open forward lean,small nod,route board,rest,0.38,0.495,False,True
441,37,9,signal_orchard,Ivo,Milo,none,1,guarded crossed arms,small nod,route board,rest,0.494,0.355,True,True
442,37,10,orchard_riverbend,Ivo,Ari,ask merge,3,careful pointing,tight grip,avatar,pause,0.608,0.425,True,True
443,37,11,central_repair_ring,Pax,Juno,none,5,guarded crossed arms,small nod,route board,rest,0.722,0.495,True,True
444,38,0,riverbend_roofward,Ari,Fay,none,2,open forward lean,small nod,route board,rest,0.18,0.39,True,True
445,38,1,roofward_archive,Nia,Fay,ask rollback,4,listening tilt,two-hand offer,avatar,rest,0.294,0.46,True,True
446,38,2,archive_signal,Nia,Milo,none,0,listening tilt,small nod,route board,rest,0.408,0.32,True,True
447,38,3,signal_orchard,Ivo,Milo,none,2,careful pointing,small nod,route board,rest,0.522,0.39,True,True
448,38,4,orchard_riverbend,Ivo,Ari,ask merge,4,listening tilt,small nod,avatar,pause,0.58,0.46,True,True
449,38,5,central_repair_ring,Pax,Juno,none,0,guarded crossed arms,small nod,route board,rest,0.694,0.32,True,True
450,38,6,riverbend_roofward,Ari,Fay,none,2,open forward lean,small nod,route board,rest,0.208,0.39,False,True
451,38,7,roofward_archive,Nia,Fay,ask rollback,4,listening tilt,two-hand offer,avatar,short syllable,0.322,0.46,True,True
452,38,8,archive_signal,Nia,Milo,none,0,listening tilt,small nod,route board,rest,0.38,0.32,True,True
453,38,9,signal_orchard,Ivo,Milo,none,2,listening tilt,small nod,route board,rest,0.494,0.39,True,True
454,38,10,orchard_riverbend,Ivo,Ari,ask rollback,4,listening tilt,small nod,avatar,soft close,0.608,0.46,True,True
455,38,11,central_repair_ring,Pax,Juno,none,0,guarded crossed arms,small nod,route board,rest,0.722,0.32,False,True
456,39,0,riverbend_roofward,Ari,Fay,none,3,open forward lean,small nod,route board,rest,0.18,0.425,True,True
457,39,1,roofward_archive,Nia,Fay,ask rollback,5,route-board reach,open palm,avatar,short syllable,0.294,0.495,True,True
458,39,2,archive_signal,Nia,Milo,none,1,route-board reach,small nod,route board,rest,0.408,0.355,True,True
459,39,3,signal_orchard,Ivo,Milo,none,3,open forward lean,small nod,route board,rest,0.522,0.425,True,True
460,39,4,orchard_riverbend,Ivo,Ari,ask rollback,5,route-board reach,route point,avatar,soft close,0.58,0.495,True,True
461,39,5,central_repair_ring,Pax,Juno,none,1,guarded crossed arms,small nod,route board,rest,0.694,0.355,True,True
462,39,6,riverbend_roofward,Ari,Fay,none,3,open forward lean,small nod,route board,rest,0.208,0.425,True,True
463,39,7,roofward_archive,Nia,Fay,ask rollback,5,route-board reach,open palm,avatar,long syllable,0.322,0.495,True,True
464,39,8,archive_signal,Nia,Milo,none,1,route-board reach,small nod,route board,rest,0.38,0.355,True,True
465,39,9,signal_orchard,Ivo,Milo,none,3,route-board reach,small nod,route board,rest,0.494,0.425,False,True
466,39,10,orchard_riverbend,Ivo,Ari,ask rollback,5,route-board reach,route point,avatar,rest,0.608,0.495,True,True
467,39,11,central_repair_ring,Pax,Juno,none,1,guarded crossed arms,small nod,route board,rest,0.722,0.355,True,True
468,40,0,riverbend_roofward,Ari,Fay,none,4,open forward lean,small nod,route board,rest,0.18,0.46,True,True
469,40,1,roofward_archive,Nia,Fay,ask rollback,0,open forward lean,tight grip,avatar,short syllable,0.294,0.32,True,True
470,40,2,archive_signal,Nia,Milo,none,2,open forward lean,small nod,route board,rest,0.408,0.39,False,True
471,40,3,signal_orchard,Ivo,Milo,none,4,route-board reach,small nod,route board,rest,0.522,0.46,True,True
472,40,4,orchard_riverbend,Ivo,Ari,ask rollback,0,open forward lean,step back,avatar,soft close,0.58,0.32,True,True
473,40,5,central_repair_ring,Pax,Juno,ask merge,2,relieved reset stance,tight grip,avatar,long syllable,0.694,0.39,True,True
474,40,6,riverbend_roofward,Ari,Fay,none,4,open forward lean,small nod,route board,rest,0.208,0.46,True,True
475,40,7,roofward_archive,Nia,Fay,ask rollback,0,open forward lean,tight grip,avatar,long syllable,0.322,0.32,True,True
476,40,8,archive_signal,Nia,Milo,none,2,open forward lean,small nod,route board,rest,0.38,0.39,True,True
477,40,9,signal_orchard,Ivo,Milo,none,4,open forward lean,small nod,route board,rest,0.494,0.46,True,True
478,40,10,orchard_riverbend,Ivo,Ari,ask rollback,0,open forward lean,step back,avatar,rest,0.608,0.32,True,True
479,40,11,central_repair_ring,Pax,Juno,ask merge,2,relieved reset stance,tight grip,avatar,pause,0.722,0.39,True,True
480,41,0,riverbend_roofward,Ari,Fay,none,5,open forward lean,small nod,route board,rest,0.18,0.495,False,True
481,41,1,roofward_archive,Nia,Fay,ask rollback,1,guarded crossed arms,small nod,avatar,long syllable,0.294,0.355,True,True
482,41,2,archive_signal,Nia,Milo,none,3,guarded crossed arms,small nod,route board,rest,0.408,0.425,True,True
