frame_id,generation,household,token,inherited_variant,meaning,inherited_strength,innovation_rate,semantic_retention,ritual_binding,lineage_reason
95,16,Orchardring,lum,lum-g40,warm care,0.90508,0.188,0.971046,0.9295,care lineage
95,16,Orchardring,melo,melo-g41,market exchange,0.90436,0.206,0.967029,0.8495,work lineage
95,16,Orchardring,tek,tek-g42,repair work,0.90364,0.224,0.963011,0.8495,work lineage
96,16,Rainloft,sova,sova-g40,sleep safely,0.90548,0.188,1.0,0.9235,boundary lineage
96,16,Rainloft,vonn,vonn-g41,pressure warning,0.90476,0.206,0.967061,0.8435,boundary lineage
96,16,Rainloft,nari,nari-g42,respect boundary,0.90404,0.224,1.0,0.8435,boundary lineage
97,17,Hearthnest,lum,lum-g50,warm care,0.93256,0.196,0.971485,0.94915,care lineage
97,17,Hearthnest,ori,ori-g51,shared ritual,0.93184,0.214,0.967467,0.94915,care lineage
97,17,Hearthnest,sova,sova-g52,sleep safely,0.93112,0.232,1.0,0.94915,boundary lineage
98,17,Routehall,tek,tek-g50,repair work,0.91376,0.196,0.969981,0.8447,work lineage
98,17,Routehall,nari,nari-g51,respect boundary,0.91304,0.214,1.0,0.8447,boundary lineage
98,17,Routehall,keth,keth-g52,remembered help,0.91232,0.232,1.0,0.8447,care lineage
99,17,Marketroof,melo,melo-g50,market exchange,0.91276,0.196,0.969901,0.8471,work lineage
99,17,Marketroof,keth,keth-g51,remembered help,0.91204,0.214,1.0,0.8471,care lineage
99,17,Marketroof,vonn,vonn-g52,pressure warning,0.91132,0.232,0.961866,0.8471,boundary lineage
100,17,Quietledger,nari,nari-g50,respect boundary,0.91596,0.196,1.0,0.8423,boundary lineage
100,17,Quietledger,vonn,vonn-g51,pressure warning,0.91524,0.214,0.966139,0.8423,boundary lineage
100,17,Quietledger,sova,sova-g52,sleep safely,0.91452,0.232,1.0,0.9223,boundary lineage
101,17,Orchardring,lum,lum-g50,warm care,0.91476,0.196,0.970061,0.9295,care lineage
101,17,Orchardring,melo,melo-g51,market exchange,0.91404,0.214,0.966043,0.8495,work lineage
101,17,Orchardring,tek,tek-g52,repair work,0.91332,0.232,0.962026,0.8495,work lineage
102,17,Rainloft,sova,sova-g50,sleep safely,0.91516,0.196,1.0,0.9235,boundary lineage
102,17,Rainloft,vonn,vonn-g51,pressure warning,0.91444,0.214,0.966075,0.8435,boundary lineage
102,17,Rainloft,nari,nari-g52,respect boundary,0.91372,0.232,1.0,0.8435,boundary lineage
103,18,Hearthnest,lum,lum-g00,warm care,0.94224,0.204,0.970499,0.94915,care lineage
103,18,Hearthnest,ori,ori-g01,shared ritual,0.94152,0.222,0.966482,0.94915,care lineage
103,18,Hearthnest,sova,sova-g02,sleep safely,0.9408,0.24,1.0,0.94915,boundary lineage
104,18,Routehall,tek,tek-g00,repair work,0.92344,0.204,0.968995,0.8447,work lineage
104,18,Routehall,nari,nari-g01,respect boundary,0.92272,0.222,1.0,0.8447,boundary lineage
104,18,Routehall,keth,keth-g02,remembered help,0.922,0.24,1.0,0.8447,care lineage
105,18,Marketroof,melo,melo-g00,market exchange,0.92244,0.204,0.968915,0.8471,work lineage
105,18,Marketroof,keth,keth-g01,remembered help,0.92172,0.222,1.0,0.8471,care lineage
105,18,Marketroof,vonn,vonn-g02,pressure warning,0.921,0.24,0.96088,0.8471,boundary lineage
106,18,Quietledger,nari,nari-g00,respect boundary,0.92564,0.204,1.0,0.8423,boundary lineage
106,18,Quietledger,vonn,vonn-g01,pressure warning,0.92492,0.222,0.965154,0.8423,boundary lineage
106,18,Quietledger,sova,sova-g02,sleep safely,0.9242,0.24,1.0,0.9223,boundary lineage
107,18,Orchardring,lum,lum-g00,warm care,0.92444,0.204,0.969075,0.9295,care lineage
107,18,Orchardring,melo,melo-g01,market exchange,0.92372,0.222,0.965058,0.8495,work lineage
107,18,Orchardring,tek,tek-g02,repair work,0.923,0.24,0.96104,0.8495,work lineage
108,18,Rainloft,sova,sova-g00,sleep safely,0.92484,0.204,1.0,0.9235,boundary lineage
108,18,Rainloft,vonn,vonn-g01,pressure warning,0.92412,0.222,0.96509,0.8435,boundary lineage
108,18,Rainloft,nari,nari-g02,respect boundary,0.9234,0.24,1.0,0.8435,boundary lineage
