tick,day,active_panel,selected_resident,selected_tick,filter_text,visible_columns,panel_patch,keyboard_shortcut,export_ready,private_workspace_hidden
351,20,snapshot,Milo,351,resident:Milo event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d020:s09"", ""panel"": ""snapshot"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d020:t00351"", ""tick"": 351}",d,True,True
352,20,causality,Sera,352,resident:Sera event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d020:s10"", ""panel"": ""causality"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d020:t00352"", ""tick"": 352}",x,True,True
353,20,scrubber,Tovan,353,resident:Tovan event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d020:s11"", ""panel"": ""scrubber"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d020:t00353"", ""tick"": 353}",j/k,True,True
354,20,memory debt,Nia,354,resident:Nia event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d020:s12"", ""panel"": ""memory debt"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d020:t00354"", ""tick"": 354}",m,True,True
355,20,snapshot,Ari,355,resident:Ari event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d020:s13"", ""panel"": ""snapshot"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d020:t00355"", ""tick"": 355}",s,True,True
356,20,causality,Fay,356,resident:Fay event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d020:s14"", ""panel"": ""causality"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d020:t00356"", ""tick"": 356}",e,True,True
357,20,scrubber,Milo,357,resident:Milo event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d020:s15"", ""panel"": ""scrubber"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d020:t00357"", ""tick"": 357}",r,True,True
358,20,memory debt,Sera,358,resident:Sera event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d020:s16"", ""panel"": ""memory debt"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d020:t00358"", ""tick"": 358}",d,True,True
359,20,snapshot,Tovan,359,resident:Tovan event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d020:s17"", ""panel"": ""snapshot"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d020:t00359"", ""tick"": 359}",x,True,True
360,21,invariant,Nia,360,resident:Nia event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d021:s00"", ""panel"": ""invariant"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00360"", ""tick"": 360}",d,True,True
361,21,dashboard,Ari,361,resident:Ari event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d021:s01"", ""panel"": ""dashboard"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00361"", ""tick"": 361}",x,True,True
362,21,resident index,Fay,362,resident:Fay event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d021:s02"", ""panel"": ""resident index"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00362"", ""tick"": 362}",j/k,True,True
363,21,schedule diff,Milo,363,resident:Milo event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d021:s03"", ""panel"": ""schedule diff"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00363"", ""tick"": 363}",m,True,True
364,21,invariant,Sera,364,resident:Sera event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d021:s04"", ""panel"": ""invariant"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00364"", ""tick"": 364}",s,True,True
365,21,dashboard,Tovan,365,resident:Tovan event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d021:s05"", ""panel"": ""dashboard"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00365"", ""tick"": 365}",e,True,True
366,21,resident index,Nia,366,resident:Nia event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d021:s06"", ""panel"": ""resident index"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00366"", ""tick"": 366}",r,True,True
367,21,schedule diff,Ari,367,resident:Ari event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d021:s07"", ""panel"": ""schedule diff"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00367"", ""tick"": 367}",d,True,True
368,21,invariant,Fay,368,resident:Fay event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d021:s08"", ""panel"": ""invariant"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00368"", ""tick"": 368}",x,True,True
369,21,dashboard,Milo,369,resident:Milo event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d021:s09"", ""panel"": ""dashboard"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00369"", ""tick"": 369}",j/k,True,True
370,21,resident index,Sera,370,resident:Sera event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d021:s10"", ""panel"": ""resident index"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00370"", ""tick"": 370}",m,True,True
371,21,schedule diff,Tovan,371,resident:Tovan event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d021:s11"", ""panel"": ""schedule diff"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00371"", ""tick"": 371}",s,True,True
372,21,invariant,Nia,372,resident:Nia event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d021:s12"", ""panel"": ""invariant"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00372"", ""tick"": 372}",e,True,True
373,21,dashboard,Ari,373,resident:Ari event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d021:s13"", ""panel"": ""dashboard"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00373"", ""tick"": 373}",r,True,True
374,21,resident index,Fay,374,resident:Fay event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d021:s14"", ""panel"": ""resident index"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00374"", ""tick"": 374}",d,True,True
375,21,schedule diff,Milo,375,resident:Milo event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d021:s15"", ""panel"": ""schedule diff"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00375"", ""tick"": 375}",x,True,True
376,21,invariant,Sera,376,resident:Sera event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d021:s16"", ""panel"": ""invariant"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00376"", ""tick"": 376}",j/k,True,True
377,21,dashboard,Tovan,377,resident:Tovan event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d021:s17"", ""panel"": ""dashboard"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d021:t00377"", ""tick"": 377}",m,True,True
378,22,scrubber,Nia,378,resident:Nia event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d022:s00"", ""panel"": ""scrubber"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00378"", ""tick"": 378}",j/k,True,True
379,22,memory debt,Ari,379,resident:Ari event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d022:s01"", ""panel"": ""memory debt"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00379"", ""tick"": 379}",m,True,True
380,22,snapshot,Fay,380,resident:Fay event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d022:s02"", ""panel"": ""snapshot"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00380"", ""tick"": 380}",s,True,True
381,22,causality,Milo,381,resident:Milo event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d022:s03"", ""panel"": ""causality"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00381"", ""tick"": 381}",e,True,True
382,22,scrubber,Sera,382,resident:Sera event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d022:s04"", ""panel"": ""scrubber"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00382"", ""tick"": 382}",r,True,True
383,22,memory debt,Tovan,383,resident:Tovan event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d022:s05"", ""panel"": ""memory debt"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00383"", ""tick"": 383}",d,True,True
384,22,snapshot,Nia,384,resident:Nia event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d022:s06"", ""panel"": ""snapshot"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00384"", ""tick"": 384}",x,True,True
385,22,causality,Ari,385,resident:Ari event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d022:s07"", ""panel"": ""causality"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00385"", ""tick"": 385}",j/k,True,True
386,22,scrubber,Fay,386,resident:Fay event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d022:s08"", ""panel"": ""scrubber"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00386"", ""tick"": 386}",m,True,True
387,22,memory debt,Milo,387,resident:Milo event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d022:s09"", ""panel"": ""memory debt"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00387"", ""tick"": 387}",s,True,True
388,22,snapshot,Sera,388,resident:Sera event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d022:s10"", ""panel"": ""snapshot"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00388"", ""tick"": 388}",e,True,True
389,22,causality,Tovan,389,resident:Tovan event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d022:s11"", ""panel"": ""causality"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00389"", ""tick"": 389}",r,True,True
390,22,scrubber,Nia,390,resident:Nia event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d022:s12"", ""panel"": ""scrubber"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00390"", ""tick"": 390}",d,True,True
391,22,memory debt,Ari,391,resident:Ari event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d022:s13"", ""panel"": ""memory debt"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00391"", ""tick"": 391}",x,True,True
392,22,snapshot,Fay,392,resident:Fay event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d022:s14"", ""panel"": ""snapshot"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00392"", ""tick"": 392}",j/k,True,True
393,22,causality,Milo,393,resident:Milo event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d022:s15"", ""panel"": ""causality"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00393"", ""tick"": 393}",m,True,True
394,22,scrubber,Sera,394,resident:Sera event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d022:s16"", ""panel"": ""scrubber"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00394"", ""tick"": 394}",s,True,True
395,22,memory debt,Tovan,395,resident:Tovan event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d022:s17"", ""panel"": ""memory debt"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d022:t00395"", ""tick"": 395}",e,True,True
396,23,schedule diff,Nia,396,resident:Nia event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d023:s00"", ""panel"": ""schedule diff"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00396"", ""tick"": 396}",s,True,True
397,23,invariant,Ari,397,resident:Ari event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d023:s01"", ""panel"": ""invariant"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00397"", ""tick"": 397}",e,True,True
398,23,dashboard,Fay,398,resident:Fay event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d023:s02"", ""panel"": ""dashboard"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00398"", ""tick"": 398}",r,True,True
399,23,resident index,Milo,399,resident:Milo event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d023:s03"", ""panel"": ""resident index"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00399"", ""tick"": 399}",d,True,True
400,23,schedule diff,Sera,400,resident:Sera event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d023:s04"", ""panel"": ""schedule diff"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00400"", ""tick"": 400}",x,True,True
401,23,invariant,Tovan,401,resident:Tovan event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d023:s05"", ""panel"": ""invariant"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00401"", ""tick"": 401}",j/k,True,True
402,23,dashboard,Nia,402,resident:Nia event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d023:s06"", ""panel"": ""dashboard"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00402"", ""tick"": 402}",m,True,True
403,23,resident index,Ari,403,resident:Ari event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d023:s07"", ""panel"": ""resident index"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00403"", ""tick"": 403}",s,True,True
404,23,schedule diff,Fay,404,resident:Fay event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d023:s08"", ""panel"": ""schedule diff"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00404"", ""tick"": 404}",e,True,True
405,23,invariant,Milo,405,resident:Milo event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d023:s09"", ""panel"": ""invariant"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00405"", ""tick"": 405}",r,True,True
406,23,dashboard,Sera,406,resident:Sera event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d023:s10"", ""panel"": ""dashboard"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00406"", ""tick"": 406}",d,True,True
407,23,resident index,Tovan,407,resident:Tovan event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d023:s11"", ""panel"": ""resident index"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00407"", ""tick"": 407}",x,True,True
408,23,schedule diff,Nia,408,resident:Nia event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d023:s12"", ""panel"": ""schedule diff"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00408"", ""tick"": 408}",j/k,True,True
409,23,invariant,Ari,409,resident:Ari event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d023:s13"", ""panel"": ""invariant"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00409"", ""tick"": 409}",m,True,True
410,23,dashboard,Fay,410,resident:Fay event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d023:s14"", ""panel"": ""dashboard"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00410"", ""tick"": 410}",s,True,True
411,23,resident index,Milo,411,resident:Milo event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d023:s15"", ""panel"": ""resident index"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00411"", ""tick"": 411}",e,True,True
412,23,schedule diff,Sera,412,resident:Sera event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d023:s16"", ""panel"": ""schedule diff"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00412"", ""tick"": 412}",r,True,True
413,23,invariant,Tovan,413,resident:Tovan event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d023:s17"", ""panel"": ""invariant"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d023:t00413"", ""tick"": 413}",d,True,True
414,24,causality,Nia,414,resident:Nia event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d024:s00"", ""panel"": ""causality"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00414"", ""tick"": 414}",r,True,True
415,24,scrubber,Ari,415,resident:Ari event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d024:s01"", ""panel"": ""scrubber"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00415"", ""tick"": 415}",d,True,True
416,24,memory debt,Fay,416,resident:Fay event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d024:s02"", ""panel"": ""memory debt"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00416"", ""tick"": 416}",x,True,True
417,24,snapshot,Milo,417,resident:Milo event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d024:s03"", ""panel"": ""snapshot"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00417"", ""tick"": 417}",j/k,True,True
418,24,causality,Sera,418,resident:Sera event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d024:s04"", ""panel"": ""causality"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00418"", ""tick"": 418}",m,True,True
419,24,scrubber,Tovan,419,resident:Tovan event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d024:s05"", ""panel"": ""scrubber"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00419"", ""tick"": 419}",s,True,True
420,24,memory debt,Nia,420,resident:Nia event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d024:s06"", ""panel"": ""memory debt"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00420"", ""tick"": 420}",e,True,True
421,24,snapshot,Ari,421,resident:Ari event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d024:s07"", ""panel"": ""snapshot"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00421"", ""tick"": 421}",r,True,True
422,24,causality,Fay,422,resident:Fay event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d024:s08"", ""panel"": ""causality"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00422"", ""tick"": 422}",d,True,True
423,24,scrubber,Milo,423,resident:Milo event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d024:s09"", ""panel"": ""scrubber"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00423"", ""tick"": 423}",x,True,True
424,24,memory debt,Sera,424,resident:Sera event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d024:s10"", ""panel"": ""memory debt"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00424"", ""tick"": 424}",j/k,True,True
425,24,snapshot,Tovan,425,resident:Tovan event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d024:s11"", ""panel"": ""snapshot"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00425"", ""tick"": 425}",m,True,True
426,24,causality,Nia,426,resident:Nia event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d024:s12"", ""panel"": ""causality"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00426"", ""tick"": 426}",s,True,True
427,24,scrubber,Ari,427,resident:Ari event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d024:s13"", ""panel"": ""scrubber"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00427"", ""tick"": 427}",e,True,True
428,24,memory debt,Fay,428,resident:Fay event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d024:s14"", ""panel"": ""memory debt"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00428"", ""tick"": 428}",r,True,True
429,24,snapshot,Milo,429,resident:Milo event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d024:s15"", ""panel"": ""snapshot"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00429"", ""tick"": 429}",d,True,True
430,24,causality,Sera,430,resident:Sera event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d024:s16"", ""panel"": ""causality"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d024:t00430"", ""tick"": 430}",x,True,True
