tick_id,day,settlement_id,resident_id,schedule_phase,scheduled_room,actual_room,task,schedule_visible,interruption_possible,routine_saved
360,31,orchard,Mara,morning work,seed lane,seed lane,repair object,True,False,True
361,31,repair_ring,Juno,morning work,wire bench,wire bench,repair object,True,False,True
362,31,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,True,True
363,31,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,False,True
364,31,archive,Toma,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
365,31,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
366,31,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,False,True
367,31,repair_ring,Juno,evening repair,bell alcove,bell alcove,inspect hazard,True,True,True
368,31,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
369,31,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,False,True
370,31,archive,Toma,night memory,arrival court,arrival court,recall memory,True,True,True
371,31,signal,Milo,night memory,arrival court,arrival court,recall memory,True,True,True
372,32,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
373,32,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
374,32,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
375,32,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
376,32,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
377,32,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
378,32,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
379,32,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,True,True
380,32,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
381,32,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
382,32,archive,Nia,night memory,arrival court,arrival court,recall memory,True,True,True
383,32,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
384,33,orchard,Mara,morning work,seed lane,seed lane,repair object,True,False,True
385,33,repair_ring,Juno,morning work,wire bench,wire bench,repair object,True,False,True
386,33,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,False,True
387,33,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,False,True
388,33,archive,Toma,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
389,33,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
390,33,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,True,True
391,33,repair_ring,Juno,evening repair,bell alcove,bell alcove,inspect hazard,True,True,True
392,33,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
393,33,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,True,True
394,33,archive,Toma,night memory,arrival court,arrival court,recall memory,True,True,True
395,33,signal,Milo,night memory,arrival court,arrival court,recall memory,True,False,True
396,34,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
397,34,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
398,34,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
399,34,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
400,34,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
401,34,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
402,34,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,True,True
403,34,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
404,34,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
405,34,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,True,True
406,34,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
407,34,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
408,35,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
409,35,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
410,35,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
411,35,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
412,35,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
413,35,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,True,True
414,35,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
415,35,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
416,35,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,True,True
417,35,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
418,35,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
419,35,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
420,36,repair_ring,Juno,morning work,wire bench,wire bench,repair object,True,False,True
421,36,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,False,True
422,36,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
423,36,archive,Toma,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
424,36,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,True,True
425,36,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,True,True
426,36,repair_ring,Juno,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
427,36,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,True,True
428,36,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,True,True
429,36,archive,Toma,night memory,arrival court,arrival court,recall memory,True,False,True
430,36,signal,Milo,night memory,arrival court,arrival court,recall memory,True,False,True
431,36,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
432,37,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
433,37,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
434,37,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
435,37,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
436,37,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,True,True
437,37,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
438,37,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
439,37,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,True,True
440,37,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
441,37,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
442,37,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
443,37,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
444,38,repair_ring,Juno,morning work,wire bench,wire bench,repair object,True,True,True
445,38,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,False,True
446,38,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
447,38,archive,Toma,midday exchange,stone stacks,stone stacks,teach dialect,True,True,True
448,38,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,True,True
449,38,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
450,38,repair_ring,Juno,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
451,38,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,True,True
452,38,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
453,38,archive,Toma,night memory,arrival court,arrival court,recall memory,True,False,True
454,38,signal,Milo,night memory,arrival court,arrival court,recall memory,True,False,True
455,38,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
456,39,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,True,True
457,39,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
458,39,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
459,39,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,True,True
460,39,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
461,39,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
462,39,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
463,39,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
464,39,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
465,39,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
466,39,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
467,39,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
468,40,repair_ring,Juno,morning work,wire bench,wire bench,repair object,True,True,True
469,40,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,False,True
470,40,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,True,True
471,40,archive,Toma,midday exchange,stone stacks,stone stacks,teach dialect,True,True,True
472,40,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
473,40,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
474,40,repair_ring,Juno,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
475,40,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
476,40,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
477,40,archive,Toma,night memory,arrival court,arrival court,recall memory,True,False,True
478,40,signal,Milo,night memory,arrival court,arrival court,recall memory,True,False,True
479,40,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,True,True
480,41,repair_ring,Pax,morning work,wire bench,wire bench,repair object,True,False,True
481,41,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
482,41,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,True,True
483,41,archive,Nia,midday exchange,stone stacks,stone stacks,teach dialect,True,False,True
484,41,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
485,41,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
486,41,repair_ring,Pax,evening repair,bell alcove,bell alcove,inspect hazard,True,False,True
487,41,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
488,41,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
489,41,archive,Nia,night memory,arrival court,arrival court,recall memory,True,False,True
490,41,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
491,41,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,True,True
492,42,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
493,42,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,True,True
494,42,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
495,42,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
496,42,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
497,42,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
498,42,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
499,42,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
500,42,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
501,42,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
502,42,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,True,True
503,42,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
504,43,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,True,True
505,43,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,True,True
506,43,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
507,43,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
508,43,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
509,43,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
510,43,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
511,43,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
512,43,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
513,43,signal,Milo,night memory,arrival court,arrival court,recall memory,True,True,True
514,43,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,True,True
515,43,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
516,44,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,True,True
517,44,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
518,44,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
519,44,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
520,44,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
521,44,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
522,44,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
523,44,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
524,44,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
525,44,signal,Ren,night memory,arrival court,arrival court,recall memory,True,True,True
526,44,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
527,44,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
528,45,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,True,True
529,45,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
530,45,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
531,45,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
532,45,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
533,45,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,True,True
534,45,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
535,45,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
536,45,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,True,True
537,45,signal,Milo,night memory,arrival court,arrival court,recall memory,True,True,True
538,45,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
539,45,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
540,46,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
541,46,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
542,46,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
543,46,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
544,46,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
545,46,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,True,True
546,46,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
547,46,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
548,46,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,True,True
549,46,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
550,46,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
551,46,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
552,47,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,False,True
553,47,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
554,47,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
555,47,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
556,47,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,True,True
557,47,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,True,True
558,47,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
559,47,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,True,True
560,47,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,True,True
561,47,signal,Milo,night memory,arrival court,arrival court,recall memory,True,False,True
562,47,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
563,47,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
564,48,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
565,48,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
566,48,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
567,48,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
568,48,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,True,True
569,48,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
570,48,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
571,48,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,True,True
572,48,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
573,48,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
574,48,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
575,48,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
576,49,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
577,49,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
578,49,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
579,49,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,True,True
580,49,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
581,49,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
582,49,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,True,True
583,49,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
584,49,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
585,49,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
586,49,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
587,49,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
588,50,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
589,50,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
590,50,signal,Milo,morning work,mast base,mast base,repair object,True,True,True
591,50,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,True,True
592,50,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
593,50,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,True,True
594,50,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,True,True
595,50,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
596,50,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,False,True
597,50,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
598,50,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
599,50,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,False,True
600,51,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
601,51,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
602,51,signal,Ren,morning work,mast base,mast base,repair object,True,True,True
603,51,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
604,51,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
605,51,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,True,True
606,51,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
607,51,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
608,51,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
609,51,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
610,51,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
611,51,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
612,52,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
613,52,archive,Toma,morning work,spool room,spool room,repair object,True,True,True
614,52,signal,Milo,morning work,mast base,mast base,repair object,True,True,True
615,52,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
616,52,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
617,52,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,True,True
618,52,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
619,52,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
620,52,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,False,True
621,52,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
622,52,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,True,True
623,52,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,False,True
624,53,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
625,53,archive,Nia,morning work,spool room,spool room,repair object,True,True,True
626,53,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
627,53,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
628,53,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
629,53,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
630,53,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
631,53,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
632,53,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
633,53,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
634,53,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,True,True
635,53,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
636,54,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,True,True
637,54,archive,Toma,morning work,spool room,spool room,repair object,True,True,True
638,54,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
639,54,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
640,54,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
641,54,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
642,54,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
643,54,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
644,54,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,False,True
645,54,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,True,True
646,54,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,True,True
647,54,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,False,True
648,55,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,True,True
649,55,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
650,55,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
651,55,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
652,55,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
653,55,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
654,55,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
655,55,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
656,55,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
657,55,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,True,True
658,55,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
659,55,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
660,56,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
661,56,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
662,56,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
663,56,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
664,56,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
665,56,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
666,56,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
667,56,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
668,56,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,True,True
669,56,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
670,56,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,False,True
671,56,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,True,True
672,57,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
673,57,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
674,57,orchard,Mara,morning work,seed lane,seed lane,repair object,True,False,True
675,57,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
676,57,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
677,57,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,False,True
678,57,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
679,57,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,True,True
680,57,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,True,True
681,57,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
682,57,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,True,True
683,57,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,True,True
684,58,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
685,58,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
686,58,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
687,58,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
688,58,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
689,58,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
690,58,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
691,58,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,True,True
692,58,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
693,58,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
694,58,riverbend,Ari,night memory,arrival court,arrival court,recall memory,True,True,True
695,58,roofward,Sera,night memory,arrival court,arrival court,recall memory,True,False,True
696,59,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
697,59,signal,Milo,morning work,mast base,mast base,repair object,True,False,True
698,59,orchard,Mara,morning work,seed lane,seed lane,repair object,True,False,True
699,59,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,True,True
700,59,riverbend,Lio,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
701,59,roofward,Fay,midday exchange,warm lane,warm lane,teach dialect,True,False,True
702,59,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,True,True
703,59,signal,Milo,evening repair,lens room,lens room,inspect hazard,True,True,True
704,59,orchard,Mara,evening repair,market plank,market plank,inspect hazard,True,False,True
705,59,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
706,59,riverbend,Lio,night memory,arrival court,arrival court,recall memory,True,True,True
707,59,roofward,Fay,night memory,arrival court,arrival court,recall memory,True,False,True
708,60,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
709,60,signal,Ren,morning work,mast base,mast base,repair object,True,False,True
710,60,orchard,Ivo,morning work,seed lane,seed lane,repair object,True,False,True
711,60,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,True,True
712,60,riverbend,Ari,midday exchange,kit alcove,kit alcove,teach dialect,True,False,True
713,60,roofward,Sera,midday exchange,warm lane,warm lane,teach dialect,True,False,True
714,60,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,True,True
715,60,signal,Ren,evening repair,lens room,lens room,inspect hazard,True,False,True
716,60,orchard,Ivo,evening repair,market plank,market plank,inspect hazard,True,False,True
717,60,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
