event_id,source_household,target_household,token,variant,meaning,adoption_before,adoption_after,diffusion_gain,semantic_grounding,drift_pressure,diffusion_reason
231,Marketroof,Hearthnest,melo,melo-a,market exchange,1.0,1.0,0.0,0.955696,0.368884,ritual and care spread
232,Quietledger,Routehall,nari,nari-a,respect boundary,1.0,1.0,0.0,0.955038,0.36874,ritual and care spread
233,Orchardring,Marketroof,lum,lum-a,warm care,1.0,1.0,0.0,0.95576,0.368236,ritual and care spread
234,Rainloft,Quietledger,sova,sova-a,sleep safely,1.0,1.0,0.0,0.954749,0.369388,ritual and care spread
235,Hearthnest,Rainloft,lum,lum-a,warm care,1.0,1.0,0.0,0.954778,0.3691,ritual and care spread
236,Routehall,Hearthnest,tek,tek-a,repair work,1.0,1.0,0.0,0.95536,0.368884,ritual and care spread
237,Marketroof,Routehall,melo,melo-a,market exchange,1.0,1.0,0.0,0.955374,0.36874,ritual and care spread
238,Quietledger,Marketroof,nari,nari-a,respect boundary,1.0,1.0,0.0,0.955088,0.368236,ritual and care spread
239,Orchardring,Quietledger,tek,tek-a,repair work,1.0,1.0,0.0,0.954973,0.369388,ritual and care spread
240,Rainloft,Orchardring,sova,sova-a,sleep safely,0.992612,1.0,0.007388,0.954879,0.368092,ritual and care spread
241,Hearthnest,Routehall,lum,lum-a,warm care,1.0,1.0,0.0,0.955374,0.36874,ritual and care spread
242,Routehall,Marketroof,tek,tek-a,repair work,1.0,1.0,0.0,0.955424,0.368236,ritual and care spread
243,Marketroof,Quietledger,melo,melo-a,market exchange,1.0,1.0,0.0,0.954973,0.369388,ritual and care spread
244,Quietledger,Orchardring,nari,nari-a,respect boundary,1.0,1.0,0.0,0.955103,0.368092,ritual and care spread
245,Orchardring,Rainloft,melo,melo-a,market exchange,1.0,1.0,0.0,0.954778,0.3691,ritual and care spread
246,Rainloft,Hearthnest,sova,sova-a,sleep safely,1.0,1.0,0.0,0.9548,0.368884,ritual and care spread
247,Hearthnest,Routehall,ori,ori-a,shared ritual,0.950339,1.0,0.049661,0.955374,0.36874,ritual and care spread
248,Routehall,Marketroof,tek,tek-a,repair work,1.0,1.0,0.0,0.955424,0.368236,ritual and care spread
249,Marketroof,Quietledger,melo,melo-a,market exchange,1.0,1.0,0.0,0.954973,0.369388,ritual and care spread
250,Quietledger,Orchardring,nari,nari-a,respect boundary,1.0,1.0,0.0,0.955103,0.368092,ritual and care spread
251,Orchardring,Rainloft,lum,lum-a,warm care,1.0,1.0,0.0,0.954778,0.3691,ritual and care spread
252,Rainloft,Hearthnest,sova,sova-a,sleep safely,1.0,1.0,0.0,0.9548,0.368884,ritual and care spread
253,Hearthnest,Quietledger,vonn,vonn-v,pressure warning,1.0,1.0,0.0,1.0,0.247288,warning spread without forced adoption
254,Routehall,Orchardring,nari,nari-na,respect boundary,1.0,1.0,0.0,0.995249,0.245992,warning spread without forced adoption
255,Marketroof,Rainloft,melo,melo-ri,market exchange,1.0,1.0,0.0,0.953028,0.3866,ritual and care spread
256,Quietledger,Hearthnest,sova,sova-so,sleep safely,1.0,1.0,0.0,1.0,0.246784,warning spread without forced adoption
257,Orchardring,Routehall,vonn,vonn-v,pressure warning,1.0,1.0,0.0,1.0,0.24664,warning spread without forced adoption
258,Rainloft,Marketroof,nari,nari-na,respect boundary,1.0,1.0,0.0,0.994674,0.246136,warning spread without forced adoption
259,Hearthnest,Orchardring,sova,sova-so,sleep safely,1.0,1.0,0.0,1.0,0.245992,warning spread without forced adoption
260,Routehall,Rainloft,keth,keth-v,remembered help,0.507767,0.607062,0.099295,1.0,0.247,warning spread without forced adoption
261,Marketroof,Hearthnest,vonn,vonn-na,pressure warning,1.0,1.0,0.0,0.995506,0.246784,warning spread without forced adoption
262,Quietledger,Routehall,nari,nari-ri,respect boundary,1.0,1.0,0.0,0.953288,0.38624,ritual and care spread
263,Orchardring,Marketroof,vonn,vonn-so,pressure warning,1.0,1.0,0.0,1.0,0.246136,warning spread without forced adoption
264,Rainloft,Quietledger,vonn,vonn-v,pressure warning,1.0,1.0,0.0,1.0,0.247288,warning spread without forced adoption
265,Hearthnest,Rainloft,ori,ori-ri,shared ritual,0.556515,0.700528,0.144013,0.953028,0.3866,ritual and care spread
266,Routehall,Hearthnest,vonn,vonn-so,pressure warning,1.0,1.0,0.0,1.0,0.246784,warning spread without forced adoption
267,Marketroof,Routehall,keth,keth-v,remembered help,0.770506,0.857655,0.08715,1.0,0.24664,warning spread without forced adoption
268,Quietledger,Marketroof,nari,nari-na,respect boundary,1.0,1.0,0.0,0.994898,0.246136,warning spread without forced adoption
269,Orchardring,Quietledger,lum,lum-ri,warm care,1.0,1.0,0.0,0.953223,0.386888,ritual and care spread
270,Rainloft,Orchardring,sova,sova-so,sleep safely,1.0,1.0,0.0,1.0,0.245992,warning spread without forced adoption
271,Hearthnest,Routehall,vonn,vonn-na,pressure warning,1.0,1.0,0.0,0.995184,0.24664,warning spread without forced adoption
272,Routehall,Marketroof,tek,tek-ri,repair work,1.0,1.0,0.0,0.953674,0.385736,ritual and care spread
273,Marketroof,Quietledger,vonn,vonn-so,pressure warning,1.0,1.0,0.0,1.0,0.247288,warning spread without forced adoption
274,Quietledger,Orchardring,vonn,vonn-v,pressure warning,1.0,1.0,0.0,1.0,0.245992,warning spread without forced adoption
275,Orchardring,Rainloft,vonn,vonn-na,pressure warning,1.0,1.0,0.0,0.994588,0.247,warning spread without forced adoption
276,Rainloft,Hearthnest,sova,sova-ri,sleep safely,1.0,1.0,0.0,0.95305,0.386384,ritual and care spread
277,Hearthnest,Routehall,vonn,vonn-v,pressure warning,1.0,1.0,0.0,1.0,0.24664,warning spread without forced adoption
278,Routehall,Marketroof,nari,nari-na,respect boundary,1.0,1.0,0.0,0.995234,0.246136,warning spread without forced adoption
279,Marketroof,Quietledger,melo,melo-ri,market exchange,1.0,1.0,0.0,0.953223,0.386888,ritual and care spread
280,Quietledger,Orchardring,sova,sova-so,sleep safely,1.0,1.0,0.0,1.0,0.245992,warning spread without forced adoption
281,Orchardring,Rainloft,vonn,vonn-v,pressure warning,1.0,1.0,0.0,1.0,0.247,warning spread without forced adoption
282,Rainloft,Hearthnest,nari,nari-na,respect boundary,1.0,1.0,0.0,0.99461,0.246784,warning spread without forced adoption
283,Hearthnest,Marketroof,sova,sova-so,sleep safely,1.0,1.0,0.0,1.0,0.246136,warning spread without forced adoption
284,Routehall,Quietledger,keth,keth-v,remembered help,0.704933,0.7946,0.089668,1.0,0.247288,warning spread without forced adoption
285,Marketroof,Orchardring,vonn,vonn-na,pressure warning,1.0,1.0,0.0,0.995585,0.245992,warning spread without forced adoption
286,Quietledger,Rainloft,nari,nari-ri,respect boundary,1.0,1.0,0.0,0.953028,0.3866,ritual and care spread
287,Orchardring,Hearthnest,vonn,vonn-so,pressure warning,1.0,1.0,0.0,1.0,0.246784,warning spread without forced adoption
288,Rainloft,Routehall,vonn,vonn-v,pressure warning,1.0,1.0,0.0,1.0,0.24664,warning spread without forced adoption
