tick,day,scene_id,sound_rate_hz,movement_rate_hz,tactile_pressure,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_free_move,flower_phase
265,17,v22-scene-d17,1.495,1.42,0.08,0.25,18.59,0.12,0.08,0.02,1,146.15246
266,17,v22-scene-d17,1.43,1.42,0.08,0.25,18.59,0.12,0.08,0.02,1,282.555224
267,17,v22-scene-d17,1.525,1.42,0.08,0.25,18.59,0.12,0.08,0.02,1,61.677988
268,17,v22-scene-d17,1.54,1.42,0.11,0.25,18.59,0.12,0.08,0.02,1,199.440752
269,17,v22-scene-d17,1.555,1.42,0.08,0.25,18.59,0.12,0.08,0.02,1,337.203516
270,17,v22-scene-d17,1.57,1.42,0.11,0.25,18.59,0.12,0.08,0.02,1,114.96628
271,17,v22-scene-d17,1.585,1.42,0.08,0.25,18.59,0.12,0.08,0.02,1,252.729044
272,18,v22-scene-d18,1.36,1.37,0.08,0.22,18.61,0.17,0.05,0.02,1,24.961808
273,18,v22-scene-d18,1.375,1.42,0.08,0.25,18.61,0.17,0.08,0.02,1,164.174572
274,18,v22-scene-d18,1.43,1.42,0.08,0.25,18.61,0.17,0.16,0.02,1,302.617336
275,18,v22-scene-d18,1.445,1.42,0.08,0.25,18.61,0.17,0.16,0.02,1,80.3801
276,18,v22-scene-d18,1.46,1.42,0.08,0.25,18.61,0.17,0.16,0.02,1,218.142864
277,18,v22-scene-d18,1.475,1.42,0.08,0.25,18.61,0.17,0.16,0.02,1,355.905628
278,18,v22-scene-d18,1.45,1.42,0.08,0.25,18.61,0.17,0.08,0.02,1,132.988392
279,18,v22-scene-d18,1.465,1.44,0.13,0.25,18.61,0.17,0.08,0.02,1,282.331156
280,18,v22-scene-d18,1.48,1.46,0.18,0.25,18.61,0.17,0.08,0.02,1,71.67392
281,18,v22-scene-d18,1.495,1.46,0.18,0.25,18.61,0.17,0.08,0.02,1,209.436684
282,18,v22-scene-d18,1.51,1.46,0.18,0.25,18.61,0.17,0.08,0.02,1,347.199448
283,18,v22-scene-d18,1.445,1.44,0.13,0.25,18.61,0.17,0.08,0.02,1,112.022212
284,18,v22-scene-d18,1.54,1.44,0.13,0.25,18.61,0.17,0.08,0.02,1,251.144976
285,18,v22-scene-d18,1.595,1.44,0.13,0.25,18.61,0.17,0.16,0.02,1,29.58774
286,18,v22-scene-d18,1.57,1.44,0.16,0.25,18.61,0.17,0.08,0.02,1,166.670504
287,18,v22-scene-d18,1.585,1.44,0.13,0.25,18.61,0.17,0.08,0.02,1,304.433268
288,19,v22-scene-d19,1.36,1.42,0.08,0.25,18.63,0.12,0.08,0.02,1,66.536032
289,19,v22-scene-d19,1.375,1.42,0.11,0.25,18.63,0.12,0.08,0.02,1,204.298796
290,19,v22-scene-d19,1.39,1.42,0.08,0.25,18.63,0.12,0.08,0.02,1,342.06156
291,19,v22-scene-d19,1.405,1.42,0.08,0.25,18.63,0.12,0.08,0.02,1,119.824324
292,19,v22-scene-d19,1.46,1.42,0.08,0.25,18.63,0.12,0.16,0.02,1,258.267088
293,19,v22-scene-d19,1.475,1.42,0.08,0.25,18.63,0.12,0.16,0.02,1,36.029852
294,19,v22-scene-d19,1.45,1.42,0.08,0.25,18.63,0.12,0.08,0.02,1,173.112616
295,19,v22-scene-d19,1.465,1.42,0.08,0.25,18.63,0.12,0.08,0.02,1,310.87538
296,19,v22-scene-d19,1.48,1.42,0.08,0.25,18.63,0.12,0.08,0.02,1,88.638144
297,19,v22-scene-d19,1.415,1.42,0.08,0.25,18.63,0.12,0.08,0.02,1,225.040908
298,19,v22-scene-d19,1.55,1.42,0.08,0.25,18.63,0.12,0.16,0.02,1,4.843672
299,19,v22-scene-d19,1.525,1.42,0.08,0.25,18.63,0.12,0.08,0.02,0,141.926436
300,19,v22-scene-d19,1.58,1.42,0.08,0.25,18.63,0.12,0.16,0.02,1,280.3692
301,19,v22-scene-d19,1.555,1.37,0.08,0.22,18.63,0.12,0.05,0.02,1,56.001964
302,19,v22-scene-d19,1.61,1.42,0.08,0.25,18.63,0.12,0.16,0.02,1,195.894728
303,19,v22-scene-d19,1.625,1.42,0.08,0.25,18.63,0.12,0.16,0.02,1,333.657492
304,20,v22-scene-d20,1.36,1.42,0.08,0.25,18.65,0.12,0.08,0.02,1,106.660256
305,20,v22-scene-d20,1.415,1.42,0.08,0.25,18.65,0.12,0.16,0.02,1,245.10302
306,20,v22-scene-d20,1.39,1.42,0.08,0.25,18.65,0.12,0.08,0.02,1,22.185784
307,20,v22-scene-d20,1.325,1.42,0.08,0.25,18.65,0.12,0.08,0.02,1,158.588548
308,20,v22-scene-d20,1.34,1.42,0.11,0.25,18.65,0.12,0.08,0.02,1,296.351312
309,20,v22-scene-d20,1.475,1.42,0.08,0.25,18.65,0.12,0.16,0.02,1,76.154076
310,20,v22-scene-d20,1.45,1.42,0.08,0.19,18.65,0.12,0.08,0.02,1,213.23684
311,20,v22-scene-d20,1.465,1.42,0.08,0.19,17.4,0.12,0.08,0.02,1,350.999604
312,20,v22-scene-d20,1.48,1.42,0.11,0.25,18.65,0.12,0.08,0.02,1,128.762368
313,20,v22-scene-d20,1.535,1.42,0.08,0.25,18.65,0.12,0.16,0.02,1,267.205132
314,20,v22-scene-d20,1.43,1.42,0.08,0.25,18.65,0.12,0.08,0.02,1,42.927896
315,20,v22-scene-d20,1.525,1.42,0.08,0.25,18.65,0.12,0.08,0.02,1,182.05066
316,20,v22-scene-d20,1.54,1.42,0.08,0.25,18.65,0.12,0.08,0.02,1,319.813424
317,20,v22-scene-d20,1.555,1.42,0.11,0.25,18.65,0.12,0.08,0.02,1,97.576188
318,20,v22-scene-d20,1.61,1.42,0.08,0.25,18.65,0.12,0.16,0.02,1,236.018952
319,20,v22-scene-d20,1.505,1.42,0.08,0.25,18.65,0.12,0.08,0.02,1,11.741716
320,21,v22-scene-d21,1.28,1.42,0.08,0.25,18.67,0.12,0.08,0.02,1,145.42448
321,21,v22-scene-d21,1.295,1.42,0.08,0.19,17.42,0.12,0.08,0.02,1,283.187244
322,21,v22-scene-d21,1.43,1.42,0.11,0.19,17.42,0.12,0.16,0.02,1,62.990008
323,21,v22-scene-d21,1.405,1.42,0.08,0.19,17.42,0.12,0.08,0.02,1,200.072772
324,21,v22-scene-d21,1.46,1.42,0.08,0.19,17.42,0.12,0.16,0.02,1,338.515536
325,21,v22-scene-d21,1.435,1.42,0.08,0.19,17.42,0.12,0.08,0.02,1,115.5983
326,21,v22-scene-d21,1.49,1.42,0.08,0.19,17.42,0.12,0.16,0.02,1,254.041064
327,21,v22-scene-d21,1.465,1.42,0.08,0.19,16.57,0.3,0.08,0.02,1,31.123828
328,21,v22-scene-d21,1.4,1.42,0.08,0.19,17.82,0.3,0.08,0.02,1,167.526592
329,21,v22-scene-d21,1.535,1.42,0.08,0.25,18.67,0.12,0.16,0.02,1,307.329356
330,21,v22-scene-d21,1.55,1.37,0.08,0.22,18.67,0.12,0.13,0.02,1,83.64212
331,21,v22-scene-d21,1.565,1.42,0.08,0.25,18.67,0.12,0.16,0.02,1,222.854884
332,21,v22-scene-d21,1.46,1.42,0.08,0.19,17.42,0.12,0.08,0.02,1,358.577648
333,21,v22-scene-d21,1.475,1.42,0.08,0.19,17.42,0.12,0.08,0.02,1,136.340412
334,21,v22-scene-d21,1.61,1.42,0.08,0.19,17.42,0.12,0.16,0.02,1,276.143176
335,21,v22-scene-d21,1.625,1.42,0.08,0.19,17.42,0.12,0.16,0.02,1,53.90594
336,22,v22-scene-d22,1.36,1.42,0.11,0.19,17.44,0.12,0.08,0.02,0,186.908704
337,22,v22-scene-d22,1.415,1.42,0.08,0.19,17.44,0.12,0.16,0.02,1,325.351468
338,22,v22-scene-d22,1.39,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,102.434232
339,22,v22-scene-d22,1.405,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,240.196996
340,22,v22-scene-d22,1.42,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,17.95976
341,22,v22-scene-d22,1.435,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,155.722524
342,22,v22-scene-d22,1.45,1.42,0.11,0.19,17.44,0.12,0.08,0.02,1,293.485288
343,22,v22-scene-d22,1.465,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,71.248052
344,22,v22-scene-d22,1.48,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,209.010816
345,22,v22-scene-d22,1.415,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,345.41358
346,22,v22-scene-d22,1.51,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,124.536344
347,22,v22-scene-d22,1.525,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,262.299108
348,22,v22-scene-d22,1.54,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,40.061872
349,22,v22-scene-d22,1.555,1.42,0.08,0.19,17.44,0.12,0.08,0.02,1,177.824636
350,22,v22-scene-d22,1.61,1.42,0.11,0.19,17.44,0.12,0.16,0.02,1,316.2674
351,22,v22-scene-d22,1.625,1.42,0.08,0.19,17.44,0.12,0.16,0.02,1,94.030164
352,23,v22-scene-d23,1.36,1.42,0.08,0.19,17.46,0.12,0.08,0.02,1,227.032928
353,23,v22-scene-d23,1.415,1.42,0.08,0.19,17.46,0.12,0.16,0.02,1,5.475692
354,23,v22-scene-d23,1.39,1.42,0.11,0.19,17.46,0.12,0.08,0.02,1,142.558456
355,23,v22-scene-d23,1.405,1.42,0.08,0.19,17.46,0.12,0.08,0.02,1,280.32122
356,23,v22-scene-d23,1.34,1.37,0.08,0.16,17.46,0.12,0.05,0.02,1,55.273984
357,23,v22-scene-d23,1.355,1.42,0.11,0.19,17.46,0.12,0.08,0.02,1,194.486748
358,23,v22-scene-d23,1.37,1.42,0.08,0.19,17.46,0.12,0.08,0.02,1,332.249512
359,23,v22-scene-d23,1.385,1.37,0.08,0.16,17.46,0.12,0.05,0.02,1,108.562276
360,23,v22-scene-d23,1.52,1.42,0.11,0.19,17.46,0.12,0.16,0.02,1,249.81504
361,23,v22-scene-d23,1.495,1.42,0.08,0.19,17.46,0.12,0.08,0.02,1,26.897804
362,23,v22-scene-d23,1.55,1.42,0.08,0.19,17.46,0.12,0.16,0.02,1,165.340568
363,23,v22-scene-d23,1.525,1.42,0.08,0.19,17.46,0.12,0.08,0.02,1,302.423332
364,23,v22-scene-d23,1.58,1.42,0.08,0.19,17.46,0.12,0.16,0.02,1,80.866096
365,23,v22-scene-d23,1.595,1.42,0.08,0.19,17.46,0.12,0.16,0.02,1,218.62886
366,23,v22-scene-d23,1.57,1.42,0.08,0.19,17.46,0.12,0.08,0.02,1,355.711624
367,23,v22-scene-d23,1.585,1.42,0.08,0.19,17.46,0.12,0.08,0.02,1,133.474388
368,24,v22-scene-d24,1.36,1.42,0.08,0.19,17.48,0.17,0.08,0.02,1,267.157152
369,24,v22-scene-d24,1.295,1.42,0.08,0.19,17.48,0.17,0.08,0.02,1,43.559916
370,24,v22-scene-d24,1.31,1.37,0.08,0.16,17.48,0.17,0.05,0.02,1,179.87268
371,24,v22-scene-d24,1.445,1.42,0.08,0.19,17.48,0.17,0.16,0.02,1,321.125444
372,24,v22-scene-d24,1.46,1.42,0.08,0.19,17.48,0.17,0.16,0.02,1,98.888208
373,24,v22-scene-d24,1.355,1.42,0.08,0.19,17.48,0.17,0.08,0.02,0,234.610972
374,24,v22-scene-d24,1.49,1.42,0.08,0.19,17.48,0.17,0.16,0.02,1,14.413736
375,24,v22-scene-d24,1.505,1.42,0.08,0.19,17.48,0.17,0.16,0.02,1,152.1765
376,24,v22-scene-d24,1.4,1.42,0.08,0.19,17.48,0.17,0.08,0.02,1,287.899264
377,24,v22-scene-d24,1.535,1.42,0.08,0.19,17.48,0.17,0.16,0.02,1,67.702028
378,24,v22-scene-d24,1.51,1.42,0.08,0.19,17.48,0.17,0.08,0.02,1,204.784792
379,24,v22-scene-d24,1.525,1.42,0.08,0.19,17.48,0.17,0.08,0.02,1,342.547556
380,24,v22-scene-d24,1.58,1.42,0.08,0.19,17.48,0.17,0.16,0.02,1,120.99032
381,24,v22-scene-d24,1.555,1.42,0.11,0.19,17.48,0.17,0.08,0.02,1,258.073084
382,24,v22-scene-d24,1.57,1.42,0.08,0.19,17.48,0.17,0.08,0.02,1,35.835848
383,24,v22-scene-d24,1.585,1.42,0.08,0.19,17.48,0.17,0.08,0.02,1,173.598612
