tick,day,conflict_id,agents,conflict_kind,branch_a,branch_b,conflict_pressure,local_signal,irrelevant_signal,detected,detection_confidence,public_rationale
110,14,v15-conflict-14-110,Melo|Ori,schedule,marketline:protect:14:6,orchardline:claim:14:1,0.584962,rollback request would erase another agent's accepted branch,wet-route sensor flickers without agent nearby,1,0.95,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
111,14,v15-conflict-14-111,Nari|Vonn,route,ledgerline:protect:14:7,rainline:claim:14:2,0.503032,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.9575,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
112,15,v15-watch-15-112,Ori|Sova,schedule,orchardline:protect:15:0,hearthline:claim:15:3,0.509545,care schedule overlaps with bridge repair,ritual lamp reports yesterday's consent state,0,0.785,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
113,15,v15-conflict-15-113,Vonn|Keth,recovery,rainline:protect:15:1,routeline:claim:15:4,0.515217,care schedule overlaps with bridge repair,ritual lamp reports yesterday's consent state,1,0.9725,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
114,15,v15-conflict-15-114,Sova|Melo,route,hearthline:protect:15:2,marketline:claim:15:5,0.520812,care schedule overlaps with bridge repair,wet-route sensor flickers without agent nearby,0,0.8,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
115,15,v15-conflict-15-115,Keth|Nari,schedule,routeline:protect:15:3,ledgerline:claim:15:6,0.617103,quiet recovery route crosses a noisy ritual,old warning bell repeats from yesterday,1,0.95,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
116,15,v15-conflict-15-116,Melo|Ori,route,marketline:protect:15:4,orchardline:claim:15:7,0.534818,privacy boundary conflicts with access request,wet-route sensor flickers without agent nearby,1,0.9575,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
117,15,v15-conflict-15-117,Nari|Vonn,privacy,ledgerline:protect:15:5,rainline:claim:15:0,0.544596,care schedule overlaps with bridge repair,archive checksum warns about a sealed note it cannot read,1,0.925,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
118,15,v15-conflict-15-118,Ori|Sova,trust,orchardline:protect:15:6,hearthline:claim:15:1,0.556948,privacy boundary conflicts with access request,old warning bell repeats from yesterday,1,0.9725,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
119,15,v15-watch-15-119,Vonn|Keth,schedule,rainline:protect:15:7,routeline:claim:15:2,0.572226,privacy boundary conflicts with access request,ritual lamp reports yesterday's consent state,0,0.8,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
120,16,v15-conflict-16-120,Sova|Melo,schedule,hearthline:protect:16:0,marketline:claim:16:3,0.680598,privacy boundary conflicts with access request,wet-route sensor flickers without agent nearby,1,0.95,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
121,16,v15-conflict-16-121,Keth|Nari,resource,routeline:protect:16:1,ledgerline:claim:16:4,0.414042,trust repair promise collides with market duty,old warning bell repeats from yesterday,1,0.9575,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
122,16,v15-conflict-16-122,Melo|Ori,access,marketline:protect:16:2,orchardline:claim:16:5,0.438344,quiet recovery route crosses a noisy ritual,stale market debt row is replayed,1,0.965,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
123,16,v15-conflict-16-123,Nari|Vonn,schedule,ledgerline:protect:16:3,rainline:claim:16:6,0.465111,rollback request would erase another agent's accepted branch,wet-route sensor flickers without agent nearby,1,0.9725,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
124,16,v15-conflict-16-124,Ori|Sova,route,orchardline:protect:16:4,hearthline:claim:16:7,0.493798,trust repair promise collides with market duty,ritual lamp reports yesterday's consent state,1,0.98,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
125,16,v15-conflict-16-125,Vonn|Keth,route,rainline:protect:16:5,routeline:claim:16:0,0.613742,care schedule overlaps with bridge repair,archive checksum warns about a sealed note it cannot read,1,0.95,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
126,16,v15-watch-16-126,Sova|Melo,privacy,hearthline:protect:16:6,marketline:claim:16:1,0.554199,quiet recovery route crosses a noisy ritual,old warning bell repeats from yesterday,0,0.7375,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
127,16,v15-conflict-16-127,Keth|Nari,recovery,routeline:protect:16:7,ledgerline:claim:16:2,0.584395,quiet recovery route crosses a noisy ritual,stale market debt row is replayed,1,0.965,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
128,17,v15-conflict-17-128,Melo|Ori,privacy,marketline:protect:17:0,orchardline:claim:17:3,0.613571,trust repair promise collides with market duty,archive checksum warns about a sealed note it cannot read,1,0.9325,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
129,17,v15-conflict-17-129,Nari|Vonn,recovery,ledgerline:protect:17:1,rainline:claim:17:4,0.641034,two agents selected the same object slot,ritual lamp reports yesterday's consent state,1,0.98,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
130,17,v15-conflict-17-130,Ori|Sova,access,orchardline:protect:17:2,hearthline:claim:17:5,0.756194,quiet recovery route crosses a noisy ritual,ritual lamp reports yesterday's consent state,1,0.95,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
131,17,v15-conflict-17-131,Vonn|Keth,trust,rainline:protect:17:3,routeline:claim:17:6,0.688606,two agents selected the same object slot,old warning bell repeats from yesterday,1,0.9575,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
132,17,v15-conflict-17-132,Sova|Melo,resource,hearthline:protect:17:4,marketline:claim:17:7,0.509996,trust repair promise collides with market duty,archive checksum warns about a sealed note it cannot read,1,0.965,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
133,17,v15-watch-17-133,Keth|Nari,resource,routeline:protect:17:5,ledgerline:claim:17:0,0.526277,trust repair promise collides with market duty,wet-route sensor flickers without agent nearby,0,0.7925,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
134,17,v15-conflict-17-134,Melo|Ori,privacy,marketline:protect:17:6,orchardline:claim:17:1,0.539557,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,1,0.94,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
135,17,v15-conflict-17-135,Nari|Vonn,schedule,ledgerline:protect:17:7,rainline:claim:17:2,0.640129,privacy boundary conflicts with access request,old warning bell repeats from yesterday,1,0.95,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
136,18,v15-conflict-18-136,Ori|Sova,route,orchardline:protect:18:0,hearthline:claim:18:3,0.558454,trust repair promise collides with market duty,ritual lamp reports yesterday's consent state,1,0.9575,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
137,18,v15-conflict-18-137,Vonn|Keth,schedule,rainline:protect:18:1,routeline:claim:18:4,0.565135,care schedule overlaps with bridge repair,ritual lamp reports yesterday's consent state,1,0.965,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
138,18,v15-conflict-18-138,Sova|Melo,access,hearthline:protect:18:2,marketline:claim:18:5,0.570874,quiet recovery route crosses a noisy ritual,ritual lamp reports yesterday's consent state,1,0.9725,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
139,18,v15-conflict-18-139,Keth|Nari,resource,routeline:protect:18:3,ledgerline:claim:18:6,0.576435,two agents selected the same object slot,stale market debt row is replayed,1,0.98,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
140,18,v15-watch-18-140,Melo|Ori,trust,marketline:protect:18:4,orchardline:claim:18:7,0.672591,trust repair promise collides with market duty,old warning bell repeats from yesterday,0,0.77,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
141,18,v15-conflict-18-141,Nari|Vonn,trust,ledgerline:protect:18:5,rainline:claim:18:0,0.590078,privacy boundary conflicts with access request,ritual lamp reports yesterday's consent state,1,0.9575,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
142,18,v15-conflict-18-142,Ori|Sova,privacy,orchardline:protect:18:6,hearthline:claim:18:1,0.599549,two agents selected the same object slot,wet-route sensor flickers without agent nearby,1,0.925,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
143,18,v15-conflict-18-143,Vonn|Keth,schedule,rainline:protect:18:7,routeline:claim:18:2,0.413536,privacy boundary conflicts with access request,archive checksum warns about a sealed note it cannot read,1,0.9725,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
144,19,v15-conflict-19-144,Sova|Melo,schedule,hearthline:protect:19:0,marketline:claim:19:3,0.428411,privacy boundary conflicts with access request,wet-route sensor flickers without agent nearby,1,0.98,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
145,19,v15-conflict-19-145,Keth|Nari,schedule,routeline:protect:19:1,ledgerline:claim:19:4,0.53637,rollback request would erase another agent's accepted branch,stale market debt row is replayed,1,0.95,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
146,19,v15-conflict-19-146,Melo|Ori,schedule,marketline:protect:19:2,orchardline:claim:19:5,0.467414,trust repair promise collides with market duty,old warning bell repeats from yesterday,1,0.9575,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
147,19,v15-watch-19-147,Nari|Vonn,resource,ledgerline:protect:19:3,rainline:claim:19:6,0.491355,two agents selected the same object slot,wet-route sensor flickers without agent nearby,0,0.785,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
148,19,v15-conflict-19-148,Ori|Sova,access,orchardline:protect:19:4,hearthline:claim:19:7,0.517823,trust repair promise collides with market duty,ritual lamp reports yesterday's consent state,1,0.9725,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
149,19,v15-conflict-19-149,Vonn|Keth,privacy,rainline:protect:19:5,routeline:claim:19:0,0.546292,care schedule overlaps with bridge repair,archive checksum warns about a sealed note it cannot read,1,0.94,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
150,19,v15-conflict-19-150,Sova|Melo,route,hearthline:protect:19:6,marketline:claim:19:1,0.66611,privacy boundary conflicts with access request,wet-route sensor flickers without agent nearby,1,0.95,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
151,19,v15-conflict-19-151,Keth|Nari,trust,routeline:protect:19:7,ledgerline:claim:19:2,0.606543,privacy boundary conflicts with access request,stale market debt row is replayed,1,0.9575,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
152,20,v15-conflict-20-152,Melo|Ori,route,marketline:protect:20:0,orchardline:claim:20:3,0.636818,two agents selected the same object slot,archive checksum warns about a sealed note it cannot read,0,0.785,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
153,20,v15-conflict-20-153,Nari|Vonn,resource,ledgerline:protect:20:1,rainline:claim:20:4,0.666172,quiet recovery route crosses a noisy ritual,stale market debt row is replayed,1,0.9725,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
154,20,v15-watch-20-154,Ori|Sova,route,orchardline:protect:20:2,hearthline:claim:20:5,0.495899,trust repair promise collides with market duty,archive checksum warns about a sealed note it cannot read,0,0.8,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
155,20,v15-conflict-20-155,Vonn|Keth,route,rainline:protect:20:3,routeline:claim:20:6,0.611393,privacy boundary conflicts with access request,archive checksum warns about a sealed note it cannot read,1,0.95,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
156,20,v15-conflict-20-156,Sova|Melo,route,hearthline:protect:20:4,marketline:claim:20:7,0.54419,quiet recovery route crosses a noisy ritual,ritual lamp reports yesterday's consent state,1,0.9575,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
157,20,v15-conflict-20-157,Keth|Nari,access,routeline:protect:20:5,ledgerline:claim:20:0,0.56399,quiet recovery route crosses a noisy ritual,wet-route sensor flickers without agent nearby,1,0.965,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
158,20,v15-conflict-20-158,Melo|Ori,trust,marketline:protect:20:6,orchardline:claim:20:1,0.580682,quiet recovery route crosses a noisy ritual,archive checksum warns about a sealed note it cannot read,1,0.9725,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
159,20,v15-conflict-20-159,Nari|Vonn,trust,ledgerline:protect:20:7,rainline:claim:20:2,0.594348,two agents selected the same object slot,archive checksum warns about a sealed note it cannot read,1,0.98,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
160,21,v15-conflict-21-160,Ori|Sova,trust,orchardline:protect:21:0,hearthline:claim:21:3,0.695256,care schedule overlaps with bridge repair,ritual lamp reports yesterday's consent state,1,0.95,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
161,21,v15-watch-21-161,Vonn|Keth,schedule,rainline:protect:21:1,routeline:claim:21:4,0.613847,two agents selected the same object slot,wet-route sensor flickers without agent nearby,0,0.7775,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
162,21,v15-conflict-21-162,Sova|Melo,resource,hearthline:protect:21:2,marketline:claim:21:5,0.620708,trust repair promise collides with market duty,stale market debt row is replayed,1,0.965,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
163,21,v15-conflict-21-163,Keth|Nari,schedule,routeline:protect:21:3,ledgerline:claim:21:6,0.626529,two agents selected the same object slot,old warning bell repeats from yesterday,1,0.9725,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
164,21,v15-conflict-21-164,Melo|Ori,trust,marketline:protect:21:4,orchardline:claim:21:7,0.632069,trust repair promise collides with market duty,wet-route sensor flickers without agent nearby,1,0.98,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
165,21,v15-conflict-21-165,Nari|Vonn,recovery,ledgerline:protect:21:5,rainline:claim:21:0,0.530102,two agents selected the same object slot,old warning bell repeats from yesterday,1,0.95,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
166,21,v15-conflict-21-166,Ori|Sova,resource,orchardline:protect:21:6,hearthline:claim:21:1,0.447372,two agents selected the same object slot,ritual lamp reports yesterday's consent state,1,0.9575,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
167,21,v15-conflict-21-167,Vonn|Keth,privacy,rainline:protect:21:7,routeline:claim:21:2,0.456546,two agents selected the same object slot,stale market debt row is replayed,1,0.925,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
