tick,day,ceremony_id,scene_id,agent,object_name,object_x,object_y,handoff_target_x,handoff_target_y,object_path_clear,contact_respected,ceremony_step_completed,collision_aware_score
208,15,v20-ceremony-d15-t12,v20-scene-d15,Keth,path cord,6.542493,3.859275,7.019088,4.255816,1,1,1,1.0
209,15,v20-ceremony-d15-t13,v20-scene-d15,Melo,tally beads,6.461434,3.995903,6.784195,4.399648,0,0,0,0.0
210,16,v20-ceremony-d16-t00,v20-scene-d16,Ori,sap hook,6.221951,4.129385,6.38074,4.540782,1,1,1,1.0
211,16,v20-ceremony-d16-t01,v20-scene-d16,Vonn,listening shell,6.002965,4.159995,5.977053,4.520805,1,1,0,1.0
212,16,v20-ceremony-d16-t02,v20-scene-d16,Sova,ember bowl,5.783487,4.130932,5.906669,4.510417,1,1,1,1.0
213,16,v20-ceremony-d16-t03,v20-scene-d16,Keth,path cord,5.599898,4.047015,5.632186,4.297271,1,1,1,1.0
214,16,v20-ceremony-d16-t04,v20-scene-d16,Melo,tally beads,5.48263,3.922153,5.455678,4.134366,1,1,1,1.0
215,16,v20-ceremony-d16-t05,v20-scene-d16,Nari,ink ledger,5.451119,3.777043,5.631386,3.859026,1,1,1,1.0
216,16,v20-ceremony-d16-t06,v20-scene-d16,Ori,sap hook,5.510591,3.635738,5.536471,3.756246,1,1,1,1.0
217,16,v20-ceremony-d16-t07,v20-scene-d16,Vonn,listening shell,5.651186,3.521661,6.055629,3.560858,0,0,0,0.25
218,16,v20-ceremony-d16-t08,v20-scene-d16,Sova,ember bowl,5.8496,3.453721,6.058052,3.554254,1,1,0,1.0
219,16,v20-ceremony-d16-t09,v20-scene-d16,Keth,path cord,6.072944,3.44318,6.599633,3.576954,1,1,1,1.0
220,16,v20-ceremony-d16-t10,v20-scene-d16,Melo,tally beads,6.284197,3.491785,6.732779,3.667596,1,1,1,1.0
221,16,v20-ceremony-d16-t11,v20-scene-d16,Nari,ink ledger,6.448342,3.591478,7.090892,3.900367,1,1,1,1.0
222,16,v20-ceremony-d16-t12,v20-scene-d16,Ori,sap hook,6.53817,3.725736,6.94322,4.015459,1,1,1,1.0
223,16,v20-ceremony-d16-t13,v20-scene-d16,Vonn,listening shell,6.538793,3.872304,6.913662,4.338902,1,1,1,1.0
224,17,v20-ceremony-d17-t00,v20-scene-d17,Keth,path cord,6.390143,4.053748,6.707508,4.487804,1,1,1,1.0
225,17,v20-ceremony-d17-t01,v20-scene-d17,Melo,tally beads,6.203279,4.134509,6.372887,4.549977,1,0,0,0.75
226,17,v20-ceremony-d17-t02,v20-scene-d17,Nari,ink ledger,5.98272,4.159822,6.083217,4.52883,1,1,1,1.0
227,17,v20-ceremony-d17-t03,v20-scene-d17,Ori,sap hook,5.765025,4.125492,5.744359,4.476197,1,1,1,1.0
228,17,v20-ceremony-d17-t04,v20-scene-d17,Vonn,listening shell,5.586279,4.037209,5.539189,4.210125,1,1,1,1.0
229,17,v20-ceremony-d17-t05,v20-scene-d17,Sova,ember bowl,5.476111,3.909606,5.492948,4.185725,1,1,1,1.0
230,17,v20-ceremony-d17-t06,v20-scene-d17,Keth,path cord,5.452782,3.763835,5.582153,3.874821,1,1,1,1.0
231,17,v20-ceremony-d17-t07,v20-scene-d17,Melo,tally beads,5.520159,3.624059,5.622594,3.725119,1,1,1,1.0
232,17,v20-ceremony-d17-t08,v20-scene-d17,Nari,ink ledger,5.667074,3.513447,6.098743,3.567546,1,1,0,1.0
233,17,v20-ceremony-d17-t09,v20-scene-d17,Ori,sap hook,5.869173,3.450333,6.092499,3.542556,1,1,1,1.0
234,17,v20-ceremony-d17-t10,v20-scene-d17,Vonn,listening shell,6.092959,3.445179,6.693105,3.620584,1,1,0,0.75
235,17,v20-ceremony-d17-t11,v20-scene-d17,Sova,ember bowl,6.301336,3.49884,6.690196,3.634872,1,1,1,1.0
236,17,v20-ceremony-d17-t12,v20-scene-d17,Keth,path cord,6.459763,3.602421,7.04294,3.884272,1,1,1,1.0
237,17,v20-ceremony-d17-t13,v20-scene-d17,Melo,tally beads,6.541982,3.738752,6.994969,4.054608,1,1,1,1.0
238,18,v20-ceremony-d18-t00,v20-scene-d18,Ori,sap hook,6.504628,3.943181,6.831097,4.316151,1,1,1,1.0
239,18,v20-ceremony-d18-t01,v20-scene-d18,Vonn,listening shell,6.37561,4.062975,6.542027,4.528771,1,1,0,1.0
240,18,v20-ceremony-d18-t02,v20-scene-d18,Sova,ember bowl,6.184331,4.13918,6.470332,4.536955,1,1,1,1.0
241,18,v20-ceremony-d18-t03,v20-scene-d18,Keth,path cord,5.962498,4.159162,6.067507,4.534392,1,1,1,1.0
242,18,v20-ceremony-d18-t04,v20-scene-d18,Melo,tally beads,5.746881,4.11961,5.745914,4.453446,1,1,1,1.0
243,18,v20-ceremony-d18-t05,v20-scene-d18,Nari,ink ledger,5.573221,4.027081,5.625381,4.23088,1,1,1,1.0
244,18,v20-ceremony-d18-t06,v20-scene-d18,Ori,sap hook,5.470303,3.89691,5.401799,4.117406,1,1,1,1.0
245,18,v20-ceremony-d18-t07,v20-scene-d18,Vonn,listening shell,5.455187,3.750676,5.609259,3.788911,1,1,1,1.0
246,18,v20-ceremony-d18-t08,v20-scene-d18,Sova,ember bowl,5.530378,3.612618,5.59492,3.76734,1,1,0,1.0
247,18,v20-ceremony-d18-t09,v20-scene-d18,Keth,path cord,5.683413,3.50562,6.034556,3.573298,1,1,1,1.0
248,18,v20-ceremony-d18-t10,v20-scene-d18,Melo,tally beads,5.888925,3.447418,6.201903,3.540139,0,0,0,0.25
249,18,v20-ceremony-d18-t11,v20-scene-d18,Nari,ink ledger,6.112848,3.447659,6.739543,3.609106,1,1,1,1.0
250,18,v20-ceremony-d18-t12,v20-scene-d18,Ori,sap hook,6.318066,3.506304,6.702027,3.679157,1,1,1,1.0
251,18,v20-ceremony-d18-t13,v20-scene-d18,Vonn,listening shell,6.470562,3.613631,7.041962,3.976738,1,1,1,1.0
252,19,v20-ceremony-d19-t00,v20-scene-d19,Keth,path cord,6.549647,3.812903,7.053552,4.193806,1,1,1,1.0
253,19,v20-ceremony-d19-t01,v20-scene-d19,Melo,tally beads,6.496235,3.955241,6.848111,4.348751,1,1,0,1.0
254,19,v20-ceremony-d19-t02,v20-scene-d19,Nari,ink ledger,6.360567,4.071846,6.648188,4.520739,1,1,1,1.0
255,19,v20-ceremony-d19-t03,v20-scene-d19,Ori,sap hook,6.165133,4.143391,6.297254,4.553078,1,1,1,1.0
256,19,v20-ceremony-d19-t04,v20-scene-d19,Vonn,listening shell,5.942327,4.158015,5.900013,4.496326,1,1,1,1.0
257,19,v20-ceremony-d19-t05,v20-scene-d19,Sova,ember bowl,5.72908,4.113296,5.831583,4.483435,1,1,1,1.0
258,19,v20-ceremony-d19-t06,v20-scene-d19,Keth,path cord,5.560741,4.016645,5.5949,4.246602,1,1,1,1.0
259,19,v20-ceremony-d19-t07,v20-scene-d19,Melo,tally beads,5.465212,3.884084,5.446204,4.078414,1,1,1,1.0
260,19,v20-ceremony-d19-t08,v20-scene-d19,Nari,ink ledger,5.458329,3.737584,5.667751,3.808067,1,1,0,1.0
261,19,v20-ceremony-d19-t09,v20-scene-d19,Ori,sap hook,5.541233,3.601431,5.589531,3.712085,1,1,1,1.0
262,19,v20-ceremony-d19-t10,v20-scene-d19,Vonn,listening shell,5.700181,3.498192,6.138891,3.547926,1,0,0,0.5
263,19,v20-ceremony-d19-t11,v20-scene-d19,Sova,ember bowl,5.908826,3.444981,6.142194,3.544078,1,1,0,0.75
264,19,v20-ceremony-d19-t12,v20-scene-d19,Keth,path cord,6.132585,3.450617,6.6771,3.600843,1,1,1,1.0
265,19,v20-ceremony-d19-t13,v20-scene-d19,Melo,tally beads,6.334366,3.514166,6.793704,3.707118,1,1,1,1.0
266,20,v20-ceremony-d20-t00,v20-scene-d20,Ori,sap hook,6.519002,3.680849,6.929959,3.950011,0,0,0,0.0
267,20,v20-ceremony-d20-t01,v20-scene-d20,Vonn,listening shell,6.548549,3.826136,6.965028,4.282182,1,1,0,1.0
268,20,v20-ceremony-d20-t02,v20-scene-d20,Sova,ember bowl,6.487169,3.967091,6.911531,4.304587,1,1,1,1.0
269,20,v20-ceremony-d20-t03,v20-scene-d20,Keth,path cord,6.345037,4.080349,6.631759,4.513969,1,1,1,1.0
270,20,v20-ceremony-d20-t04,v20-scene-d20,Melo,tally beads,6.145712,4.147136,6.288214,4.55802,1,1,1,1.0
271,20,v20-ceremony-d20-t05,v20-scene-d20,Nari,ink ledger,5.922234,4.156383,6.004644,4.506563,1,1,1,1.0
272,20,v20-ceremony-d20-t06,v20-scene-d20,Ori,sap hook,5.711647,4.106557,5.675568,4.442728,1,1,1,1.0
273,20,v20-ceremony-d20-t07,v20-scene-d20,Vonn,listening shell,5.548856,4.005916,5.516853,4.15578,1,1,1,1.0
274,20,v20-ceremony-d20-t08,v20-scene-d20,Sova,ember bowl,5.460847,3.871143,5.474767,4.130712,1,1,0,1.0
275,20,v20-ceremony-d20-t09,v20-scene-d20,Keth,path cord,5.462206,3.724577,5.615928,3.823097,1,1,1,1.0
276,20,v20-ceremony-d20-t10,v20-scene-d20,Melo,tally beads,5.55271,3.590513,5.680649,3.683768,1,1,1,1.0
277,20,v20-ceremony-d20-t11,v20-scene-d20,Nari,ink ledger,5.717355,3.491174,6.181081,3.552262,1,1,1,1.0
278,20,v20-ceremony-d20-t12,v20-scene-d20,Ori,sap hook,5.928851,3.443025,6.177963,3.540027,1,1,1,1.0
279,20,v20-ceremony-d20-t13,v20-scene-d20,Vonn,listening shell,6.152141,3.454047,6.762481,3.653526,0,0,0,0.25
280,21,v20-ceremony-d21-t00,v20-scene-d21,Keth,path cord,6.416912,3.565198,7.004262,3.823348,1,1,1,1.0
281,21,v20-ceremony-d21-t01,v20-scene-d21,Melo,tally beads,6.52535,3.693434,6.989379,3.988683,1,1,0,1.0
282,21,v20-ceremony-d21-t02,v20-scene-d21,Nari,ink ledger,6.546707,3.839334,7.054616,4.262363,1,1,1,1.0
283,21,v20-ceremony-d21-t03,v20-scene-d21,Ori,sap hook,6.477443,3.978714,6.782491,4.36248,1,1,1,1.0
284,21,v20-ceremony-d21-t04,v20-scene-d21,Vonn,listening shell,6.329038,4.088471,6.460211,4.545222,1,1,1,1.0
285,21,v20-ceremony-d21-t05,v20-scene-d21,Sova,ember bowl,6.126093,4.150411,6.387368,4.550695,1,1,1,1.0
286,21,v20-ceremony-d21-t06,v20-scene-d21,Keth,path cord,5.902247,4.154268,5.987853,4.513852,1,1,1,1.0
287,21,v20-ceremony-d21-t07,v20-scene-d21,Melo,tally beads,5.694604,4.099402,5.681228,4.416602,1,1,1,1.0
288,21,v20-ceremony-d21-t08,v20-scene-d21,Nari,ink ledger,5.537583,3.994908,5.5995,4.17722,1,1,0,1.0
289,21,v20-ceremony-d21-t09,v20-scene-d21,Ori,sap hook,5.457211,3.858106,5.395189,4.061277,1,1,1,1.0
290,21,v20-ceremony-d21-t10,v20-scene-d21,Vonn,listening shell,5.466812,3.711672,5.657045,3.742214,1,1,1,1.0
291,21,v20-ceremony-d21-t11,v20-scene-d21,Sova,ember bowl,5.564793,3.579879,5.646193,3.722274,1,1,1,1.0
292,21,v20-ceremony-d21-t12,v20-scene-d21,Keth,path cord,5.734913,3.484574,6.116077,3.556224,1,1,0,0.75
293,21,v20-ceremony-d21-t13,v20-scene-d21,Melo,tally beads,5.948973,3.441553,6.28741,3.541933,1,1,1,1.0
294,22,v20-ceremony-d22-t00,v20-scene-d22,Ori,sap hook,6.257431,3.481869,6.624763,3.637033,1,1,1,1.0
295,22,v20-ceremony-d22-t01,v20-scene-d22,Vonn,listening shell,6.429833,3.575401,7.021151,3.912146,1,1,0,1.0
296,22,v20-ceremony-d22-t02,v20-scene-d22,Sova,ember bowl,6.530987,3.706162,6.995688,3.936859,1,1,1,1.0
297,22,v20-ceremony-d22-t03,v20-scene-d22,Keth,path cord,6.544125,3.852478,7.024936,4.246861,1,1,1,1.0
298,22,v20-ceremony-d22-t04,v20-scene-d22,Melo,tally beads,6.46707,3.990095,6.794246,4.392488,1,1,1,1.0
299,22,v20-ceremony-d22-t05,v20-scene-d22,Nari,ink ledger,6.312594,4.096203,6.567527,4.539499,1,0,0,0.5
300,22,v20-ceremony-d22-t06,v20-scene-d22,Ori,sap hook,6.106303,4.153212,6.212219,4.559242,1,1,1,1.0
301,22,v20-ceremony-d22-t07,v20-scene-d22,Vonn,listening shell,5.882392,4.151673,5.827542,4.466408,1,1,1,1.0
302,22,v20-ceremony-d22-t08,v20-scene-d22,Sova,ember bowl,5.677975,4.091842,5.761476,4.451171,1,1,0,1.0
303,22,v20-ceremony-d22-t09,v20-scene-d22,Keth,path cord,5.526936,3.983635,5.566327,4.193537,1,1,1,1.0
304,22,v20-ceremony-d22-t10,v20-scene-d22,Melo,tally beads,5.454312,3.84499,5.446159,4.022117,1,1,1,1.0
305,22,v20-ceremony-d22-t11,v20-scene-d22,Nari,ink ledger,5.47214,3.698887,5.712429,3.760057,1,1,1,1.0
306,22,v20-ceremony-d22-t12,v20-scene-d22,Ori,sap hook,5.577465,3.569544,5.649665,3.672041,1,1,1,1.0
307,22,v20-ceremony-d22-t13,v20-scene-d22,Vonn,listening shell,5.752829,3.478401,6.223814,3.541113,1,1,1,1.0
308,23,v20-ceremony-d23-t00,v20-scene-d23,Keth,path cord,6.062512,3.442333,6.585843,3.573398,1,1,1,1.0
309,23,v20-ceremony-d23-t01,v20-scene-d23,Melo,tally beads,6.275146,3.488286,6.72158,3.661217,1,1,0,1.0
310,23,v20-ceremony-d23-t02,v20-scene-d23,Nari,ink ledger,6.442172,3.585908,7.086411,3.891076,0,0,0,0.25
311,23,v20-ceremony-d23-t03,v20-scene-d23,Ori,sap hook,6.535904,3.719018,6.942076,4.005741,1,1,1,1.0
312,23,v20-ceremony-d23-t04,v20-scene-d23,Vonn,listening shell,6.540805,3.865551,6.921935,4.330817,1,1,1,1.0
313,23,v20-ceremony-d23-t05,v20-scene-d23,Sova,ember bowl,6.456064,4.001219,6.864799,4.351743,1,1,1,1.0
314,23,v20-ceremony-d23-t06,v20-scene-d23,Keth,path cord,6.295726,4.103533,6.552087,4.534479,1,1,1,1.0
315,23,v20-ceremony-d23-t07,v20-scene-d23,Melo,tally beads,6.086369,4.155533,6.20271,4.559873,1,1,1,1.0
316,23,v20-ceremony-d23-t08,v20-scene-d23,Nari,ink ledger,5.862696,4.148602,5.930277,4.478732,1,1,0,1.0
317,23,v20-ceremony-d23-t09,v20-scene-d23,Ori,sap hook,5.661782,4.083886,5.612802,4.404473,1,1,1,1.0
318,23,v20-ceremony-d23-t10,v20-scene-d23,Vonn,listening shell,5.51693,3.972114,5.503756,4.100145,1,1,1,1.0
319,23,v20-ceremony-d23-t11,v20-scene-d23,Sova,ember bowl,5.452152,3.831813,5.46591,4.074717,1,1,1,1.0
320,23,v20-ceremony-d23-t12,v20-scene-d23,Keth,path cord,5.478183,3.686238,5.658162,3.774137,1,1,1,1.0
321,23,v20-ceremony-d23-t13,v20-scene-d23,Melo,tally beads,5.590711,3.559521,5.745275,3.646879,1,1,0,0.75
322,24,v20-ceremony-d24-t00,v20-scene-d24,Ori,sap hook,5.858988,3.452033,6.077777,3.543624,1,1,1,1.0
323,24,v20-ceremony-d24-t01,v20-scene-d24,Vonn,listening shell,6.082582,3.444081,6.680558,3.615404,0,0,0,0.25
324,24,v20-ceremony-d24-t02,v20-scene-d24,Sova,ember bowl,6.292488,3.495126,6.678058,3.629286,1,1,1,1.0
325,24,v20-ceremony-d24-t03,v20-scene-d24,Keth,path cord,6.453911,3.596706,7.037993,3.875085,1,1,1,1.0
326,24,v20-ceremony-d24-t04,v20-scene-d24,Melo,tally beads,6.540094,3.731984,6.994961,4.044861,1,1,1,1.0
327,24,v20-ceremony-d24-t05,v20-scene-d24,Nari,ink ledger,6.536753,3.878536,7.014755,4.312176,1,1,1,1.0
328,24,v20-ceremony-d24-t06,v20-scene-d24,Ori,sap hook,6.44444,4.01207,6.726422,4.405001,1,1,1,1.0
329,24,v20-ceremony-d24-t07,v20-scene-d24,Vonn,listening shell,6.278458,4.110452,6.376138,4.555638,1,1,1,1.0
330,24,v20-ceremony-d24-t08,v20-scene-d24,Sova,ember bowl,6.066318,4.157373,6.302608,4.558333,1,1,0,1.0
331,24,v20-ceremony-d24-t09,v20-scene-d24,Keth,path cord,5.843186,4.145058,5.912125,4.48766,1,1,1,1.0
332,24,v20-ceremony-d24-t10,v20-scene-d24,Melo,tally beads,5.646048,4.075546,5.623109,4.37529,1,1,1,1.0
333,24,v20-ceremony-d24-t11,v20-scene-d24,Nari,ink ledger,5.507579,3.96036,5.582764,4.12201,1,1,1,1.0
334,24,v20-ceremony-d24-t12,v20-scene-d24,Ori,sap hook,5.450734,3.818593,5.398022,4.00501,1,1,1,1.0
335,24,v20-ceremony-d24-t13,v20-scene-d24,Vonn,listening shell,5.484934,3.673744,5.712362,3.699267,1,1,1,1.0
