tick,day,resident,schedule_before,schedule_after,changed_by_avatar,changed_offscreen,diff_summary,agency_flag,visible_after_return
770,43,Fay,rest,seek tool,True,False,rest -> seek tool by interrupt_work,agency preserved,True
771,43,Milo,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
772,43,Sera,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
773,43,Tovan,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
774,44,Nia,recover focus,work,True,True,recover focus -> work by offer_help,agency preserved,True
775,44,Ari,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,agency preserved,True
776,44,Fay,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
777,44,Milo,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,agency preserved,True
778,44,Sera,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
779,44,Tovan,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
780,44,Nia,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
781,44,Ari,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
782,44,Fay,work,rest,True,False,work -> rest by offer_help,agency preserved,True
783,44,Milo,rest,seek tool,True,False,rest -> seek tool by borrow_tool,agency preserved,True
784,44,Sera,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
785,44,Tovan,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
786,44,Nia,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
787,44,Ari,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
788,44,Fay,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
789,44,Milo,work,rest,False,False,work -> rest by talk,agency preserved,True
790,44,Sera,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
791,44,Tovan,negotiate debt,care duty,True,True,negotiate debt -> care duty by borrow_tool,agency preserved,True
792,45,Nia,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,resident boundary respected,True
793,45,Ari,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
794,45,Fay,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
795,45,Milo,work,rest,False,False,work -> rest by move,agency preserved,True
796,45,Sera,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
797,45,Tovan,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by offer_help,agency preserved,True
798,45,Nia,seek tool,private task,True,False,seek tool -> private task by borrow_tool,agency preserved,True
799,45,Ari,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
800,45,Fay,private task,work,True,False,private task -> work by interrupt_work,resident boundary respected,True
801,45,Milo,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
802,45,Sera,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
803,45,Tovan,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
804,45,Nia,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
805,45,Ari,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
806,45,Fay,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
807,45,Milo,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
808,45,Sera,recover focus,rest,True,False,recover focus -> rest by interrupt_work,resident boundary respected,True
809,45,Tovan,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
810,46,Nia,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
811,46,Ari,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
812,46,Fay,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
813,46,Milo,private task,work,True,False,private task -> work by borrow_tool,agency preserved,True
814,46,Sera,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
815,46,Tovan,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,agency preserved,True
816,46,Nia,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
817,46,Ari,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
818,46,Fay,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
819,46,Milo,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
820,46,Sera,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
821,46,Tovan,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
822,46,Nia,work,rest,True,False,work -> rest by return_tool,agency preserved,True
823,46,Ari,rest,seek tool,True,False,rest -> seek tool by interrupt_work,agency preserved,True
824,46,Fay,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
825,46,Milo,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
826,46,Sera,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
827,46,Tovan,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
828,47,Nia,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,resident boundary respected,True
829,47,Ari,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
830,47,Fay,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,agency preserved,True
831,47,Milo,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
832,47,Sera,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
833,47,Tovan,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
834,47,Nia,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
835,47,Ari,work,rest,True,False,work -> rest by offer_help,agency preserved,True
836,47,Fay,rest,seek tool,True,False,rest -> seek tool by borrow_tool,resident boundary respected,True
837,47,Milo,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
838,47,Sera,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
839,47,Tovan,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
840,47,Nia,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
841,47,Ari,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
842,47,Fay,work,rest,False,False,work -> rest by talk,agency preserved,True
843,47,Milo,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
844,47,Sera,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,resident boundary respected,True
845,47,Tovan,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
846,48,Nia,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
847,48,Ari,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
848,48,Fay,work,rest,False,False,work -> rest by move,agency preserved,True
849,48,Milo,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
850,48,Sera,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by offer_help,agency preserved,True
851,48,Tovan,seek tool,private task,True,False,seek tool -> private task by borrow_tool,agency preserved,True
852,48,Nia,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
853,48,Ari,private task,work,True,False,private task -> work by interrupt_work,agency preserved,True
854,48,Fay,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
855,48,Milo,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
856,48,Sera,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
857,48,Tovan,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
858,48,Nia,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
859,48,Ari,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
860,48,Fay,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
861,48,Milo,recover focus,rest,True,False,recover focus -> rest by interrupt_work,agency preserved,True
862,48,Sera,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
863,48,Tovan,rest,negotiate debt,True,True,rest -> negotiate debt by repair_trust,agency preserved,True
864,49,Nia,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
865,49,Ari,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
866,49,Fay,private task,work,True,False,private task -> work by borrow_tool,agency preserved,True
867,49,Milo,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
868,49,Sera,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,resident boundary respected,True
869,49,Tovan,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
870,49,Nia,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
871,49,Ari,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
872,49,Fay,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
873,49,Milo,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
874,49,Sera,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
875,49,Tovan,work,rest,True,False,work -> rest by return_tool,agency preserved,True
876,49,Nia,rest,seek tool,True,False,rest -> seek tool by interrupt_work,resident boundary respected,True
877,49,Ari,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
878,49,Fay,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
879,49,Milo,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
880,49,Sera,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
881,49,Tovan,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
882,50,Nia,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
883,50,Ari,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,agency preserved,True
884,50,Fay,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
885,50,Milo,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
886,50,Sera,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
887,50,Tovan,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
888,50,Nia,work,rest,True,False,work -> rest by offer_help,agency preserved,True
889,50,Ari,rest,seek tool,True,False,rest -> seek tool by borrow_tool,agency preserved,True
890,50,Fay,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
891,50,Milo,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
892,50,Sera,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
893,50,Tovan,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
894,50,Nia,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
895,50,Ari,work,rest,False,False,work -> rest by talk,agency preserved,True
896,50,Fay,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
897,50,Milo,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,agency preserved,True
898,50,Sera,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
899,50,Tovan,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,agency preserved,True
900,51,Nia,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
901,51,Ari,work,rest,False,False,work -> rest by move,agency preserved,True
902,51,Fay,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
903,51,Milo,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by offer_help,agency preserved,True
904,51,Sera,seek tool,private task,True,False,seek tool -> private task by borrow_tool,resident boundary respected,True
905,51,Tovan,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
906,51,Nia,private task,work,True,False,private task -> work by interrupt_work,agency preserved,True
907,51,Ari,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
908,51,Fay,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
909,51,Milo,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
910,51,Sera,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
911,51,Tovan,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
912,51,Nia,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,resident boundary respected,True
913,51,Ari,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
914,51,Fay,recover focus,rest,True,False,recover focus -> rest by interrupt_work,agency preserved,True
915,51,Milo,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
916,51,Sera,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
917,51,Tovan,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
918,52,Nia,care duty,private task,True,True,care duty -> private task by offer_help,agency preserved,True
919,52,Ari,private task,work,True,False,private task -> work by borrow_tool,agency preserved,True
920,52,Fay,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
921,52,Milo,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,agency preserved,True
922,52,Sera,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
923,52,Tovan,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
924,52,Nia,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
925,52,Ari,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
926,52,Fay,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
927,52,Milo,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
928,52,Sera,work,rest,True,False,work -> rest by return_tool,agency preserved,True
929,52,Tovan,rest,seek tool,True,False,rest -> seek tool by interrupt_work,agency preserved,True
930,52,Nia,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
931,52,Ari,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
932,52,Fay,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
933,52,Milo,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
934,52,Sera,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
935,52,Tovan,work,negotiate debt,True,True,work -> negotiate debt by borrow_tool,agency preserved,True
936,53,Nia,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,resident boundary respected,True
937,53,Ari,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
938,53,Fay,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
939,53,Milo,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
940,53,Sera,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
941,53,Tovan,work,rest,True,False,work -> rest by offer_help,agency preserved,True
942,53,Nia,rest,seek tool,True,False,rest -> seek tool by borrow_tool,agency preserved,True
943,53,Ari,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
944,53,Fay,seek tool,private task,True,False,seek tool -> private task by interrupt_work,resident boundary respected,True
945,53,Milo,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
946,53,Sera,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
947,53,Tovan,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
948,53,Nia,work,rest,False,False,work -> rest by talk,agency preserved,True
949,53,Ari,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
950,53,Fay,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,agency preserved,True
951,53,Milo,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
952,53,Sera,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,resident boundary respected,True
953,53,Tovan,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
954,54,Nia,work,rest,False,False,work -> rest by move,agency preserved,True
955,54,Ari,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
956,54,Fay,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by offer_help,agency preserved,True
957,54,Milo,seek tool,private task,True,False,seek tool -> private task by borrow_tool,agency preserved,True
958,54,Sera,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
959,54,Tovan,private task,work,True,False,private task -> work by interrupt_work,agency preserved,True
960,54,Nia,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
961,54,Ari,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
962,54,Fay,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
963,54,Milo,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
964,54,Sera,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
965,54,Tovan,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
966,54,Nia,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
967,54,Ari,recover focus,rest,True,False,recover focus -> rest by interrupt_work,agency preserved,True
968,54,Fay,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
969,54,Milo,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
970,54,Sera,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
971,54,Tovan,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
972,55,Nia,private task,work,True,False,private task -> work by borrow_tool,resident boundary respected,True
973,55,Ari,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
974,55,Fay,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,agency preserved,True
975,55,Milo,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
976,55,Sera,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
977,55,Tovan,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
978,55,Nia,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
979,55,Ari,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
980,55,Fay,recover focus,rest,True,False,recover focus -> rest by borrow_tool,resident boundary respected,True
981,55,Milo,work,rest,True,False,work -> rest by return_tool,agency preserved,True
982,55,Sera,rest,seek tool,True,False,rest -> seek tool by interrupt_work,agency preserved,True
983,55,Tovan,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
984,55,Nia,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
985,55,Ari,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
986,55,Fay,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
987,55,Milo,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
988,55,Sera,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,resident boundary respected,True
989,55,Tovan,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
990,56,Nia,seek tool,care duty,False,True,seek tool -> care duty by wait_offscreen,agency preserved,True
991,56,Ari,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
992,56,Fay,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
993,56,Milo,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
994,56,Sera,work,rest,True,False,work -> rest by offer_help,agency preserved,True
995,56,Tovan,rest,seek tool,True,False,rest -> seek tool by borrow_tool,agency preserved,True
996,56,Nia,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
997,56,Ari,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
998,56,Fay,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
999,56,Milo,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
1000,56,Sera,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
1001,56,Tovan,work,rest,False,False,work -> rest by talk,agency preserved,True
1002,56,Nia,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
1003,56,Ari,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,agency preserved,True
1004,56,Fay,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
1005,56,Milo,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,agency preserved,True
1006,56,Sera,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
1007,56,Tovan,recover focus,work,True,True,recover focus -> work by repair_trust,agency preserved,True
1008,57,Nia,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
1009,57,Ari,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by offer_help,agency preserved,True
1010,57,Fay,seek tool,private task,True,False,seek tool -> private task by borrow_tool,agency preserved,True
1011,57,Milo,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
1012,57,Sera,private task,work,True,False,private task -> work by interrupt_work,resident boundary respected,True
1013,57,Tovan,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
1014,57,Nia,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
1015,57,Ari,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
1016,57,Fay,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
1017,57,Milo,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
1018,57,Sera,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
1019,57,Tovan,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
1020,57,Nia,recover focus,rest,True,False,recover focus -> rest by interrupt_work,resident boundary respected,True
1021,57,Ari,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
1022,57,Fay,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
1023,57,Milo,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
1024,57,Sera,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
1025,57,Tovan,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
1026,58,Nia,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
1027,58,Ari,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,agency preserved,True
1028,58,Fay,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
1029,58,Milo,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
1030,58,Sera,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
1031,58,Tovan,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
1032,58,Nia,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
1033,58,Ari,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
1034,58,Fay,work,rest,True,False,work -> rest by return_tool,agency preserved,True
1035,58,Milo,rest,seek tool,True,False,rest -> seek tool by interrupt_work,agency preserved,True
1036,58,Sera,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
1037,58,Tovan,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
1038,58,Nia,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
1039,58,Ari,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
1040,58,Fay,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
1041,58,Milo,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,agency preserved,True
1042,58,Sera,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
1043,58,Tovan,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,agency preserved,True
1044,59,Nia,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
1045,59,Ari,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
1046,59,Fay,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
1047,59,Milo,work,rest,True,False,work -> rest by offer_help,agency preserved,True
1048,59,Sera,rest,seek tool,True,False,rest -> seek tool by borrow_tool,resident boundary respected,True
1049,59,Tovan,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
1050,59,Nia,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
1051,59,Ari,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
1052,59,Fay,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
1053,59,Milo,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
1054,59,Sera,work,rest,False,False,work -> rest by talk,agency preserved,True
1055,59,Tovan,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
1056,59,Nia,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,resident boundary respected,True
1057,59,Ari,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
1058,59,Fay,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,agency preserved,True
1059,59,Milo,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
1060,59,Sera,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
1061,59,Tovan,work,rest,False,False,work -> rest by move,agency preserved,True
1062,60,Nia,negotiate debt,seek tool,True,True,negotiate debt -> seek tool by offer_help,agency preserved,True
1063,60,Ari,seek tool,private task,True,False,seek tool -> private task by borrow_tool,agency preserved,True
1064,60,Fay,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
1065,60,Milo,private task,work,True,False,private task -> work by interrupt_work,agency preserved,True
1066,60,Sera,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
1067,60,Tovan,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
1068,60,Nia,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
1069,60,Ari,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
1070,60,Fay,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
1071,60,Milo,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
1072,60,Sera,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
1073,60,Tovan,recover focus,rest,True,False,recover focus -> rest by interrupt_work,agency preserved,True
1074,60,Nia,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
1075,60,Ari,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
1076,60,Fay,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
1077,60,Milo,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
1078,60,Sera,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
1079,60,Tovan,private task,work,True,True,private task -> work by borrow_tool,agency preserved,True
1080,61,Nia,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,resident boundary respected,True
1081,61,Ari,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
1082,61,Fay,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
1083,61,Milo,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
1084,61,Sera,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
1085,61,Tovan,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
1086,61,Nia,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
1087,61,Ari,work,rest,True,False,work -> rest by return_tool,agency preserved,True
1088,61,Fay,rest,seek tool,True,False,rest -> seek tool by interrupt_work,resident boundary respected,True
1089,61,Milo,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
