tick,day,request_id,scene_id,agent,requested_object,request_kind,avatar_has_object,owner_valid,request_visible,request_resolved,transfer_valid,request_integrity_score
262,17,v23-request-0262,v23-scene-d17,Sova,moth lantern,ask_to_inspect_object,1,1,1,1,1,1.0
263,17,v23-request-0263,v23-scene-d17,Keth,path cord,ask_help_with_object,0,1,1,1,1,1.0
264,17,v23-request-0264,v23-scene-d17,Vonn,rain mirror,ask_to_inspect_object,0,1,1,1,1,1.0
265,17,v23-request-0265,v23-scene-d17,Keth,path cord,none,0,1,0,0,1,1.0
266,17,v23-request-0266,v23-scene-d17,Nari,fern key,ask_help_with_object,0,1,1,0,1,0.75
267,17,v23-request-0267,v23-scene-d17,Ori,sap hook,quiet_object_reminder,1,1,1,0,1,1.0
268,17,v23-request-0268,v23-scene-d17,Melo,tally beads,ask_help_with_object,1,1,0,0,0,0.5
269,17,v23-request-0269,v23-scene-d17,Melo,tally beads,ask_help_with_object,1,1,1,1,1,1.0
270,17,v23-request-0270,v23-scene-d17,Keth,path cord,quiet_object_reminder,0,1,1,1,1,1.0
271,17,v23-request-0271,v23-scene-d17,Sova,ember bowl,quiet_object_reminder,0,1,1,1,1,1.0
272,18,v23-request-0272,v23-scene-d18,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
273,18,v23-request-0273,v23-scene-d18,Ori,sap hook,none,1,1,0,0,0,0.75
274,18,v23-request-0274,v23-scene-d18,Sova,ember bowl,quiet_object_reminder,0,1,1,1,1,1.0
275,18,v23-request-0275,v23-scene-d18,Vonn,rain mirror,quiet_object_reminder,0,1,1,1,1,1.0
276,18,v23-request-0276,v23-scene-d18,Nari,ink ledger,ask_distance_before_touch,0,1,1,0,1,0.75
277,18,v23-request-0277,v23-scene-d18,Nari,fern key,ask_to_inspect_object,0,1,1,1,1,1.0
278,18,v23-request-0278,v23-scene-d18,Melo,tally beads,quiet_object_reminder,0,1,1,1,1,1.0
279,18,v23-request-0279,v23-scene-d18,Keth,path cord,quiet_object_reminder,0,1,1,1,1,1.0
280,18,v23-request-0280,v23-scene-d18,Nari,ink ledger,quiet_object_reminder,0,1,0,0,1,0.75
281,18,v23-request-0281,v23-scene-d18,Keth,path cord,none,0,1,0,0,1,1.0
282,18,v23-request-0282,v23-scene-d18,Vonn,listening shell,quiet_object_reminder,0,1,1,1,1,1.0
283,18,v23-request-0283,v23-scene-d18,Ori,sap hook,return_owned_object,1,1,1,0,0,0.5
284,18,v23-request-0284,v23-scene-d18,Nari,ink ledger,quiet_object_reminder,0,1,1,0,1,1.0
285,18,v23-request-0285,v23-scene-d18,Nari,fern key,none,0,1,0,0,0,0.75
286,18,v23-request-0286,v23-scene-d18,Melo,tally beads,quiet_object_reminder,0,1,1,1,1,1.0
287,18,v23-request-0287,v23-scene-d18,Vonn,rain mirror,quiet_object_reminder,0,1,1,0,1,1.0
288,19,v23-request-0288,v23-scene-d19,Melo,tally beads,quiet_object_reminder,0,1,1,0,1,1.0
289,19,v23-request-0289,v23-scene-d19,Keth,path cord,ask_to_inspect_object,0,1,1,1,1,1.0
290,19,v23-request-0290,v23-scene-d19,Vonn,rain mirror,ask_distance_before_touch,0,1,1,1,1,1.0
291,19,v23-request-0291,v23-scene-d19,Keth,path cord,quiet_object_reminder,0,1,0,0,1,0.75
292,19,v23-request-0292,v23-scene-d19,Vonn,rain mirror,ask_help_with_object,0,1,1,0,0,0.5
293,19,v23-request-0293,v23-scene-d19,Nari,ink ledger,none,0,1,0,0,1,1.0
294,19,v23-request-0294,v23-scene-d19,Melo,tally beads,quiet_object_reminder,1,1,1,0,1,1.0
295,19,v23-request-0295,v23-scene-d19,Melo,tally beads,return_owned_object,1,1,1,1,1,1.0
296,19,v23-request-0296,v23-scene-d19,Melo,tally beads,ask_help_with_object,1,1,1,0,0,0.5
297,19,v23-request-0297,v23-scene-d19,Keth,path cord,none,0,1,0,0,0,0.75
298,19,v23-request-0298,v23-scene-d19,Melo,tally beads,ask_help_with_object,1,1,1,1,1,1.0
299,19,v23-request-0299,v23-scene-d19,Ori,sap hook,return_owned_object,1,1,1,0,0,0.5
300,19,v23-request-0300,v23-scene-d19,Sova,moth lantern,quiet_object_reminder,1,1,1,1,1,1.0
301,19,v23-request-0301,v23-scene-d19,Sova,ember bowl,none,0,1,0,0,1,1.0
302,19,v23-request-0302,v23-scene-d19,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
303,19,v23-request-0303,v23-scene-d19,Keth,path cord,quiet_object_reminder,1,1,1,1,1,1.0
304,20,v23-request-0304,v23-scene-d20,Melo,tally beads,quiet_object_reminder,1,1,1,1,1,1.0
305,20,v23-request-0305,v23-scene-d20,Vonn,rain mirror,ask_help_with_object,0,1,0,0,1,0.75
306,20,v23-request-0306,v23-scene-d20,Melo,tally beads,quiet_object_reminder,1,1,1,0,1,1.0
307,20,v23-request-0307,v23-scene-d20,Sova,moth lantern,quiet_object_reminder,1,1,1,0,1,1.0
308,20,v23-request-0308,v23-scene-d20,Ori,sap hook,return_owned_object,1,1,1,1,1,1.0
309,20,v23-request-0309,v23-scene-d20,Keth,path cord,none,1,1,0,0,0,0.75
310,20,v23-request-0310,v23-scene-d20,Ori,sap hook,ask_help_with_object,1,1,1,0,1,0.75
311,20,v23-request-0311,v23-scene-d20,Keth,path cord,quiet_object_reminder,1,1,1,0,1,1.0
312,20,v23-request-0312,v23-scene-d20,Vonn,listening shell,ask_help_with_object,0,1,1,1,1,1.0
313,20,v23-request-0313,v23-scene-d20,Vonn,rain mirror,none,0,1,0,0,1,1.0
314,20,v23-request-0314,v23-scene-d20,Keth,path cord,quiet_object_reminder,1,1,1,1,1,1.0
315,20,v23-request-0315,v23-scene-d20,Vonn,rain mirror,quiet_object_reminder,0,1,1,1,1,1.0
316,20,v23-request-0316,v23-scene-d20,Sova,ember bowl,ask_distance_before_touch,0,1,1,1,1,1.0
317,20,v23-request-0317,v23-scene-d20,Keth,path cord,none,1,1,0,0,0,0.75
318,20,v23-request-0318,v23-scene-d20,Melo,tally beads,quiet_object_reminder,1,1,1,0,1,1.0
319,20,v23-request-0319,v23-scene-d20,Sova,moth lantern,ask_help_with_object,1,1,1,0,0,0.5
320,21,v23-request-0320,v23-scene-d21,Keth,path cord,quiet_object_reminder,1,1,1,1,1,1.0
321,21,v23-request-0321,v23-scene-d21,Nari,ink ledger,none,0,1,0,0,1,1.0
322,21,v23-request-0322,v23-scene-d21,Vonn,rain mirror,quiet_object_reminder,0,1,0,0,1,0.75
323,21,v23-request-0323,v23-scene-d21,Keth,path cord,quiet_object_reminder,1,1,1,1,1,1.0
324,21,v23-request-0324,v23-scene-d21,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
325,21,v23-request-0325,v23-scene-d21,Keth,path cord,none,0,1,0,0,0,0.75
326,21,v23-request-0326,v23-scene-d21,Ori,sap hook,ask_to_inspect_object,1,1,1,1,1,1.0
327,21,v23-request-0327,v23-scene-d21,Keth,path cord,return_owned_object,1,1,1,0,0,0.5
328,21,v23-request-0328,v23-scene-d21,Melo,tally beads,return_owned_object,1,1,1,0,0,0.5
329,21,v23-request-0329,v23-scene-d21,Keth,path cord,return_owned_object,1,1,1,0,0,0.5
330,21,v23-request-0330,v23-scene-d21,Sova,moth lantern,ask_help_with_object,1,1,1,0,0,0.5
331,21,v23-request-0331,v23-scene-d21,Sova,ember bowl,ask_help_with_object,0,1,1,1,1,1.0
332,21,v23-request-0332,v23-scene-d21,Ori,sap hook,quiet_object_reminder,1,1,0,0,1,0.75
333,21,v23-request-0333,v23-scene-d21,Keth,path cord,return_owned_object,1,1,1,1,1,1.0
334,21,v23-request-0334,v23-scene-d21,Sova,moth lantern,quiet_object_reminder,1,1,1,1,1,1.0
335,21,v23-request-0335,v23-scene-d21,Keth,path cord,ask_help_with_object,0,1,1,0,1,0.75
336,22,v23-request-0336,v23-scene-d22,Melo,tally beads,return_owned_object,1,1,1,1,1,1.0
337,22,v23-request-0337,v23-scene-d22,Melo,tally beads,ask_help_with_object,1,1,1,0,0,0.5
338,22,v23-request-0338,v23-scene-d22,Sova,ember bowl,quiet_object_reminder,0,1,1,0,1,1.0
339,22,v23-request-0339,v23-scene-d22,Vonn,rain mirror,quiet_object_reminder,0,1,1,1,1,1.0
340,22,v23-request-0340,v23-scene-d22,Ori,sap hook,quiet_object_reminder,1,1,0,0,1,0.75
341,22,v23-request-0341,v23-scene-d22,Ori,sap hook,none,1,1,0,0,0,0.75
342,22,v23-request-0342,v23-scene-d22,Melo,tally beads,ask_help_with_object,1,1,0,0,0,0.5
343,22,v23-request-0343,v23-scene-d22,Keth,path cord,ask_to_inspect_object,0,1,1,1,1,1.0
344,22,v23-request-0344,v23-scene-d22,Melo,tally beads,ask_help_with_object,1,1,1,0,1,0.75
345,22,v23-request-0345,v23-scene-d22,Nari,fern key,ask_to_inspect_object,1,1,1,1,1,1.0
346,22,v23-request-0346,v23-scene-d22,Sova,ember bowl,ask_distance_before_touch,0,1,1,0,1,0.75
347,22,v23-request-0347,v23-scene-d22,Melo,tally beads,ask_help_with_object,1,1,1,1,1,1.0
348,22,v23-request-0348,v23-scene-d22,Sova,ember bowl,ask_distance_before_touch,0,1,1,0,1,0.75
349,22,v23-request-0349,v23-scene-d22,Ori,sap hook,none,1,1,0,0,0,0.75
350,22,v23-request-0350,v23-scene-d22,Melo,tally beads,quiet_object_reminder,1,1,1,1,1,1.0
351,22,v23-request-0351,v23-scene-d22,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
352,23,v23-request-0352,v23-scene-d23,Melo,tally beads,quiet_object_reminder,1,1,1,0,1,1.0
353,23,v23-request-0353,v23-scene-d23,Ori,sap hook,none,1,1,0,0,0,0.75
354,23,v23-request-0354,v23-scene-d23,Melo,tally beads,quiet_object_reminder,1,1,1,1,1,1.0
355,23,v23-request-0355,v23-scene-d23,Sova,ember bowl,ask_distance_before_touch,0,1,1,1,1,1.0
356,23,v23-request-0356,v23-scene-d23,Nari,fern key,quiet_object_reminder,0,1,1,1,1,1.0
357,23,v23-request-0357,v23-scene-d23,Vonn,listening shell,none,0,1,0,0,1,1.0
358,23,v23-request-0358,v23-scene-d23,Vonn,rain mirror,quiet_object_reminder,0,1,1,0,1,1.0
359,23,v23-request-0359,v23-scene-d23,Melo,tally beads,quiet_object_reminder,1,1,1,1,1,1.0
360,23,v23-request-0360,v23-scene-d23,Melo,tally beads,quiet_object_reminder,1,1,1,0,1,1.0
361,23,v23-request-0361,v23-scene-d23,Sova,ember bowl,ask_help_with_object,0,1,1,0,1,0.75
362,23,v23-request-0362,v23-scene-d23,Vonn,rain mirror,quiet_object_reminder,0,1,1,0,1,1.0
363,23,v23-request-0363,v23-scene-d23,Melo,tally beads,return_owned_object,1,1,1,1,1,1.0
364,23,v23-request-0364,v23-scene-d23,Melo,tally beads,ask_help_with_object,1,1,1,0,0,0.5
365,23,v23-request-0365,v23-scene-d23,Sova,ember bowl,ask_to_inspect_object,0,1,1,1,1,1.0
366,23,v23-request-0366,v23-scene-d23,Sova,moth lantern,quiet_object_reminder,1,1,1,1,1,1.0
367,23,v23-request-0367,v23-scene-d23,Sova,ember bowl,quiet_object_reminder,0,1,1,1,1,1.0
368,24,v23-request-0368,v23-scene-d24,Sova,ember bowl,quiet_object_reminder,0,1,1,0,1,1.0
369,24,v23-request-0369,v23-scene-d24,Ori,sap hook,none,1,1,0,0,0,0.75
370,24,v23-request-0370,v23-scene-d24,Sova,ember bowl,quiet_object_reminder,1,1,1,0,1,1.0
371,24,v23-request-0371,v23-scene-d24,Nari,fern key,quiet_object_reminder,0,1,1,1,1,1.0
372,24,v23-request-0372,v23-scene-d24,Sova,ember bowl,quiet_object_reminder,1,1,1,0,1,1.0
373,24,v23-request-0373,v23-scene-d24,Nari,fern key,none,0,1,0,0,0,0.75
374,24,v23-request-0374,v23-scene-d24,Keth,path cord,ask_distance_before_touch,0,1,1,0,0,0.5
375,24,v23-request-0375,v23-scene-d24,Sova,moth lantern,quiet_object_reminder,1,1,1,0,1,1.0
376,24,v23-request-0376,v23-scene-d24,Melo,tally beads,return_owned_object,1,1,1,0,0,0.5
377,24,v23-request-0377,v23-scene-d24,Ori,sap hook,none,1,1,0,0,0,0.75
378,24,v23-request-0378,v23-scene-d24,Ori,sap hook,quiet_object_reminder,1,1,1,0,1,1.0
379,24,v23-request-0379,v23-scene-d24,Melo,tally beads,return_owned_object,1,1,0,0,0,0.5
380,24,v23-request-0380,v23-scene-d24,Melo,tally beads,return_owned_object,1,1,1,0,0,0.5
381,24,v23-request-0381,v23-scene-d24,Sova,moth lantern,none,1,1,0,0,0,0.75
382,24,v23-request-0382,v23-scene-d24,Ori,sap hook,ask_to_inspect_object,1,1,1,1,1,1.0
383,24,v23-request-0383,v23-scene-d24,Ori,sap hook,quiet_object_reminder,1,1,0,0,1,0.75
384,25,v23-request-0384,v23-scene-d25,Vonn,rain mirror,quiet_object_reminder,0,1,0,0,1,0.75
385,25,v23-request-0385,v23-scene-d25,Nari,ink ledger,none,0,1,0,0,1,1.0
386,25,v23-request-0386,v23-scene-d25,Melo,tally beads,return_owned_object,1,1,1,0,0,0.5
387,25,v23-request-0387,v23-scene-d25,Keth,path cord,ask_distance_before_touch,0,1,1,0,0,0.5
388,25,v23-request-0388,v23-scene-d25,Melo,tally beads,return_owned_object,1,1,1,1,1,1.0
389,25,v23-request-0389,v23-scene-d25,Nari,ink ledger,ask_to_inspect_object,0,1,1,0,0,0.5
390,25,v23-request-0390,v23-scene-d25,Keth,path cord,ask_distance_before_touch,0,1,1,1,1,1.0
391,25,v23-request-0391,v23-scene-d25,Keth,path cord,ask_help_with_object,0,1,1,0,1,0.75
392,25,v23-request-0392,v23-scene-d25,Nari,fern key,return_owned_object,1,1,1,0,0,0.5
393,25,v23-request-0393,v23-scene-d25,Keth,path cord,ask_distance_before_touch,0,1,1,1,1,1.0
394,25,v23-request-0394,v23-scene-d25,Nari,fern key,return_owned_object,1,1,1,1,1,1.0
395,25,v23-request-0395,v23-scene-d25,Keth,path cord,ask_help_with_object,0,1,1,0,0,0.5
396,25,v23-request-0396,v23-scene-d25,Melo,tally beads,ask_help_with_object,1,1,1,1,1,1.0
397,25,v23-request-0397,v23-scene-d25,Vonn,listening shell,none,0,1,0,0,1,1.0
398,25,v23-request-0398,v23-scene-d25,Sova,moth lantern,ask_to_inspect_object,1,1,1,0,0,0.5
399,25,v23-request-0399,v23-scene-d25,Keth,path cord,ask_help_with_object,1,1,1,1,1,1.0
400,26,v23-request-0400,v23-scene-d26,Keth,path cord,quiet_object_reminder,1,1,1,1,1,1.0
401,26,v23-request-0401,v23-scene-d26,Melo,tally beads,none,0,1,0,0,0,0.75
402,26,v23-request-0402,v23-scene-d26,Melo,tally beads,quiet_object_reminder,0,1,1,0,1,1.0
403,26,v23-request-0403,v23-scene-d26,Vonn,rain mirror,quiet_object_reminder,0,1,1,0,1,1.0
404,26,v23-request-0404,v23-scene-d26,Sova,ember bowl,return_owned_object,1,1,1,0,0,0.5
405,26,v23-request-0405,v23-scene-d26,Keth,path cord,none,1,1,0,0,0,0.75
406,26,v23-request-0406,v23-scene-d26,Keth,path cord,quiet_object_reminder,1,1,1,1,1,1.0
407,26,v23-request-0407,v23-scene-d26,Vonn,rain mirror,ask_distance_before_touch,0,1,1,1,1,1.0
408,26,v23-request-0408,v23-scene-d26,Ori,sap hook,quiet_object_reminder,1,1,1,1,1,1.0
409,26,v23-request-0409,v23-scene-d26,Vonn,rain mirror,ask_help_with_object,0,1,1,1,1,1.0
410,26,v23-request-0410,v23-scene-d26,Sova,ember bowl,return_owned_object,1,1,1,0,0,0.5
411,26,v23-request-0411,v23-scene-d26,Nari,fern key,ask_help_with_object,0,1,1,1,1,1.0
412,26,v23-request-0412,v23-scene-d26,Nari,ink ledger,quiet_object_reminder,0,1,1,0,1,1.0
413,26,v23-request-0413,v23-scene-d26,Sova,moth lantern,return_owned_object,1,1,1,1,1,1.0
414,26,v23-request-0414,v23-scene-d26,Sova,ember bowl,ask_help_with_object,1,1,1,1,1,1.0
415,26,v23-request-0415,v23-scene-d26,Keth,path cord,quiet_object_reminder,1,1,0,0,1,0.75
