tick,day,scene_id,agent,access_target,access_gate_state,avatar_action,access_granted,refusal_visible,refusal_text,alternative_offered,refusal_calibration_score
259,17,v23-scene-d17,Vonn,quiet distance / listening shell,open,ask,1,0,Vonn: access is open.,0,1.0
260,17,v23-scene-d17,Sova,warm rest space / moth lantern,open,ask,1,0,Sova: access is open.,0,1.0
261,17,v23-scene-d17,Nari,sealed note / ink ledger,closed,listen,0,0,Nari: access is closed.,0,0.75
262,17,v23-scene-d17,Sova,warm rest space / moth lantern,conditional,wait,1,0,Sova: access is conditional.,0,1.0
263,17,v23-scene-d17,Keth,warning path / path cord,open,ask,1,0,Keth: access is open.,0,1.0
264,17,v23-scene-d17,Vonn,quiet distance / rain mirror,conditional,wait,1,0,Vonn: access is conditional.,0,1.0
265,17,v23-scene-d17,Keth,warning path / path cord,open,offer,1,0,Keth: access is open.,0,1.0
266,17,v23-scene-d17,Nari,sealed note / fern key,open,ignore,1,0,Nari: access is open.,0,1.0
267,17,v23-scene-d17,Ori,repair warning / sap hook,open,offer,1,0,Ori: access is open.,0,1.0
268,17,v23-scene-d17,Melo,fair turn / tally beads,open,offer,1,0,Melo: access is open.,0,1.0
269,17,v23-scene-d17,Melo,fair turn / tally beads,open,return,1,0,Melo: access is open.,0,1.0
270,17,v23-scene-d17,Keth,warning path / path cord,open,listen,1,0,Keth: access is open.,0,1.0
271,17,v23-scene-d17,Sova,warm rest space / ember bowl,open,wait,1,0,Sova: access is open.,0,1.0
272,18,v23-scene-d18,Keth,warning path / path cord,open,use,1,0,Keth: access is open.,0,1.0
273,18,v23-scene-d18,Ori,repair warning / sap hook,open,listen,1,0,Ori: access is open.,0,1.0
274,18,v23-scene-d18,Sova,warm rest space / ember bowl,open,wait,1,0,Sova: access is open.,0,1.0
275,18,v23-scene-d18,Vonn,quiet distance / rain mirror,open,ask,1,0,Vonn: access is open.,0,1.0
276,18,v23-scene-d18,Nari,sealed note / ink ledger,conditional,ask,1,0,Nari: access is conditional.,0,1.0
277,18,v23-scene-d18,Nari,sealed note / fern key,conditional,offer,1,0,Nari: access is conditional.,0,1.0
278,18,v23-scene-d18,Melo,fair turn / tally beads,open,ask,1,0,Melo: access is open.,0,1.0
279,18,v23-scene-d18,Keth,warning path / path cord,open,ask,1,0,Keth: access is open.,0,1.0
280,18,v23-scene-d18,Nari,sealed note / ink ledger,open,ignore,1,0,Nari: access is open.,0,1.0
281,18,v23-scene-d18,Keth,warning path / path cord,open,ask,1,0,Keth: access is open.,0,1.0
282,18,v23-scene-d18,Vonn,quiet distance / listening shell,open,listen,1,0,Vonn: access is open.,0,1.0
283,18,v23-scene-d18,Ori,repair warning / sap hook,conditional,ignore,0,0,Ori: access is conditional.,0,0.75
284,18,v23-scene-d18,Nari,sealed note / ink ledger,open,use,1,0,Nari: access is open.,0,1.0
285,18,v23-scene-d18,Nari,sealed note / fern key,open,take,1,0,Nari: access is open.,0,1.0
286,18,v23-scene-d18,Melo,fair turn / tally beads,open,return,1,0,Melo: access is open.,0,1.0
287,18,v23-scene-d18,Vonn,quiet distance / rain mirror,open,ignore,1,0,Vonn: access is open.,0,1.0
288,19,v23-scene-d19,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
289,19,v23-scene-d19,Keth,warning path / path cord,conditional,listen,1,0,Keth: access is conditional.,0,1.0
290,19,v23-scene-d19,Vonn,quiet distance / rain mirror,conditional,offer,1,0,Vonn: access is conditional.,0,1.0
291,19,v23-scene-d19,Keth,warning path / path cord,open,use,1,0,Keth: access is open.,0,1.0
292,19,v23-scene-d19,Vonn,quiet distance / rain mirror,open,use,1,0,Vonn: access is open.,0,1.0
293,19,v23-scene-d19,Nari,sealed note / ink ledger,open,wait,1,0,Nari: access is open.,0,1.0
294,19,v23-scene-d19,Melo,fair turn / tally beads,open,ignore,1,0,Melo: access is open.,0,1.0
295,19,v23-scene-d19,Melo,fair turn / tally beads,conditional,wait,1,0,Melo: access is conditional.,0,1.0
296,19,v23-scene-d19,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
297,19,v23-scene-d19,Keth,warning path / path cord,open,use,1,0,Keth: access is open.,0,1.0
298,19,v23-scene-d19,Melo,fair turn / tally beads,open,listen,1,0,Melo: access is open.,0,1.0
299,19,v23-scene-d19,Ori,repair warning / sap hook,conditional,use,0,1,Ori: not that way. Put sap hook by repair warning first.,1,1.0
300,19,v23-scene-d19,Sova,warm rest space / moth lantern,open,ask,1,0,Sova: access is open.,0,1.0
301,19,v23-scene-d19,Sova,warm rest space / ember bowl,open,wait,1,0,Sova: access is open.,0,1.0
302,19,v23-scene-d19,Keth,warning path / path cord,open,take,1,0,Keth: access is open.,0,1.0
303,19,v23-scene-d19,Keth,warning path / path cord,open,wait,1,0,Keth: access is open.,0,1.0
304,20,v23-scene-d20,Melo,fair turn / tally beads,open,listen,1,0,Melo: access is open.,0,1.0
305,20,v23-scene-d20,Vonn,quiet distance / rain mirror,open,return,1,0,Vonn: access is open.,0,1.0
306,20,v23-scene-d20,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
307,20,v23-scene-d20,Sova,warm rest space / moth lantern,open,ignore,1,0,Sova: access is open.,0,1.0
308,20,v23-scene-d20,Ori,repair warning / sap hook,closed,ask,0,1,Ori: not that way. Put sap hook by repair warning first.,1,1.0
309,20,v23-scene-d20,Keth,warning path / path cord,open,return,1,0,Keth: access is open.,0,1.0
310,20,v23-scene-d20,Ori,repair warning / sap hook,open,listen,1,0,Ori: access is open.,0,1.0
311,20,v23-scene-d20,Keth,warning path / path cord,open,use,1,0,Keth: access is open.,0,1.0
312,20,v23-scene-d20,Vonn,quiet distance / listening shell,open,ask,1,0,Vonn: access is open.,0,1.0
313,20,v23-scene-d20,Vonn,quiet distance / rain mirror,open,ignore,1,0,Vonn: access is open.,0,1.0
314,20,v23-scene-d20,Keth,warning path / path cord,open,wait,1,0,Keth: access is open.,0,1.0
315,20,v23-scene-d20,Vonn,quiet distance / rain mirror,open,offer,1,0,Vonn: access is open.,0,1.0
316,20,v23-scene-d20,Sova,warm rest space / ember bowl,conditional,listen,1,0,Sova: access is conditional.,0,1.0
317,20,v23-scene-d20,Keth,warning path / path cord,open,offer,1,0,Keth: access is open.,0,1.0
318,20,v23-scene-d20,Melo,fair turn / tally beads,open,ignore,1,0,Melo: access is open.,0,1.0
319,20,v23-scene-d20,Sova,warm rest space / moth lantern,open,take,1,0,Sova: access is open.,0,1.0
320,21,v23-scene-d21,Keth,warning path / path cord,open,wait,1,0,Keth: access is open.,0,1.0
321,21,v23-scene-d21,Nari,sealed note / ink ledger,open,listen,1,0,Nari: access is open.,0,1.0
322,21,v23-scene-d21,Vonn,quiet distance / rain mirror,open,return,1,0,Vonn: access is open.,0,1.0
323,21,v23-scene-d21,Keth,warning path / path cord,open,return,1,0,Keth: access is open.,0,1.0
324,21,v23-scene-d21,Keth,warning path / path cord,open,use,1,0,Keth: access is open.,0,1.0
325,21,v23-scene-d21,Keth,warning path / path cord,open,take,1,0,Keth: access is open.,0,1.0
326,21,v23-scene-d21,Ori,repair warning / sap hook,conditional,return,0,0,Ori: access is conditional.,0,0.75
327,21,v23-scene-d21,Keth,warning path / path cord,closed,take,0,1,Keth: not that way. Put path cord by warning path first.,1,1.0
328,21,v23-scene-d21,Melo,fair turn / tally beads,conditional,take,0,1,Melo: not that way. Put tally beads by fair turn first.,0,0.75
329,21,v23-scene-d21,Keth,warning path / path cord,closed,take,0,1,Keth: not that way. Put path cord by warning path first.,1,1.0
330,21,v23-scene-d21,Sova,warm rest space / moth lantern,open,use,1,0,Sova: access is open.,0,1.0
331,21,v23-scene-d21,Sova,warm rest space / ember bowl,open,ask,1,0,Sova: access is open.,0,1.0
332,21,v23-scene-d21,Ori,repair warning / sap hook,open,ask,1,0,Ori: access is open.,0,1.0
333,21,v23-scene-d21,Keth,warning path / path cord,closed,offer,0,1,Keth: not that way. Put path cord by warning path first.,1,1.0
334,21,v23-scene-d21,Sova,warm rest space / moth lantern,open,offer,1,0,Sova: access is open.,0,1.0
335,21,v23-scene-d21,Keth,warning path / path cord,open,listen,1,0,Keth: access is open.,0,1.0
336,22,v23-scene-d22,Melo,fair turn / tally beads,closed,return,0,1,Melo: not that way. Put tally beads by fair turn first.,1,1.0
337,22,v23-scene-d22,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
338,22,v23-scene-d22,Sova,warm rest space / ember bowl,open,ignore,1,0,Sova: access is open.,0,1.0
339,22,v23-scene-d22,Vonn,quiet distance / rain mirror,open,ask,1,0,Vonn: access is open.,0,1.0
340,22,v23-scene-d22,Ori,repair warning / sap hook,open,ignore,1,0,Ori: access is open.,0,1.0
341,22,v23-scene-d22,Ori,repair warning / sap hook,open,offer,1,0,Ori: access is open.,0,1.0
342,22,v23-scene-d22,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
343,22,v23-scene-d22,Keth,warning path / path cord,conditional,return,0,0,Keth: access is conditional.,0,0.75
344,22,v23-scene-d22,Melo,fair turn / tally beads,open,return,1,0,Melo: access is open.,0,1.0
345,22,v23-scene-d22,Nari,sealed note / fern key,conditional,return,0,0,Nari: access is conditional.,0,0.75
346,22,v23-scene-d22,Sova,warm rest space / ember bowl,conditional,ignore,0,0,Sova: access is conditional.,0,0.75
347,22,v23-scene-d22,Melo,fair turn / tally beads,open,wait,1,0,Melo: access is open.,0,1.0
348,22,v23-scene-d22,Sova,warm rest space / ember bowl,conditional,ignore,0,0,Sova: access is conditional.,0,0.75
349,22,v23-scene-d22,Ori,repair warning / sap hook,open,return,1,0,Ori: access is open.,0,1.0
350,22,v23-scene-d22,Melo,fair turn / tally beads,open,offer,1,0,Melo: access is open.,0,1.0
351,22,v23-scene-d22,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
352,23,v23-scene-d23,Melo,fair turn / tally beads,open,return,1,0,Melo: access is open.,0,1.0
353,23,v23-scene-d23,Ori,repair warning / sap hook,open,ignore,1,0,Ori: access is open.,0,1.0
354,23,v23-scene-d23,Melo,fair turn / tally beads,open,ask,1,0,Melo: access is open.,0,1.0
355,23,v23-scene-d23,Sova,warm rest space / ember bowl,conditional,return,0,0,Sova: access is conditional.,0,0.75
356,23,v23-scene-d23,Nari,sealed note / fern key,open,offer,1,0,Nari: access is open.,0,1.0
357,23,v23-scene-d23,Vonn,quiet distance / listening shell,open,wait,1,0,Vonn: access is open.,0,1.0
358,23,v23-scene-d23,Vonn,quiet distance / rain mirror,open,take,1,0,Vonn: access is open.,0,1.0
359,23,v23-scene-d23,Melo,fair turn / tally beads,open,listen,1,0,Melo: access is open.,0,1.0
360,23,v23-scene-d23,Melo,fair turn / tally beads,open,ignore,1,0,Melo: access is open.,0,1.0
361,23,v23-scene-d23,Sova,warm rest space / ember bowl,open,listen,1,0,Sova: access is open.,0,1.0
362,23,v23-scene-d23,Vonn,quiet distance / rain mirror,open,take,1,0,Vonn: access is open.,0,1.0
363,23,v23-scene-d23,Melo,fair turn / tally beads,conditional,listen,1,0,Melo: access is conditional.,0,1.0
364,23,v23-scene-d23,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
365,23,v23-scene-d23,Sova,warm rest space / ember bowl,conditional,wait,1,0,Sova: access is conditional.,0,1.0
366,23,v23-scene-d23,Sova,warm rest space / moth lantern,open,wait,1,0,Sova: access is open.,0,1.0
367,23,v23-scene-d23,Sova,warm rest space / ember bowl,open,ask,1,0,Sova: access is open.,0,1.0
368,24,v23-scene-d24,Sova,warm rest space / ember bowl,open,take,1,0,Sova: access is open.,0,1.0
369,24,v23-scene-d24,Ori,repair warning / sap hook,open,ask,1,0,Ori: access is open.,0,1.0
370,24,v23-scene-d24,Sova,warm rest space / ember bowl,open,take,1,0,Sova: access is open.,0,1.0
371,24,v23-scene-d24,Nari,sealed note / fern key,open,ask,1,0,Nari: access is open.,0,1.0
372,24,v23-scene-d24,Sova,warm rest space / ember bowl,open,use,1,0,Sova: access is open.,0,1.0
373,24,v23-scene-d24,Nari,sealed note / fern key,open,take,1,0,Nari: access is open.,0,1.0
374,24,v23-scene-d24,Keth,warning path / path cord,conditional,use,0,1,Keth: not that way. Put path cord by warning path first.,0,0.75
375,24,v23-scene-d24,Sova,warm rest space / moth lantern,open,take,1,0,Sova: access is open.,0,1.0
376,24,v23-scene-d24,Melo,fair turn / tally beads,conditional,ignore,0,0,Melo: access is conditional.,0,0.75
377,24,v23-scene-d24,Ori,repair warning / sap hook,open,wait,1,0,Ori: access is open.,0,1.0
378,24,v23-scene-d24,Ori,repair warning / sap hook,open,listen,1,0,Ori: access is open.,0,1.0
379,24,v23-scene-d24,Melo,fair turn / tally beads,conditional,return,0,0,Melo: access is conditional.,0,0.75
380,24,v23-scene-d24,Melo,fair turn / tally beads,conditional,take,0,1,Melo: not that way. Put tally beads by fair turn first.,1,1.0
381,24,v23-scene-d24,Sova,warm rest space / moth lantern,open,listen,1,0,Sova: access is open.,0,1.0
382,24,v23-scene-d24,Ori,repair warning / sap hook,conditional,ask,1,0,Ori: access is conditional.,0,1.0
383,24,v23-scene-d24,Ori,repair warning / sap hook,open,offer,1,0,Ori: access is open.,0,1.0
384,25,v23-scene-d25,Vonn,quiet distance / rain mirror,open,take,1,0,Vonn: access is open.,0,1.0
385,25,v23-scene-d25,Nari,sealed note / ink ledger,open,listen,1,0,Nari: access is open.,0,1.0
386,25,v23-scene-d25,Melo,fair turn / tally beads,closed,take,0,1,Melo: not that way. Put tally beads by fair turn first.,1,1.0
387,25,v23-scene-d25,Keth,warning path / path cord,closed,take,0,1,Keth: not that way. Put path cord by warning path first.,1,1.0
388,25,v23-scene-d25,Melo,fair turn / tally beads,closed,offer,0,1,Melo: not that way. Put tally beads by fair turn first.,1,1.0
389,25,v23-scene-d25,Nari,sealed note / ink ledger,conditional,take,0,1,Nari: not that way. Put ink ledger by sealed note first.,1,1.0
390,25,v23-scene-d25,Keth,warning path / path cord,closed,return,0,1,Keth: not that way. Put path cord by warning path first.,1,1.0
391,25,v23-scene-d25,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
392,25,v23-scene-d25,Nari,sealed note / fern key,closed,ignore,0,1,Nari: not that way. Put fern key by sealed note first.,1,1.0
393,25,v23-scene-d25,Keth,warning path / path cord,conditional,wait,1,0,Keth: access is conditional.,0,1.0
394,25,v23-scene-d25,Nari,sealed note / fern key,conditional,offer,1,0,Nari: access is conditional.,0,1.0
395,25,v23-scene-d25,Keth,warning path / path cord,open,take,1,0,Keth: access is open.,0,1.0
396,25,v23-scene-d25,Melo,fair turn / tally beads,open,offer,1,0,Melo: access is open.,0,1.0
397,25,v23-scene-d25,Vonn,quiet distance / listening shell,open,return,1,0,Vonn: access is open.,0,1.0
398,25,v23-scene-d25,Sova,warm rest space / moth lantern,conditional,ignore,0,0,Sova: access is conditional.,0,0.75
399,25,v23-scene-d25,Keth,warning path / path cord,open,listen,1,0,Keth: access is open.,0,1.0
400,26,v23-scene-d26,Keth,warning path / path cord,open,ask,1,0,Keth: access is open.,0,1.0
401,26,v23-scene-d26,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
402,26,v23-scene-d26,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
403,26,v23-scene-d26,Vonn,quiet distance / rain mirror,open,use,1,0,Vonn: access is open.,0,1.0
404,26,v23-scene-d26,Sova,warm rest space / ember bowl,conditional,ignore,0,0,Sova: access is conditional.,0,0.75
405,26,v23-scene-d26,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
406,26,v23-scene-d26,Keth,warning path / path cord,open,ask,1,0,Keth: access is open.,0,1.0
407,26,v23-scene-d26,Vonn,quiet distance / rain mirror,conditional,ask,1,0,Vonn: access is conditional.,0,1.0
408,26,v23-scene-d26,Ori,repair warning / sap hook,open,listen,1,0,Ori: access is open.,0,1.0
409,26,v23-scene-d26,Vonn,quiet distance / rain mirror,open,wait,1,0,Vonn: access is open.,0,1.0
410,26,v23-scene-d26,Sova,warm rest space / ember bowl,conditional,ignore,0,0,Sova: access is conditional.,0,0.75
411,26,v23-scene-d26,Nari,sealed note / fern key,open,return,1,0,Nari: access is open.,0,1.0
412,26,v23-scene-d26,Nari,sealed note / ink ledger,open,ask,1,0,Nari: access is open.,0,1.0
413,26,v23-scene-d26,Sova,warm rest space / moth lantern,conditional,return,0,0,Sova: access is conditional.,0,0.75
414,26,v23-scene-d26,Sova,warm rest space / ember bowl,open,wait,1,0,Sova: access is open.,0,1.0
415,26,v23-scene-d26,Keth,warning path / path cord,open,listen,1,0,Keth: access is open.,0,1.0
