tick,day,replay_id,scene_id,includes_geometry,includes_positions,includes_sprite_layers,includes_collision_probe,includes_object_motion,includes_input,deterministic_order,replay_integrity_score
319,23,v20-replay-d23-t11,v20-scene-d23,1,1,1,1,1,1,1,1.0
320,23,v20-replay-d23-t12,v20-scene-d23,1,1,1,1,1,1,1,1.0
321,23,v20-replay-d23-t13,v20-scene-d23,1,1,1,1,1,1,1,1.0
322,24,v20-replay-d24-t00,v20-scene-d24,1,1,1,1,1,1,1,1.0
323,24,v20-replay-d24-t01,v20-scene-d24,1,0,0,0,0,0,1,0.454286
324,24,v20-replay-d24-t02,v20-scene-d24,1,1,1,1,1,1,1,0.99
325,24,v20-replay-d24-t03,v20-scene-d24,1,0,0,1,1,1,1,0.811429
326,24,v20-replay-d24-t04,v20-scene-d24,1,0,0,1,1,1,1,0.811429
327,24,v20-replay-d24-t05,v20-scene-d24,1,1,1,1,1,1,1,1.0
328,24,v20-replay-d24-t06,v20-scene-d24,1,1,1,1,1,1,1,1.0
329,24,v20-replay-d24-t07,v20-scene-d24,0,1,1,1,1,1,1,0.857143
330,24,v20-replay-d24-t08,v20-scene-d24,1,1,1,1,1,1,1,0.964286
331,24,v20-replay-d24-t09,v20-scene-d24,1,1,1,1,1,1,1,1.0
332,24,v20-replay-d24-t10,v20-scene-d24,1,1,1,1,1,1,1,1.0
333,24,v20-replay-d24-t11,v20-scene-d24,1,1,0,1,1,1,1,0.964286
334,24,v20-replay-d24-t12,v20-scene-d24,1,1,1,1,1,1,1,1.0
335,24,v20-replay-d24-t13,v20-scene-d24,1,1,1,1,1,1,1,1.0
