tick,day,slot,phase,avatar_room,selected_resident,user_action,schedule_state,memory_key,debt_name,visible_consequence,save_restore_key,audit_key,all_core_loops_present,boundary_visible
235,14,1,movement,fiber loft,Nia,return_tool,rest after rain,v60:nia:missed_greeting:d014:s01,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d014:t00235,audit:v60:tick:00235:resident:nia,True,True
236,14,2,bounded conversation,west hearth,Ari,inspect_memory,recover focus,v60:ari:care_favor:d014:s02,care favor,state observed without history rewrite,ssrm:v60:snapshot:d014:t00236,audit:v60:tick:00236:resident:ari,True,True
237,14,3,schedule/debt,river gate,Fay,enter,repair awning,v60:fay:route_warning:d014:s03,route warning,state observed without history rewrite,ssrm:v60:snapshot:d014:t00237,audit:v60:tick:00237:resident:fay,True,True
238,14,4,offscreen,arrival court,Milo,talk,sort herbs,v60:milo:tool_loan:d014:s04,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d014:t00238,audit:v60:tick:00238:resident:milo,True,True
239,14,5,consequence,tool alcove,Sera,offer_help,carry water,v60:sera:water_carry:d014:s05,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d014:t00239,audit:v60:tick:00239:resident:sera,True,True
240,14,6,save/restore,rain court,Tovan,return_tool,dry cloaks,v60:tovan:repair_promise:d014:s06,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d014:t00240,audit:v60:tick:00240:resident:tovan,True,True
241,14,7,audit replay,fiber loft,Nia,inspect_memory,map safe route,v60:nia:missed_greeting:d014:s07,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d014:t00241,audit:v60:tick:00241:resident:nia,True,True
242,14,8,arrival,west hearth,Ari,enter,rest after rain,v60:ari:care_favor:d014:s08,care favor,state observed without history rewrite,ssrm:v60:snapshot:d014:t00242,audit:v60:tick:00242:resident:ari,True,True
243,14,9,movement,river gate,Fay,talk,recover focus,v60:fay:route_warning:d014:s09,route warning,state observed without history rewrite,ssrm:v60:snapshot:d014:t00243,audit:v60:tick:00243:resident:fay,True,True
244,14,10,bounded conversation,arrival court,Milo,offer_help,repair awning,v60:milo:tool_loan:d014:s10,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d014:t00244,audit:v60:tick:00244:resident:milo,True,True
245,14,11,schedule/debt,tool alcove,Sera,return_tool,sort herbs,v60:sera:water_carry:d014:s11,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d014:t00245,audit:v60:tick:00245:resident:sera,True,True
246,14,12,offscreen,rain court,Tovan,inspect_memory,carry water,v60:tovan:repair_promise:d014:s12,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d014:t00246,audit:v60:tick:00246:resident:tovan,True,True
247,14,13,consequence,fiber loft,Nia,enter,dry cloaks,v60:nia:missed_greeting:d014:s13,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d014:t00247,audit:v60:tick:00247:resident:nia,True,True
248,14,14,save/restore,west hearth,Ari,talk,map safe route,v60:ari:care_favor:d014:s14,care favor,state observed without history rewrite,ssrm:v60:snapshot:d014:t00248,audit:v60:tick:00248:resident:ari,True,True
249,14,15,audit replay,river gate,Fay,offer_help,rest after rain,v60:fay:route_warning:d014:s15,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d014:t00249,audit:v60:tick:00249:resident:fay,True,True
250,14,16,arrival,arrival court,Milo,return_tool,recover focus,v60:milo:tool_loan:d014:s16,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d014:t00250,audit:v60:tick:00250:resident:milo,True,True
251,14,17,movement,tool alcove,Sera,inspect_memory,repair awning,v60:sera:water_carry:d014:s17,water carry,state observed without history rewrite,ssrm:v60:snapshot:d014:t00251,audit:v60:tick:00251:resident:sera,True,True
252,15,0,schedule/debt,fiber loft,Tovan,talk,carry water,v60:tovan:missed_greeting:d015:s00,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d015:t00252,audit:v60:tick:00252:resident:tovan,True,True
253,15,1,offscreen,west hearth,Nia,offer_help,dry cloaks,v60:nia:care_favor:d015:s01,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d015:t00253,audit:v60:tick:00253:resident:nia,True,True
254,15,2,consequence,river gate,Ari,return_tool,map safe route,v60:ari:route_warning:d015:s02,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d015:t00254,audit:v60:tick:00254:resident:ari,True,True
255,15,3,save/restore,arrival court,Fay,inspect_memory,rest after rain,v60:fay:tool_loan:d015:s03,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d015:t00255,audit:v60:tick:00255:resident:fay,True,True
256,15,4,audit replay,tool alcove,Milo,enter,recover focus,v60:milo:water_carry:d015:s04,water carry,state observed without history rewrite,ssrm:v60:snapshot:d015:t00256,audit:v60:tick:00256:resident:milo,True,True
257,15,5,arrival,rain court,Sera,talk,repair awning,v60:sera:repair_promise:d015:s05,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d015:t00257,audit:v60:tick:00257:resident:sera,True,True
258,15,6,movement,fiber loft,Tovan,offer_help,sort herbs,v60:tovan:missed_greeting:d015:s06,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d015:t00258,audit:v60:tick:00258:resident:tovan,True,True
259,15,7,bounded conversation,west hearth,Nia,return_tool,carry water,v60:nia:care_favor:d015:s07,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d015:t00259,audit:v60:tick:00259:resident:nia,True,True
260,15,8,schedule/debt,river gate,Ari,inspect_memory,dry cloaks,v60:ari:route_warning:d015:s08,route warning,state observed without history rewrite,ssrm:v60:snapshot:d015:t00260,audit:v60:tick:00260:resident:ari,True,True
261,15,9,offscreen,arrival court,Fay,enter,map safe route,v60:fay:tool_loan:d015:s09,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d015:t00261,audit:v60:tick:00261:resident:fay,True,True
262,15,10,consequence,tool alcove,Milo,talk,rest after rain,v60:milo:water_carry:d015:s10,water carry,state observed without history rewrite,ssrm:v60:snapshot:d015:t00262,audit:v60:tick:00262:resident:milo,True,True
263,15,11,save/restore,rain court,Sera,offer_help,recover focus,v60:sera:repair_promise:d015:s11,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d015:t00263,audit:v60:tick:00263:resident:sera,True,True
264,15,12,audit replay,fiber loft,Tovan,return_tool,repair awning,v60:tovan:missed_greeting:d015:s12,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d015:t00264,audit:v60:tick:00264:resident:tovan,True,True
265,15,13,arrival,west hearth,Nia,inspect_memory,sort herbs,v60:nia:care_favor:d015:s13,care favor,state observed without history rewrite,ssrm:v60:snapshot:d015:t00265,audit:v60:tick:00265:resident:nia,True,True
266,15,14,movement,river gate,Ari,enter,carry water,v60:ari:route_warning:d015:s14,route warning,state observed without history rewrite,ssrm:v60:snapshot:d015:t00266,audit:v60:tick:00266:resident:ari,True,True
267,15,15,bounded conversation,arrival court,Fay,talk,dry cloaks,v60:fay:tool_loan:d015:s15,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d015:t00267,audit:v60:tick:00267:resident:fay,True,True
268,15,16,schedule/debt,tool alcove,Milo,offer_help,map safe route,v60:milo:water_carry:d015:s16,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d015:t00268,audit:v60:tick:00268:resident:milo,True,True
269,15,17,offscreen,rain court,Sera,return_tool,rest after rain,v60:sera:repair_promise:d015:s17,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d015:t00269,audit:v60:tick:00269:resident:sera,True,True
270,16,0,save/restore,west hearth,Tovan,enter,repair awning,v60:tovan:care_favor:d016:s00,care favor,state observed without history rewrite,ssrm:v60:snapshot:d016:t00270,audit:v60:tick:00270:resident:tovan,True,True
271,16,1,audit replay,river gate,Nia,talk,sort herbs,v60:nia:route_warning:d016:s01,route warning,state observed without history rewrite,ssrm:v60:snapshot:d016:t00271,audit:v60:tick:00271:resident:nia,True,True
272,16,2,arrival,arrival court,Ari,offer_help,carry water,v60:ari:tool_loan:d016:s02,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d016:t00272,audit:v60:tick:00272:resident:ari,True,True
273,16,3,movement,tool alcove,Fay,return_tool,dry cloaks,v60:fay:water_carry:d016:s03,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d016:t00273,audit:v60:tick:00273:resident:fay,True,True
274,16,4,bounded conversation,rain court,Milo,inspect_memory,map safe route,v60:milo:repair_promise:d016:s04,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d016:t00274,audit:v60:tick:00274:resident:milo,True,True
275,16,5,schedule/debt,fiber loft,Sera,enter,rest after rain,v60:sera:missed_greeting:d016:s05,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d016:t00275,audit:v60:tick:00275:resident:sera,True,True
276,16,6,offscreen,west hearth,Tovan,talk,recover focus,v60:tovan:care_favor:d016:s06,care favor,state observed without history rewrite,ssrm:v60:snapshot:d016:t00276,audit:v60:tick:00276:resident:tovan,True,True
277,16,7,consequence,river gate,Nia,offer_help,repair awning,v60:nia:route_warning:d016:s07,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d016:t00277,audit:v60:tick:00277:resident:nia,True,True
278,16,8,save/restore,arrival court,Ari,return_tool,sort herbs,v60:ari:tool_loan:d016:s08,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d016:t00278,audit:v60:tick:00278:resident:ari,True,True
279,16,9,audit replay,tool alcove,Fay,inspect_memory,carry water,v60:fay:water_carry:d016:s09,water carry,state observed without history rewrite,ssrm:v60:snapshot:d016:t00279,audit:v60:tick:00279:resident:fay,True,True
280,16,10,arrival,rain court,Milo,enter,dry cloaks,v60:milo:repair_promise:d016:s10,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d016:t00280,audit:v60:tick:00280:resident:milo,True,True
281,16,11,movement,fiber loft,Sera,talk,map safe route,v60:sera:missed_greeting:d016:s11,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d016:t00281,audit:v60:tick:00281:resident:sera,True,True
282,16,12,bounded conversation,west hearth,Tovan,offer_help,rest after rain,v60:tovan:care_favor:d016:s12,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d016:t00282,audit:v60:tick:00282:resident:tovan,True,True
283,16,13,schedule/debt,river gate,Nia,return_tool,recover focus,v60:nia:route_warning:d016:s13,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d016:t00283,audit:v60:tick:00283:resident:nia,True,True
284,16,14,offscreen,arrival court,Ari,inspect_memory,repair awning,v60:ari:tool_loan:d016:s14,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d016:t00284,audit:v60:tick:00284:resident:ari,True,True
285,16,15,consequence,tool alcove,Fay,enter,sort herbs,v60:fay:water_carry:d016:s15,water carry,state observed without history rewrite,ssrm:v60:snapshot:d016:t00285,audit:v60:tick:00285:resident:fay,True,True
286,16,16,save/restore,rain court,Milo,talk,carry water,v60:milo:repair_promise:d016:s16,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d016:t00286,audit:v60:tick:00286:resident:milo,True,True
287,16,17,audit replay,fiber loft,Sera,offer_help,dry cloaks,v60:sera:missed_greeting:d016:s17,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d016:t00287,audit:v60:tick:00287:resident:sera,True,True
288,17,0,movement,river gate,Tovan,inspect_memory,rest after rain,v60:tovan:route_warning:d017:s00,route warning,state observed without history rewrite,ssrm:v60:snapshot:d017:t00288,audit:v60:tick:00288:resident:tovan,True,True
289,17,1,bounded conversation,arrival court,Nia,enter,recover focus,v60:nia:tool_loan:d017:s01,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d017:t00289,audit:v60:tick:00289:resident:nia,True,True
290,17,2,schedule/debt,tool alcove,Ari,talk,repair awning,v60:ari:water_carry:d017:s02,water carry,state observed without history rewrite,ssrm:v60:snapshot:d017:t00290,audit:v60:tick:00290:resident:ari,True,True
291,17,3,offscreen,rain court,Fay,offer_help,sort herbs,v60:fay:repair_promise:d017:s03,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d017:t00291,audit:v60:tick:00291:resident:fay,True,True
292,17,4,consequence,fiber loft,Milo,return_tool,carry water,v60:milo:missed_greeting:d017:s04,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d017:t00292,audit:v60:tick:00292:resident:milo,True,True
293,17,5,save/restore,west hearth,Sera,inspect_memory,dry cloaks,v60:sera:care_favor:d017:s05,care favor,state observed without history rewrite,ssrm:v60:snapshot:d017:t00293,audit:v60:tick:00293:resident:sera,True,True
294,17,6,audit replay,river gate,Tovan,enter,map safe route,v60:tovan:route_warning:d017:s06,route warning,state observed without history rewrite,ssrm:v60:snapshot:d017:t00294,audit:v60:tick:00294:resident:tovan,True,True
295,17,7,arrival,arrival court,Nia,talk,rest after rain,v60:nia:tool_loan:d017:s07,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d017:t00295,audit:v60:tick:00295:resident:nia,True,True
296,17,8,movement,tool alcove,Ari,offer_help,recover focus,v60:ari:water_carry:d017:s08,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d017:t00296,audit:v60:tick:00296:resident:ari,True,True
297,17,9,bounded conversation,rain court,Fay,return_tool,repair awning,v60:fay:repair_promise:d017:s09,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d017:t00297,audit:v60:tick:00297:resident:fay,True,True
298,17,10,schedule/debt,fiber loft,Milo,inspect_memory,sort herbs,v60:milo:missed_greeting:d017:s10,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d017:t00298,audit:v60:tick:00298:resident:milo,True,True
299,17,11,offscreen,west hearth,Sera,enter,carry water,v60:sera:care_favor:d017:s11,care favor,state observed without history rewrite,ssrm:v60:snapshot:d017:t00299,audit:v60:tick:00299:resident:sera,True,True
300,17,12,consequence,river gate,Tovan,talk,dry cloaks,v60:tovan:route_warning:d017:s12,route warning,state observed without history rewrite,ssrm:v60:snapshot:d017:t00300,audit:v60:tick:00300:resident:tovan,True,True
301,17,13,save/restore,arrival court,Nia,offer_help,map safe route,v60:nia:tool_loan:d017:s13,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d017:t00301,audit:v60:tick:00301:resident:nia,True,True
302,17,14,audit replay,tool alcove,Ari,return_tool,rest after rain,v60:ari:water_carry:d017:s14,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d017:t00302,audit:v60:tick:00302:resident:ari,True,True
303,17,15,arrival,rain court,Fay,inspect_memory,recover focus,v60:fay:repair_promise:d017:s15,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d017:t00303,audit:v60:tick:00303:resident:fay,True,True
304,17,16,movement,fiber loft,Milo,enter,repair awning,v60:milo:missed_greeting:d017:s16,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d017:t00304,audit:v60:tick:00304:resident:milo,True,True
305,17,17,bounded conversation,west hearth,Sera,talk,sort herbs,v60:sera:care_favor:d017:s17,care favor,state observed without history rewrite,ssrm:v60:snapshot:d017:t00305,audit:v60:tick:00305:resident:sera,True,True
306,18,0,offscreen,arrival court,Tovan,return_tool,dry cloaks,v60:tovan:tool_loan:d018:s00,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d018:t00306,audit:v60:tick:00306:resident:tovan,True,True
307,18,1,consequence,tool alcove,Nia,inspect_memory,map safe route,v60:nia:water_carry:d018:s01,water carry,state observed without history rewrite,ssrm:v60:snapshot:d018:t00307,audit:v60:tick:00307:resident:nia,True,True
308,18,2,save/restore,rain court,Ari,enter,rest after rain,v60:ari:repair_promise:d018:s02,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d018:t00308,audit:v60:tick:00308:resident:ari,True,True
309,18,3,audit replay,fiber loft,Fay,talk,recover focus,v60:fay:missed_greeting:d018:s03,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d018:t00309,audit:v60:tick:00309:resident:fay,True,True
310,18,4,arrival,west hearth,Milo,offer_help,repair awning,v60:milo:care_favor:d018:s04,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d018:t00310,audit:v60:tick:00310:resident:milo,True,True
311,18,5,movement,river gate,Sera,return_tool,sort herbs,v60:sera:route_warning:d018:s05,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d018:t00311,audit:v60:tick:00311:resident:sera,True,True
312,18,6,bounded conversation,arrival court,Tovan,inspect_memory,carry water,v60:tovan:tool_loan:d018:s06,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d018:t00312,audit:v60:tick:00312:resident:tovan,True,True
313,18,7,schedule/debt,tool alcove,Nia,enter,dry cloaks,v60:nia:water_carry:d018:s07,water carry,state observed without history rewrite,ssrm:v60:snapshot:d018:t00313,audit:v60:tick:00313:resident:nia,True,True
314,18,8,offscreen,rain court,Ari,talk,map safe route,v60:ari:repair_promise:d018:s08,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d018:t00314,audit:v60:tick:00314:resident:ari,True,True
315,18,9,consequence,fiber loft,Fay,offer_help,rest after rain,v60:fay:missed_greeting:d018:s09,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d018:t00315,audit:v60:tick:00315:resident:fay,True,True
316,18,10,save/restore,west hearth,Milo,return_tool,recover focus,v60:milo:care_favor:d018:s10,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d018:t00316,audit:v60:tick:00316:resident:milo,True,True
317,18,11,audit replay,river gate,Sera,inspect_memory,repair awning,v60:sera:route_warning:d018:s11,route warning,state observed without history rewrite,ssrm:v60:snapshot:d018:t00317,audit:v60:tick:00317:resident:sera,True,True
318,18,12,arrival,arrival court,Tovan,enter,sort herbs,v60:tovan:tool_loan:d018:s12,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d018:t00318,audit:v60:tick:00318:resident:tovan,True,True
319,18,13,movement,tool alcove,Nia,talk,carry water,v60:nia:water_carry:d018:s13,water carry,state observed without history rewrite,ssrm:v60:snapshot:d018:t00319,audit:v60:tick:00319:resident:nia,True,True
320,18,14,bounded conversation,rain court,Ari,offer_help,dry cloaks,v60:ari:repair_promise:d018:s14,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d018:t00320,audit:v60:tick:00320:resident:ari,True,True
321,18,15,schedule/debt,fiber loft,Fay,return_tool,map safe route,v60:fay:missed_greeting:d018:s15,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d018:t00321,audit:v60:tick:00321:resident:fay,True,True
322,18,16,offscreen,west hearth,Milo,inspect_memory,rest after rain,v60:milo:care_favor:d018:s16,care favor,state observed without history rewrite,ssrm:v60:snapshot:d018:t00322,audit:v60:tick:00322:resident:milo,True,True
323,18,17,consequence,river gate,Sera,enter,recover focus,v60:sera:route_warning:d018:s17,route warning,state observed without history rewrite,ssrm:v60:snapshot:d018:t00323,audit:v60:tick:00323:resident:sera,True,True
324,19,0,audit replay,tool alcove,Tovan,offer_help,sort herbs,v60:tovan:water_carry:d019:s00,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d019:t00324,audit:v60:tick:00324:resident:tovan,True,True
325,19,1,arrival,rain court,Nia,return_tool,carry water,v60:nia:repair_promise:d019:s01,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d019:t00325,audit:v60:tick:00325:resident:nia,True,True
326,19,2,movement,fiber loft,Ari,inspect_memory,dry cloaks,v60:ari:missed_greeting:d019:s02,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d019:t00326,audit:v60:tick:00326:resident:ari,True,True
327,19,3,bounded conversation,west hearth,Fay,enter,map safe route,v60:fay:care_favor:d019:s03,care favor,state observed without history rewrite,ssrm:v60:snapshot:d019:t00327,audit:v60:tick:00327:resident:fay,True,True
328,19,4,schedule/debt,river gate,Milo,talk,rest after rain,v60:milo:route_warning:d019:s04,route warning,state observed without history rewrite,ssrm:v60:snapshot:d019:t00328,audit:v60:tick:00328:resident:milo,True,True
329,19,5,offscreen,arrival court,Sera,offer_help,recover focus,v60:sera:tool_loan:d019:s05,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d019:t00329,audit:v60:tick:00329:resident:sera,True,True
330,19,6,consequence,tool alcove,Tovan,return_tool,repair awning,v60:tovan:water_carry:d019:s06,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d019:t00330,audit:v60:tick:00330:resident:tovan,True,True
331,19,7,save/restore,rain court,Nia,inspect_memory,sort herbs,v60:nia:repair_promise:d019:s07,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d019:t00331,audit:v60:tick:00331:resident:nia,True,True
332,19,8,audit replay,fiber loft,Ari,enter,carry water,v60:ari:missed_greeting:d019:s08,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d019:t00332,audit:v60:tick:00332:resident:ari,True,True
333,19,9,arrival,west hearth,Fay,talk,dry cloaks,v60:fay:care_favor:d019:s09,care favor,state observed without history rewrite,ssrm:v60:snapshot:d019:t00333,audit:v60:tick:00333:resident:fay,True,True
334,19,10,movement,river gate,Milo,offer_help,map safe route,v60:milo:route_warning:d019:s10,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d019:t00334,audit:v60:tick:00334:resident:milo,True,True
335,19,11,bounded conversation,arrival court,Sera,return_tool,rest after rain,v60:sera:tool_loan:d019:s11,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d019:t00335,audit:v60:tick:00335:resident:sera,True,True
336,19,12,schedule/debt,tool alcove,Tovan,inspect_memory,recover focus,v60:tovan:water_carry:d019:s12,water carry,state observed without history rewrite,ssrm:v60:snapshot:d019:t00336,audit:v60:tick:00336:resident:tovan,True,True
337,19,13,offscreen,rain court,Nia,enter,repair awning,v60:nia:repair_promise:d019:s13,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d019:t00337,audit:v60:tick:00337:resident:nia,True,True
338,19,14,consequence,fiber loft,Ari,talk,sort herbs,v60:ari:missed_greeting:d019:s14,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d019:t00338,audit:v60:tick:00338:resident:ari,True,True
339,19,15,save/restore,west hearth,Fay,offer_help,carry water,v60:fay:care_favor:d019:s15,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d019:t00339,audit:v60:tick:00339:resident:fay,True,True
340,19,16,audit replay,river gate,Milo,return_tool,dry cloaks,v60:milo:route_warning:d019:s16,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d019:t00340,audit:v60:tick:00340:resident:milo,True,True
341,19,17,arrival,arrival court,Sera,inspect_memory,map safe route,v60:sera:tool_loan:d019:s17,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d019:t00341,audit:v60:tick:00341:resident:sera,True,True
342,20,0,bounded conversation,rain court,Tovan,talk,recover focus,v60:tovan:repair_promise:d020:s00,repair promise,state observed without history rewrite,ssrm:v60:snapshot:d020:t00342,audit:v60:tick:00342:resident:tovan,True,True
343,20,1,schedule/debt,fiber loft,Nia,offer_help,repair awning,v60:nia:missed_greeting:d020:s01,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d020:t00343,audit:v60:tick:00343:resident:nia,True,True
344,20,2,offscreen,west hearth,Ari,return_tool,sort herbs,v60:ari:care_favor:d020:s02,care favor,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d020:t00344,audit:v60:tick:00344:resident:ari,True,True
345,20,3,consequence,river gate,Fay,inspect_memory,carry water,v60:fay:route_warning:d020:s03,route warning,state observed without history rewrite,ssrm:v60:snapshot:d020:t00345,audit:v60:tick:00345:resident:fay,True,True
346,20,4,save/restore,arrival court,Milo,enter,dry cloaks,v60:milo:tool_loan:d020:s04,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d020:t00346,audit:v60:tick:00346:resident:milo,True,True
347,20,5,audit replay,tool alcove,Sera,talk,map safe route,v60:sera:water_carry:d020:s05,water carry,state observed without history rewrite,ssrm:v60:snapshot:d020:t00347,audit:v60:tick:00347:resident:sera,True,True
348,20,6,arrival,rain court,Tovan,offer_help,rest after rain,v60:tovan:repair_promise:d020:s06,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d020:t00348,audit:v60:tick:00348:resident:tovan,True,True
349,20,7,movement,fiber loft,Nia,return_tool,recover focus,v60:nia:missed_greeting:d020:s07,missed greeting,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d020:t00349,audit:v60:tick:00349:resident:nia,True,True
350,20,8,bounded conversation,west hearth,Ari,inspect_memory,repair awning,v60:ari:care_favor:d020:s08,care favor,state observed without history rewrite,ssrm:v60:snapshot:d020:t00350,audit:v60:tick:00350:resident:ari,True,True
351,20,9,schedule/debt,river gate,Fay,enter,sort herbs,v60:fay:route_warning:d020:s09,route warning,state observed without history rewrite,ssrm:v60:snapshot:d020:t00351,audit:v60:tick:00351:resident:fay,True,True
352,20,10,offscreen,arrival court,Milo,talk,carry water,v60:milo:tool_loan:d020:s10,tool loan,state observed without history rewrite,ssrm:v60:snapshot:d020:t00352,audit:v60:tick:00352:resident:milo,True,True
353,20,11,consequence,tool alcove,Sera,offer_help,dry cloaks,v60:sera:water_carry:d020:s11,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d020:t00353,audit:v60:tick:00353:resident:sera,True,True
354,20,12,save/restore,rain court,Tovan,return_tool,map safe route,v60:tovan:repair_promise:d020:s12,repair promise,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d020:t00354,audit:v60:tick:00354:resident:tovan,True,True
355,20,13,audit replay,fiber loft,Nia,inspect_memory,rest after rain,v60:nia:missed_greeting:d020:s13,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d020:t00355,audit:v60:tick:00355:resident:nia,True,True
356,20,14,arrival,west hearth,Ari,enter,recover focus,v60:ari:care_favor:d020:s14,care favor,state observed without history rewrite,ssrm:v60:snapshot:d020:t00356,audit:v60:tick:00356:resident:ari,True,True
357,20,15,movement,river gate,Fay,talk,repair awning,v60:fay:route_warning:d020:s15,route warning,state observed without history rewrite,ssrm:v60:snapshot:d020:t00357,audit:v60:tick:00357:resident:fay,True,True
358,20,16,bounded conversation,arrival court,Milo,offer_help,sort herbs,v60:milo:tool_loan:d020:s16,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d020:t00358,audit:v60:tick:00358:resident:milo,True,True
359,20,17,schedule/debt,tool alcove,Sera,return_tool,carry water,v60:sera:water_carry:d020:s17,water carry,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d020:t00359,audit:v60:tick:00359:resident:sera,True,True
360,21,0,consequence,fiber loft,Tovan,enter,map safe route,v60:tovan:missed_greeting:d021:s00,missed greeting,state observed without history rewrite,ssrm:v60:snapshot:d021:t00360,audit:v60:tick:00360:resident:tovan,True,True
361,21,1,save/restore,west hearth,Nia,talk,rest after rain,v60:nia:care_favor:d021:s01,care favor,state observed without history rewrite,ssrm:v60:snapshot:d021:t00361,audit:v60:tick:00361:resident:nia,True,True
362,21,2,audit replay,river gate,Ari,offer_help,recover focus,v60:ari:route_warning:d021:s02,route warning,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d021:t00362,audit:v60:tick:00362:resident:ari,True,True
363,21,3,arrival,arrival court,Fay,return_tool,repair awning,v60:fay:tool_loan:d021:s03,tool loan,trust/debt/schedule changed visibly,ssrm:v60:snapshot:d021:t00363,audit:v60:tick:00363:resident:fay,True,True
364,21,4,movement,tool alcove,Milo,inspect_memory,sort herbs,v60:milo:water_carry:d021:s04,water carry,state observed without history rewrite,ssrm:v60:snapshot:d021:t00364,audit:v60:tick:00364:resident:milo,True,True
