tick,day,active_agents,branch_ids,selected_branch_count,simultaneous_consequence_count,persisted_branch_count,local_storage_key,reload_token,concurrency_ok
157,20,Keth|Nari,routeline:protect:20:5|ledgerline:claim:20:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-20-157,1
158,20,Melo|Ori,marketline:protect:20:6|orchardline:claim:20:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-20-158,1
159,20,Nari|Vonn,ledgerline:protect:20:7|rainline:claim:20:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-20-159,1
160,21,Ori|Sova|Melo,orchardline:protect:21:0|hearthline:claim:21:3|marketline:witness:21:5,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-21-160,1
161,21,Vonn|Keth,rainline:protect:21:1|routeline:claim:21:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-21-161,1
162,21,Sova|Melo,hearthline:protect:21:2|marketline:claim:21:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-21-162,1
163,21,Keth|Nari,routeline:protect:21:3|ledgerline:claim:21:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-21-163,1
164,21,Melo|Ori,marketline:protect:21:4|orchardline:claim:21:7,2,2,1,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-21-164,0
165,21,Nari|Vonn|Keth,ledgerline:protect:21:5|rainline:claim:21:0|routeline:witness:21:2,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-21-165,1
166,21,Ori|Sova,orchardline:protect:21:6|hearthline:claim:21:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-21-166,1
167,21,Vonn|Keth,rainline:protect:21:7|routeline:claim:21:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-21-167,1
