tick,day,loop_id,focus_agent,animation_state_visible,gesture_visible,proximity_choreography_visible,object_ceremony_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
309,26,v19-loop-039,Vonn,1,1,1,0,1.132,71.117076,holds space and listens,1
310,26,v19-loop-039,Sova,0,1,1,0,1.1224,208.85644,holds space and listens,1
311,26,v19-loop-039,Keth,1,1,1,0,1.212,349.472604,steps into turn with gesture,1
312,27,v19-loop-040,Nari,1,1,1,0,1.212,121.370368,steps into turn with gesture,1
313,27,v19-loop-040,Ori,1,1,1,0,1.212,259.388132,steps into turn with gesture,1
314,27,v19-loop-040,Vonn,1,1,1,1,1.1996,37.046296,handles ceremony object between agents,1
315,27,v19-loop-040,Sova,1,1,1,0,1.1224,172.82526,holds space and listens,1
316,27,v19-loop-040,Keth,1,1,1,0,1.132,311.121424,holds space and listens,1
317,27,v19-loop-040,Melo,1,1,1,0,1.132,89.139188,holds space and listens,1
318,27,v19-loop-040,Nari,1,1,1,0,1.212,229.476952,steps into turn with gesture,1
319,27,v19-loop-040,Ori,1,1,1,0,1.132,5.174716,holds space and listens,1
320,27,v19-loop-041,Vonn,1,1,1,1,1.182,144.64248,handles ceremony object between agents,1
321,27,v19-loop-041,Sova,1,1,1,0,1.132,281.210244,holds space and listens,1
322,27,v19-loop-041,Keth,1,1,1,0,1.2296,62.058408,steps into turn with gesture,1
323,27,v19-loop-041,Melo,1,1,1,0,1.212,198.715772,repairs misread gesture slowly,1
324,28,v19-loop-041,Ori,1,1,1,0,1.1224,328.865136,holds space and listens,1
325,28,v19-loop-041,Vonn,1,1,1,0,1.1224,106.8829,holds space and listens,1
326,28,v19-loop-041,Sova,1,1,1,0,1.212,247.499064,steps into turn with gesture,1
327,28,v19-loop-041,Keth,1,1,1,0,1.1224,22.918428,holds space and listens,1
328,28,v19-loop-042,Melo,1,1,1,0,1.212,163.534592,steps into turn with gesture,1
329,28,v19-loop-042,Nari,1,1,1,0,1.2296,302.062756,steps into turn with gesture,1
330,28,v19-loop-042,Ori,1,1,1,1,1.2796,81.53052,handles ceremony object between agents,1
331,28,v19-loop-042,Vonn,1,1,1,1,1.1996,217.228284,handles ceremony object between agents,1
332,28,v19-loop-042,Sova,1,1,1,0,1.132,353.285648,holds space and listens,1
333,28,v19-loop-042,Keth,1,1,1,1,1.1996,133.263812,handles ceremony object between agents,1
334,28,v19-loop-042,Melo,1,1,1,0,1.132,269.321176,holds space and listens,1
335,28,v19-loop-042,Nari,1,1,1,1,1.1996,49.29934,handles ceremony object between agents,1
