tick,day,lineage,agent,energy,fatigue,hunger,thirst,cold,wetness,pain,comfort,dominant_need,recovery_action,behavior_marker,need_to_behavior_binding
185,14,Rainline,Vonn,0.568047,0.588965,0.54,0.655965,0.0,0.283171,0.108,0.559899,thirst,water pause or care round,looks toward cup shelf,True
186,14,Hearthline,Sova,0.469157,0.570632,0.56,0.632632,0.0,0.060011,0.05,0.561032,thirst,water pause or care round,looks toward cup shelf,True
187,14,Routeline,Keth,0.489632,0.590276,0.57,0.647276,0.0,0.061506,0.06,0.554478,thirst,water pause or care round,looks toward cup shelf,True
188,14,Marketline,Melo,0.557973,0.55152,0.51,0.57352,0.0,0.079156,0.05,0.591944,thirst,water pause or care round,looks toward cup shelf,True
189,14,Ledgerline,Nari,0.530073,0.569945,0.59,0.676945,0.0,0.087937,0.06,0.55956,thirst,water pause or care round,looks toward cup shelf,True
190,14,Orchardline,Ori,0.923642,0.018478,0.175,0.692268,0.0,0.079749,0.0,0.815212,thirst,water pause or care round,looks toward cup shelf,True
191,14,Rainline,Vonn,0.565495,0.590879,0.55,0.669879,0.0,0.319065,0.108,0.556226,thirst,water pause or care round,looks toward cup shelf,True
192,14,Hearthline,Sova,0.454187,0.58936,0.57,0.64536,0.0,0.121288,0.05,0.551592,thirst,water pause or care round,looks toward cup shelf,True
193,14,Routeline,Keth,0.47466,0.609005,0.58,0.660005,0.0,0.121512,0.06,0.545037,thirst,water pause or care round,looks toward cup shelf,True
194,14,Marketline,Melo,0.557036,0.552223,0.52,0.586223,0.0,0.117047,0.05,0.588938,thirst,water pause or care round,looks toward cup shelf,True
195,14,Ledgerline,Nari,0.514894,0.58883,0.6,0.68983,0.0,0.147378,0.06,0.550034,thirst,water pause or care round,looks toward cup shelf,True
196,14,Orchardline,Ori,0.944494,0.0,0.16,0.705129,0.0,0.143487,0.0,0.82331,thirst,water pause or care round,looks toward cup shelf,True
197,15,Hearthline,Sova,0.452972,0.590271,0.58,0.658271,0.0,0.151806,0.05,0.548471,thirst,water pause or care round,looks toward cup shelf,True
198,15,Routeline,Keth,0.473237,0.610072,0.59,0.673072,0.0,0.1778,0.06,0.54183,thirst,water pause or care round,looks toward cup shelf,True
199,15,Marketline,Melo,0.541654,0.57126,0.53,0.59926,0.0,0.172797,0.05,0.579327,thirst,water pause or care round,looks toward cup shelf,True
200,15,Ledgerline,Nari,0.513337,0.589997,0.61,0.702997,0.0,0.194573,0.06,0.546772,thirst,water pause or care round,looks toward cup shelf,True
201,15,Orchardline,Ori,0.928944,0.019163,0.17,0.718292,0.0,0.193794,0.0,0.81363,thirst,water pause or care round,looks toward cup shelf,True
202,15,Rainline,Vonn,0.562131,0.593402,0.56,0.684402,0.0,0.420458,0.108,0.552219,thirst,water pause or care round,looks toward cup shelf,True
203,15,Hearthline,Sova,0.437411,0.609441,0.59,0.671441,0.0,0.195124,0.05,0.538787,thirst,water pause or care round,looks toward cup shelf,True
204,15,Routeline,Keth,0.457573,0.62932,0.6,0.68632,0.0,0.20808,0.06,0.532104,thirst,water pause or care round,looks toward cup shelf,True
205,15,Marketline,Melo,0.539957,0.572532,0.54,0.612532,0.0,0.212134,0.05,0.576007,thirst,water pause or care round,looks toward cup shelf,True
206,15,Ledgerline,Nari,0.497608,0.609294,0.62,0.716294,0.0,0.216127,0.06,0.537018,thirst,water pause or care round,looks toward cup shelf,True
207,15,Orchardline,Ori,0.949193,0.0,0.155,0.731605,0.0,0.218827,0.0,0.821752,thirst,water pause or care round,looks toward cup shelf,True
208,15,Rainline,Vonn,0.544565,0.614076,0.57,0.699076,0.0,0.445672,0.114,0.540508,thirst,water pause or care round,looks toward cup shelf,True
209,15,Hearthline,Sova,0.435551,0.610837,0.6,0.684837,0.0,0.232554,0.05,0.5354,thirst,water pause or care round,looks toward cup shelf,True
210,15,Routeline,Keth,0.455751,0.630687,0.61,0.699687,0.0,0.227748,0.06,0.528732,thirst,water pause or care round,looks toward cup shelf,True
211,16,Ledgerline,Nari,0.495839,0.610621,0.63,0.729621,0.0,0.22118,0.06,0.533669,thirst,water pause or care round,looks toward cup shelf,True
212,16,Orchardline,Ori,0.933586,0.019205,0.165,0.74481,0.0,0.200894,0.0,0.81205,thirst,water pause or care round,looks toward cup shelf,True
213,16,Rainline,Vonn,0.541032,0.616726,0.58,0.713726,0.0,0.44169,0.114,0.536431,thirst,water pause or care round,looks toward cup shelf,True
214,16,Hearthline,Sova,0.419993,0.630005,0.61,0.698005,0.0,0.194702,0.05,0.525717,thirst,water pause or care round,looks toward cup shelf,True
215,16,Routeline,Keth,0.440105,0.649921,0.62,0.712921,0.0,0.205721,0.06,0.519013,thirst,water pause or care round,looks toward cup shelf,True
216,16,Marketline,Melo,0.538298,0.573777,0.55,0.625777,0.0,0.207405,0.05,0.572703,thirst,water pause or care round,looks toward cup shelf,True
217,16,Ledgerline,Nari,0.480239,0.629821,0.64,0.742821,0.0,0.19998,0.06,0.523969,thirst,water pause or care round,looks toward cup shelf,True
218,16,Orchardline,Ori,0.954003,0.0,0.15,0.757998,0.0,0.197876,0.0,0.820221,thirst,water pause or care round,looks toward cup shelf,True
219,16,Rainline,Vonn,0.523658,0.637256,0.59,0.728256,0.0,0.421734,0.12,0.524799,thirst,water pause or care round,looks toward cup shelf,True
220,16,Hearthline,Sova,0.41874,0.630945,0.62,0.710945,0.0,0.15669,0.05,0.52258,thirst,water pause or care round,looks toward cup shelf,True
221,16,Routeline,Keth,0.438869,0.650848,0.63,0.725848,0.0,0.154525,0.06,0.515883,thirst,water pause or care round,looks toward cup shelf,True
222,16,Marketline,Melo,0.523102,0.592674,0.56,0.638674,0.0,0.149489,0.05,0.563169,thirst,water pause or care round,looks toward cup shelf,True
223,16,Ledgerline,Nari,0.479131,0.630651,0.65,0.755651,0.0,0.13847,0.06,0.520892,thirst,water pause or care round,looks toward cup shelf,True
224,16,Orchardline,Ori,0.93894,0.018797,0.16,0.770795,0.0,0.132913,0.0,0.810742,thirst,water pause or care round,looks toward cup shelf,True
