tick_id,day,project_id,owner,sight_cue,sound_cue,body_cue,material_cue,weather_cue,sensory_bound_to_project
307,18,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,warm light,true
308,18,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,glass ledger,dusk chill,true
309,18,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,quiet rain,true
310,18,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,rope ledger,cold floor,true
311,18,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,seed ledger,clear air,true
312,18,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dry wind,true
313,18,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,warm light,true
314,18,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dusk chill,true
315,18,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,quiet rain,true
316,18,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,oil ledger,cold floor,true
317,18,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,clear air,true
318,18,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dry wind,true
319,18,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,warm light,true
320,18,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,dusk chill,true
321,18,archive_weather_log,Nia,stacked materials,agent call,steady posture,paper ledger,quiet rain,true
322,18,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,rope ledger,cold floor,true
323,18,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,seed ledger,clear air,true
324,19,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,wire ledger,warm light,true
325,19,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,dusk chill,true
326,19,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,planks ledger,quiet rain,true
327,19,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,cold floor,true
328,19,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,clear air,true
329,19,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,dry wind,true
330,19,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,warm light,true
331,19,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,dusk chill,true
332,19,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,quiet rain,true
333,19,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,cold floor,true
334,19,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,clear air,true
335,19,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,dry wind,true
336,19,north_lantern_relay,Milo,stacked materials,agent call,steady posture,wire ledger,warm light,true
337,19,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,thread ledger,dusk chill,true
338,19,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,planks ledger,quiet rain,true
339,19,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,cold floor,true
340,19,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,oil ledger,clear air,true
341,19,archive_weather_log,Nia,idle project card,quiet rest,resting posture,paper ledger,dry wind,true
342,20,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,resin ledger,dusk chill,true
343,20,herb_roof_garden,Fay,blocked marker,quiet rest,steady posture,seed ledger,quiet rain,true
344,20,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,cold floor,true
345,20,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,clear air,true
346,20,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dry wind,true
347,20,herb_roof_garden,Fay,stacked materials,agent call,steady posture,water ledger,warm light,true
348,20,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dusk chill,true
349,20,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,quiet rain,true
350,20,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,cold floor,true
351,20,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,clear air,true
352,20,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,oil ledger,dry wind,true
353,20,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,warm light,true
354,20,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dusk chill,true
355,20,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,quiet rain,true
356,20,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,cold floor,true
357,20,archive_weather_log,Nia,blocked marker,agent call,steady posture,low stock tag,clear air,true
358,20,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,rope ledger,dry wind,true
359,20,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,warm light,true
360,21,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,quiet rain,true
361,21,west_bridge_repair,Ari,blocked marker,quiet rest,steady posture,rope ledger,cold floor,true
362,21,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,clear air,true
363,21,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dry wind,true
364,21,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,warm light,true
365,21,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dusk chill,true
366,21,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,quiet rain,true
367,21,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,cold floor,true
368,21,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,clear air,true
369,21,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dry wind,true
370,21,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,warm light,true
371,21,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,glass ledger,dusk chill,true
372,21,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,quiet rain,true
373,21,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,cold floor,true
374,21,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,clear air,true
375,21,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dry wind,true
376,21,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,warm light,true
377,21,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,planks ledger,dusk chill,true
378,22,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,cold floor,true
379,22,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,oil ledger,clear air,true
380,22,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,dry wind,true
381,22,west_bridge_repair,Ari,blocked marker,agent call,steady posture,low stock tag,warm light,true
382,22,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,dusk chill,true
383,22,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,quiet rain,true
384,22,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,cold floor,true
385,22,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,clear air,true
386,22,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,dry wind,true
387,22,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,wire ledger,warm light,true
388,22,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,dusk chill,true
389,22,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,planks ledger,quiet rain,true
390,22,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,cold floor,true
391,22,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,clear air,true
392,22,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,paper ledger,dry wind,true
393,22,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,warm light,true
394,22,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,seed ledger,dusk chill,true
395,22,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,wire ledger,quiet rain,true
396,23,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,clear air,true
397,23,west_bridge_repair,Ari,idle project card,tool scrape,steady posture,rope ledger,dry wind,true
398,23,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,warm light,true
399,23,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dusk chill,true
400,23,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,quiet rain,true
401,23,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,cold floor,true
402,23,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,clear air,true
403,23,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,dry wind,true
404,23,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,warm light,true
405,23,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dusk chill,true
406,23,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,quiet rain,true
407,23,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,wire ledger,cold floor,true
408,23,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,clear air,true
409,23,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dry wind,true
410,23,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,warm light,true
411,23,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dusk chill,true
412,23,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,quiet rain,true
413,23,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,planks ledger,cold floor,true
414,24,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,oil ledger,dry wind,true
415,24,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,warm light,true
416,24,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,planks ledger,dusk chill,true
417,24,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,quiet rain,true
418,24,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,cold floor,true
419,24,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,clear air,true
420,24,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dry wind,true
421,24,herb_roof_garden,Fay,blocked marker,agent call,steady posture,low stock tag,warm light,true
422,24,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dusk chill,true
423,24,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,quiet rain,true
424,24,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,cold floor,true
425,24,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,clear air,true
426,24,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dry wind,true
427,24,archive_weather_log,Nia,blocked marker,agent call,steady posture,low stock tag,warm light,true
428,24,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dusk chill,true
429,24,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,quiet rain,true
430,24,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,cold floor,true
431,24,archive_weather_log,Nia,idle project card,tool scrape,steady posture,paper ledger,clear air,true
432,25,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,rope ledger,warm light,true
433,25,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,seed ledger,dusk chill,true
434,25,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,quiet rain,true
435,25,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,cold floor,true
436,25,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,clear air,true
437,25,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,water ledger,dry wind,true
438,25,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,oil ledger,warm light,true
439,25,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,dusk chill,true
440,25,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,resin ledger,quiet rain,true
441,25,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,cold floor,true
442,25,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,glass ledger,clear air,true
443,25,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,dry wind,true
444,25,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,warm light,true
445,25,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,dusk chill,true
446,25,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,quiet rain,true
447,25,archive_weather_log,Nia,stacked materials,agent call,steady posture,thread ledger,cold floor,true
448,25,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,planks ledger,clear air,true
449,25,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,dry wind,true
450,26,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,oil ledger,dusk chill,true
451,26,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,quiet rain,true
452,26,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,resin ledger,cold floor,true
453,26,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,clear air,true
454,26,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,dry wind,true
455,26,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,warm light,true
456,26,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dusk chill,true
457,26,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,seed ledger,quiet rain,true
458,26,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
459,26,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,clear air,true
460,26,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dry wind,true
461,26,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,warm light,true
462,26,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dusk chill,true
463,26,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,ink ledger,quiet rain,true
464,26,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,cold floor,true
465,26,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,clear air,true
466,26,north_lantern_relay,Milo,blocked marker,quiet rest,steady posture,glass ledger,dry wind,true
467,26,archive_weather_log,Nia,idle project card,quiet rest,resting posture,paper ledger,warm light,true
468,27,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,quiet rain,true
469,27,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,cold floor,true
470,27,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,clear air,true
471,27,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,rope ledger,dry wind,true
472,27,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,warm light,true
473,27,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dusk chill,true
474,27,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,quiet rain,true
475,27,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,cold floor,true
476,27,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,clear air,true
477,27,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,oil ledger,dry wind,true
478,27,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,warm light,true
479,27,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dusk chill,true
480,27,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,quiet rain,true
481,27,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,cold floor,true
482,27,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,paper ledger,clear air,true
483,27,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dry wind,true
484,27,herb_roof_garden,Fay,blocked marker,quiet rest,steady posture,seed ledger,warm light,true
485,27,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,wire ledger,dusk chill,true
486,28,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,cold floor,true
487,28,west_bridge_repair,Ari,blocked marker,quiet rest,steady posture,planks ledger,clear air,true
488,28,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,dry wind,true
489,28,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,oil ledger,warm light,true
490,28,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,dusk chill,true
491,28,west_bridge_repair,Ari,stacked materials,agent call,steady posture,resin ledger,quiet rain,true
492,28,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,cold floor,true
493,28,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,clear air,true
494,28,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,dry wind,true
495,28,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,warm light,true
496,28,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,dusk chill,true
497,28,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,wire ledger,quiet rain,true
498,28,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,cold floor,true
499,28,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,clear air,true
500,28,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,dry wind,true
501,28,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,warm light,true
502,28,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,dusk chill,true
503,28,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,resin ledger,quiet rain,true
504,29,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,seed ledger,clear air,true
505,29,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,dry wind,true
506,29,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,warm light,true
507,29,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,rope ledger,dusk chill,true
508,29,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,quiet rain,true
509,29,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
510,29,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,clear air,true
511,29,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dry wind,true
512,29,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,warm light,true
513,29,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,oil ledger,dusk chill,true
514,29,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,quiet rain,true
515,29,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,cold floor,true
516,29,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,clear air,true
517,29,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,glass ledger,dry wind,true
518,29,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,paper ledger,warm light,true
519,29,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,rope ledger,dusk chill,true
520,29,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,quiet rain,true
521,29,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,wire ledger,cold floor,true
522,30,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,planks ledger,dry wind,true
523,30,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,warm light,true
524,30,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dusk chill,true
525,30,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,quiet rain,true
526,30,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,cold floor,true
527,30,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,clear air,true
528,30,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dry wind,true
529,30,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,warm light,true
530,30,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dusk chill,true
531,30,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,quiet rain,true
532,30,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,glass ledger,cold floor,true
533,30,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,paper ledger,clear air,true
534,30,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dry wind,true
535,30,herb_roof_garden,Fay,blocked marker,agent call,steady posture,low stock tag,warm light,true
536,30,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dusk chill,true
537,30,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,ink ledger,quiet rain,true
538,30,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,resin ledger,cold floor,true
539,30,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,clear air,true
540,31,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,oil ledger,warm light,true
541,31,archive_weather_log,Nia,idle project card,quiet rest,resting posture,paper ledger,dusk chill,true
542,31,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,rope ledger,quiet rain,true
543,31,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,cold floor,true
544,31,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,clear air,true
545,31,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,dry wind,true
546,31,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,warm light,true
547,31,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,water ledger,dusk chill,true
548,31,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,quiet rain,true
549,31,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,cold floor,true
550,31,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,clear air,true
551,31,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,dry wind,true
552,31,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,warm light,true
553,31,archive_weather_log,Nia,idle project card,tool scrape,steady posture,paper ledger,dusk chill,true
554,31,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,quiet rain,true
555,31,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,cold floor,true
556,31,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,clear air,true
557,31,archive_weather_log,Nia,idle project card,quiet rest,resting posture,thread ledger,dry wind,true
558,32,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,planks ledger,dusk chill,true
559,32,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,quiet rain,true
560,32,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
561,32,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,clear air,true
562,32,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dry wind,true
563,32,herb_roof_garden,Fay,idle project card,tool scrape,steady posture,compost ledger,warm light,true
564,32,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dusk chill,true
565,32,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,quiet rain,true
566,32,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,cold floor,true
567,32,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,clear air,true
568,32,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,glass ledger,dry wind,true
569,32,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,warm light,true
570,32,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,planks ledger,dusk chill,true
571,32,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,quiet rain,true
572,32,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
573,32,archive_weather_log,Nia,blocked marker,agent call,steady posture,ink ledger,clear air,true
574,32,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,resin ledger,dry wind,true
575,32,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,warm light,true
576,33,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,quiet rain,true
577,33,west_bridge_repair,Ari,idle project card,tool scrape,steady posture,resin ledger,cold floor,true
578,33,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,clear air,true
579,33,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dry wind,true
580,33,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,warm light,true
581,33,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dusk chill,true
582,33,herb_roof_garden,Fay,idle project card,tool scrape,steady posture,seed ledger,quiet rain,true
583,33,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,cold floor,true
584,33,archive_weather_log,Nia,idle project card,tool scrape,steady posture,thread ledger,clear air,true
585,33,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dry wind,true
586,33,herb_roof_garden,Fay,idle project card,tool scrape,steady posture,water ledger,warm light,true
587,33,north_lantern_relay,Milo,blocked marker,agent call,steady posture,wire ledger,dusk chill,true
588,33,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,quiet rain,true
589,33,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,cold floor,true
590,33,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,clear air,true
591,33,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dry wind,true
592,33,archive_weather_log,Nia,idle project card,quiet rest,resting posture,paper ledger,warm light,true
593,33,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,rope ledger,dusk chill,true
594,34,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,seed ledger,cold floor,true
595,34,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,clear air,true
596,34,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,dry wind,true
597,34,west_bridge_repair,Ari,idle project card,tool scrape,steady posture,planks ledger,warm light,true
598,34,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,dusk chill,true
599,34,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,quiet rain,true
600,34,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,cold floor,true
601,34,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,clear air,true
602,34,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,dry wind,true
603,34,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,oil ledger,warm light,true
604,34,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,dusk chill,true
605,34,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,quiet rain,true
606,34,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,cold floor,true
607,34,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,clear air,true
608,34,archive_weather_log,Nia,idle project card,tool scrape,steady posture,thread ledger,dry wind,true
609,34,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,warm light,true
610,34,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,dusk chill,true
611,34,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,wire ledger,quiet rain,true
612,35,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,clear air,true
613,35,west_bridge_repair,Ari,blocked marker,quiet rest,steady posture,resin ledger,dry wind,true
614,35,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,warm light,true
