tick,day,resident,room,sound_level,smell_strength,temperature_c,wetness,light_level,pain_signal,fatigue_signal,overlay_intensity,sensory_frequency_hz,flower_phase,overlay_visible
621,35,Ari,river gate,0.538531,0.228861,23.383,0.549926,0.88,0.01223,0.408535,0.436347,2.75,bud,True
622,35,Fay,west hearth,0.557152,0.214735,23.293,0.066353,0.874531,0.172782,0.435005,0.38676,3.12,bloom,True
623,35,Milo,rain court,0.575234,0.201073,23.193,0.542989,0.858289,0.013344,0.461476,0.442067,3.49,fruit,True
624,35,Sera,tool alcove,0.592684,0.187913,23.082,0.059841,0.831769,0.013915,0.487946,0.362345,3.86,compost,True
625,35,Tovan,fiber loft,0.609415,0.175293,22.961,0.056911,0.795776,0.014496,0.514417,0.361052,4.23,seed,True
626,35,Nia,glasshouse,0.625343,0.163248,22.83,0.054205,0.751404,0.015086,0.540888,0.358362,4.6,root,True
627,35,Ari,river gate,0.640388,0.151812,22.689,0.531726,0.7,0.015685,0.567358,0.434495,4.97,stem,True
628,35,Fay,west hearth,0.654473,0.141016,22.538,0.049477,0.643127,0.016293,0.593829,0.349703,5.34,leaf,True
629,35,Milo,rain court,0.667528,0.130892,22.378,0.527462,0.582513,0.17691,0.620299,0.450934,5.71,bud,True
630,36,Sera,fiber loft,0.679486,0.121467,23.698,0.045683,0.52,0.017534,0.178057,0.260371,2.791,bud,True
631,36,Tovan,glasshouse,0.690289,0.112768,23.699,0.044142,0.582513,0.018167,0.204528,0.275401,3.161,bloom,True
632,36,Nia,river gate,0.69988,0.10482,23.688,0.522842,0.643127,0.018808,0.230998,0.370079,3.531,fruit,True
633,36,Ari,west hearth,0.708213,0.097644,23.665,0.041785,0.7,0.019456,0.257469,0.304095,3.901,compost,True
634,36,Fay,rain court,0.715244,0.091262,23.631,0.520972,0.751404,0.020112,0.283939,0.397155,4.271,seed,True
635,36,Milo,tool alcove,0.720939,0.08569,23.586,0.040403,0.795776,0.180775,0.31041,0.355666,4.641,root,True
636,36,Sera,fiber loft,0.725269,0.080945,23.529,0.040081,0.831769,0.021445,0.336881,0.339398,5.011,stem,True
637,36,Tovan,glasshouse,0.728211,0.07704,23.462,0.040004,0.858289,0.022121,0.363351,0.34817,5.381,leaf,True
638,36,Nia,river gate,0.729752,0.073985,23.383,0.520175,0.874531,0.022804,0.389822,0.435178,5.751,bud,True
639,36,Ari,west hearth,0.729883,0.07179,23.293,0.040591,0.88,0.023494,0.416292,0.360342,2.791,bloom,True
640,36,Fay,rain court,0.728604,0.070461,23.193,0.521253,0.874531,0.024189,0.442763,0.443633,3.161,fruit,True
641,36,Milo,tool alcove,0.725921,0.07,23.082,0.042159,0.858289,0.02489,0.469233,0.365082,3.531,compost,True
642,36,Sera,fiber loft,0.721847,0.070411,22.961,0.043309,0.831769,0.185596,0.495704,0.391439,3.901,seed,True
643,36,Tovan,glasshouse,0.716404,0.07169,22.83,0.044701,0.795776,0.026308,0.522175,0.362842,4.271,root,True
644,36,Nia,river gate,0.709618,0.073836,22.689,0.526333,0.751404,0.027024,0.548645,0.439477,4.641,stem,True
645,36,Ari,west hearth,0.701525,0.076842,22.538,0.048203,0.7,0.027745,0.575116,0.354905,5.011,leaf,True
646,36,Fay,rain court,0.692163,0.080698,22.378,0.530307,0.643127,0.028471,0.601586,0.429392,5.381,bud,True
647,36,Milo,tool alcove,0.681582,0.085396,22.209,0.052644,0.582513,0.029201,0.628057,0.343232,5.751,bloom,True
648,37,Sera,glasshouse,0.669834,0.09092,23.699,0.055211,0.52,0.189935,0.185847,0.285291,2.832,bloom,True
649,37,Tovan,river gate,0.656978,0.097257,23.688,0.538002,0.582513,0.030672,0.212318,0.352957,3.202,fruit,True
650,37,Nia,west hearth,0.643079,0.104387,23.665,0.061016,0.643127,0.031413,0.238789,0.286968,3.572,compost,True
651,37,Ari,rain court,0.628207,0.112292,23.631,0.544247,0.7,0.032156,0.265259,0.38036,3.942,seed,True
652,37,Fay,tool alcove,0.612437,0.120948,23.586,0.067691,0.751404,0.032903,0.29173,0.312852,4.312,root,True
653,37,Milo,fiber loft,0.595848,0.130332,23.529,0.071344,0.795776,0.033652,0.3182,0.324192,4.682,stem,True
654,37,Sera,glasshouse,0.578525,0.140417,23.462,0.0752,0.831769,0.034404,0.344671,0.334164,5.052,leaf,True
655,37,Tovan,river gate,0.560554,0.151175,23.383,0.559254,0.858289,0.195157,0.371141,0.449262,5.422,bud,True
656,37,Nia,west hearth,0.542026,0.162576,23.293,0.083501,0.874531,0.035912,0.397612,0.34936,5.792,bloom,True
657,37,Ari,rain court,0.523035,0.174587,23.193,0.567935,0.88,0.036669,0.424083,0.434385,2.832,fruit,True
658,37,Fay,tool alcove,0.503675,0.187175,23.082,0.09255,0.874531,0.037427,0.450553,0.357652,3.202,compost,True
659,37,Milo,fiber loft,0.484045,0.200304,22.961,0.097339,0.858289,0.038186,0.477024,0.359198,3.572,seed,True
660,37,Sera,glasshouse,0.464243,0.213938,22.83,0.102296,0.831769,0.038945,0.503494,0.359114,3.942,root,True
661,37,Tovan,river gate,0.44437,0.228039,22.689,0.587414,0.795776,0.039705,0.529965,0.437545,4.312,stem,True
662,37,Nia,west hearth,0.424524,0.242566,22.538,0.112687,0.751404,0.200465,0.556436,0.381347,4.682,leaf,True
663,37,Ari,rain court,0.404808,0.257479,22.378,0.598106,0.7,0.041225,0.582906,0.430754,5.052,bud,True
664,37,Fay,tool alcove,0.385319,0.272737,22.209,0.123664,0.643127,0.041984,0.609377,0.346035,5.422,bloom,True
665,37,Milo,fiber loft,0.366156,0.288295,22.031,0.129355,0.582513,0.042743,0.635847,0.340818,5.792,fruit,True
666,38,Sera,river gate,0.347415,0.304111,23.688,0.61517,0.52,0.043501,0.193539,0.337289,2.873,fruit,True
667,38,Tovan,west hearth,0.329191,0.320141,23.665,0.1411,0.582513,0.044257,0.22001,0.272869,3.243,compost,True
668,38,Nia,rain court,0.311576,0.336338,23.631,0.627139,0.643127,0.205012,0.24648,0.394945,3.613,seed,True
669,38,Ari,tool alcove,0.294659,0.352658,23.586,0.153278,0.7,0.045765,0.272951,0.303218,3.983,root,True
670,38,Fay,fiber loft,0.278524,0.369054,23.529,0.159507,0.751404,0.046516,0.299421,0.317404,4.353,stem,True
671,38,Milo,glasshouse,0.263254,0.385482,23.462,0.16582,0.795776,0.047265,0.325892,0.330581,4.723,leaf,True
672,38,Sera,river gate,0.248924,0.401894,23.383,0.652207,0.831769,0.048011,0.352363,0.422528,5.093,bud,True
673,38,Tovan,west hearth,0.235607,0.418245,23.293,0.178659,0.858289,0.048754,0.378833,0.353065,5.463,bloom,True
674,38,Nia,rain court,0.223371,0.434488,23.193,0.665168,0.874531,0.049494,0.405304,0.442059,5.833,fruit,True
675,38,Ari,tool alcove,0.212277,0.450578,23.082,0.191724,0.88,0.21023,0.431774,0.396097,2.873,compost,True
676,38,Fay,fiber loft,0.202381,0.46647,22.961,0.198319,0.874531,0.050963,0.458245,0.375151,3.243,seed,True
677,38,Milo,glasshouse,0.193732,0.482119,22.83,0.204944,0.858289,0.051692,0.484716,0.379249,3.613,root,True
678,38,Sera,river gate,0.186375,0.497481,22.689,0.69159,0.831769,0.052417,0.511186,0.461803,3.983,stem,True
679,38,Tovan,west hearth,0.180346,0.512513,22.538,0.218247,0.795776,0.053137,0.537657,0.382946,4.353,leaf,True
680,38,Nia,rain court,0.175676,0.527174,22.378,0.704906,0.751404,0.053852,0.564127,0.462856,4.723,bud,True
681,38,Ari,tool alcove,0.172388,0.541421,22.209,0.231559,0.7,0.054563,0.590598,0.381755,5.093,bloom,True
682,38,Fay,fiber loft,0.170499,0.555214,22.031,0.238195,0.643127,0.215268,0.617068,0.406562,5.463,fruit,True
683,38,Milo,glasshouse,0.170018,0.568516,21.845,0.244807,0.582513,0.055967,0.643539,0.37756,5.833,compost,True
684,39,Sera,west hearth,0.170948,0.581288,23.665,0.251385,0.52,0.056661,0.201002,0.296881,2.914,compost,True
685,39,Tovan,rain court,0.173284,0.593495,23.631,0.73792,0.582513,0.057349,0.227473,0.395339,3.284,seed,True
686,39,Nia,tool alcove,0.177015,0.605102,23.586,0.264403,0.643127,0.058031,0.253943,0.333604,3.654,root,True
687,39,Ari,fiber loft,0.182121,0.616077,23.529,0.270826,0.7,0.058706,0.280414,0.351357,4.024,stem,True
688,39,Fay,glasshouse,0.188577,0.626389,23.462,0.277178,0.751404,0.219374,0.306885,0.394968,4.394,leaf,True
689,39,Milo,river gate,0.19635,0.636009,23.383,0.763453,0.795776,0.060036,0.333355,0.464163,4.764,bud,True
690,39,Sera,west hearth,0.205401,0.644911,23.293,0.289641,0.831769,0.06069,0.359826,0.398706,5.134,bloom,True
691,39,Tovan,rain court,0.215685,0.653068,23.193,0.775733,0.858289,0.061336,0.386296,0.491735,5.504,fruit,True
692,39,Nia,tool alcove,0.22715,0.660458,23.082,0.301721,0.874531,0.061975,0.412767,0.4231,5.874,compost,True
693,39,Ari,fiber loft,0.239737,0.667061,22.961,0.307598,0.88,0.062606,0.439238,0.432707,2.914,seed,True
694,39,Fay,glasshouse,0.253384,0.672858,22.83,0.313355,0.874531,0.063229,0.465708,0.440511,3.284,root,True
695,39,Milo,river gate,0.268022,0.677832,22.689,0.798984,0.858289,0.223844,0.492179,0.553192,3.654,stem,True
696,39,Sera,west hearth,0.283576,0.681969,22.538,0.324478,0.831769,0.06445,0.518649,0.450815,4.024,leaf,True
697,39,Tovan,rain court,0.299969,0.685259,22.378,0.809828,0.795776,0.065047,0.54512,0.5335,4.394,bud,True
698,39,Nia,tool alcove,0.317119,0.687692,22.209,0.335028,0.751404,0.065635,0.57159,0.454745,4.764,bloom,True
699,39,Ari,fiber loft,0.334937,0.68926,22.031,0.340071,0.7,0.066214,0.598061,0.454757,5.134,fruit,True
700,39,Fay,glasshouse,0.353336,0.68996,21.845,0.34495,0.643127,0.066783,0.624532,0.453781,5.504,compost,True
701,39,Milo,river gate,0.372222,0.689789,21.651,0.829657,0.582513,0.067342,0.651002,0.532088,5.874,seed,True
702,40,Sera,rain court,0.391499,0.688748,23.631,0.834187,0.52,0.067892,0.208111,0.45174,2.955,seed,True
703,40,Tovan,tool alcove,0.411071,0.686841,23.586,0.358533,0.582513,0.068432,0.234582,0.390329,3.325,root,True
704,40,Nia,fiber loft,0.43084,0.684071,23.529,0.36269,0.643127,0.068961,0.261052,0.408457,3.695,stem,True
705,40,Ari,glasshouse,0.450705,0.680448,23.462,0.366651,0.7,0.06948,0.287523,0.425801,4.065,leaf,True
706,40,Fay,river gate,0.470566,0.675981,23.383,0.850411,0.751404,0.069989,0.313993,0.522057,4.435,bud,True
707,40,Milo,west hearth,0.490324,0.670682,23.293,0.373966,0.795776,0.070486,0.340464,0.45695,4.805,bloom,True
708,40,Sera,rain court,0.509879,0.664568,23.193,0.85731,0.831769,0.230973,0.366935,0.576905,5.175,fruit,True
709,40,Tovan,tool alcove,0.529132,0.657654,23.082,0.380438,0.858289,0.071448,0.393405,0.481728,5.545,compost,True
710,40,Nia,fiber loft,0.547986,0.64996,22.961,0.383347,0.874531,0.071912,0.419876,0.491269,5.915,seed,True
711,40,Ari,glasshouse,0.566346,0.641509,22.83,0.386033,0.88,0.072364,0.446346,0.498766,2.955,root,True
712,40,Fay,river gate,0.584121,0.632322,22.689,0.868491,0.874531,0.072805,0.472817,0.584181,3.325,stem,True
713,40,Milo,west hearth,0.601219,0.622428,22.538,0.390718,0.858289,0.073234,0.499287,0.507529,3.695,leaf,True
714,40,Sera,rain court,0.617555,0.611852,22.378,0.872712,0.831769,0.073651,0.525758,0.588883,4.065,bud,True
715,40,Tovan,tool alcove,0.633047,0.600625,22.209,0.394469,0.795776,0.234056,0.552229,0.535034,4.435,bloom,True
716,40,Nia,fiber loft,0.647617,0.588779,22.031,0.395988,0.751404,0.074448,0.578699,0.506156,4.805,fruit,True
717,40,Ari,glasshouse,0.661191,0.576347,21.845,0.397265,0.7,0.074828,0.60517,0.502467,5.175,compost,True
718,40,Fay,river gate,0.673701,0.563363,21.651,0.8783,0.643127,0.075196,0.63164,0.577554,5.545,seed,True
719,40,Milo,west hearth,0.685084,0.549864,21.449,0.399091,0.582513,0.07555,0.658111,0.491702,5.915,root,True
720,41,Sera,tool alcove,0.695282,0.535888,23.586,0.399637,0.52,0.075892,0.214745,0.406907,2.996,root,True
721,41,Tovan,fiber loft,0.704244,0.521474,23.529,0.399937,0.582513,0.236221,0.241216,0.447601,3.366,stem,True
722,41,Nia,glasshouse,0.711925,0.506663,23.462,0.39999,0.643127,0.076537,0.267687,0.434321,3.736,leaf,True
723,41,Ari,river gate,0.718286,0.491496,23.383,0.879797,0.7,0.07684,0.294157,0.526763,4.106,bud,True
724,41,Fay,west hearth,0.723295,0.476016,23.293,0.399358,0.751404,0.077129,0.320628,0.457972,4.476,bloom,True
725,41,Milo,rain court,0.726928,0.460266,23.193,0.878674,0.795776,0.077405,0.347098,0.547691,4.846,fruit,True
726,41,Sera,tool alcove,0.729164,0.444291,23.082,0.397745,0.831769,0.077668,0.373569,0.475701,5.216,compost,True
727,41,Tovan,fiber loft,0.729994,0.428136,22.961,0.396572,0.858289,0.077917,0.400039,0.481825,5.586,seed,True
728,41,Nia,glasshouse,0.729414,0.411845,22.83,0.395158,0.874531,0.238152,0.42651,0.512602,5.956,root,True
729,41,Ari,river gate,0.727425,0.395465,22.689,0.873505,0.88,0.078373,0.452981,0.567958,2.996,stem,True
730,41,Fay,west hearth,0.724039,0.379042,22.538,0.391613,0.874531,0.078581,0.479451,0.487876,3.366,leaf,True
731,41,Milo,rain court,0.719271,0.362621,22.378,0.869487,0.858289,0.078775,0.505922,0.565727,3.736,bud,True
732,41,Sera,tool alcove,0.713147,0.346249,22.209,0.387129,0.831769,0.078954,0.532392,0.481607,4.106,bloom,True
733,41,Tovan,fiber loft,0.705697,0.329971,22.031,0.384542,0.795776,0.07912,0.558863,0.475661,4.476,fruit,True
734,41,Nia,glasshouse,0.696958,0.313834,21.845,0.381729,0.751404,0.079271,0.585334,0.468088,4.846,compost,True
735,41,Ari,river gate,0.686975,0.297884,21.651,0.858696,0.7,0.239409,0.611804,0.565795,5.216,seed,True
736,41,Fay,west hearth,0.675798,0.282163,21.449,0.375445,0.643127,0.079532,0.638275,0.449057,5.586,root,True
737,41,Milo,rain court,0.663483,0.266718,21.24,0.851981,0.582513,0.079641,0.664745,0.51818,5.956,stem,True
738,42,Sera,fiber loft,0.650093,0.25159,23.529,0.36831,0.52,0.079735,0.220793,0.34842,2.75,stem,True
739,42,Tovan,glasshouse,0.635694,0.236823,23.462,0.364435,0.582513,0.079815,0.247264,0.357757,3.12,leaf,True
740,42,Nia,river gate,0.620359,0.222458,23.383,0.840363,0.643127,0.079881,0.273735,0.446654,3.49,bud,True
741,42,Ari,west hearth,0.604166,0.208536,23.293,0.356098,0.7,0.239932,0.300205,0.40149,3.86,bloom,True
742,42,Fay,rain court,0.587196,0.195095,23.193,0.831647,0.751404,0.079969,0.326676,0.461998,4.23,fruit,True
743,42,Milo,tool alcove,0.569535,0.182174,23.082,0.347016,0.795776,0.079992,0.353146,0.38794,4.6,compost,True
744,42,Sera,fiber loft,0.551272,0.169808,22.961,0.342211,0.831769,0.08,0.379617,0.392446,4.97,seed,True
745,42,Tovan,glasshouse,0.532498,0.158032,22.83,0.337239,0.858289,0.079994,0.406087,0.395357,5.34,root,True
746,42,Nia,river gate,0.513309,0.14688,22.689,0.812106,0.874531,0.079973,0.432558,0.476559,5.71,stem,True
747,42,Ari,west hearth,0.4938,0.136382,22.538,0.32682,0.88,0.079938,0.459029,0.395995,2.75,leaf,True
748,42,Fay,rain court,0.474071,0.126569,22.378,0.801388,0.874531,0.239888,0.485499,0.500324,3.12,bud,True
749,42,Milo,tool alcove,0.454221,0.117467,22.209,0.315817,0.858289,0.079824,0.51197,0.389598,3.49,bloom,True
750,42,Sera,fiber loft,0.434349,0.109103,22.031,0.310115,0.831769,0.079746,0.53844,0.38392,3.86,fruit,True
751,42,Tovan,glasshouse,0.414556,0.101499,21.845,0.304289,0.795776,0.079653,0.564911,0.376781,4.23,compost,True
752,42,Nia,river gate,0.394942,0.094677,21.651,0.778348,0.751404,0.079546,0.591382,0.448383,4.6,seed,True
753,42,Ari,west hearth,0.375605,0.088657,21.449,0.2923,0.7,0.079425,0.617852,0.358973,4.97,root,True
754,42,Fay,rain court,0.356643,0.083455,21.24,0.766152,0.643127,0.079289,0.644323,0.428832,5.34,stem,True
755,42,Milo,tool alcove,0.338152,0.079086,21.024,0.279915,0.582513,0.239139,0.670793,0.364933,5.71,leaf,True
756,43,Sera,glasshouse,0.320224,0.075561,23.462,0.273595,0.52,0.078975,0.226153,0.249085,2.791,leaf,True
757,43,Tovan,river gate,0.30295,0.072892,23.383,0.747202,0.582513,0.078797,0.252623,0.339496,3.161,bud,True
758,43,Nia,west hearth,0.286417,0.071085,23.293,0.260744,0.643127,0.078605,0.279094,0.269845,3.531,bloom,True
759,43,Ari,rain court,0.270708,0.070146,23.193,0.73423,0.7,0.0784,0.305565,0.359841,3.901,fruit,True
760,43,Fay,tool alcove,0.255903,0.070077,23.082,0.24767,0.751404,0.07818,0.332035,0.289211,4.271,compost,True
761,43,Milo,fiber loft,0.242076,0.070878,22.961,0.241072,0.795776,0.237946,0.358506,0.324376,4.641,seed,True
762,43,Sera,glasshouse,0.229296,0.072548,22.83,0.234445,0.831769,0.077699,0.384976,0.305122,5.011,root,True
763,43,Tovan,river gate,0.217629,0.075081,22.689,0.707798,0.858289,0.077438,0.411447,0.39128,5.381,stem,True
764,43,Nia,west hearth,0.207132,0.07847,22.538,0.22114,0.874531,0.077164,0.437918,0.316059,5.751,leaf,True
765,43,Ari,rain court,0.197859,0.082706,22.378,0.694481,0.88,0.076876,0.464388,0.399385,2.791,bud,True
766,43,Fay,tool alcove,0.189857,0.087777,22.209,0.207829,0.874531,0.076575,0.490859,0.321238,3.161,bloom,True
767,43,Milo,fiber loft,0.183165,0.093668,22.031,0.201194,0.858289,0.076261,0.517329,0.321651,3.531,fruit,True
768,43,Sera,glasshouse,0.177818,0.100364,21.845,0.194585,0.831769,0.235933,0.5438,0.347378,3.901,compost,True
769,43,Tovan,river gate,0.173843,0.107845,21.651,0.668011,0.795776,0.075593,0.570271,0.398556,4.271,seed,True
770,43,Nia,west hearth,0.171259,0.11609,21.449,0.18148,0.751404,0.07524,0.596741,0.315369,4.641,root,True
771,43,Ari,rain court,0.17008,0.125076,21.24,0.655002,0.7,0.074874,0.623212,0.391374,5.011,stem,True
772,43,Fay,tool alcove,0.170311,0.134779,21.024,0.168586,0.643127,0.074495,0.649682,0.30683,5.381,leaf,True
773,43,Milo,fiber loft,0.171951,0.14517,20.802,0.16224,0.582513,0.074104,0.676153,0.302022,5.751,bud,True
774,44,Sera,river gate,0.174993,0.15622,23.383,0.635973,0.52,0.233701,0.230734,0.32527,2.832,bud,True
775,44,Tovan,west hearth,0.17942,0.167899,23.293,0.149794,0.582513,0.073286,0.257204,0.235019,3.202,bloom,True
776,44,Nia,rain court,0.185211,0.180174,23.193,0.623711,0.643127,0.072858,0.283675,0.331459,3.572,fruit,True
777,44,Ari,tool alcove,0.192336,0.19301,23.082,0.137733,0.7,0.072419,0.310145,0.267607,3.942,compost,True
778,44,Fay,fiber loft,0.200759,0.20637,22.961,0.131866,0.751404,0.071968,0.336616,0.283164,4.312,seed,True
779,44,Milo,glasshouse,0.210438,0.220219,22.83,0.126121,0.795776,0.071505,0.363086,0.297858,4.682,root,True
780,44,Sera,river gate,0.221324,0.234516,22.689,0.600504,0.831769,0.071032,0.389557,0.39145,5.052,stem,True
781,44,Tovan,west hearth,0.233363,0.249222,22.538,0.115023,0.858289,0.230546,0.416028,0.350412,5.422,leaf,True
782,44,Nia,rain court,0.246493,0.264295,22.378,0.589686,0.874531,0.07005,0.442498,0.414592,5.792,bud,True
783,44,Ari,tool alcove,0.260648,0.279693,22.209,0.1045,0.88,0.069543,0.468969,0.343892,2.832,bloom,True
784,44,Fay,fiber loft,0.275758,0.295373,22.031,0.099473,0.874531,0.069026,0.495439,0.3516,3.202,fruit,True
785,44,Milo,glasshouse,0.291746,0.31129,21.845,0.09461,0.858289,0.068497,0.52191,0.357724,3.572,compost,True
786,44,Sera,river gate,0.308531,0.3274,21.651,0.569918,0.831769,0.067959,0.548381,0.442326,3.942,seed,True
787,44,Tovan,west hearth,0.326029,0.343659,21.449,0.085405,0.795776,0.06741,0.574851,0.365522,4.312,root,True
788,44,Nia,rain court,0.344152,0.360019,21.24,0.561076,0.751404,0.226852,0.601322,0.474137,4.682,stem,True
789,44,Ari,tool alcove,0.362808,0.376435,21.024,0.076937,0.7,0.066284,0.627792,0.368376,5.052,leaf,True
790,44,Fay,fiber loft,0.381903,0.392861,20.802,0.072994,0.643127,0.065706,0.654263,0.368476,5.422,bud,True
791,44,Milo,glasshouse,0.401341,0.409251,20.573,0.069253,0.582513,0.065119,0.680734,0.368035,5.792,bloom,True
792,45,Sera,west hearth,0.421025,0.425559,23.293,0.065717,0.52,0.064524,0.234458,0.288547,2.873,bloom,True
793,45,Tovan,rain court,0.440855,0.441739,23.193,0.542393,0.582513,0.063919,0.260929,0.388725,3.243,fruit,True
794,45,Nia,tool alcove,0.46073,0.457746,23.082,0.059284,0.643127,0.223305,0.287399,0.355265,3.613,compost,True
795,45,Ari,fiber loft,0.480552,0.473534,22.961,0.056396,0.7,0.062683,0.31387,0.347839,3.983,seed,True
796,45,Fay,glasshouse,0.50022,0.48906,22.83,0.053731,0.751404,0.062053,0.34034,0.366135,4.353,root,True
797,45,Milo,river gate,0.519634,0.504279,22.689,0.531294,0.795776,0.061415,0.366811,0.463202,4.723,stem,True
798,45,Sera,west hearth,0.538698,0.519149,22.538,0.049088,0.831769,0.06077,0.393282,0.398793,5.093,leaf,True
799,45,Tovan,rain court,0.557315,0.533629,22.378,0.527116,0.858289,0.060116,0.419752,0.492703,5.463,bud,True
800,45,Nia,tool alcove,0.575391,0.547677,22.209,0.045381,0.874531,0.059456,0.446223,0.424776,5.833,bloom,True
801,45,Ari,fiber loft,0.592836,0.561254,22.031,0.043885,0.88,0.218788,0.472693,0.461576,2.873,fruit,True
802,45,Fay,glasshouse,0.60956,0.574322,21.845,0.042629,0.874531,0.058114,0.499164,0.443053,3.243,compost,True
803,45,Milo,river gate,0.625481,0.586845,21.651,0.521617,0.858289,0.057433,0.525634,0.529217,3.613,seed,True
804,45,Sera,west hearth,0.640517,0.598786,21.449,0.040848,0.831769,0.056746,0.552105,0.453462,3.983,root,True
805,45,Tovan,rain court,0.654593,0.610114,21.24,0.520325,0.795776,0.056053,0.578576,0.535906,4.353,stem,True
806,45,Nia,tool alcove,0.667639,0.620794,21.024,0.040048,0.751404,0.055354,0.605046,0.456714,4.723,leaf,True
807,45,Ari,fiber loft,0.679587,0.630799,20.802,0.040017,0.7,0.05465,0.631517,0.456095,5.093,bud,True
808,45,Fay,glasshouse,0.690379,0.6401,20.573,0.040233,0.643127,0.21394,0.657987,0.480961,5.463,bloom,True
809,45,Milo,river gate,0.69996,0.648669,20.339,0.520694,0.582513,0.053225,0.684458,0.531587,5.833,fruit,True
810,46,Sera,rain court,0.708281,0.656485,23.193,0.521401,0.52,0.052505,0.237263,0.449323,2.914,fruit,True
811,46,Tovan,tool alcove,0.715301,0.663524,23.082,0.042353,0.582513,0.051781,0.263734,0.386534,3.284,compost,True
812,46,Nia,fiber loft,0.720984,0.669766,22.961,0.043548,0.643127,0.051053,0.290205,0.403114,3.654,seed,True
813,46,Ari,glasshouse,0.725301,0.675195,22.83,0.044984,0.7,0.05032,0.316675,0.418746,4.024,root,True
814,46,Fay,river gate,0.728231,0.679795,22.689,0.52666,0.751404,0.209584,0.343146,0.539803,4.394,stem,True
815,46,Milo,west hearth,0.729759,0.683553,22.538,0.048573,0.795776,0.048845,0.369616,0.44602,4.764,leaf,True
816,46,Sera,rain court,0.729878,0.686459,22.378,0.530721,0.831769,0.048102,0.396087,0.537169,5.134,bud,True
817,46,Tovan,tool alcove,0.728586,0.688504,22.209,0.0531,0.858289,0.047356,0.422558,0.466399,5.504,bloom,True
818,46,Nia,fiber loft,0.725891,0.689682,22.031,0.055708,0.874531,0.046608,0.449028,0.473575,5.874,fruit,True
819,46,Ari,glasshouse,0.721805,0.689991,21.845,0.058541,0.88,0.045857,0.475499,0.478615,2.914,compost,True
820,46,Fay,river gate,0.71635,0.689429,21.651,0.541594,0.874531,0.045105,0.501969,0.561496,3.284,seed,True
821,46,Milo,west hearth,0.709552,0.687998,21.449,0.064865,0.858289,0.20435,0.52844,0.508916,3.654,root,True
822,46,Sera,rain court,0.701447,0.685703,21.24,0.548348,0.831769,0.043594,0.55491,0.560962,4.024,stem,True
823,46,Tovan,tool alcove,0.692075,0.682548,21.024,0.072039,0.795776,0.042836,0.581381,0.477776,4.394,leaf,True
824,46,Nia,fiber loft,0.681483,0.678544,20.802,0.075932,0.751404,0.042078,0.607852,0.472882,4.764,bud,True
825,46,Ari,glasshouse,0.669724,0.673702,20.573,0.080022,0.7,0.041318,0.634322,0.466515,5.134,bloom,True
826,46,Fay,river gate,0.656859,0.668035,20.339,0.564304,0.643127,0.040559,0.660793,0.538946,5.504,fruit,True
827,46,Milo,west hearth,0.642951,0.661559,20.099,0.088772,0.582513,0.039799,0.687263,0.450476,5.874,compost,True
828,47,Sera,tool alcove,0.628071,0.654292,23.082,0.093419,0.52,0.039039,0.239102,0.36232,2.955,compost,True
829,47,Tovan,fiber loft,0.612293,0.646255,22.961,0.09824,0.582513,0.038279,0.265573,0.373859,3.325,seed,True
830,47,Nia,glasshouse,0.595698,0.63747,22.83,0.103227,0.643127,0.03752,0.292044,0.384848,3.695,root,True
831,47,Ari,river gate,0.578369,0.627962,22.689,0.588374,0.7,0.036762,0.318514,0.474997,4.065,stem,True
832,47,Fay,west hearth,0.560392,0.617758,22.538,0.113674,0.751404,0.036005,0.344985,0.404036,4.435,leaf,True
833,47,Milo,rain court,0.54186,0.606886,22.378,0.599119,0.795776,0.03525,0.371455,0.491724,4.805,bud,True
834,47,Sera,tool alcove,0.522864,0.595377,22.209,0.124703,0.831769,0.194496,0.397926,0.444523,5.175,bloom,True
835,47,Tovan,fiber loft,0.503502,0.583263,22.031,0.130417,0.858289,0.033744,0.424397,0.422269,5.545,fruit,True
836,47,Nia,glasshouse,0.48387,0.570578,21.845,0.136253,0.874531,0.032995,0.450867,0.424849,5.915,compost,True
837,47,Ari,river gate,0.464067,0.557359,21.651,0.622205,0.88,0.032248,0.477338,0.505536,2.955,seed,True
838,47,Fay,west hearth,0.444193,0.54364,21.449,0.148262,0.874531,0.031504,0.503808,0.424323,3.325,root,True
839,47,Milo,rain court,0.424349,0.529463,21.24,0.634418,0.858289,0.030763,0.530279,0.50126,3.695,stem,True
840,47,Sera,tool alcove,0.404634,0.514865,21.024,0.160664,0.831769,0.030025,0.55675,0.416451,4.065,leaf,True
841,47,Tovan,fiber loft,0.385147,0.499889,20.802,0.166991,0.795776,0.189291,0.58322,0.436719,4.435,bud,True
842,47,Nia,glasshouse,0.365987,0.484576,20.573,0.17339,0.751404,0.028561,0.609691,0.402268,4.805,bloom,True
843,47,Ari,river gate,0.347251,0.46897,20.339,0.659854,0.7,0.027834,0.636161,0.473345,5.175,fruit,True
844,47,Fay,west hearth,0.329032,0.453114,20.099,0.186372,0.643127,0.027113,0.662632,0.383565,5.545,compost,True
845,47,Milo,rain court,0.311423,0.437052,19.855,0.672936,0.582513,0.026395,0.689102,0.453237,5.915,seed,True
846,48,Sera,fiber loft,0.294512,0.42083,22.961,0.199538,0.52,0.025683,0.239944,0.283418,2.996,seed,True
