tick_id,day,settlement_id,resident_id,project_id,project_name,scheduled_slot,task_site,project_stage,progress_before,progress_after,resident_owned_schedule,schedule_conflict_present,schedule_conflict_resolved,world_state_target,private_workspace_sealed,frequency_hz,flower_phase
412,23,moss_ward,Tala,5b51e19d49,raise warm-cup shelf,day-023:tick-16:resident-led,blanket room,inspect,0.135,0.146,True,False,True,blanket room:raise warm-cup shelf,True,10.62394,0.407111
413,23,glass_harbor,Nia,b58364559a,mend fog net,day-023:tick-17:resident-led,fog rail,handoff,0.135,0.146,True,False,True,fog rail:mend fog net,True,11.76694,0.423444
414,24,lichen_bridge,Kio,505b3ed3bc,test rope bridge,day-024:tick-00:resident-led,signal post,survey,0.135,0.146,True,False,True,signal post:test rope bridge,True,12.9898,0.437333
415,24,orchid_engine,Cai,9567222324,tend orchid lamp,day-024:tick-01:resident-led,orchid bay,prepare,0.135,0.146,True,False,True,orchid bay:tend orchid lamp,True,15.32308,0.463667
416,24,moss_ward,Milo,022ca473b4,drain rain path,day-024:tick-02:resident-led,rain gate,work,0.124,0.135,True,False,True,rain gate:drain rain path,True,10.67516,0.421
417,24,glass_harbor,Sera,e2517cc645,seal fog catcher,day-024:tick-03:resident-led,net room,inspect,0.124,0.135,True,False,True,net room:seal fog catcher,True,11.8183,0.437333
418,24,cinder_garden,Juno,46bd9e887d,shade seed rows,day-024:tick-04:resident-led,shade tent,handoff,0.135,0.146,True,True,True,shade tent:shade seed rows,True,14.38215,0.461667
419,24,lichen_bridge,Luma,ef4a1eb826,mark signal bell,day-024:tick-05:resident-led,rope bridge,restock,0.135,0.146,True,False,True,rope bridge:mark signal bell,True,13.05529,0.454
420,24,orchid_engine,Dax,5ea66d74e7,listen to valve pulse,day-024:tick-06:resident-led,gear wash,survey,0.124,0.135,True,False,True,gear wash:listen to valve pulse,True,15.38716,0.480333
421,24,moss_ward,Tala,825eef3be9,copy root ledger,day-024:tick-07:resident-led,root alcove,prepare,0.124,0.135,True,False,True,root alcove:copy root ledger,True,10.7403,0.437667
422,24,glass_harbor,Nia,aa85d5f3cf,relight public lamp,day-024:tick-08:resident-led,lamp pier,work,0.135,0.146,True,False,True,lamp pier:relight public lamp,True,11.88415,0.454
423,24,cinder_garden,Pax,bfe20f64e9,cool ash path,day-024:tick-09:resident-led,ash path,inspect,0.135,0.146,True,False,True,ash path:cool ash path,True,14.44694,0.478333
424,24,lichen_bridge,Rin,1ca3ca05c1,test rope bridge,day-024:tick-10:resident-led,meal room,handoff,0.124,0.135,True,False,True,meal room:test rope bridge,True,13.11895,0.470667
425,24,orchid_engine,Eli,79a49a3901,tend orchid lamp,day-024:tick-11:resident-led,engine ring,restock,0.124,0.135,True,False,True,engine ring:tend orchid lamp,True,15.45195,0.497
426,24,moss_ward,Ari,27a5f6be30,drain rain path,day-024:tick-12:resident-led,blanket room,survey,0.133,0.144,True,False,True,blanket room:drain rain path,True,10.80576,0.454333
427,24,glass_harbor,Oren,139ed15166,seal fog catcher,day-024:tick-13:resident-led,fog rail,prepare,0.133,0.144,True,False,True,fog rail:seal fog catcher,True,11.94925,0.470667
428,24,cinder_garden,Vale,50e2b859c6,shade seed rows,day-024:tick-14:resident-led,seed shelf,work,0.122,0.133,True,False,True,seed shelf:shade seed rows,True,14.51112,0.495
429,24,lichen_bridge,Sol,878bf0af37,mark signal bell,day-024:tick-15:resident-led,signal post,inspect,0.124,0.133,True,True,False,signal post:mark signal bell,True,13.18412,0.487333
430,24,orchid_engine,Bea,2899e764df,listen to valve pulse,day-024:tick-16:resident-led,orchid bay,handoff,0.135,0.146,True,False,True,orchid bay:listen to valve pulse,True,15.51829,0.513667
431,24,moss_ward,Fay,5147eb41b9,copy root ledger,day-024:tick-17:resident-led,rain gate,restock,0.135,0.146,True,False,True,rain gate:copy root ledger,True,10.87143,0.471
432,25,cinder_garden,Pax,f91854767d,sort ember fruit,day-025:tick-00:resident-led,shade tent,prepare,0.146,0.157,True,False,True,shade tent:sort ember fruit,True,14.56514,0.508889
433,25,lichen_bridge,Rin,47513db752,repair meal ledger,day-025:tick-01:resident-led,rope bridge,work,0.146,0.157,True,False,True,rope bridge:repair meal ledger,True,13.23828,0.501222
434,25,orchid_engine,Eli,ee36774892,clean gear wash,day-025:tick-02:resident-led,gear wash,inspect,0.124,0.135,True,False,True,gear wash:clean gear wash,True,15.56916,0.527556
435,25,moss_ward,Ari,6666182d43,raise warm-cup shelf,day-025:tick-03:resident-led,root alcove,handoff,0.124,0.135,True,False,True,root alcove:raise warm-cup shelf,True,10.9223,0.484889
436,25,glass_harbor,Oren,4691632fda,mend fog net,day-025:tick-04:resident-led,lamp pier,restock,0.144,0.155,True,False,True,lamp pier:mend fog net,True,12.06745,0.501222
437,25,cinder_garden,Vale,669e90cbc3,repair seed calendar,day-025:tick-05:resident-led,ash path,survey,0.144,0.155,True,False,True,ash path:repair seed calendar,True,14.63045,0.525556
438,25,lichen_bridge,Sol,797e050dde,weave spare rope,day-025:tick-06:resident-led,meal room,prepare,0.133,0.144,True,False,True,meal room:weave spare rope,True,13.30246,0.517889
439,25,orchid_engine,Bea,936769c116,stabilize steam kettle,day-025:tick-07:resident-led,engine ring,work,0.133,0.144,True,False,True,engine ring:stabilize steam kettle,True,15.63546,0.544222
440,25,moss_ward,Fay,23961e054e,patch blanket loom,day-025:tick-08:resident-led,blanket room,inspect,0.146,0.157,True,True,True,blanket room:patch blanket loom,True,10.98963,0.501556
441,25,glass_harbor,Puck,4e34e5eca9,mark crossing rope,day-025:tick-09:resident-led,fog rail,handoff,0.146,0.157,True,False,True,fog rail:mark crossing rope,True,12.13214,0.517889
442,25,cinder_garden,Wren,f54993de4d,sort ember fruit,day-025:tick-10:resident-led,seed shelf,restock,0.135,0.146,True,False,True,seed shelf:sort ember fruit,True,14.69429,0.542222
443,25,lichen_bridge,Kio,e74a8726db,repair meal ledger,day-025:tick-11:resident-led,signal post,survey,0.135,0.146,True,False,True,signal post:repair meal ledger,True,13.36715,0.534556
444,25,orchid_engine,Cai,fee339b1d9,clean gear wash,day-025:tick-12:resident-led,orchid bay,prepare,0.146,0.157,True,False,True,orchid bay:clean gear wash,True,15.70128,0.560889
445,25,moss_ward,Milo,d27f39c290,raise warm-cup shelf,day-025:tick-13:resident-led,rain gate,work,0.146,0.157,True,False,True,rain gate:raise warm-cup shelf,True,11.05449,0.518222
446,25,glass_harbor,Sera,c5ce3bb82a,mend fog net,day-025:tick-14:resident-led,net room,inspect,0.135,0.146,True,False,True,net room:mend fog net,True,12.1965,0.534556
447,25,cinder_garden,Juno,ab3857f6de,repair seed calendar,day-025:tick-15:resident-led,shade tent,handoff,0.135,0.146,True,False,True,shade tent:repair seed calendar,True,14.7595,0.558889
448,25,lichen_bridge,Luma,6e76849c77,weave spare rope,day-025:tick-16:resident-led,rope bridge,restock,0.144,0.155,True,False,True,rope bridge:weave spare rope,True,13.43331,0.551222
449,25,orchid_engine,Dax,1194905158,stabilize steam kettle,day-025:tick-17:resident-led,gear wash,survey,0.146,0.157,True,False,True,gear wash:stabilize steam kettle,True,15.76649,0.577556
450,26,glass_harbor,Puck,b9f27156b1,seal fog catcher,day-026:tick-00:resident-led,lamp pier,work,0.146,0.157,True,False,True,lamp pier:seal fog catcher,True,12.24935,0.548444
451,26,cinder_garden,Wren,8d7a6c2aa4,shade seed rows,day-026:tick-01:resident-led,ash path,inspect,0.146,0.157,True,True,True,ash path:shade seed rows,True,14.81263,0.572778
452,26,lichen_bridge,Kio,a9335a1d29,mark signal bell,day-026:tick-02:resident-led,meal room,handoff,0.124,0.135,True,False,True,meal room:mark signal bell,True,13.48337,0.565111
453,26,orchid_engine,Cai,b31fad0817,listen to valve pulse,day-026:tick-03:resident-led,engine ring,restock,0.124,0.135,True,False,True,engine ring:listen to valve pulse,True,15.81665,0.591444
454,26,moss_ward,Milo,48ae12c016,copy root ledger,day-026:tick-04:resident-led,blanket room,survey,0.146,0.157,True,False,True,blanket room:copy root ledger,True,11.1717,0.548778
455,26,glass_harbor,Sera,ea7173b0ad,relight public lamp,day-026:tick-05:resident-led,fog rail,prepare,0.146,0.157,True,False,True,fog rail:relight public lamp,True,12.31484,0.565111
456,26,cinder_garden,Juno,5f79a57e6f,cool ash path,day-026:tick-06:resident-led,seed shelf,work,0.135,0.146,True,False,True,seed shelf:cool ash path,True,14.87671,0.589444
457,26,lichen_bridge,Luma,e1bab827b9,test rope bridge,day-026:tick-07:resident-led,signal post,inspect,0.135,0.146,True,False,True,signal post:test rope bridge,True,13.54985,0.581778
458,26,orchid_engine,Dax,3645f43e1d,tend orchid lamp,day-026:tick-08:resident-led,orchid bay,handoff,0.144,0.155,True,False,True,orchid bay:tend orchid lamp,True,15.88352,0.608111
459,26,moss_ward,Tala,28589c06c6,drain rain path,day-026:tick-09:resident-led,rain gate,restock,0.146,0.157,True,False,True,rain gate:drain rain path,True,11.23649,0.565444
460,26,glass_harbor,Nia,9a5c1e063a,seal fog catcher,day-026:tick-10:resident-led,net room,survey,0.135,0.146,True,False,True,net room:seal fog catcher,True,12.3785,0.581778
461,26,cinder_garden,Pax,da2b247900,shade seed rows,day-026:tick-11:resident-led,shade tent,prepare,0.135,0.146,True,False,True,shade tent:shade seed rows,True,14.9415,0.606111
462,26,lichen_bridge,Rin,0d07f43a57,mark signal bell,day-026:tick-12:resident-led,rope bridge,work,0.146,0.157,True,True,True,rope bridge:mark signal bell,True,13.61549,0.598444
463,26,orchid_engine,Eli,2432f12bb3,listen to valve pulse,day-026:tick-13:resident-led,gear wash,inspect,0.146,0.157,True,False,True,gear wash:listen to valve pulse,True,15.94849,0.624778
464,26,moss_ward,Ari,2ea8f2d96e,copy root ledger,day-026:tick-14:resident-led,root alcove,handoff,0.135,0.146,True,False,True,root alcove:copy root ledger,True,11.3005,0.582111
465,26,glass_harbor,Oren,fd03ad5da8,relight public lamp,day-026:tick-15:resident-led,lamp pier,restock,0.135,0.146,True,False,True,lamp pier:relight public lamp,True,12.44399,0.598444
466,26,cinder_garden,Vale,5e37aea90d,cool ash path,day-026:tick-16:resident-led,ash path,survey,0.146,0.157,True,False,True,ash path:cool ash path,True,15.00784,0.622778
467,26,lichen_bridge,Sol,72a63892cd,test rope bridge,day-026:tick-17:resident-led,meal room,prepare,0.146,0.157,True,False,True,meal room:test rope bridge,True,13.68098,0.615111
468,27,moss_ward,Tala,5b51e19d49,raise warm-cup shelf,day-027:tick-00:resident-led,blanket room,inspect,0.146,0.155,True,True,False,blanket room:raise warm-cup shelf,True,11.35352,0.596
469,27,glass_harbor,Nia,b58364559a,mend fog net,day-027:tick-01:resident-led,fog rail,handoff,0.146,0.157,True,False,True,fog rail:mend fog net,True,12.49684,0.612333
470,27,cinder_garden,Pax,301d0ea001,repair seed calendar,day-027:tick-02:resident-led,seed shelf,restock,0.124,0.135,True,False,True,seed shelf:repair seed calendar,True,15.05772,0.636667
471,27,lichen_bridge,Rin,84fdd2bf40,weave spare rope,day-027:tick-03:resident-led,signal post,survey,0.124,0.135,True,False,True,signal post:weave spare rope,True,13.73086,0.629
472,27,orchid_engine,Eli,b41913dbe2,stabilize steam kettle,day-027:tick-04:resident-led,orchid bay,prepare,0.144,0.155,True,True,True,orchid bay:stabilize steam kettle,True,16.06552,0.655333
473,27,moss_ward,Ari,572d4e939c,patch blanket loom,day-027:tick-05:resident-led,rain gate,work,0.146,0.155,True,True,False,rain gate:patch blanket loom,True,11.41866,0.612667
474,27,glass_harbor,Oren,5a399028bb,mark crossing rope,day-027:tick-06:resident-led,net room,inspect,0.135,0.146,True,False,True,net room:mark crossing rope,True,12.5612,0.629
475,27,cinder_garden,Vale,cc7272cc69,sort ember fruit,day-027:tick-07:resident-led,shade tent,handoff,0.135,0.146,True,False,True,shade tent:sort ember fruit,True,15.1242,0.653333
476,27,lichen_bridge,Sol,76f402ab6a,repair meal ledger,day-027:tick-08:resident-led,rope bridge,restock,0.146,0.157,True,True,True,rope bridge:repair meal ledger,True,13.79819,0.645667
477,27,orchid_engine,Bea,9a2f344251,clean gear wash,day-027:tick-09:resident-led,gear wash,survey,0.146,0.157,True,False,True,gear wash:clean gear wash,True,16.13084,0.672
478,27,moss_ward,Fay,69fbe1ae68,raise warm-cup shelf,day-027:tick-10:resident-led,root alcove,prepare,0.135,0.146,True,False,True,root alcove:raise warm-cup shelf,True,11.48299,0.629333
479,27,glass_harbor,Puck,cf04a81caf,mend fog net,day-027:tick-11:resident-led,lamp pier,work,0.135,0.146,True,False,True,lamp pier:mend fog net,True,12.62571,0.645667
480,27,cinder_garden,Wren,88d6240bdd,repair seed calendar,day-027:tick-12:resident-led,ash path,inspect,0.146,0.157,True,True,True,ash path:repair seed calendar,True,15.18984,0.67
481,27,lichen_bridge,Kio,87e730b100,weave spare rope,day-027:tick-13:resident-led,meal room,handoff,0.146,0.157,True,False,True,meal room:weave spare rope,True,13.8627,0.662333
482,27,orchid_engine,Cai,b805ef5f3b,stabilize steam kettle,day-027:tick-14:resident-led,engine ring,restock,0.135,0.146,True,False,True,engine ring:stabilize steam kettle,True,16.19485,0.688667
483,27,moss_ward,Milo,037725c0bc,patch blanket loom,day-027:tick-15:resident-led,blanket room,survey,0.135,0.146,True,False,True,blanket room:patch blanket loom,True,11.54806,0.646
484,27,glass_harbor,Sera,39906512c4,mark crossing rope,day-027:tick-16:resident-led,fog rail,prepare,0.146,0.157,True,True,True,fog rail:mark crossing rope,True,12.69205,0.662333
485,27,cinder_garden,Juno,5d450b0d31,sort ember fruit,day-027:tick-17:resident-led,seed shelf,work,0.146,0.157,True,False,True,seed shelf:sort ember fruit,True,15.25505,0.686667
486,28,orchid_engine,Bea,2899e764df,listen to valve pulse,day-028:tick-00:resident-led,orchid bay,handoff,0.146,0.157,True,False,True,orchid bay:listen to valve pulse,True,16.24805,0.702556
487,28,moss_ward,Fay,5147eb41b9,copy root ledger,day-028:tick-01:resident-led,rain gate,restock,0.146,0.157,True,False,True,rain gate:copy root ledger,True,11.60133,0.659889
488,28,glass_harbor,Puck,ed218dd38f,relight public lamp,day-028:tick-02:resident-led,net room,survey,0.124,0.135,True,False,True,net room:relight public lamp,True,12.74193,0.676222
489,28,cinder_garden,Wren,a66b280afe,cool ash path,day-028:tick-03:resident-led,shade tent,prepare,0.124,0.135,True,False,True,shade tent:cool ash path,True,15.30521,0.700556
490,28,lichen_bridge,Kio,505b3ed3bc,test rope bridge,day-028:tick-04:resident-led,rope bridge,work,0.146,0.157,True,False,True,rope bridge:test rope bridge,True,13.97991,0.692889
491,28,orchid_engine,Cai,9567222324,tend orchid lamp,day-028:tick-05:resident-led,gear wash,inspect,0.146,0.157,True,False,True,gear wash:tend orchid lamp,True,16.31319,0.719222
492,28,moss_ward,Milo,022ca473b4,drain rain path,day-028:tick-06:resident-led,root alcove,handoff,0.135,0.146,True,False,True,root alcove:drain rain path,True,11.66527,0.676556
493,28,glass_harbor,Sera,e2517cc645,seal fog catcher,day-028:tick-07:resident-led,lamp pier,restock,0.135,0.146,True,False,True,lamp pier:seal fog catcher,True,12.80841,0.692889
494,28,cinder_garden,Juno,46bd9e887d,shade seed rows,day-028:tick-08:resident-led,ash path,survey,0.146,0.157,True,False,True,ash path:shade seed rows,True,15.37226,0.717222
495,28,lichen_bridge,Luma,ef4a1eb826,mark signal bell,day-028:tick-09:resident-led,meal room,prepare,0.146,0.157,True,True,True,meal room:mark signal bell,True,14.04505,0.709556
496,28,orchid_engine,Dax,5ea66d74e7,listen to valve pulse,day-028:tick-10:resident-led,engine ring,work,0.135,0.146,True,False,True,engine ring:listen to valve pulse,True,16.37706,0.735889
497,28,moss_ward,Tala,825eef3be9,copy root ledger,day-028:tick-11:resident-led,blanket room,inspect,0.135,0.146,True,False,True,blanket room:copy root ledger,True,11.73006,0.693222
498,28,glass_harbor,Nia,aa85d5f3cf,relight public lamp,day-028:tick-12:resident-led,fog rail,handoff,0.146,0.157,True,False,True,fog rail:relight public lamp,True,12.87405,0.709556
499,28,cinder_garden,Pax,bfe20f64e9,cool ash path,day-028:tick-13:resident-led,seed shelf,restock,0.146,0.157,True,False,True,seed shelf:cool ash path,True,15.43705,0.733889
500,28,lichen_bridge,Rin,1ca3ca05c1,test rope bridge,day-028:tick-14:resident-led,signal post,survey,0.135,0.146,True,False,True,signal post:test rope bridge,True,14.10906,0.726222
501,28,orchid_engine,Eli,79a49a3901,tend orchid lamp,day-028:tick-15:resident-led,orchid bay,prepare,0.135,0.146,True,False,True,orchid bay:tend orchid lamp,True,16.44206,0.752556
502,28,moss_ward,Ari,27a5f6be30,drain rain path,day-028:tick-16:resident-led,rain gate,work,0.144,0.155,True,False,True,rain gate:drain rain path,True,11.79601,0.709889
503,28,glass_harbor,Oren,139ed15166,seal fog catcher,day-028:tick-17:resident-led,net room,inspect,0.144,0.155,True,False,True,net room:seal fog catcher,True,12.93936,0.726222
504,29,lichen_bridge,Luma,6e76849c77,weave spare rope,day-029:tick-00:resident-led,rope bridge,restock,0.155,0.166,True,False,True,rope bridge:weave spare rope,True,14.16307,0.740111
505,29,orchid_engine,Dax,1194905158,stabilize steam kettle,day-029:tick-01:resident-led,gear wash,survey,0.157,0.168,True,False,True,gear wash:stabilize steam kettle,True,16.49639,0.766444
506,29,moss_ward,Tala,ffd144b235,patch blanket loom,day-029:tick-02:resident-led,root alcove,prepare,0.135,0.146,True,True,True,root alcove:patch blanket loom,True,11.84727,0.723778
507,29,glass_harbor,Nia,e283abe06a,mark crossing rope,day-029:tick-03:resident-led,lamp pier,work,0.135,0.146,True,False,True,lamp pier:mark crossing rope,True,12.99041,0.740111
508,29,cinder_garden,Pax,f91854767d,sort ember fruit,day-029:tick-04:resident-led,ash path,inspect,0.157,0.168,True,False,True,ash path:sort ember fruit,True,15.55525,0.764444
509,29,lichen_bridge,Rin,47513db752,repair meal ledger,day-029:tick-05:resident-led,meal room,handoff,0.157,0.168,True,False,True,meal room:repair meal ledger,True,14.22839,0.756778
510,29,orchid_engine,Eli,ee36774892,clean gear wash,day-029:tick-06:resident-led,engine ring,restock,0.135,0.146,True,False,True,engine ring:clean gear wash,True,16.55927,0.783111
511,29,moss_ward,Ari,6666182d43,raise warm-cup shelf,day-029:tick-07:resident-led,blanket room,survey,0.135,0.146,True,False,True,blanket room:raise warm-cup shelf,True,11.91255,0.740444
512,29,glass_harbor,Oren,4691632fda,mend fog net,day-029:tick-08:resident-led,fog rail,prepare,0.155,0.166,True,False,True,fog rail:mend fog net,True,13.05756,0.756778
513,29,cinder_garden,Vale,669e90cbc3,repair seed calendar,day-029:tick-09:resident-led,seed shelf,work,0.155,0.166,True,False,True,seed shelf:repair seed calendar,True,15.62021,0.781111
514,29,lichen_bridge,Sol,797e050dde,weave spare rope,day-029:tick-10:resident-led,signal post,inspect,0.144,0.155,True,False,True,signal post:weave spare rope,True,14.29236,0.773444
515,29,orchid_engine,Bea,936769c116,stabilize steam kettle,day-029:tick-11:resident-led,orchid bay,handoff,0.144,0.155,True,False,True,orchid bay:stabilize steam kettle,True,16.62522,0.799778
516,29,moss_ward,Fay,23961e054e,patch blanket loom,day-029:tick-12:resident-led,rain gate,restock,0.157,0.168,True,False,True,rain gate:patch blanket loom,True,11.97953,0.757111
517,29,glass_harbor,Puck,4e34e5eca9,mark crossing rope,day-029:tick-13:resident-led,net room,survey,0.157,0.168,True,True,True,net room:mark crossing rope,True,13.12225,0.773444
518,29,cinder_garden,Wren,f54993de4d,sort ember fruit,day-029:tick-14:resident-led,shade tent,prepare,0.146,0.157,True,False,True,shade tent:sort ember fruit,True,15.6844,0.797778
519,29,lichen_bridge,Kio,e74a8726db,repair meal ledger,day-029:tick-15:resident-led,rope bridge,work,0.146,0.157,True,False,True,rope bridge:repair meal ledger,True,14.35726,0.790111
520,29,orchid_engine,Cai,fee339b1d9,clean gear wash,day-029:tick-16:resident-led,gear wash,inspect,0.157,0.168,True,False,True,gear wash:clean gear wash,True,16.69139,0.816444
521,29,moss_ward,Milo,d27f39c290,raise warm-cup shelf,day-029:tick-17:resident-led,root alcove,handoff,0.157,0.168,True,False,True,root alcove:raise warm-cup shelf,True,12.0446,0.773778
522,30,cinder_garden,Vale,5e37aea90d,cool ash path,day-030:tick-00:resident-led,ash path,survey,0.157,0.168,True,False,True,ash path:cool ash path,True,15.7376,0.811667
523,30,lichen_bridge,Sol,72a63892cd,test rope bridge,day-030:tick-01:resident-led,meal room,prepare,0.157,0.168,True,False,True,meal room:test rope bridge,True,14.41088,0.804
524,30,orchid_engine,Bea,ff802a82b5,tend orchid lamp,day-030:tick-02:resident-led,engine ring,work,0.135,0.146,True,False,True,engine ring:tend orchid lamp,True,16.74162,0.830333
525,30,moss_ward,Fay,b4068fee47,drain rain path,day-030:tick-03:resident-led,blanket room,inspect,0.133,0.144,True,False,True,blanket room:drain rain path,True,12.09472,0.787667
526,30,glass_harbor,Puck,b9f27156b1,seal fog catcher,day-030:tick-04:resident-led,fog rail,handoff,0.157,0.168,True,False,True,fog rail:seal fog catcher,True,13.23946,0.804
527,30,cinder_garden,Wren,8d7a6c2aa4,shade seed rows,day-030:tick-05:resident-led,seed shelf,restock,0.157,0.168,True,False,True,seed shelf:shade seed rows,True,15.80274,0.828333
528,30,lichen_bridge,Kio,a9335a1d29,mark signal bell,day-030:tick-06:resident-led,signal post,survey,0.135,0.146,True,True,True,signal post:mark signal bell,True,14.47348,0.820667
529,30,orchid_engine,Cai,b31fad0817,listen to valve pulse,day-030:tick-07:resident-led,orchid bay,prepare,0.135,0.146,True,False,True,orchid bay:listen to valve pulse,True,16.80676,0.847
530,30,moss_ward,Milo,48ae12c016,copy root ledger,day-030:tick-08:resident-led,rain gate,work,0.157,0.168,True,False,True,rain gate:copy root ledger,True,12.16181,0.804333
531,30,glass_harbor,Sera,ea7173b0ad,relight public lamp,day-030:tick-09:resident-led,net room,inspect,0.157,0.168,True,False,True,net room:relight public lamp,True,13.3046,0.820667
532,30,cinder_garden,Juno,5f79a57e6f,cool ash path,day-030:tick-10:resident-led,shade tent,handoff,0.146,0.157,True,False,True,shade tent:cool ash path,True,15.86661,0.845
533,30,lichen_bridge,Luma,e1bab827b9,test rope bridge,day-030:tick-11:resident-led,rope bridge,restock,0.146,0.157,True,False,True,rope bridge:test rope bridge,True,14.53961,0.837333
534,30,orchid_engine,Dax,3645f43e1d,tend orchid lamp,day-030:tick-12:resident-led,gear wash,survey,0.155,0.166,True,False,True,gear wash:tend orchid lamp,True,16.87342,0.863667
535,30,moss_ward,Tala,28589c06c6,drain rain path,day-030:tick-13:resident-led,root alcove,prepare,0.157,0.168,True,False,True,root alcove:drain rain path,True,12.2266,0.821
536,30,glass_harbor,Nia,9a5c1e063a,seal fog catcher,day-030:tick-14:resident-led,lamp pier,work,0.146,0.157,True,False,True,lamp pier:seal fog catcher,True,13.36861,0.837333
537,30,cinder_garden,Pax,da2b247900,shade seed rows,day-030:tick-15:resident-led,ash path,inspect,0.146,0.157,True,False,True,ash path:shade seed rows,True,15.93161,0.861667
538,30,lichen_bridge,Rin,0d07f43a57,mark signal bell,day-030:tick-16:resident-led,meal room,handoff,0.157,0.168,True,False,True,meal room:mark signal bell,True,14.6056,0.854
539,30,orchid_engine,Eli,2432f12bb3,listen to valve pulse,day-030:tick-17:resident-led,engine ring,restock,0.157,0.168,True,True,True,engine ring:listen to valve pulse,True,16.9386,0.880333
540,31,glass_harbor,Sera,39906512c4,mark crossing rope,day-031:tick-00:resident-led,fog rail,prepare,0.157,0.168,True,False,True,fog rail:mark crossing rope,True,13.42181,0.851222
541,31,cinder_garden,Juno,5d450b0d31,sort ember fruit,day-031:tick-01:resident-led,seed shelf,work,0.157,0.168,True,False,True,seed shelf:sort ember fruit,True,15.98495,0.875556
542,31,lichen_bridge,Luma,c11ee45638,repair meal ledger,day-031:tick-02:resident-led,signal post,inspect,0.135,0.146,True,False,True,signal post:repair meal ledger,True,14.65583,0.867889
543,31,orchid_engine,Dax,fa2f54a5f1,clean gear wash,day-031:tick-03:resident-led,orchid bay,handoff,0.135,0.146,True,False,True,orchid bay:clean gear wash,True,16.98897,0.894222
544,31,moss_ward,Tala,5b51e19d49,raise warm-cup shelf,day-031:tick-04:resident-led,rain gate,restock,0.155,0.166,True,False,True,rain gate:raise warm-cup shelf,True,12.34363,0.851556
545,31,glass_harbor,Nia,b58364559a,mend fog net,day-031:tick-05:resident-led,net room,survey,0.157,0.168,True,False,True,net room:mend fog net,True,13.48695,0.867889
546,31,cinder_garden,Pax,301d0ea001,repair seed calendar,day-031:tick-06:resident-led,shade tent,prepare,0.135,0.146,True,False,True,shade tent:repair seed calendar,True,16.04783,0.892222
547,31,lichen_bridge,Rin,84fdd2bf40,weave spare rope,day-031:tick-07:resident-led,rope bridge,work,0.135,0.146,True,False,True,rope bridge:weave spare rope,True,14.72097,0.884556
548,31,orchid_engine,Eli,b41913dbe2,stabilize steam kettle,day-031:tick-08:resident-led,gear wash,inspect,0.155,0.166,True,False,True,gear wash:stabilize steam kettle,True,17.05563,0.910889
549,31,moss_ward,Ari,572d4e939c,patch blanket loom,day-031:tick-09:resident-led,root alcove,handoff,0.155,0.166,True,False,True,root alcove:patch blanket loom,True,12.40856,0.868222
550,31,glass_harbor,Oren,5a399028bb,mark crossing rope,day-031:tick-10:resident-led,lamp pier,restock,0.146,0.155,True,True,False,lamp pier:mark crossing rope,True,13.55092,0.884556
551,31,cinder_garden,Vale,cc7272cc69,sort ember fruit,day-031:tick-11:resident-led,ash path,survey,0.146,0.157,True,False,True,ash path:sort ember fruit,True,16.11396,0.908889
552,31,lichen_bridge,Sol,76f402ab6a,repair meal ledger,day-031:tick-12:resident-led,meal room,prepare,0.157,0.168,True,False,True,meal room:repair meal ledger,True,14.78809,0.901222
553,31,orchid_engine,Bea,9a2f344251,clean gear wash,day-031:tick-13:resident-led,engine ring,work,0.157,0.168,True,False,True,engine ring:clean gear wash,True,17.12095,0.927556
554,31,moss_ward,Fay,69fbe1ae68,raise warm-cup shelf,day-031:tick-14:resident-led,blanket room,inspect,0.146,0.157,True,False,True,blanket room:raise warm-cup shelf,True,12.4731,0.884889
555,31,glass_harbor,Puck,cf04a81caf,mend fog net,day-031:tick-15:resident-led,fog rail,handoff,0.146,0.157,True,False,True,fog rail:mend fog net,True,13.61582,0.901222
556,31,cinder_garden,Wren,88d6240bdd,repair seed calendar,day-031:tick-16:resident-led,seed shelf,restock,0.157,0.168,True,False,True,seed shelf:repair seed calendar,True,16.17995,0.925556
557,31,lichen_bridge,Kio,87e730b100,weave spare rope,day-031:tick-17:resident-led,signal post,survey,0.157,0.168,True,False,True,signal post:weave spare rope,True,14.85281,0.917889
558,32,moss_ward,Ari,27a5f6be30,drain rain path,day-032:tick-00:resident-led,rain gate,work,0.155,0.166,True,False,True,rain gate:drain rain path,True,12.52577,0.898778
559,32,glass_harbor,Oren,139ed15166,seal fog catcher,day-032:tick-01:resident-led,net room,inspect,0.155,0.166,True,False,True,net room:seal fog catcher,True,13.66926,0.915111
560,32,cinder_garden,Vale,50e2b859c6,shade seed rows,day-032:tick-02:resident-led,shade tent,handoff,0.133,0.144,True,False,True,shade tent:shade seed rows,True,16.23,0.939444
561,32,lichen_bridge,Sol,878bf0af37,mark signal bell,day-032:tick-03:resident-led,rope bridge,restock,0.133,0.144,True,True,True,rope bridge:mark signal bell,True,14.90328,0.931778
562,32,orchid_engine,Bea,2899e764df,listen to valve pulse,day-032:tick-04:resident-led,gear wash,survey,0.157,0.168,True,False,True,gear wash:listen to valve pulse,True,17.23816,0.958111
563,32,moss_ward,Fay,5147eb41b9,copy root ledger,day-032:tick-05:resident-led,root alcove,prepare,0.157,0.168,True,False,True,root alcove:copy root ledger,True,12.59144,0.915444
