tick,day,scene_id,focus_agent,avatar_scene_visible,sprite_layers_visible,collision_probe_visible,object_ceremony_visible,input_affordance_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
261,19,v20-scene-d19,Ori,1,1,1,1,0,1.26,330.988459,object ceremony path clears and handoff animates,1
262,19,v20-scene-d19,Vonn,1,1,1,0,1,1.19,106.676223,collision probe redirects avatar step,1
263,19,v20-scene-d19,Sova,1,0,1,0,1,1.15,243.513987,avatar shifts around negotiation ring,1
264,19,v20-scene-d19,Keth,1,0,1,1,1,1.26,25.221751,object ceremony path clears and handoff animates,1
265,19,v20-scene-d19,Melo,1,0,1,1,1,1.16,160.199515,object ceremony path clears and handoff animates,1
266,20,v20-scene-d20,Ori,1,0,1,0,1,1.09,288.04985,collision probe redirects avatar step,1
267,20,v20-scene-d20,Vonn,1,1,1,0,1,1.05,63.937614,avatar shifts around negotiation ring,1
268,20,v20-scene-d20,Sova,1,1,1,1,1,1.26,209.695378,object ceremony path clears and handoff animates,1
269,20,v20-scene-d20,Keth,1,1,1,1,1,1.22,346.533142,object ceremony path clears and handoff animates,1
270,20,v20-scene-d20,Melo,1,1,1,1,1,1.26,125.850906,object ceremony path clears and handoff animates,1
271,20,v20-scene-d20,Nari,1,1,1,1,1,1.22,262.68867,object ceremony path clears and handoff animates,1
272,20,v20-scene-d20,Ori,1,1,1,1,1,1.12,37.666434,object ceremony path clears and handoff animates,1
273,20,v20-scene-d20,Vonn,1,1,1,1,1,1.12,175.744198,object ceremony path clears and handoff animates,1
274,20,v20-scene-d20,Sova,1,1,1,0,1,1.05,311.431962,avatar shifts around negotiation ring,1
275,20,v20-scene-d20,Keth,1,1,1,1,1,1.12,90.949726,object ceremony path clears and handoff animates,1
276,20,v20-scene-d20,Melo,1,1,1,1,1,1.22,233.07749,object ceremony path clears and handoff animates,1
277,20,v20-scene-d20,Nari,1,1,1,1,1,1.22,11.155254,object ceremony path clears and handoff animates,1
278,20,v20-scene-d20,Ori,1,1,1,1,1,1.22,149.233018,object ceremony path clears and handoff animates,1
279,20,v20-scene-d20,Vonn,1,1,1,0,1,1.19,286.160782,collision probe redirects avatar step,1
280,21,v20-scene-d21,Keth,1,1,1,1,1,1.12,54.432989,object ceremony path clears and handoff animates,1
281,21,v20-scene-d21,Melo,1,1,1,0,1,1.05,190.120753,avatar shifts around negotiation ring,1
282,21,v20-scene-d21,Nari,1,1,1,1,1,1.12,329.638517,object ceremony path clears and handoff animates,1
283,21,v20-scene-d21,Ori,1,1,1,1,1,1.22,111.766281,object ceremony path clears and handoff animates,1
284,21,v20-scene-d21,Vonn,1,1,1,1,0,1.22,249.844045,object ceremony path clears and handoff animates,1
285,21,v20-scene-d21,Sova,1,1,1,1,1,1.22,27.921809,object ceremony path clears and handoff animates,1
286,21,v20-scene-d21,Keth,1,1,1,1,1,1.22,165.999573,object ceremony path clears and handoff animates,1
287,21,v20-scene-d21,Melo,1,1,1,1,1,1.12,300.977337,object ceremony path clears and handoff animates,1
288,21,v20-scene-d21,Nari,1,1,1,0,1,1.09,77.905101,collision probe redirects avatar step,1
289,21,v20-scene-d21,Ori,1,1,1,1,1,1.12,217.132865,object ceremony path clears and handoff animates,1
290,21,v20-scene-d21,Vonn,1,1,1,1,1,1.12,354.260629,object ceremony path clears and handoff animates,1
291,21,v20-scene-d21,Sova,1,1,1,1,1,1.22,136.388393,object ceremony path clears and handoff animates,1
292,21,v20-scene-d21,Keth,1,1,1,0,1,1.15,272.076157,avatar shifts around negotiation ring,1
293,21,v20-scene-d21,Melo,1,1,1,1,1,1.22,52.543921,object ceremony path clears and handoff animates,1
294,22,v20-scene-d22,Ori,1,0,1,1,1,1.16,180.874316,object ceremony path clears and handoff animates,1
295,22,v20-scene-d22,Vonn,1,0,1,0,1,1.09,316.56208,collision probe redirects avatar step,1
296,22,v20-scene-d22,Sova,1,0,1,1,1,1.16,97.029844,object ceremony path clears and handoff animates,1
297,22,v20-scene-d22,Keth,1,0,1,1,1,1.16,234.157608,object ceremony path clears and handoff animates,1
298,22,v20-scene-d22,Melo,1,1,1,1,1,1.26,16.285372,object ceremony path clears and handoff animates,1
299,22,v20-scene-d22,Nari,1,1,1,0,1,1.15,150.733136,avatar shifts around negotiation ring,1
300,22,v20-scene-d22,Ori,1,0,1,1,1,1.22,291.2009,object ceremony path clears and handoff animates,1
301,22,v20-scene-d22,Vonn,1,0,1,1,1,1.22,69.278664,object ceremony path clears and handoff animates,1
302,22,v20-scene-d22,Sova,1,1,1,0,1,1.05,201.866428,avatar shifts around negotiation ring,1
303,22,v20-scene-d22,Keth,1,1,1,1,1,1.12,342.334192,object ceremony path clears and handoff animates,1
304,22,v20-scene-d22,Melo,1,1,1,1,1,1.12,120.411956,object ceremony path clears and handoff animates,1
305,22,v20-scene-d22,Nari,1,1,1,1,1,1.12,257.53972,object ceremony path clears and handoff animates,1
306,22,v20-scene-d22,Ori,1,1,1,1,1,1.22,39.667484,object ceremony path clears and handoff animates,1
307,22,v20-scene-d22,Vonn,1,1,1,1,0,1.22,177.745248,object ceremony path clears and handoff animates,1
308,23,v20-scene-d23,Keth,1,1,1,1,1,1.22,307.893612,object ceremony path clears and handoff animates,1
309,23,v20-scene-d23,Melo,1,1,1,0,1,1.05,80.481376,avatar shifts around negotiation ring,1
310,23,v20-scene-d23,Nari,1,1,1,0,1,1.05,218.55914,avatar shifts around negotiation ring,1
311,23,v20-scene-d23,Ori,1,1,1,1,1,1.12,359.026904,object ceremony path clears and handoff animates,1
312,23,v20-scene-d23,Vonn,1,1,1,1,1,1.12,136.154668,object ceremony path clears and handoff animates,1
313,23,v20-scene-d23,Sova,1,1,1,1,1,1.22,278.282432,object ceremony path clears and handoff animates,1
314,23,v20-scene-d23,Keth,1,1,1,1,1,1.22,56.360196,object ceremony path clears and handoff animates,1
315,23,v20-scene-d23,Melo,1,1,1,1,1,1.22,194.43796,object ceremony path clears and handoff animates,1
316,23,v20-scene-d23,Nari,1,1,1,0,1,1.15,330.125724,avatar shifts around negotiation ring,1
317,23,v20-scene-d23,Ori,1,1,1,1,1,1.12,107.493488,object ceremony path clears and handoff animates,1
318,23,v20-scene-d23,Vonn,1,1,1,1,1,1.12,245.571252,object ceremony path clears and handoff animates,1
319,23,v20-scene-d23,Sova,1,1,1,1,1,1.12,23.649016,object ceremony path clears and handoff animates,1
320,23,v20-scene-d23,Keth,1,1,1,1,1,1.12,160.77678,object ceremony path clears and handoff animates,1
321,23,v20-scene-d23,Melo,1,1,1,0,1,1.15,300.514544,avatar shifts around negotiation ring,1
322,24,v20-scene-d24,Ori,1,1,1,1,1,1.22,73.005322,object ceremony path clears and handoff animates,1
323,24,v20-scene-d24,Vonn,1,0,1,0,1,1.19,208.983086,collision probe redirects avatar step,1
324,24,v20-scene-d24,Sova,1,1,1,1,1,1.16,347.30085,object ceremony path clears and handoff animates,1
325,24,v20-scene-d24,Keth,1,0,1,1,1,1.16,125.378614,object ceremony path clears and handoff animates,1
326,24,v20-scene-d24,Melo,1,0,1,1,1,1.16,263.456378,object ceremony path clears and handoff animates,1
327,24,v20-scene-d24,Nari,1,1,1,1,1,1.12,39.344142,object ceremony path clears and handoff animates,1
328,24,v20-scene-d24,Ori,1,1,1,1,1,1.26,182.711906,object ceremony path clears and handoff animates,1
329,24,v20-scene-d24,Vonn,1,1,1,1,1,1.22,319.54967,object ceremony path clears and handoff animates,1
330,24,v20-scene-d24,Sova,1,1,1,0,0,1.15,95.237434,avatar shifts around negotiation ring,1
331,24,v20-scene-d24,Keth,1,1,1,1,1,1.22,235.705198,object ceremony path clears and handoff animates,1
332,24,v20-scene-d24,Melo,1,1,1,1,1,1.12,10.682962,object ceremony path clears and handoff animates,1
333,24,v20-scene-d24,Nari,1,0,1,1,1,1.16,150.000726,object ceremony path clears and handoff animates,1
334,24,v20-scene-d24,Ori,1,1,1,1,1,1.12,286.83849,object ceremony path clears and handoff animates,1
335,24,v20-scene-d24,Vonn,1,1,1,1,1,1.12,63.966254,object ceremony path clears and handoff animates,1
