tick,day,scene_id,agent,initiated_kind,target_object,initiated_by_reaction,initiated_by_inventory_need,visible_to_avatar,later_behavior_effect,initiation_score
309,20,v23-scene-d20,Keth,none,path cord,0,0,0,pathing and access changed,1.0
310,20,v23-scene-d20,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
311,20,v23-scene-d20,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
312,20,v23-scene-d20,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
313,20,v23-scene-d20,Vonn,none,rain mirror,0,0,0,pathing and access changed,1.0
314,20,v23-scene-d20,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
315,20,v23-scene-d20,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
316,20,v23-scene-d20,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
317,20,v23-scene-d20,Keth,none,path cord,0,0,0,pathing and access changed,1.0
318,20,v23-scene-d20,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
319,20,v23-scene-d20,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
320,21,v23-scene-d21,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
321,21,v23-scene-d21,Nari,none,ink ledger,0,0,0,pathing and access changed,1.0
322,21,v23-scene-d21,Vonn,none,rain mirror,0,0,0,pathing and access changed,1.0
323,21,v23-scene-d21,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
324,21,v23-scene-d21,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
325,21,v23-scene-d21,Keth,none,path cord,0,0,0,pathing and access changed,1.0
326,21,v23-scene-d21,Ori,asks-to-inspect,sap hook,1,1,1,pathing and access changed,1.0
327,21,v23-scene-d21,Keth,calls-for-return,path cord,1,1,0,pathing and access changed,0.75
328,21,v23-scene-d21,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
329,21,v23-scene-d21,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
330,21,v23-scene-d21,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
331,21,v23-scene-d21,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
332,21,v23-scene-d21,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
333,21,v23-scene-d21,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
334,21,v23-scene-d21,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
335,21,v23-scene-d21,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
336,22,v23-scene-d22,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
337,22,v23-scene-d22,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
338,22,v23-scene-d22,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
339,22,v23-scene-d22,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
340,22,v23-scene-d22,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
341,22,v23-scene-d22,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
342,22,v23-scene-d22,Melo,later-followup,tally beads,1,0,1,pathing and access changed,1.0
343,22,v23-scene-d22,Keth,asks-to-inspect,path cord,1,1,1,pathing and access changed,1.0
344,22,v23-scene-d22,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
345,22,v23-scene-d22,Nari,asks-to-inspect,fern key,1,1,1,pathing and access changed,1.0
346,22,v23-scene-d22,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
347,22,v23-scene-d22,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
348,22,v23-scene-d22,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
349,22,v23-scene-d22,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
350,22,v23-scene-d22,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
351,22,v23-scene-d22,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
352,23,v23-scene-d23,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
353,23,v23-scene-d23,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
354,23,v23-scene-d23,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
355,23,v23-scene-d23,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
356,23,v23-scene-d23,Nari,invites-help,fern key,1,1,0,pathing and access changed,0.75
357,23,v23-scene-d23,Vonn,none,listening shell,0,0,0,pathing and access changed,1.0
358,23,v23-scene-d23,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
359,23,v23-scene-d23,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
360,23,v23-scene-d23,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
361,23,v23-scene-d23,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
362,23,v23-scene-d23,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
363,23,v23-scene-d23,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
364,23,v23-scene-d23,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
365,23,v23-scene-d23,Sova,asks-to-inspect,ember bowl,1,1,1,pathing and access changed,1.0
366,23,v23-scene-d23,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
367,23,v23-scene-d23,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
368,24,v23-scene-d24,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
369,24,v23-scene-d24,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
370,24,v23-scene-d24,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
371,24,v23-scene-d24,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
372,24,v23-scene-d24,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
373,24,v23-scene-d24,Nari,none,fern key,0,0,0,pathing and access changed,1.0
374,24,v23-scene-d24,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
375,24,v23-scene-d24,Sova,invites-help,moth lantern,1,1,1,pathing and access changed,1.0
376,24,v23-scene-d24,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
377,24,v23-scene-d24,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
378,24,v23-scene-d24,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
379,24,v23-scene-d24,Melo,later-followup,tally beads,1,0,1,pathing and access changed,1.0
380,24,v23-scene-d24,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
381,24,v23-scene-d24,Sova,none,moth lantern,0,0,0,pathing and access changed,1.0
382,24,v23-scene-d24,Ori,asks-to-inspect,sap hook,1,1,1,pathing and access changed,1.0
383,24,v23-scene-d24,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
384,25,v23-scene-d25,Vonn,none,rain mirror,0,0,0,pathing and access changed,1.0
385,25,v23-scene-d25,Nari,none,ink ledger,0,0,0,pathing and access changed,1.0
386,25,v23-scene-d25,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
387,25,v23-scene-d25,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
388,25,v23-scene-d25,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
389,25,v23-scene-d25,Nari,asks-to-inspect,ink ledger,1,1,1,pathing and access changed,1.0
390,25,v23-scene-d25,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
391,25,v23-scene-d25,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
392,25,v23-scene-d25,Nari,calls-for-return,fern key,1,1,1,pathing and access changed,1.0
393,25,v23-scene-d25,Keth,calls-for-return,path cord,1,1,1,pathing and access changed,1.0
394,25,v23-scene-d25,Nari,calls-for-return,fern key,1,1,1,pathing and access changed,1.0
395,25,v23-scene-d25,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
396,25,v23-scene-d25,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
397,25,v23-scene-d25,Vonn,none,listening shell,0,0,0,pathing and access changed,1.0
398,25,v23-scene-d25,Sova,asks-to-inspect,moth lantern,1,1,1,pathing and access changed,1.0
399,25,v23-scene-d25,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
400,26,v23-scene-d26,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
401,26,v23-scene-d26,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
402,26,v23-scene-d26,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
403,26,v23-scene-d26,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
404,26,v23-scene-d26,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
405,26,v23-scene-d26,Keth,none,path cord,0,0,0,pathing and access changed,1.0
406,26,v23-scene-d26,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
407,26,v23-scene-d26,Vonn,calls-for-return,rain mirror,1,1,1,pathing and access changed,1.0
408,26,v23-scene-d26,Ori,invites-help,sap hook,1,1,1,pathing and access changed,1.0
409,26,v23-scene-d26,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
410,26,v23-scene-d26,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
411,26,v23-scene-d26,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
412,26,v23-scene-d26,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
413,26,v23-scene-d26,Sova,calls-for-return,moth lantern,1,1,1,pathing and access changed,1.0
414,26,v23-scene-d26,Sova,invites-help,ember bowl,1,1,0,pathing and access changed,0.75
415,26,v23-scene-d26,Keth,none,path cord,0,0,0,pathing and access changed,1.0
