seed,ledger_id,event,material_sources,material_transformation,time_cost,labor_or_attention_cost,resident_effort,hidden_law_involved,public_observation,resident_interpretation,resources_before,resources_after,conservation_check,maintenance_obligation_created,unintended_consequence,normal_view_hidden_law_exposed
36319,36319-HRL-02-01,36319-HRC-02-01,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,burdened_ritual,Milo carries ritualized as burdened_ritual,10,9,True,36319-HRC-02-01,ongoing social memory,False
36319,36319-HRL-02-02,36319-HRC-02-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36319,36319-HRL-02-03,36319-HRC-02-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Tovan carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36319,36319-HRL-02-04,36319-HRC-02-04,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Sera carries taboo as ritual_warning,10,9,True,36319-HRC-02-04,ongoing social memory,False
36319,36319-HRL-02-05,36319-HRC-02-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Tovan carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36319,36319-HRL-02-06,36319-HRC-02-06,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Nia carries ritualized as remembered_ritual,10,9,True,36319-HRC-02-06,ongoing social memory,False
36319,36319-HRL-03-01,36319-HRC-03-01,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,burdened_ritual,Milo carries ritualized as burdened_ritual,10,9,True,36319-HRC-03-01,ongoing social memory,False
36319,36319-HRL-03-02,36319-HRC-03-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36319,36319-HRL-03-03,36319-HRC-03-03,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Tovan carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36319,36319-HRL-03-04,36319-HRC-03-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Sera carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36319,36319-HRL-03-05,36319-HRC-03-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Tovan carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36319,36319-HRL-03-06,36319-HRC-03-06,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Nia carries ritualized as remembered_ritual,10,9,True,36319-HRC-03-06,ongoing social memory,False
36343,36343-HRL-01-01,36343-HRC-01-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Tovan carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36343,36343-HRL-01-02,36343-HRC-01-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Nia carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36343,36343-HRL-01-03,36343-HRC-01-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Ari carries ritualized as remembered_ritual,10,9,True,36343-HRC-01-03,ongoing social memory,False
36343,36343-HRL-01-04,36343-HRC-01-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,still_disputed,Nia carries disputed as still_disputed,10,10,True,none,ongoing social memory,False
36343,36343-HRL-01-05,36343-HRC-01-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Ari carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36343,36343-HRL-01-06,36343-HRC-01-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Fay carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36343,36343-HRL-02-01,36343-HRC-02-01,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Tovan carries taboo as ritual_warning,10,9,True,36343-HRC-02-01,ongoing social memory,False
36343,36343-HRL-02-02,36343-HRC-02-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Nia carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36343,36343-HRL-02-03,36343-HRC-02-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Ari carries ritualized as remembered_ritual,10,9,True,36343-HRC-02-03,ongoing social memory,False
36343,36343-HRL-02-04,36343-HRC-02-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Nia carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36343,36343-HRL-02-05,36343-HRC-02-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,needs_maintenance,Ari carries useful_practice as needs_maintenance,10,8,True,36343-HRC-02-05,ongoing social memory,False
36343,36343-HRL-02-06,36343-HRC-02-06,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Fay carries taboo as ritual_warning,10,9,True,36343-HRC-02-06,ongoing social memory,False
36343,36343-HRL-03-01,36343-HRC-03-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Tovan carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36343,36343-HRL-03-02,36343-HRC-03-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Nia carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36343,36343-HRL-03-03,36343-HRC-03-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Ari carries ritualized as remembered_ritual,10,9,True,36343-HRC-03-03,ongoing social memory,False
36343,36343-HRL-03-04,36343-HRC-03-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Nia carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36343,36343-HRL-03-05,36343-HRC-03-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,needs_maintenance,Ari carries useful_practice as needs_maintenance,10,8,True,36343-HRC-03-05,ongoing social memory,False
36343,36343-HRL-03-06,36343-HRC-03-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Fay carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
