tick_id,day,agent,route_id,public_memory_key,remembered_route_choice,remembered_forecast_revision,remembered_avatar_task,remembered_drill,remembered_reload_recovery,private_workspace_sealed,replay_pointer
159,10,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day10,fen track,rev:6 risk:0.43,tasks:1,score:0.40,recovery:0.85,True,replay:159:orchard_riverbend
160,11,Juno,central_repair_ring,v30:Juno:central_repair_ring:day11,outer bell path,rev:7 risk:0.42,tasks:5,score:0.31,recovery:0.94,True,replay:160:central_repair_ring
161,11,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day11,orchard ridge detour,rev:4 risk:0.44,tasks:2,score:0.40,recovery:0.94,True,replay:161:riverbend_roofward
162,11,Fay,roofward_archive,v30:Fay:roofward_archive:day11,cool archive lane,rev:5 risk:0.45,tasks:4,score:0.31,recovery:0.94,True,replay:162:roofward_archive
163,11,Nia,archive_signal,v30:Nia:archive_signal:day11,stone kiosk path,rev:6 risk:0.52,tasks:2,score:0.40,recovery:0.94,True,replay:163:archive_signal
164,11,Milo,signal_orchard,v30:Milo:signal_orchard:day11,river lantern loop,rev:7 risk:0.44,tasks:4,score:0.28,recovery:0.94,True,replay:164:signal_orchard
165,11,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day11,fen track,rev:6 risk:0.45,tasks:1,score:0.40,recovery:0.85,True,replay:165:orchard_riverbend
166,11,Juno,central_repair_ring,v30:Juno:central_repair_ring:day11,outer bell path,rev:7 risk:0.41,tasks:5,score:0.31,recovery:0.94,True,replay:166:central_repair_ring
167,11,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day11,orchard ridge detour,rev:4 risk:0.47,tasks:2,score:0.43,recovery:0.94,True,replay:167:riverbend_roofward
168,11,Fay,roofward_archive,v30:Fay:roofward_archive:day11,cool archive lane,rev:6 risk:0.52,tasks:4,score:0.31,recovery:0.94,True,replay:168:roofward_archive
169,11,Nia,archive_signal,v30:Nia:archive_signal:day11,stone kiosk path,rev:6 risk:0.50,tasks:2,score:0.40,recovery:0.94,True,replay:169:archive_signal
170,11,Milo,signal_orchard,v30:Milo:signal_orchard:day11,river lantern loop,rev:7 risk:0.44,tasks:4,score:0.28,recovery:0.94,True,replay:170:signal_orchard
171,11,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day11,fen track,rev:6 risk:0.46,tasks:1,score:0.43,recovery:0.87,True,replay:171:orchard_riverbend
172,11,Juno,central_repair_ring,v30:Juno:central_repair_ring:day11,outer bell path,rev:7 risk:0.41,tasks:5,score:0.31,recovery:0.94,True,replay:172:central_repair_ring
173,11,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day11,orchard ridge detour,rev:4 risk:0.46,tasks:2,score:0.43,recovery:0.94,True,replay:173:riverbend_roofward
174,11,Fay,roofward_archive,v30:Fay:roofward_archive:day11,cool archive lane,rev:6 risk:0.52,tasks:5,score:0.31,recovery:0.94,True,replay:174:roofward_archive
175,11,Nia,archive_signal,v30:Nia:archive_signal:day11,stone kiosk path,rev:6 risk:0.47,tasks:2,score:0.40,recovery:0.94,True,replay:175:archive_signal
176,12,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day12,fen track,rev:7 risk:0.40,tasks:1,score:0.43,recovery:0.89,True,replay:176:orchard_riverbend
177,12,Juno,central_repair_ring,v30:Juno:central_repair_ring:day12,inner repair yard,rev:7 risk:0.42,tasks:5,score:0.31,recovery:0.94,True,replay:177:central_repair_ring
178,12,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day12,orchard ridge detour,rev:5 risk:0.41,tasks:3,score:0.43,recovery:0.94,True,replay:178:riverbend_roofward
179,12,Fay,roofward_archive,v30:Fay:roofward_archive:day12,cool archive lane,rev:6 risk:0.52,tasks:5,score:0.34,recovery:0.94,True,replay:179:roofward_archive
180,12,Nia,archive_signal,v30:Nia:archive_signal:day12,stone kiosk path,rev:6 risk:0.47,tasks:2,score:0.40,recovery:0.94,True,replay:180:archive_signal
181,12,Milo,signal_orchard,v30:Milo:signal_orchard:day12,river lantern loop,rev:7 risk:0.46,tasks:4,score:0.28,recovery:0.94,True,replay:181:signal_orchard
182,12,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day12,fen track,rev:7 risk:0.40,tasks:1,score:0.43,recovery:0.89,True,replay:182:orchard_riverbend
183,12,Juno,central_repair_ring,v30:Juno:central_repair_ring:day12,inner repair yard,rev:7 risk:0.44,tasks:5,score:0.34,recovery:0.94,True,replay:183:central_repair_ring
184,12,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day12,orchard ridge detour,rev:6 risk:0.50,tasks:3,score:0.43,recovery:0.94,True,replay:184:riverbend_roofward
185,12,Fay,roofward_archive,v30:Fay:roofward_archive:day12,cool archive lane,rev:6 risk:0.49,tasks:5,score:0.34,recovery:0.94,True,replay:185:roofward_archive
186,12,Nia,archive_signal,v30:Nia:archive_signal:day12,stone kiosk path,rev:6 risk:0.47,tasks:3,score:0.40,recovery:0.94,True,replay:186:archive_signal
187,12,Milo,signal_orchard,v30:Milo:signal_orchard:day12,river lantern loop,rev:7 risk:0.47,tasks:4,score:0.29,recovery:0.94,True,replay:187:signal_orchard
188,12,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day12,fen track,rev:7 risk:0.40,tasks:1,score:0.43,recovery:0.89,True,replay:188:orchard_riverbend
189,12,Juno,central_repair_ring,v30:Juno:central_repair_ring:day12,inner repair yard,rev:7 risk:0.43,tasks:5,score:0.34,recovery:0.94,True,replay:189:central_repair_ring
190,12,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day12,orchard ridge detour,rev:7 risk:0.57,tasks:3,score:0.43,recovery:0.94,True,replay:190:riverbend_roofward
191,12,Fay,roofward_archive,v30:Fay:roofward_archive:day12,cool archive lane,rev:6 risk:0.47,tasks:5,score:0.34,recovery:0.94,True,replay:191:roofward_archive
192,13,Nia,archive_signal,v30:Nia:archive_signal:day13,stone kiosk path,rev:7 risk:0.41,tasks:3,score:0.40,recovery:0.94,True,replay:192:archive_signal
193,13,Milo,signal_orchard,v30:Milo:signal_orchard:day13,river lantern loop,rev:7 risk:0.46,tasks:4,score:0.29,recovery:0.94,True,replay:193:signal_orchard
194,13,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day13,fen track,rev:7 risk:0.42,tasks:2,score:0.43,recovery:0.92,True,replay:194:orchard_riverbend
195,13,Juno,central_repair_ring,v30:Juno:central_repair_ring:day13,inner repair yard,rev:7 risk:0.43,tasks:5,score:0.37,recovery:0.94,True,replay:195:central_repair_ring
196,13,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day13,orchard ridge detour,rev:7 risk:0.55,tasks:3,score:0.43,recovery:0.94,True,replay:196:riverbend_roofward
197,13,Fay,roofward_archive,v30:Fay:roofward_archive:day13,cool archive lane,rev:6 risk:0.47,tasks:5,score:0.34,recovery:0.94,True,replay:197:roofward_archive
198,13,Nia,archive_signal,v30:Nia:archive_signal:day13,stone kiosk path,rev:7 risk:0.40,tasks:3,score:0.40,recovery:0.94,True,replay:198:archive_signal
199,13,Milo,signal_orchard,v30:Milo:signal_orchard:day13,river lantern loop,rev:7 risk:0.47,tasks:4,score:0.29,recovery:0.94,True,replay:199:signal_orchard
200,13,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day13,fen track,rev:8 risk:0.47,tasks:2,score:0.43,recovery:0.93,True,replay:200:orchard_riverbend
201,13,Juno,central_repair_ring,v30:Juno:central_repair_ring:day13,outer bell path,rev:7 risk:0.45,tasks:5,score:0.37,recovery:0.94,True,replay:201:central_repair_ring
202,13,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day13,orchard ridge detour,rev:7 risk:0.53,tasks:4,score:0.43,recovery:0.94,True,replay:202:riverbend_roofward
203,13,Fay,roofward_archive,v30:Fay:roofward_archive:day13,cool archive lane,rev:6 risk:0.48,tasks:5,score:0.37,recovery:0.94,True,replay:203:roofward_archive
204,13,Nia,archive_signal,v30:Nia:archive_signal:day13,stone kiosk path,rev:7 risk:0.44,tasks:3,score:0.40,recovery:0.94,True,replay:204:archive_signal
205,13,Milo,signal_orchard,v30:Milo:signal_orchard:day13,river lantern loop,rev:7 risk:0.45,tasks:4,score:0.29,recovery:0.94,True,replay:205:signal_orchard
206,13,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day13,fen track,rev:8 risk:0.47,tasks:3,score:0.43,recovery:0.94,True,replay:206:orchard_riverbend
207,13,Juno,central_repair_ring,v30:Juno:central_repair_ring:day13,outer bell path,rev:7 risk:0.46,tasks:5,score:0.37,recovery:0.94,True,replay:207:central_repair_ring
208,14,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day14,orchard ridge detour,rev:8 risk:0.47,tasks:4,score:0.43,recovery:0.94,True,replay:208:riverbend_roofward
209,14,Fay,roofward_archive,v30:Fay:roofward_archive:day14,glass stair,rev:6 risk:0.46,tasks:5,score:0.37,recovery:0.94,True,replay:209:roofward_archive
210,14,Nia,archive_signal,v30:Nia:archive_signal:day14,stone kiosk path,rev:7 risk:0.44,tasks:3,score:0.40,recovery:0.94,True,replay:210:archive_signal
211,14,Milo,signal_orchard,v30:Milo:signal_orchard:day14,river lantern loop,rev:7 risk:0.49,tasks:4,score:0.32,recovery:0.94,True,replay:211:signal_orchard
212,14,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day14,fen track,rev:8 risk:0.45,tasks:3,score:0.43,recovery:0.94,True,replay:212:orchard_riverbend
213,14,Juno,central_repair_ring,v30:Juno:central_repair_ring:day14,outer bell path,rev:7 risk:0.46,tasks:5,score:0.37,recovery:0.94,True,replay:213:central_repair_ring
214,14,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day14,orchard ridge detour,rev:8 risk:0.48,tasks:4,score:0.43,recovery:0.94,True,replay:214:riverbend_roofward
215,14,Fay,roofward_archive,v30:Fay:roofward_archive:day14,glass stair,rev:6 risk:0.46,tasks:5,score:0.40,recovery:0.94,True,replay:215:roofward_archive
216,14,Nia,archive_signal,v30:Nia:archive_signal:day14,stone kiosk path,rev:8 risk:0.41,tasks:3,score:0.40,recovery:0.94,True,replay:216:archive_signal
217,14,Milo,signal_orchard,v30:Milo:signal_orchard:day14,river lantern loop,rev:7 risk:0.49,tasks:4,score:0.32,recovery:0.94,True,replay:217:signal_orchard
218,14,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day14,fen track,rev:8 risk:0.43,tasks:4,score:0.43,recovery:0.94,True,replay:218:orchard_riverbend
219,14,Juno,central_repair_ring,v30:Juno:central_repair_ring:day14,outer bell path,rev:7 risk:0.45,tasks:5,score:0.40,recovery:0.94,True,replay:219:central_repair_ring
220,14,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day14,river ford,rev:8 risk:0.51,tasks:4,score:0.43,recovery:0.94,True,replay:220:riverbend_roofward
221,14,Fay,roofward_archive,v30:Fay:roofward_archive:day14,cool archive lane,rev:6 risk:0.44,tasks:5,score:0.40,recovery:0.94,True,replay:221:roofward_archive
222,14,Nia,archive_signal,v30:Nia:archive_signal:day14,stone kiosk path,rev:8 risk:0.41,tasks:4,score:0.40,recovery:0.94,True,replay:222:archive_signal
223,14,Milo,signal_orchard,v30:Milo:signal_orchard:day14,river lantern loop,rev:7 risk:0.49,tasks:4,score:0.32,recovery:0.94,True,replay:223:signal_orchard
224,15,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day15,fen track,rev:9 risk:0.49,tasks:4,score:0.43,recovery:0.94,True,replay:224:orchard_riverbend
225,15,Juno,central_repair_ring,v30:Juno:central_repair_ring:day15,inner repair yard,rev:7 risk:0.43,tasks:5,score:0.40,recovery:0.94,True,replay:225:central_repair_ring
226,15,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day15,river ford,rev:8 risk:0.50,tasks:5,score:0.43,recovery:0.94,True,replay:226:riverbend_roofward
227,15,Fay,roofward_archive,v30:Fay:roofward_archive:day15,cool archive lane,rev:6 risk:0.47,tasks:5,score:0.40,recovery:0.94,True,replay:227:roofward_archive
228,15,Nia,archive_signal,v30:Nia:archive_signal:day15,stone kiosk path,rev:8 risk:0.39,tasks:4,score:0.40,recovery:0.94,True,replay:228:archive_signal
229,15,Milo,signal_orchard,v30:Milo:signal_orchard:day15,river lantern loop,rev:7 risk:0.48,tasks:4,score:0.32,recovery:0.94,True,replay:229:signal_orchard
230,15,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day15,fen track,rev:9 risk:0.49,tasks:4,score:0.43,recovery:0.94,True,replay:230:orchard_riverbend
231,15,Juno,central_repair_ring,v30:Juno:central_repair_ring:day15,inner repair yard,rev:7 risk:0.46,tasks:5,score:0.40,recovery:0.94,True,replay:231:central_repair_ring
232,15,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day15,river ford,rev:8 risk:0.48,tasks:5,score:0.43,recovery:0.94,True,replay:232:riverbend_roofward
233,15,Fay,roofward_archive,v30:Fay:roofward_archive:day15,cool archive lane,rev:6 risk:0.47,tasks:5,score:0.40,recovery:0.94,True,replay:233:roofward_archive
234,15,Nia,archive_signal,v30:Nia:archive_signal:day15,stone kiosk path,rev:8 risk:0.42,tasks:5,score:0.40,recovery:0.94,True,replay:234:archive_signal
235,15,Milo,signal_orchard,v30:Milo:signal_orchard:day15,river lantern loop,rev:7 risk:0.46,tasks:4,score:0.35,recovery:0.94,True,replay:235:signal_orchard
236,15,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day15,fen track,rev:9 risk:0.50,tasks:4,score:0.43,recovery:0.94,True,replay:236:orchard_riverbend
237,15,Juno,central_repair_ring,v30:Juno:central_repair_ring:day15,outer bell path,rev:7 risk:0.47,tasks:5,score:0.40,recovery:0.94,True,replay:237:central_repair_ring
238,15,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day15,river ford,rev:8 risk:0.46,tasks:6,score:0.43,recovery:0.94,True,replay:238:riverbend_roofward
239,15,Fay,roofward_archive,v30:Fay:roofward_archive:day15,cool archive lane,rev:6 risk:0.47,tasks:5,score:0.40,recovery:0.94,True,replay:239:roofward_archive
240,16,Nia,archive_signal,v30:Nia:archive_signal:day16,stone kiosk path,rev:9 risk:0.48,tasks:5,score:0.40,recovery:0.94,True,replay:240:archive_signal
241,16,Milo,signal_orchard,v30:Milo:signal_orchard:day16,river lantern loop,rev:7 risk:0.47,tasks:4,score:0.35,recovery:0.94,True,replay:241:signal_orchard
242,16,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day16,fen track,rev:9 risk:0.47,tasks:5,score:0.43,recovery:0.94,True,replay:242:orchard_riverbend
243,16,Juno,central_repair_ring,v30:Juno:central_repair_ring:day16,outer bell path,rev:7 risk:0.48,tasks:5,score:0.43,recovery:0.94,True,replay:243:central_repair_ring
244,16,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day16,river ford,rev:8 risk:0.48,tasks:6,score:0.43,recovery:0.94,True,replay:244:riverbend_roofward
245,16,Fay,roofward_archive,v30:Fay:roofward_archive:day16,cool archive lane,rev:6 risk:0.45,tasks:5,score:0.40,recovery:0.94,True,replay:245:roofward_archive
246,16,Nia,archive_signal,v30:Nia:archive_signal:day16,stone kiosk path,rev:9 risk:0.47,tasks:5,score:0.40,recovery:0.94,True,replay:246:archive_signal
247,16,Milo,signal_orchard,v30:Milo:signal_orchard:day16,river lantern loop,rev:7 risk:0.50,tasks:4,score:0.38,recovery:0.94,True,replay:247:signal_orchard
248,16,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day16,fen track,rev:10 risk:0.40,tasks:5,score:0.43,recovery:0.94,True,replay:248:orchard_riverbend
249,16,Juno,central_repair_ring,v30:Juno:central_repair_ring:day16,outer bell path,rev:7 risk:0.47,tasks:5,score:0.43,recovery:0.94,True,replay:249:central_repair_ring
250,16,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day16,river ford,rev:8 risk:0.48,tasks:6,score:0.43,recovery:0.94,True,replay:250:riverbend_roofward
251,16,Fay,roofward_archive,v30:Fay:roofward_archive:day16,cool archive lane,rev:6 risk:0.43,tasks:5,score:0.43,recovery:0.94,True,replay:251:roofward_archive
252,16,Nia,archive_signal,v30:Nia:archive_signal:day16,stone kiosk path,rev:9 risk:0.48,tasks:5,score:0.40,recovery:0.94,True,replay:252:archive_signal
253,16,Milo,signal_orchard,v30:Milo:signal_orchard:day16,dusk road,rev:7 risk:0.49,tasks:4,score:0.38,recovery:0.94,True,replay:253:signal_orchard
254,16,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day16,fen track,rev:10 risk:0.43,tasks:6,score:0.43,recovery:0.94,True,replay:254:orchard_riverbend
255,16,Juno,central_repair_ring,v30:Juno:central_repair_ring:day16,outer bell path,rev:7 risk:0.45,tasks:5,score:0.43,recovery:0.94,True,replay:255:central_repair_ring
256,17,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day17,river ford,rev:9 risk:0.45,tasks:6,score:0.43,recovery:0.94,True,replay:256:riverbend_roofward
257,17,Fay,roofward_archive,v30:Fay:roofward_archive:day17,cool archive lane,rev:6 risk:0.44,tasks:5,score:0.43,recovery:0.94,True,replay:257:roofward_archive
258,17,Nia,archive_signal,v30:Nia:archive_signal:day17,stone kiosk path,rev:9 risk:0.45,tasks:6,score:0.40,recovery:0.94,True,replay:258:archive_signal
259,17,Milo,signal_orchard,v30:Milo:signal_orchard:day17,dusk road,rev:7 risk:0.50,tasks:4,score:0.38,recovery:0.94,True,replay:259:signal_orchard
260,17,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day17,fen track,rev:10 risk:0.44,tasks:6,score:0.43,recovery:0.94,True,replay:260:orchard_riverbend
261,17,Juno,central_repair_ring,v30:Juno:central_repair_ring:day17,outer bell path,rev:7 risk:0.47,tasks:5,score:0.43,recovery:0.94,True,replay:261:central_repair_ring
262,17,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day17,river ford,rev:9 risk:0.44,tasks:6,score:0.43,recovery:0.94,True,replay:262:riverbend_roofward
263,17,Fay,roofward_archive,v30:Fay:roofward_archive:day17,cool archive lane,rev:6 risk:0.46,tasks:5,score:0.46,recovery:0.94,True,replay:263:roofward_archive
264,17,Nia,archive_signal,v30:Nia:archive_signal:day17,stone kiosk path,rev:10 risk:0.53,tasks:6,score:0.40,recovery:0.94,True,replay:264:archive_signal
265,17,Milo,signal_orchard,v30:Milo:signal_orchard:day17,river lantern loop,rev:7 risk:0.48,tasks:4,score:0.38,recovery:0.94,True,replay:265:signal_orchard
266,17,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day17,fen track,rev:10 risk:0.44,tasks:7,score:0.43,recovery:0.94,True,replay:266:orchard_riverbend
267,17,Juno,central_repair_ring,v30:Juno:central_repair_ring:day17,outer bell path,rev:7 risk:0.48,tasks:5,score:0.46,recovery:0.94,True,replay:267:central_repair_ring
268,17,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day17,river ford,rev:9 risk:0.45,tasks:6,score:0.43,recovery:0.94,True,replay:268:riverbend_roofward
269,17,Fay,roofward_archive,v30:Fay:roofward_archive:day17,cool archive lane,rev:6 risk:0.46,tasks:5,score:0.46,recovery:0.94,True,replay:269:roofward_archive
270,17,Nia,archive_signal,v30:Nia:archive_signal:day17,stone kiosk path,rev:10 risk:0.53,tasks:6,score:0.40,recovery:0.94,True,replay:270:archive_signal
271,17,Milo,signal_orchard,v30:Milo:signal_orchard:day17,river lantern loop,rev:7 risk:0.45,tasks:4,score:0.38,recovery:0.94,True,replay:271:signal_orchard
272,18,Juno,central_repair_ring,v30:Juno:central_repair_ring:day18,outer bell path,rev:8 risk:0.42,tasks:5,score:0.46,recovery:0.94,True,replay:272:central_repair_ring
273,18,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day18,orchard ridge detour,rev:9 risk:0.46,tasks:6,score:0.43,recovery:0.94,True,replay:273:riverbend_roofward
274,18,Fay,roofward_archive,v30:Fay:roofward_archive:day18,cool archive lane,rev:6 risk:0.44,tasks:6,score:0.46,recovery:0.94,True,replay:274:roofward_archive
275,18,Nia,archive_signal,v30:Nia:archive_signal:day18,paper lane,rev:10 risk:0.52,tasks:6,score:0.40,recovery:0.94,True,replay:275:archive_signal
276,18,Milo,signal_orchard,v30:Milo:signal_orchard:day18,river lantern loop,rev:7 risk:0.46,tasks:4,score:0.38,recovery:0.94,True,replay:276:signal_orchard
277,18,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day18,market plank route,rev:10 risk:0.45,tasks:7,score:0.43,recovery:0.94,True,replay:277:orchard_riverbend
278,18,Juno,central_repair_ring,v30:Juno:central_repair_ring:day18,outer bell path,rev:8 risk:0.41,tasks:5,score:0.46,recovery:0.94,True,replay:278:central_repair_ring
279,18,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day18,orchard ridge detour,rev:9 risk:0.48,tasks:6,score:0.46,recovery:0.94,True,replay:279:riverbend_roofward
280,18,Fay,roofward_archive,v30:Fay:roofward_archive:day18,cool archive lane,rev:7 risk:0.52,tasks:6,score:0.46,recovery:0.94,True,replay:280:roofward_archive
281,18,Nia,archive_signal,v30:Nia:archive_signal:day18,stone kiosk path,rev:10 risk:0.50,tasks:6,score:0.40,recovery:0.94,True,replay:281:archive_signal
282,18,Milo,signal_orchard,v30:Milo:signal_orchard:day18,river lantern loop,rev:7 risk:0.45,tasks:5,score:0.38,recovery:0.94,True,replay:282:signal_orchard
283,18,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day18,market plank route,rev:10 risk:0.46,tasks:7,score:0.46,recovery:0.94,True,replay:283:orchard_riverbend
284,18,Juno,central_repair_ring,v30:Juno:central_repair_ring:day18,outer bell path,rev:8 risk:0.41,tasks:5,score:0.46,recovery:0.94,True,replay:284:central_repair_ring
285,18,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day18,orchard ridge detour,rev:9 risk:0.47,tasks:6,score:0.46,recovery:0.94,True,replay:285:riverbend_roofward
286,18,Fay,roofward_archive,v30:Fay:roofward_archive:day18,glass stair,rev:7 risk:0.52,tasks:7,score:0.46,recovery:0.94,True,replay:286:roofward_archive
287,18,Nia,archive_signal,v30:Nia:archive_signal:day18,stone kiosk path,rev:10 risk:0.47,tasks:6,score:0.40,recovery:0.94,True,replay:287:archive_signal
288,19,Milo,signal_orchard,v30:Milo:signal_orchard:day19,river lantern loop,rev:8 risk:0.40,tasks:5,score:0.38,recovery:0.94,True,replay:288:signal_orchard
289,19,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day19,market plank route,rev:10 risk:0.46,tasks:7,score:0.46,recovery:0.94,True,replay:289:orchard_riverbend
290,19,Juno,central_repair_ring,v30:Juno:central_repair_ring:day19,outer bell path,rev:8 risk:0.43,tasks:5,score:0.46,recovery:0.94,True,replay:290:central_repair_ring
291,19,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day19,orchard ridge detour,rev:9 risk:0.47,tasks:6,score:0.49,recovery:0.94,True,replay:291:riverbend_roofward
292,19,Fay,roofward_archive,v30:Fay:roofward_archive:day19,cool archive lane,rev:7 risk:0.51,tasks:7,score:0.46,recovery:0.94,True,replay:292:roofward_archive
293,19,Nia,archive_signal,v30:Nia:archive_signal:day19,stone kiosk path,rev:10 risk:0.48,tasks:6,score:0.40,recovery:0.94,True,replay:293:archive_signal
294,19,Milo,signal_orchard,v30:Milo:signal_orchard:day19,river lantern loop,rev:8 risk:0.39,tasks:5,score:0.38,recovery:0.94,True,replay:294:signal_orchard
295,19,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day19,market plank route,rev:10 risk:0.47,tasks:7,score:0.49,recovery:0.94,True,replay:295:orchard_riverbend
296,19,Juno,central_repair_ring,v30:Juno:central_repair_ring:day19,outer bell path,rev:9 risk:0.48,tasks:5,score:0.46,recovery:0.94,True,replay:296:central_repair_ring
297,19,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day19,river ford,rev:9 risk:0.45,tasks:6,score:0.49,recovery:0.94,True,replay:297:riverbend_roofward
298,19,Fay,roofward_archive,v30:Fay:roofward_archive:day19,cool archive lane,rev:7 risk:0.49,tasks:8,score:0.46,recovery:0.94,True,replay:298:roofward_archive
299,19,Nia,archive_signal,v30:Nia:archive_signal:day19,stone kiosk path,rev:10 risk:0.48,tasks:6,score:0.43,recovery:0.94,True,replay:299:archive_signal
300,19,Milo,signal_orchard,v30:Milo:signal_orchard:day19,river lantern loop,rev:8 risk:0.43,tasks:5,score:0.38,recovery:0.94,True,replay:300:signal_orchard
301,19,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day19,market plank route,rev:10 risk:0.45,tasks:7,score:0.49,recovery:0.94,True,replay:301:orchard_riverbend
302,19,Juno,central_repair_ring,v30:Juno:central_repair_ring:day19,outer bell path,rev:10 risk:0.43,tasks:6,score:0.46,recovery:0.94,True,replay:302:central_repair_ring
303,19,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day19,river ford,rev:9 risk:0.46,tasks:6,score:0.49,recovery:0.94,True,replay:303:riverbend_roofward
304,20,Fay,roofward_archive,v30:Fay:roofward_archive:day20,cool archive lane,rev:8 risk:0.44,tasks:8,score:0.46,recovery:0.94,True,replay:304:roofward_archive
305,20,Nia,archive_signal,v30:Nia:archive_signal:day20,stone kiosk path,rev:10 risk:0.47,tasks:6,score:0.43,recovery:0.94,True,replay:305:archive_signal
306,20,Milo,signal_orchard,v30:Milo:signal_orchard:day20,river lantern loop,rev:8 risk:0.44,tasks:6,score:0.38,recovery:0.94,True,replay:306:signal_orchard
307,20,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day20,market plank route,rev:11 risk:0.55,tasks:7,score:0.49,recovery:0.94,True,replay:307:orchard_riverbend
308,20,Juno,central_repair_ring,v30:Juno:central_repair_ring:day20,outer bell path,rev:10 risk:0.42,tasks:6,score:0.46,recovery:0.94,True,replay:308:central_repair_ring
309,20,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day20,orchard ridge detour,rev:9 risk:0.47,tasks:6,score:0.49,recovery:0.94,True,replay:309:riverbend_roofward
310,20,Fay,roofward_archive,v30:Fay:roofward_archive:day20,cool archive lane,rev:8 risk:0.46,tasks:8,score:0.46,recovery:0.94,True,replay:310:roofward_archive
311,20,Nia,archive_signal,v30:Nia:archive_signal:day20,stone kiosk path,rev:10 risk:0.47,tasks:6,score:0.46,recovery:0.94,True,replay:311:archive_signal
312,20,Milo,signal_orchard,v30:Milo:signal_orchard:day20,river lantern loop,rev:9 risk:0.40,tasks:6,score:0.38,recovery:0.94,True,replay:312:signal_orchard
313,20,Ivo,orchard_riverbend,v30:Ivo:orchard_riverbend:day20,market plank route,rev:12 risk:0.52,tasks:7,score:0.49,recovery:0.94,True,replay:313:orchard_riverbend
314,20,Juno,central_repair_ring,v30:Juno:central_repair_ring:day20,outer bell path,rev:10 risk:0.40,tasks:7,score:0.46,recovery:0.94,True,replay:314:central_repair_ring
315,20,Ari,riverbend_roofward,v30:Ari:riverbend_roofward:day20,orchard ridge detour,rev:9 risk:0.46,tasks:6,score:0.49,recovery:0.94,True,replay:315:riverbend_roofward
316,20,Fay,roofward_archive,v30:Fay:roofward_archive:day20,cool archive lane,rev:8 risk:0.48,tasks:8,score:0.46,recovery:0.94,True,replay:316:roofward_archive
317,20,Nia,archive_signal,v30:Nia:archive_signal:day20,stone kiosk path,rev:10 risk:0.44,tasks:6,score:0.46,recovery:0.94,True,replay:317:archive_signal
318,20,Milo,signal_orchard,v30:Milo:signal_orchard:day20,river lantern loop,rev:9 risk:0.40,tasks:7,score:0.38,recovery:0.94,True,replay:318:signal_orchard
