tick_index,day,agent,public_routine_marker,public_body_affect_marker,public_relationship_marker,private_history_hint,replay_checkpoint,trace_integrity_token
1,1,Ari,day 1 dawn: Ari chooses quiet_route_scan,steady_continuity; sleep_debt=0.28; recovery=0.23,continues_neutral_boundary; trust=0.52; avoid=0.21,history_charge=0.22; autonomy=0.79; reason=relationship state remains bounded,r243-day01-tick001,r243:1:Ari:90bff84411
102,4,Fay,day 4 dawn: Fay chooses prepare_tools,steady_continuity; sleep_debt=0.06; recovery=0.34,approaches_for_shared_task_later; trust=0.84; avoid=0.03,history_charge=0.06; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:102:Fay:19ef6db4ae
103,4,Milo,day 4 dawn: Milo chooses quiet_route_scan,steady_continuity; sleep_debt=0.12; recovery=0.32,shares_private_hint_voluntarily; trust=0.77; avoid=0.04,history_charge=0.05; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:103:Milo:736708a46e
104,4,Sol,day 4 dawn: Sol chooses share_water,steady_continuity; sleep_debt=0.04; recovery=0.41,approaches_for_shared_task_later; trust=0.75; avoid=0.00,history_charge=0.00; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:104:Sol:8439d77a68
105,4,Ari,day 4 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.06; recovery=0.42,approaches_for_shared_task_later; trust=0.83; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:105:Ari:9335d3dbd6
106,4,Fay,day 4 day: Fay chooses work_project,steady_continuity; sleep_debt=0.08; recovery=0.30,shares_private_hint_voluntarily; trust=0.85; avoid=0.02,history_charge=0.05; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:106:Fay:39981b0c3b
107,4,Milo,day 4 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.14; recovery=0.35,approaches_for_shared_task_later; trust=0.79; avoid=0.01,history_charge=0.04; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:107:Milo:910b19680d
108,4,Sol,day 4 day: Sol chooses repair_route,steady_continuity; sleep_debt=0.08; recovery=0.32,shares_private_hint_voluntarily; trust=0.73; avoid=0.03,history_charge=0.05; autonomy=0.74; reason=trust stable across days,no_checkpoint,r243:108:Sol:ef78fae10b
109,4,Ari,day 4 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.10; recovery=0.32,shares_private_hint_voluntarily; trust=0.80; avoid=0.03,history_charge=0.05; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:109:Ari:8ab7e9ef47
110,4,Fay,day 4 day: Fay chooses teach_skill,steady_continuity; sleep_debt=0.14; recovery=0.24,shares_private_hint_voluntarily; trust=0.85; avoid=0.02,history_charge=0.07; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:110:Fay:d4d3d36f28
111,4,Milo,day 4 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.16; recovery=0.37,approaches_for_shared_task_later; trust=0.82; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:111:Milo:bbffe992ba
112,4,Sol,day 4 day: Sol chooses market_exchange,steady_continuity; sleep_debt=0.10; recovery=0.35,approaches_for_shared_task_later; trust=0.76; avoid=0.00,history_charge=0.03; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:112:Sol:9f438dadea
113,4,Ari,day 4 dusk: Ari chooses ritual_hum,steady_continuity; sleep_debt=0.06; recovery=0.42,approaches_for_shared_task_later; trust=0.83; avoid=0.00,history_charge=0.02; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:113:Ari:8bdf235e59
114,4,Fay,day 4 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.14; recovery=0.27,shares_private_hint_voluntarily; trust=0.83; avoid=0.05,history_charge=0.10; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:114:Fay:722692f6c9
115,4,Milo,day 4 dusk: Milo chooses store_objects,steady_continuity; sleep_debt=0.18; recovery=0.38,approaches_for_shared_task_later; trust=0.85; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:115:Milo:1843f9a95c
116,4,Sol,day 4 dusk: Sol chooses hearth_return,steady_continuity; sleep_debt=0.12; recovery=0.30,shares_private_hint_voluntarily; trust=0.76; avoid=0.00,history_charge=0.03; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:116:Sol:9102beed78
117,4,Ari,day 4 dusk: Ari chooses hearth_return,steady_continuity; sleep_debt=0.09; recovery=0.35,shares_private_hint_voluntarily; trust=0.83; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:117:Ari:d035c90f24
118,4,Fay,day 4 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.10; recovery=0.38,approaches_for_shared_task_later; trust=0.85; avoid=0.02,history_charge=0.08; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:118:Fay:8e24878bfa
119,4,Milo,day 4 dusk: Milo chooses relationship_check,steady_continuity; sleep_debt=0.22; recovery=0.29,shares_private_hint_voluntarily; trust=0.82; avoid=0.03,history_charge=0.07; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:119:Milo:c9de20bb24
120,4,Sol,day 4 dusk: Sol chooses store_objects,steady_continuity; sleep_debt=0.18; recovery=0.24,shares_private_hint_voluntarily; trust=0.76; avoid=0.00,history_charge=0.04; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:120:Sol:84cf5b3f22
121,4,Ari,day 4 night: Ari chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.39,shares_private_hint_voluntarily; trust=0.84; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:121:Ari:2db5c6ba5f
122,4,Fay,day 4 night: Fay chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.46,approaches_for_shared_task_later; trust=0.88; avoid=0.00,history_charge=0.05; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:122:Fay:0d042aec2c
123,4,Milo,day 4 night: Milo chooses dream_sort_memory,steady_continuity; sleep_debt=0.05; recovery=0.43,approaches_for_shared_task_later; trust=0.85; avoid=0.00,history_charge=0.04; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:123:Milo:d5e927c005
124,4,Sol,day 4 night: Sol chooses guarded_rest,steady_continuity; sleep_debt=0.06; recovery=0.26,shares_private_hint_voluntarily; trust=0.74; avoid=0.03,history_charge=0.07; autonomy=0.80; reason=trust stable across days,no_checkpoint,r243:124:Sol:d8fae6d131
125,4,Ari,day 4 night: Ari chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.36,shares_private_hint_voluntarily; trust=0.82; avoid=0.03,history_charge=0.03; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:125:Ari:36cd75ab4d
126,4,Fay,day 4 night: Fay chooses soft_recovery,settled_after_care; sleep_debt=0.00; recovery=0.58,approaches_for_shared_task_later; trust=0.91; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:126:Fay:2c13ff0ca3
127,4,Milo,day 4 night: Milo chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.42,shares_private_hint_voluntarily; trust=0.86; avoid=0.00,history_charge=0.02; autonomy=0.82; reason=trust stable across days,no_checkpoint,r243:127:Milo:92f334a4f5
128,4,Sol,day 4 night: Sol chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.41,approaches_for_shared_task_later; trust=0.77; avoid=0.00,history_charge=0.05; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:128:Sol:d2354224da
129,5,Ari,day 5 dawn: Ari chooses quiet_route_scan,steady_continuity; sleep_debt=0.04; recovery=0.28,shares_private_hint_voluntarily; trust=0.79; avoid=0.05,history_charge=0.08; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:129:Ari:db6a41e930
130,5,Fay,day 5 dawn: Fay chooses share_water,steady_continuity; sleep_debt=0.06; recovery=0.43,shares_private_hint_voluntarily; trust=0.91; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:130:Fay:0c03c293d8
131,5,Milo,day 5 dawn: Milo chooses wake_check_body,steady_continuity; sleep_debt=0.02; recovery=0.42,approaches_for_shared_task_later; trust=0.88; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:131:Milo:eaa776ce04
132,5,Sol,day 5 dawn: Sol chooses prepare_tools,steady_continuity; sleep_debt=0.02; recovery=0.41,approaches_for_shared_task_later; trust=0.79; avoid=0.00,history_charge=0.02; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:132:Sol:9ab59ac6cb
133,5,Ari,day 5 dawn: Ari chooses prepare_tools,steady_continuity; sleep_debt=0.06; recovery=0.32,approaches_for_shared_task_later; trust=0.82; avoid=0.03,history_charge=0.07; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:133:Ari:8b1fd8b00c
134,5,Fay,day 5 dawn: Fay chooses quiet_route_scan,steady_continuity; sleep_debt=0.12; recovery=0.33,shares_private_hint_voluntarily; trust=0.89; avoid=0.03,history_charge=0.03; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:134:Fay:6d41b0dff3
135,5,Milo,day 5 dawn: Milo chooses share_water,steady_continuity; sleep_debt=0.04; recovery=0.41,approaches_for_shared_task_later; trust=0.91; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:135:Milo:6c45d3bbc2
136,5,Sol,day 5 dawn: Sol chooses wake_check_body,steady_continuity; sleep_debt=0.04; recovery=0.35,shares_private_hint_voluntarily; trust=0.80; avoid=0.00,history_charge=0.01; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:136:Sol:ff4bad9950
137,5,Ari,day 5 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.08; recovery=0.29,shares_private_hint_voluntarily; trust=0.82; avoid=0.03,history_charge=0.07; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:137:Ari:68a9cf98b2
138,5,Fay,day 5 day: Fay chooses market_exchange,steady_continuity; sleep_debt=0.14; recovery=0.35,approaches_for_shared_task_later; trust=0.92; avoid=0.00,history_charge=0.02; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:138:Fay:82c127dc2f
139,5,Milo,day 5 day: Milo chooses repair_route,steady_continuity; sleep_debt=0.08; recovery=0.32,shares_private_hint_voluntarily; trust=0.89; avoid=0.03,history_charge=0.05; autonomy=0.72; reason=trust stable across days,no_checkpoint,r243:139:Milo:f7d00d606a
140,5,Sol,day 5 day: Sol chooses teach_skill,steady_continuity; sleep_debt=0.10; recovery=0.27,shares_private_hint_voluntarily; trust=0.80; avoid=0.00,history_charge=0.02; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:140:Sol:593b45148f
141,5,Ari,day 5 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.14; recovery=0.23,shares_private_hint_voluntarily; trust=0.83; avoid=0.02,history_charge=0.08; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:141:Ari:873ae79771
142,5,Fay,day 5 day: Fay chooses work_project,steady_continuity; sleep_debt=0.16; recovery=0.37,approaches_for_shared_task_later; trust=0.94; avoid=0.00,history_charge=0.01; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:142:Fay:5b250d92f3
143,5,Milo,day 5 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.10; recovery=0.35,approaches_for_shared_task_later; trust=0.91; avoid=0.00,history_charge=0.03; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:143:Milo:12bb4a6e05
144,5,Sol,day 5 day: Sol chooses repair_route,steady_continuity; sleep_debt=0.16; recovery=0.22,shares_private_hint_voluntarily; trust=0.78; avoid=0.03,history_charge=0.06; autonomy=0.80; reason=trust stable across days,no_checkpoint,r243:144:Sol:cd74983c31
145,5,Ari,day 5 dusk: Ari chooses relationship_check,steady_continuity; sleep_debt=0.20; recovery=0.20,shares_private_hint_voluntarily; trust=0.80; avoid=0.05,history_charge=0.12; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:145:Ari:17316318b0
146,5,Fay,day 5 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.13; recovery=0.45,approaches_for_shared_task_later; trust=0.97; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:146:Fay:b13df3ff36
147,5,Milo,day 5 dusk: Milo chooses hearth_return,steady_continuity; sleep_debt=0.12; recovery=0.30,shares_private_hint_voluntarily; trust=0.92; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:147:Milo:ed0f85ab8f
148,5,Sol,day 5 dusk: Sol chooses ritual_hum,steady_continuity; sleep_debt=0.12; recovery=0.35,approaches_for_shared_task_later; trust=0.80; avoid=0.00,history_charge=0.05; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:148:Sol:d686147352
149,5,Ari,day 5 dusk: Ari chooses ritual_hum,steady_continuity; sleep_debt=0.16; recovery=0.33,approaches_for_shared_task_later; trust=0.83; avoid=0.03,history_charge=0.10; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:149:Ari:fd698c9b05
150,5,Fay,day 5 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.11; recovery=0.41,shares_private_hint_voluntarily; trust=0.95; avoid=0.03,history_charge=0.04; autonomy=0.70; reason=trust stable across days,no_checkpoint,r243:150:Fay:84a60b5784
151,5,Milo,day 5 dusk: Milo chooses store_objects,steady_continuity; sleep_debt=0.18; recovery=0.24,shares_private_hint_voluntarily; trust=0.92; avoid=0.00,history_charge=0.05; autonomy=0.82; reason=trust stable across days,no_checkpoint,r243:151:Milo:587d39c8e9
152,5,Sol,day 5 dusk: Sol chooses hearth_return,steady_continuity; sleep_debt=0.15; recovery=0.37,approaches_for_shared_task_later; trust=0.83; avoid=0.00,history_charge=0.04; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:152:Sol:8154f35967
153,5,Ari,day 5 night: Ari chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.42,approaches_for_shared_task_later; trust=0.86; avoid=0.00,history_charge=0.07; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:153:Ari:683010688a
154,5,Fay,day 5 night: Fay chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.51,approaches_for_shared_task_later; trust=0.98; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:154:Fay:169fcbe785
155,5,Milo,day 5 night: Milo chooses guarded_rest,steady_continuity; sleep_debt=0.07; recovery=0.26,shares_private_hint_voluntarily; trust=0.90; avoid=0.03,history_charge=0.07; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:155:Milo:819992c8a9
156,5,Sol,day 5 night: Sol chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.52,approaches_for_shared_task_later; trust=0.86; avoid=0.00,history_charge=0.00; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:156:Sol:90e179de5b
157,5,Ari,day 5 night: Ari chooses soft_recovery,settled_after_care; sleep_debt=0.00; recovery=0.56,approaches_for_shared_task_later; trust=0.89; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:157:Ari:1a7f9e2ab6
158,5,Fay,day 5 night: Fay chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.48,shares_private_hint_voluntarily; trust=0.98; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:158:Fay:eed6b6c21c
159,5,Milo,day 5 night: Milo chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.41,approaches_for_shared_task_later; trust=0.93; avoid=0.00,history_charge=0.05; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:159:Milo:8f212fdea8
160,5,Sol,day 5 night: Sol chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.44,shares_private_hint_voluntarily; trust=0.84; avoid=0.03,history_charge=0.03; autonomy=0.74; reason=trust stable across days,no_checkpoint,r243:160:Sol:5518b6ea3d
161,6,Ari,day 6 dawn: Ari chooses share_water,steady_continuity; sleep_debt=0.06; recovery=0.41,shares_private_hint_voluntarily; trust=0.89; avoid=0.00,history_charge=0.02; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:161:Ari:8eebbeaa55
162,6,Fay,day 6 dawn: Fay chooses wake_check_body,steady_continuity; sleep_debt=0.02; recovery=0.45,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:162:Fay:85812bf8be
163,6,Milo,day 6 dawn: Milo chooses prepare_tools,steady_continuity; sleep_debt=0.02; recovery=0.41,approaches_for_shared_task_later; trust=0.95; avoid=0.00,history_charge=0.02; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:163:Milo:a3b63d2bcc
164,6,Sol,day 6 dawn: Sol chooses quiet_route_scan,steady_continuity; sleep_debt=0.06; recovery=0.34,shares_private_hint_voluntarily; trust=0.82; avoid=0.05,history_charge=0.05; autonomy=0.80; reason=trust stable across days,no_checkpoint,r243:164:Sol:93abd3ad7b
165,6,Ari,day 6 dawn: Ari chooses quiet_route_scan,steady_continuity; sleep_debt=0.12; recovery=0.32,shares_private_hint_voluntarily; trust=0.87; avoid=0.03,history_charge=0.04; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:165:Ari:7c893eae09
166,6,Fay,day 6 dawn: Fay chooses share_water,steady_continuity; sleep_debt=0.04; recovery=0.44,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:166:Fay:fe6d205141
167,6,Milo,day 6 dawn: Milo chooses wake_check_body,steady_continuity; sleep_debt=0.04; recovery=0.35,shares_private_hint_voluntarily; trust=0.96; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:167:Milo:c0f19264bb
168,6,Sol,day 6 dawn: Sol chooses quiet_route_scan,steady_continuity; sleep_debt=0.08; recovery=0.36,approaches_for_shared_task_later; trust=0.84; avoid=0.03,history_charge=0.04; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:168:Sol:807d53e77a
169,6,Ari,day 6 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.14; recovery=0.35,approaches_for_shared_task_later; trust=0.89; avoid=0.00,history_charge=0.03; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:169:Ari:b646db8111
170,6,Fay,day 6 day: Fay chooses repair_route,steady_continuity; sleep_debt=0.08; recovery=0.34,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.04; autonomy=0.71; reason=trust stable across days,no_checkpoint,r243:170:Fay:ae275bc805
171,6,Milo,day 6 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.10; recovery=0.27,shares_private_hint_voluntarily; trust=0.96; avoid=0.00,history_charge=0.02; autonomy=0.83; reason=trust stable across days,no_checkpoint,r243:171:Milo:972c305d7c
172,6,Sol,day 6 day: Sol chooses work_project,steady_continuity; sleep_debt=0.10; recovery=0.37,approaches_for_shared_task_later; trust=0.87; avoid=0.00,history_charge=0.03; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:172:Sol:23956f55a6
173,6,Ari,day 6 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.16; recovery=0.37,approaches_for_shared_task_later; trust=0.92; avoid=0.00,history_charge=0.02; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:173:Ari:284f2fc455
174,6,Fay,day 6 day: Fay chooses market_exchange,steady_continuity; sleep_debt=0.10; recovery=0.36,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:174:Fay:3b08734237
175,6,Milo,day 6 day: Milo chooses market_exchange,steady_continuity; sleep_debt=0.16; recovery=0.22,shares_private_hint_voluntarily; trust=0.94; avoid=0.03,history_charge=0.06; autonomy=0.78; reason=trust stable across days,no_checkpoint,r243:175:Milo:5d435ddb29
176,6,Sol,day 6 day: Sol chooses teach_skill,steady_continuity; sleep_debt=0.13; recovery=0.38,approaches_for_shared_task_later; trust=0.90; avoid=0.00,history_charge=0.01; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:176:Sol:7f457ac4b9
177,6,Ari,day 6 dusk: Ari chooses store_objects,steady_continuity; sleep_debt=0.19; recovery=0.38,approaches_for_shared_task_later; trust=0.95; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:177:Ari:b9e4bd0848
178,6,Fay,day 6 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.07; recovery=0.38,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:178:Fay:79e63d14aa
179,6,Milo,day 6 dusk: Milo chooses ritual_hum,steady_continuity; sleep_debt=0.12; recovery=0.35,approaches_for_shared_task_later; trust=0.96; avoid=0.00,history_charge=0.05; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:179:Milo:8f214aa1a2
180,6,Sol,day 6 dusk: Sol chooses relationship_check,steady_continuity; sleep_debt=0.16; recovery=0.30,shares_private_hint_voluntarily; trust=0.87; avoid=0.03,history_charge=0.06; autonomy=0.74; reason=trust stable across days,no_checkpoint,r243:180:Sol:1b722ef867
181,6,Ari,day 6 dusk: Ari chooses relationship_check,steady_continuity; sleep_debt=0.22; recovery=0.29,shares_private_hint_voluntarily; trust=0.92; avoid=0.03,history_charge=0.07; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:181:Ari:55edf7a7b6
182,6,Fay,day 6 dusk: Fay chooses ritual_hum,steady_continuity; sleep_debt=0.07; recovery=0.36,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.02; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:182:Fay:c641d70d5f
183,6,Milo,day 6 dusk: Milo chooses hearth_return,steady_continuity; sleep_debt=0.15; recovery=0.37,approaches_for_shared_task_later; trust=0.99; avoid=0.00,history_charge=0.04; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:183:Milo:c4f75ee054
184,6,Sol,day 6 dusk: Sol chooses ritual_hum,steady_continuity; sleep_debt=0.13; recovery=0.40,approaches_for_shared_task_later; trust=0.90; avoid=0.00,history_charge=0.04; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:184:Sol:e54e0567c6
185,6,Ari,day 6 night: Ari chooses dream_sort_memory,steady_continuity; sleep_debt=0.06; recovery=0.43,approaches_for_shared_task_later; trust=0.95; avoid=0.00,history_charge=0.04; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:185:Ari:b273f051cb
186,6,Fay,day 6 night: Fay chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.34,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.04; autonomy=0.77; reason=trust stable across days,no_checkpoint,r243:186:Fay:11dc145cea
187,6,Milo,day 6 night: Milo chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.52,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:187:Milo:4e9a700943
188,6,Sol,day 6 night: Sol chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.40,shares_private_hint_voluntarily; trust=0.90; avoid=0.00,history_charge=0.02; autonomy=0.84; reason=trust stable across days,r243-day06-tick188,r243:188:Sol:3181726733
189,6,Ari,day 6 night: Ari chooses sleep,steady_continuity; sleep_debt=0.00; recovery=0.42,shares_private_hint_voluntarily; trust=0.96; avoid=0.00,history_charge=0.02; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:189:Ari:a1bbe84f77
190,6,Fay,day 6 night: Fay chooses dream_sort_memory,steady_continuity; sleep_debt=0.00; recovery=0.47,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:190:Fay:6e6ae01be8
191,6,Milo,day 6 night: Milo chooses guarded_rest,steady_continuity; sleep_debt=0.00; recovery=0.44,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.04; autonomy=0.72; reason=trust stable across days,no_checkpoint,r243:191:Milo:0c36563163
192,6,Sol,day 6 night: Sol chooses soft_recovery,steady_continuity; sleep_debt=0.00; recovery=0.43,shares_private_hint_voluntarily; trust=0.91; avoid=0.00,history_charge=0.01; autonomy=0.84; reason=trust stable across days,no_checkpoint,r243:192:Sol:c94aa47c94
193,7,Ari,day 7 dawn: Ari chooses wake_check_body,steady_continuity; sleep_debt=0.02; recovery=0.42,approaches_for_shared_task_later; trust=0.98; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:193:Ari:9bfd5f31e3
194,7,Fay,day 7 dawn: Fay chooses prepare_tools,steady_continuity; sleep_debt=0.02; recovery=0.45,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:194:Fay:61a4aea1df
195,7,Milo,day 7 dawn: Milo chooses quiet_route_scan,steady_continuity; sleep_debt=0.06; recovery=0.34,shares_private_hint_voluntarily; trust=0.96; avoid=0.05,history_charge=0.06; autonomy=0.79; reason=trust stable across days,no_checkpoint,r243:195:Milo:c196aa916c
196,7,Sol,day 7 dawn: Sol chooses share_water,steady_continuity; sleep_debt=0.02; recovery=0.42,approaches_for_shared_task_later; trust=0.94; avoid=0.00,history_charge=0.00; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:196:Sol:227692f3f4
197,7,Ari,day 7 dawn: Ari chooses share_water,steady_continuity; sleep_debt=0.04; recovery=0.41,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:197:Ari:f658e7661c
198,7,Fay,day 7 dawn: Fay chooses wake_check_body,steady_continuity; sleep_debt=0.04; recovery=0.37,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.00; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:198:Fay:ccd2f7ae66
199,7,Milo,day 7 dawn: Milo chooses prepare_tools,steady_continuity; sleep_debt=0.08; recovery=0.36,approaches_for_shared_task_later; trust=0.98; avoid=0.03,history_charge=0.04; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:199:Milo:d32a6a0d46
200,7,Sol,day 7 dawn: Sol chooses quiet_route_scan,steady_continuity; sleep_debt=0.06; recovery=0.32,shares_private_hint_voluntarily; trust=0.91; avoid=0.03,history_charge=0.05; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:200:Sol:8ad974ef3f
201,7,Ari,day 7 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.08; recovery=0.32,shares_private_hint_voluntarily; trust=0.98; avoid=0.03,history_charge=0.05; autonomy=0.73; reason=trust stable across days,no_checkpoint,r243:201:Ari:e00f3341b2
202,7,Fay,day 7 day: Fay chooses teach_skill,steady_continuity; sleep_debt=0.10; recovery=0.29,shares_private_hint_voluntarily; trust=1.00; avoid=0.00,history_charge=0.01; autonomy=0.81; reason=trust stable across days,no_checkpoint,r243:202:Fay:8033de76de
203,7,Milo,day 7 day: Milo chooses work_project,steady_continuity; sleep_debt=0.11; recovery=0.37,approaches_for_shared_task_later; trust=1.00; avoid=0.00,history_charge=0.03; autonomy=0.82; reason=help became recovery memory,no_checkpoint,r243:203:Milo:268f2065c8
