tick_id,day,agent_id,dominant_need,dominant_feeling,current_focus,active_memory_key,relationship_concern,intended_next_action,predicted_next_event,suppressed_action,self_note_hash,private_workspace_sealed,public_leakage_blocked
347,29,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-170327,True,True
348,30,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-867008,True,True
349,30,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-975990,True,True
350,30,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-285166,True,True
351,30,Ari,continue task,settled,cedar repair kit,memory:Ari:6,avatar reliability,explain condition,avatar asks again,ignore request,v36-124874,True,True
352,30,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-169662,True,True
353,30,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-294917,True,True
354,30,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-066031,True,True
355,30,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-975491,True,True
356,30,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286162,True,True
357,30,Ari,continue task,settled,keep the west route dry,memory:Ari:6,avatar reliability,continue,avatar asks again,ignore request,v36-076789,True,True
358,30,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-170658,True,True
359,30,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-295913,True,True
360,31,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-866010,True,True
361,31,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-974992,True,True
362,31,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-869583,True,True
363,31,Ari,continue task,settled,cedar repair kit,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-927740,True,True
364,31,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-170159,True,True
365,31,Nia,protect boundary,settled,signal spool,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-866360,True,True
366,31,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-867006,True,True
367,31,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-862946,True,True
368,31,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-870579,True,True
369,31,Ari,continue task,settled,cedar repair kit,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-928736,True,True
370,31,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-835679,True,True
371,31,Nia,protect boundary,settled,signal spool,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-865861,True,True
372,32,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-066029,True,True
373,32,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-975489,True,True
374,32,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286160,True,True
375,32,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-150028,True,True
376,32,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-170656,True,True
377,32,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-295911,True,True
378,32,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-067025,True,True
379,32,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-976485,True,True
380,32,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-285661,True,True
381,32,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar respect,continue,avatar asks again,ignore request,v36-149529,True,True
382,32,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-170157,True,True
383,32,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-295412,True,True
384,33,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-066526,True,True
385,33,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-862944,True,True
386,33,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-870577,True,True
387,33,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-086383,True,True
388,33,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-837172,True,True
389,33,Nia,protect boundary,guarded,signal spool,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-867354,True,True
390,33,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-866505,True,True
391,33,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-862445,True,True
392,33,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286158,True,True
393,33,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-937308,True,True
394,33,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-836673,True,True
395,33,Nia,protect boundary,guarded,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,withdraw,v36-295909,True,True
396,34,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-067023,True,True
397,34,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-976483,True,True
398,34,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-287154,True,True
399,34,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-086880,True,True
400,34,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-168669,True,True
401,34,Nia,protect boundary,guarded,protect the clean signal pattern,memory:Nia:6,avatar respect,say no,avatar asks again,withdraw,v36-293924,True,True
402,34,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-065038,True,True
403,34,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-974498,True,True
404,34,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar waits,withdraw,v36-285169,True,True
405,34,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-084895,True,True
406,34,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-169665,True,True
407,34,Nia,protect boundary,guarded,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar waits,withdraw,v36-294920,True,True
408,35,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-866512,True,True
409,35,Ivo,protect boundary,guarded,seed satchel,memory:Ivo:6,avatar respect,say no,avatar asks again,withdraw,v36-862452,True,True
410,35,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-868590,True,True
411,35,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-935820,True,True
412,35,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-835185,True,True
413,35,Nia,protect boundary,guarded,signal spool,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-865367,True,True
414,35,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-866013,True,True
415,35,Ivo,protect boundary,guarded,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,withdraw,v36-974995,True,True
416,35,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-285666,True,True
417,35,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-936816,True,True
418,35,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-170162,True,True
419,35,Nia,protect boundary,guarded,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-295417,True,True
420,36,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-065036,True,True
421,36,Ivo,protect boundary,guarded,keep the seeds dry,memory:Ivo:6,avatar respect,say no,avatar asks again,withdraw,v36-974496,True,True
422,36,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-285167,True,True
423,36,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-084893,True,True
424,36,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-169663,True,True
425,36,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-294918,True,True
426,36,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-066032,True,True
427,36,Ivo,protect boundary,guarded,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar waits,withdraw,v36-975492,True,True
428,36,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar waits,withdraw,v36-286163,True,True
429,36,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-085889,True,True
430,36,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar waits,withdraw,v36-169164,True,True
431,36,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar waits,ignore request,v36-294419,True,True
432,37,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-866011,True,True
433,37,Ivo,protect boundary,guarded,seed satchel,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-861951,True,True
434,37,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-869584,True,True
435,37,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-936814,True,True
436,37,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-836179,True,True
437,37,Nia,protect boundary,settled,signal spool,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-866361,True,True
438,37,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-066529,True,True
439,37,Ivo,protect boundary,guarded,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-975989,True,True
440,37,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-869085,True,True
441,37,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-084891,True,True
442,37,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-169661,True,True
443,37,Nia,protect boundary,settled,signal spool,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-865862,True,True
444,38,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-066030,True,True
445,38,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-975490,True,True
446,38,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-286161,True,True
447,38,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-085887,True,True
448,38,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-170657,True,True
449,38,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-295912,True,True
450,38,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar waits,withdraw,v36-065531,True,True
451,38,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar waits,ignore request,v36-974991,True,True
452,38,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-285662,True,True
453,38,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar waits,ignore request,v36-085388,True,True
454,38,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar waits,withdraw,v36-170158,True,True
455,38,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-295413,True,True
456,39,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-867005,True,True
457,39,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-862945,True,True
458,39,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286658,True,True
459,39,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-937808,True,True
460,39,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-835678,True,True
461,39,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-294914,True,True
462,39,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-066028,True,True
463,39,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-862446,True,True
464,39,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286159,True,True
465,39,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-085885,True,True
466,39,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-836674,True,True
467,39,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-295910,True,True
468,40,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-863276,True,True
469,40,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286989,True,True
470,40,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-936644,True,True
471,40,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-836009,True,True
472,40,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-295245,True,True
473,40,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-066359,True,True
474,40,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-862777,True,True
475,40,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286490,True,True
476,40,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-086216,True,True
477,40,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-837005,True,True
478,40,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-296241,True,True
479,40,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-867833,True,True
480,41,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-975320,True,True
481,41,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar waits,withdraw,v36-285991,True,True
482,41,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-085717,True,True
483,41,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-170487,True,True
484,41,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar waits,ignore request,v36-295742,True,True
485,41,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar waits,withdraw,v36-066856,True,True
486,41,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-976316,True,True
487,41,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-870907,True,True
488,41,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar waits,ignore request,v36-086713,True,True
489,41,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-171483,True,True
490,41,Nia,protect boundary,settled,signal spool,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-866189,True,True
491,41,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-066357,True,True
492,42,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-975817,True,True
493,42,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286488,True,True
494,42,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-937638,True,True
495,42,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-170984,True,True
496,42,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-296239,True,True
497,42,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-867831,True,True
498,42,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-976813,True,True
499,42,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-871404,True,True
500,42,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-935653,True,True
501,42,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-168999,True,True
502,42,Nia,protect boundary,settled,signal spool,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-865200,True,True
503,42,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-065368,True,True
504,43,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar waits,ignore request,v36-974828,True,True
505,43,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar waits,withdraw,v36-285499,True,True
506,43,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-085225,True,True
507,43,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar waits,withdraw,v36-169995,True,True
508,43,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar waits,ignore request,v36-295250,True,True
509,43,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-066364,True,True
510,43,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-861287,True,True
511,43,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-285000,True,True
512,43,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-084726,True,True
513,43,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-835515,True,True
514,43,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-294751,True,True
515,43,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-065865,True,True
516,44,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-975325,True,True
517,44,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-869916,True,True
518,44,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-085722,True,True
519,44,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-170492,True,True
520,44,Nia,protect boundary,settled,signal spool,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-865198,True,True
521,44,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-065366,True,True
522,44,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-861784,True,True
523,44,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar respect,say no,avatar asks again,withdraw,v36-285497,True,True
524,44,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-085223,True,True
525,44,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-836012,True,True
526,44,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar respect,say no,avatar asks again,ignore request,v36-295248,True,True
527,44,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-866840,True,True
528,45,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar waits,ignore request,v36-975822,True,True
529,45,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-286493,True,True
530,45,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar waits,ignore request,v36-084724,True,True
531,45,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar reliability,say no,avatar waits,withdraw,v36-169494,True,True
532,45,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-294749,True,True
533,45,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-866341,True,True
534,45,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-975323,True,True
535,45,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-285994,True,True
536,45,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-937144,True,True
537,45,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-170490,True,True
538,45,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-295745,True,True
539,45,Milo,protect boundary,guarded,keep the path visible,memory:Milo:6,avatar reliability,say no,avatar asks again,withdraw,v36-066859,True,True
540,46,Ivo,protect boundary,settled,seed satchel,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-861782,True,True
541,46,Juno,protect boundary,guarded,finish the wire without sparks,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-285495,True,True
542,46,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar asks again,ignore request,v36-085221,True,True
543,46,Fay,protect boundary,guarded,herb ledger,memory:Fay:6,avatar reliability,say no,avatar asks again,withdraw,v36-836010,True,True
544,46,Nia,protect boundary,settled,protect the clean signal pattern,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-295246,True,True
545,46,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-866838,True,True
546,46,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar respect,say no,avatar asks again,ignore request,v36-975820,True,True
547,46,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-870411,True,True
548,46,Ari,protect boundary,settled,cedar repair kit,memory:Ari:6,avatar respect,say no,avatar asks again,ignore request,v36-937641,True,True
549,46,Fay,protect boundary,guarded,finish the warm-lane ledger,memory:Fay:6,avatar respect,say no,avatar asks again,withdraw,v36-170987,True,True
550,46,Nia,protect boundary,settled,signal spool,memory:Nia:6,avatar reliability,say no,avatar asks again,ignore request,v36-865693,True,True
551,46,Milo,protect boundary,guarded,oil lantern,memory:Milo:6,avatar respect,say no,avatar asks again,withdraw,v36-866339,True,True
552,47,Ivo,protect boundary,settled,keep the seeds dry,memory:Ivo:6,avatar reliability,say no,avatar asks again,ignore request,v36-975321,True,True
553,47,Juno,protect boundary,guarded,copper wire,memory:Juno:6,avatar reliability,say no,avatar asks again,withdraw,v36-869912,True,True
554,47,Ari,protect boundary,settled,keep the west route dry,memory:Ari:6,avatar reliability,say no,avatar waits,ignore request,v36-085718,True,True
