tick,day,avatar_x,avatar_y,avatar_room,entered_world,movement_command,collision_or_boundary,nearby_resident,visible_scene_changed,playable_input_bound
850,48,150,242,west hearth,True,west,clear path,Milo,True,True
851,48,167,266,river gate,True,wait,clear path,Sera,True,True
852,48,184,290,arrival court,True,click,clear path,Tovan,True,True
853,48,201,314,tool alcove,True,north,clear path,Nia,True,True
854,48,218,338,rain court,True,south,clear path,Ari,True,True
855,48,235,362,fiber loft,True,east,clear path,Fay,True,True
856,48,252,386,west hearth,True,west,clear path,Milo,True,True
857,48,269,410,river gate,True,wait,clear path,Sera,True,True
858,48,286,434,arrival court,True,click,clear path,Tovan,True,True
859,48,303,458,tool alcove,True,north,clear path,Nia,True,True
860,48,320,482,rain court,True,south,clear path,Ari,True,True
861,48,337,506,fiber loft,True,east,clear path,Fay,True,True
862,48,354,90,west hearth,True,west,soft room boundary,Milo,True,True
863,48,371,114,river gate,True,wait,clear path,Sera,True,True
864,49,393,344,tool alcove,True,north,clear path,Tovan,True,True
865,49,410,368,rain court,True,south,clear path,Nia,True,True
866,49,427,392,fiber loft,True,east,clear path,Ari,True,True
867,49,444,416,west hearth,True,west,clear path,Fay,True,True
868,49,461,440,river gate,True,wait,clear path,Milo,True,True
869,49,478,464,arrival court,True,click,clear path,Sera,True,True
870,49,495,488,tool alcove,True,north,clear path,Tovan,True,True
871,49,512,512,rain court,True,south,clear path,Nia,True,True
872,49,529,96,fiber loft,True,east,soft room boundary,Ari,True,True
873,49,546,120,west hearth,True,west,clear path,Fay,True,True
874,49,563,144,river gate,True,wait,clear path,Milo,True,True
875,49,580,168,arrival court,True,click,clear path,Sera,True,True
876,49,597,192,tool alcove,True,north,clear path,Tovan,True,True
877,49,614,216,rain court,True,south,clear path,Nia,True,True
878,49,631,240,fiber loft,True,east,clear path,Ari,True,True
879,49,648,264,west hearth,True,west,clear path,Fay,True,True
880,49,665,288,river gate,True,wait,clear path,Milo,True,True
881,49,682,312,arrival court,True,click,clear path,Sera,True,True
882,50,704,102,rain court,True,south,soft room boundary,Tovan,True,True
883,50,721,126,fiber loft,True,east,clear path,Nia,True,True
884,50,738,150,west hearth,True,west,clear path,Ari,True,True
885,50,755,174,river gate,True,wait,clear path,Fay,True,True
886,50,772,198,arrival court,True,click,clear path,Milo,True,True
887,50,789,222,tool alcove,True,north,clear path,Sera,True,True
888,50,806,246,rain court,True,south,clear path,Tovan,True,True
889,50,823,270,fiber loft,True,east,clear path,Nia,True,True
890,50,840,294,west hearth,True,west,clear path,Ari,True,True
891,50,857,318,river gate,True,wait,clear path,Fay,True,True
892,50,874,342,arrival court,True,click,clear path,Milo,True,True
893,50,891,366,tool alcove,True,north,clear path,Sera,True,True
894,50,908,390,rain court,True,south,clear path,Tovan,True,True
895,50,925,414,fiber loft,True,east,clear path,Nia,True,True
896,50,82,438,west hearth,True,west,soft room boundary,Ari,True,True
897,50,99,462,river gate,True,wait,soft room boundary,Fay,True,True
898,50,116,486,arrival court,True,click,clear path,Milo,True,True
899,50,133,510,tool alcove,True,north,clear path,Sera,True,True
900,51,155,300,fiber loft,True,east,clear path,Tovan,True,True
901,51,172,324,west hearth,True,west,clear path,Nia,True,True
902,51,189,348,river gate,True,wait,clear path,Ari,True,True
903,51,206,372,arrival court,True,click,clear path,Fay,True,True
904,51,223,396,tool alcove,True,north,clear path,Milo,True,True
905,51,240,420,rain court,True,south,clear path,Sera,True,True
906,51,257,444,fiber loft,True,east,clear path,Tovan,True,True
907,51,274,468,west hearth,True,west,clear path,Nia,True,True
908,51,291,492,river gate,True,wait,clear path,Ari,True,True
909,51,308,516,arrival court,True,click,clear path,Fay,True,True
910,51,325,100,tool alcove,True,north,soft room boundary,Milo,True,True
911,51,342,124,rain court,True,south,clear path,Sera,True,True
912,51,359,148,fiber loft,True,east,clear path,Tovan,True,True
913,51,376,172,west hearth,True,west,clear path,Nia,True,True
914,51,393,196,river gate,True,wait,clear path,Ari,True,True
915,51,410,220,arrival court,True,click,clear path,Fay,True,True
916,51,427,244,tool alcove,True,north,clear path,Milo,True,True
917,51,444,268,rain court,True,south,clear path,Sera,True,True
918,52,466,498,west hearth,True,west,clear path,Tovan,True,True
919,52,483,82,river gate,True,wait,soft room boundary,Nia,True,True
920,52,500,106,arrival court,True,click,soft room boundary,Ari,True,True
921,52,517,130,tool alcove,True,north,clear path,Fay,True,True
922,52,534,154,rain court,True,south,clear path,Milo,True,True
923,52,551,178,fiber loft,True,east,clear path,Sera,True,True
924,52,568,202,west hearth,True,west,clear path,Tovan,True,True
925,52,585,226,river gate,True,wait,clear path,Nia,True,True
926,52,602,250,arrival court,True,click,clear path,Ari,True,True
927,52,619,274,tool alcove,True,north,clear path,Fay,True,True
928,52,636,298,rain court,True,south,clear path,Milo,True,True
929,52,653,322,fiber loft,True,east,clear path,Sera,True,True
930,52,670,346,west hearth,True,west,clear path,Tovan,True,True
931,52,687,370,river gate,True,wait,clear path,Nia,True,True
932,52,704,394,arrival court,True,click,clear path,Ari,True,True
933,52,721,418,tool alcove,True,north,clear path,Fay,True,True
934,52,738,442,rain court,True,south,clear path,Milo,True,True
935,52,755,466,fiber loft,True,east,clear path,Sera,True,True
936,53,777,256,river gate,True,wait,clear path,Tovan,True,True
937,53,794,280,arrival court,True,click,clear path,Nia,True,True
938,53,811,304,tool alcove,True,north,clear path,Ari,True,True
939,53,828,328,rain court,True,south,clear path,Fay,True,True
940,53,845,352,fiber loft,True,east,clear path,Milo,True,True
941,53,862,376,west hearth,True,west,clear path,Sera,True,True
942,53,879,400,river gate,True,wait,clear path,Tovan,True,True
943,53,896,424,arrival court,True,click,clear path,Nia,True,True
944,53,913,448,tool alcove,True,north,clear path,Ari,True,True
945,53,930,472,rain court,True,south,clear path,Fay,True,True
946,53,87,496,fiber loft,True,east,soft room boundary,Milo,True,True
947,53,104,80,west hearth,True,west,soft room boundary,Sera,True,True
948,53,121,104,river gate,True,wait,soft room boundary,Tovan,True,True
949,53,138,128,arrival court,True,click,clear path,Nia,True,True
950,53,155,152,tool alcove,True,north,clear path,Ari,True,True
951,53,172,176,rain court,True,south,clear path,Fay,True,True
952,53,189,200,fiber loft,True,east,clear path,Milo,True,True
953,53,206,224,west hearth,True,west,clear path,Sera,True,True
954,54,228,454,arrival court,True,click,clear path,Tovan,True,True
955,54,245,478,tool alcove,True,north,clear path,Nia,True,True
956,54,262,502,rain court,True,south,clear path,Ari,True,True
957,54,279,86,fiber loft,True,east,soft room boundary,Fay,True,True
958,54,296,110,west hearth,True,west,clear path,Milo,True,True
959,54,313,134,river gate,True,wait,clear path,Sera,True,True
960,54,330,158,arrival court,True,click,clear path,Tovan,True,True
961,54,347,182,tool alcove,True,north,clear path,Nia,True,True
962,54,364,206,rain court,True,south,clear path,Ari,True,True
963,54,381,230,fiber loft,True,east,clear path,Fay,True,True
964,54,398,254,west hearth,True,west,clear path,Milo,True,True
965,54,415,278,river gate,True,wait,clear path,Sera,True,True
966,54,432,302,arrival court,True,click,clear path,Tovan,True,True
967,54,449,326,tool alcove,True,north,clear path,Nia,True,True
968,54,466,350,rain court,True,south,clear path,Ari,True,True
969,54,483,374,fiber loft,True,east,clear path,Fay,True,True
970,54,500,398,west hearth,True,west,clear path,Milo,True,True
971,54,517,422,river gate,True,wait,clear path,Sera,True,True
972,55,539,212,tool alcove,True,north,clear path,Tovan,True,True
973,55,556,236,rain court,True,south,clear path,Nia,True,True
974,55,573,260,fiber loft,True,east,clear path,Ari,True,True
975,55,590,284,west hearth,True,west,clear path,Fay,True,True
976,55,607,308,river gate,True,wait,clear path,Milo,True,True
977,55,624,332,arrival court,True,click,clear path,Sera,True,True
978,55,641,356,tool alcove,True,north,clear path,Tovan,True,True
979,55,658,380,rain court,True,south,clear path,Nia,True,True
980,55,675,404,fiber loft,True,east,clear path,Ari,True,True
981,55,692,428,west hearth,True,west,clear path,Fay,True,True
982,55,709,452,river gate,True,wait,clear path,Milo,True,True
983,55,726,476,arrival court,True,click,clear path,Sera,True,True
984,55,743,500,tool alcove,True,north,clear path,Tovan,True,True
985,55,760,84,rain court,True,south,soft room boundary,Nia,True,True
986,55,777,108,fiber loft,True,east,soft room boundary,Ari,True,True
987,55,794,132,west hearth,True,west,clear path,Fay,True,True
988,55,811,156,river gate,True,wait,clear path,Milo,True,True
989,55,828,180,arrival court,True,click,clear path,Sera,True,True
990,56,850,410,rain court,True,south,clear path,Tovan,True,True
991,56,867,434,fiber loft,True,east,clear path,Nia,True,True
992,56,884,458,west hearth,True,west,clear path,Ari,True,True
993,56,901,482,river gate,True,wait,clear path,Fay,True,True
994,56,918,506,arrival court,True,click,clear path,Milo,True,True
995,56,935,90,tool alcove,True,north,soft room boundary,Sera,True,True
996,56,92,114,rain court,True,south,soft room boundary,Tovan,True,True
997,56,109,138,fiber loft,True,east,soft room boundary,Nia,True,True
998,56,126,162,west hearth,True,west,clear path,Ari,True,True
999,56,143,186,river gate,True,wait,clear path,Fay,True,True
1000,56,160,210,arrival court,True,click,clear path,Milo,True,True
1001,56,177,234,tool alcove,True,north,clear path,Sera,True,True
1002,56,194,258,rain court,True,south,clear path,Tovan,True,True
1003,56,211,282,fiber loft,True,east,clear path,Nia,True,True
1004,56,228,306,west hearth,True,west,clear path,Ari,True,True
1005,56,245,330,river gate,True,wait,clear path,Fay,True,True
1006,56,262,354,arrival court,True,click,clear path,Milo,True,True
1007,56,279,378,tool alcove,True,north,clear path,Sera,True,True
1008,57,301,168,fiber loft,True,east,clear path,Tovan,True,True
1009,57,318,192,west hearth,True,west,clear path,Nia,True,True
1010,57,335,216,river gate,True,wait,clear path,Ari,True,True
1011,57,352,240,arrival court,True,click,clear path,Fay,True,True
1012,57,369,264,tool alcove,True,north,clear path,Milo,True,True
1013,57,386,288,rain court,True,south,clear path,Sera,True,True
1014,57,403,312,fiber loft,True,east,clear path,Tovan,True,True
1015,57,420,336,west hearth,True,west,clear path,Nia,True,True
1016,57,437,360,river gate,True,wait,clear path,Ari,True,True
1017,57,454,384,arrival court,True,click,clear path,Fay,True,True
1018,57,471,408,tool alcove,True,north,clear path,Milo,True,True
1019,57,488,432,rain court,True,south,clear path,Sera,True,True
1020,57,505,456,fiber loft,True,east,clear path,Tovan,True,True
1021,57,522,480,west hearth,True,west,clear path,Nia,True,True
1022,57,539,504,river gate,True,wait,clear path,Ari,True,True
1023,57,556,88,arrival court,True,click,soft room boundary,Fay,True,True
1024,57,573,112,tool alcove,True,north,clear path,Milo,True,True
1025,57,590,136,rain court,True,south,clear path,Sera,True,True
1026,58,612,366,west hearth,True,west,clear path,Tovan,True,True
1027,58,629,390,river gate,True,wait,clear path,Nia,True,True
1028,58,646,414,arrival court,True,click,clear path,Ari,True,True
1029,58,663,438,tool alcove,True,north,clear path,Fay,True,True
1030,58,680,462,rain court,True,south,clear path,Milo,True,True
1031,58,697,486,fiber loft,True,east,clear path,Sera,True,True
1032,58,714,510,west hearth,True,west,clear path,Tovan,True,True
1033,58,731,94,river gate,True,wait,soft room boundary,Nia,True,True
1034,58,748,118,arrival court,True,click,clear path,Ari,True,True
1035,58,765,142,tool alcove,True,north,clear path,Fay,True,True
1036,58,782,166,rain court,True,south,clear path,Milo,True,True
1037,58,799,190,fiber loft,True,east,clear path,Sera,True,True
1038,58,816,214,west hearth,True,west,clear path,Tovan,True,True
1039,58,833,238,river gate,True,wait,clear path,Nia,True,True
1040,58,850,262,arrival court,True,click,clear path,Ari,True,True
1041,58,867,286,tool alcove,True,north,clear path,Fay,True,True
1042,58,884,310,rain court,True,south,clear path,Milo,True,True
1043,58,901,334,fiber loft,True,east,clear path,Sera,True,True
1044,59,923,124,river gate,True,wait,clear path,Tovan,True,True
1045,59,80,148,arrival court,True,click,soft room boundary,Nia,True,True
1046,59,97,172,tool alcove,True,north,soft room boundary,Ari,True,True
1047,59,114,196,rain court,True,south,clear path,Fay,True,True
1048,59,131,220,fiber loft,True,east,clear path,Milo,True,True
1049,59,148,244,west hearth,True,west,clear path,Sera,True,True
1050,59,165,268,river gate,True,wait,clear path,Tovan,True,True
1051,59,182,292,arrival court,True,click,clear path,Nia,True,True
1052,59,199,316,tool alcove,True,north,clear path,Ari,True,True
1053,59,216,340,rain court,True,south,clear path,Fay,True,True
1054,59,233,364,fiber loft,True,east,clear path,Milo,True,True
1055,59,250,388,west hearth,True,west,clear path,Sera,True,True
1056,59,267,412,river gate,True,wait,clear path,Tovan,True,True
1057,59,284,436,arrival court,True,click,clear path,Nia,True,True
1058,59,301,460,tool alcove,True,north,clear path,Ari,True,True
1059,59,318,484,rain court,True,south,clear path,Fay,True,True
1060,59,335,508,fiber loft,True,east,clear path,Milo,True,True
1061,59,352,92,west hearth,True,west,soft room boundary,Sera,True,True
1062,60,374,322,arrival court,True,click,clear path,Tovan,True,True
1063,60,391,346,tool alcove,True,north,clear path,Nia,True,True
1064,60,408,370,rain court,True,south,clear path,Ari,True,True
1065,60,425,394,fiber loft,True,east,clear path,Fay,True,True
1066,60,442,418,west hearth,True,west,clear path,Milo,True,True
1067,60,459,442,river gate,True,wait,clear path,Sera,True,True
1068,60,476,466,arrival court,True,click,clear path,Tovan,True,True
1069,60,493,490,tool alcove,True,north,clear path,Nia,True,True
1070,60,510,514,rain court,True,south,clear path,Ari,True,True
1071,60,527,98,fiber loft,True,east,soft room boundary,Fay,True,True
1072,60,544,122,west hearth,True,west,clear path,Milo,True,True
1073,60,561,146,river gate,True,wait,clear path,Sera,True,True
1074,60,578,170,arrival court,True,click,clear path,Tovan,True,True
1075,60,595,194,tool alcove,True,north,clear path,Nia,True,True
1076,60,612,218,rain court,True,south,clear path,Ari,True,True
1077,60,629,242,fiber loft,True,east,clear path,Fay,True,True
1078,60,646,266,west hearth,True,west,clear path,Milo,True,True
1079,60,663,290,river gate,True,wait,clear path,Sera,True,True
1080,61,685,80,tool alcove,True,north,soft room boundary,Tovan,True,True
1081,61,702,104,rain court,True,south,soft room boundary,Nia,True,True
1082,61,719,128,fiber loft,True,east,clear path,Ari,True,True
1083,61,736,152,west hearth,True,west,clear path,Fay,True,True
1084,61,753,176,river gate,True,wait,clear path,Milo,True,True
1085,61,770,200,arrival court,True,click,clear path,Sera,True,True
1086,61,787,224,tool alcove,True,north,clear path,Tovan,True,True
1087,61,804,248,rain court,True,south,clear path,Nia,True,True
1088,61,821,272,fiber loft,True,east,clear path,Ari,True,True
1089,61,838,296,west hearth,True,west,clear path,Fay,True,True
1090,61,855,320,river gate,True,wait,clear path,Milo,True,True
1091,61,872,344,arrival court,True,click,clear path,Sera,True,True
1092,61,889,368,tool alcove,True,north,clear path,Tovan,True,True
1093,61,906,392,rain court,True,south,clear path,Nia,True,True
1094,61,923,416,fiber loft,True,east,clear path,Ari,True,True
1095,61,80,440,west hearth,True,west,soft room boundary,Fay,True,True
1096,61,97,464,river gate,True,wait,soft room boundary,Milo,True,True
1097,61,114,488,arrival court,True,click,clear path,Sera,True,True
1098,62,136,278,rain court,True,south,clear path,Tovan,True,True
1099,62,153,302,fiber loft,True,east,clear path,Nia,True,True
1100,62,170,326,west hearth,True,west,clear path,Ari,True,True
1101,62,187,350,river gate,True,wait,clear path,Fay,True,True
1102,62,204,374,arrival court,True,click,clear path,Milo,True,True
1103,62,221,398,tool alcove,True,north,clear path,Sera,True,True
1104,62,238,422,rain court,True,south,clear path,Tovan,True,True
1105,62,255,446,fiber loft,True,east,clear path,Nia,True,True
1106,62,272,470,west hearth,True,west,clear path,Ari,True,True
1107,62,289,494,river gate,True,wait,clear path,Fay,True,True
1108,62,306,518,arrival court,True,click,clear path,Milo,True,True
1109,62,323,102,tool alcove,True,north,soft room boundary,Sera,True,True
1110,62,340,126,rain court,True,south,clear path,Tovan,True,True
1111,62,357,150,fiber loft,True,east,clear path,Nia,True,True
1112,62,374,174,west hearth,True,west,clear path,Ari,True,True
1113,62,391,198,river gate,True,wait,clear path,Fay,True,True
1114,62,408,222,arrival court,True,click,clear path,Milo,True,True
1115,62,425,246,tool alcove,True,north,clear path,Sera,True,True
1116,63,447,476,fiber loft,True,east,clear path,Tovan,True,True
1117,63,464,500,west hearth,True,west,clear path,Nia,True,True
1118,63,481,84,river gate,True,wait,soft room boundary,Ari,True,True
1119,63,498,108,arrival court,True,click,soft room boundary,Fay,True,True
1120,63,515,132,tool alcove,True,north,clear path,Milo,True,True
1121,63,532,156,rain court,True,south,clear path,Sera,True,True
1122,63,549,180,fiber loft,True,east,clear path,Tovan,True,True
1123,63,566,204,west hearth,True,west,clear path,Nia,True,True
1124,63,583,228,river gate,True,wait,clear path,Ari,True,True
1125,63,600,252,arrival court,True,click,clear path,Fay,True,True
1126,63,617,276,tool alcove,True,north,clear path,Milo,True,True
1127,63,634,300,rain court,True,south,clear path,Sera,True,True
1128,63,651,324,fiber loft,True,east,clear path,Tovan,True,True
1129,63,668,348,west hearth,True,west,clear path,Nia,True,True
1130,63,685,372,river gate,True,wait,clear path,Ari,True,True
1131,63,702,396,arrival court,True,click,clear path,Fay,True,True
1132,63,719,420,tool alcove,True,north,clear path,Milo,True,True
1133,63,736,444,rain court,True,south,clear path,Sera,True,True
1134,64,758,234,west hearth,True,west,clear path,Tovan,True,True
1135,64,775,258,river gate,True,wait,clear path,Nia,True,True
1136,64,792,282,arrival court,True,click,clear path,Ari,True,True
1137,64,809,306,tool alcove,True,north,clear path,Fay,True,True
1138,64,826,330,rain court,True,south,clear path,Milo,True,True
1139,64,843,354,fiber loft,True,east,clear path,Sera,True,True
1140,64,860,378,west hearth,True,west,clear path,Tovan,True,True
1141,64,877,402,river gate,True,wait,clear path,Nia,True,True
1142,64,894,426,arrival court,True,click,clear path,Ari,True,True
1143,64,911,450,tool alcove,True,north,clear path,Fay,True,True
1144,64,928,474,rain court,True,south,clear path,Milo,True,True
1145,64,85,498,fiber loft,True,east,soft room boundary,Sera,True,True
1146,64,102,82,west hearth,True,west,soft room boundary,Tovan,True,True
1147,64,119,106,river gate,True,wait,soft room boundary,Nia,True,True
1148,64,136,130,arrival court,True,click,clear path,Ari,True,True
1149,64,153,154,tool alcove,True,north,clear path,Fay,True,True
1150,64,170,178,rain court,True,south,clear path,Milo,True,True
1151,64,187,202,fiber loft,True,east,clear path,Sera,True,True
1152,65,209,432,river gate,True,wait,clear path,Tovan,True,True
1153,65,226,456,arrival court,True,click,clear path,Nia,True,True
1154,65,243,480,tool alcove,True,north,clear path,Ari,True,True
1155,65,260,504,rain court,True,south,clear path,Fay,True,True
1156,65,277,88,fiber loft,True,east,soft room boundary,Milo,True,True
1157,65,294,112,west hearth,True,west,clear path,Sera,True,True
1158,65,311,136,river gate,True,wait,clear path,Tovan,True,True
1159,65,328,160,arrival court,True,click,clear path,Nia,True,True
1160,65,345,184,tool alcove,True,north,clear path,Ari,True,True
1161,65,362,208,rain court,True,south,clear path,Fay,True,True
1162,65,379,232,fiber loft,True,east,clear path,Milo,True,True
1163,65,396,256,west hearth,True,west,clear path,Sera,True,True
1164,65,413,280,river gate,True,wait,clear path,Tovan,True,True
1165,65,430,304,arrival court,True,click,clear path,Nia,True,True
1166,65,447,328,tool alcove,True,north,clear path,Ari,True,True
1167,65,464,352,rain court,True,south,clear path,Fay,True,True
1168,65,481,376,fiber loft,True,east,clear path,Milo,True,True
1169,65,498,400,west hearth,True,west,clear path,Sera,True,True
1170,66,520,190,arrival court,True,click,clear path,Tovan,True,True
1171,66,537,214,tool alcove,True,north,clear path,Nia,True,True
1172,66,554,238,rain court,True,south,clear path,Ari,True,True
1173,66,571,262,fiber loft,True,east,clear path,Fay,True,True
1174,66,588,286,west hearth,True,west,clear path,Milo,True,True
1175,66,605,310,river gate,True,wait,clear path,Sera,True,True
1176,66,622,334,arrival court,True,click,clear path,Tovan,True,True
1177,66,639,358,tool alcove,True,north,clear path,Nia,True,True
1178,66,656,382,rain court,True,south,clear path,Ari,True,True
1179,66,673,406,fiber loft,True,east,clear path,Fay,True,True
1180,66,690,430,west hearth,True,west,clear path,Milo,True,True
1181,66,707,454,river gate,True,wait,clear path,Sera,True,True
1182,66,724,478,arrival court,True,click,clear path,Tovan,True,True
1183,66,741,502,tool alcove,True,north,clear path,Nia,True,True
1184,66,758,86,rain court,True,south,soft room boundary,Ari,True,True
1185,66,775,110,fiber loft,True,east,clear path,Fay,True,True
1186,66,792,134,west hearth,True,west,clear path,Milo,True,True
1187,66,809,158,river gate,True,wait,clear path,Sera,True,True
1188,67,831,388,tool alcove,True,north,clear path,Tovan,True,True
1189,67,848,412,rain court,True,south,clear path,Nia,True,True
1190,67,865,436,fiber loft,True,east,clear path,Ari,True,True
1191,67,882,460,west hearth,True,west,clear path,Fay,True,True
1192,67,899,484,river gate,True,wait,clear path,Milo,True,True
1193,67,916,508,arrival court,True,click,clear path,Sera,True,True
1194,67,933,92,tool alcove,True,north,soft room boundary,Tovan,True,True
1195,67,90,116,rain court,True,south,soft room boundary,Nia,True,True
1196,67,107,140,fiber loft,True,east,soft room boundary,Ari,True,True
1197,67,124,164,west hearth,True,west,clear path,Fay,True,True
1198,67,141,188,river gate,True,wait,clear path,Milo,True,True
1199,67,158,212,arrival court,True,click,clear path,Sera,True,True
1200,67,175,236,tool alcove,True,north,clear path,Tovan,True,True
1201,67,192,260,rain court,True,south,clear path,Nia,True,True
1202,67,209,284,fiber loft,True,east,clear path,Ari,True,True
1203,67,226,308,west hearth,True,west,clear path,Fay,True,True
1204,67,243,332,river gate,True,wait,clear path,Milo,True,True
1205,67,260,356,arrival court,True,click,clear path,Sera,True,True
1206,68,282,146,rain court,True,south,clear path,Tovan,True,True
1207,68,299,170,fiber loft,True,east,clear path,Nia,True,True
1208,68,316,194,west hearth,True,west,clear path,Ari,True,True
1209,68,333,218,river gate,True,wait,clear path,Fay,True,True
1210,68,350,242,arrival court,True,click,clear path,Milo,True,True
1211,68,367,266,tool alcove,True,north,clear path,Sera,True,True
1212,68,384,290,rain court,True,south,clear path,Tovan,True,True
1213,68,401,314,fiber loft,True,east,clear path,Nia,True,True
1214,68,418,338,west hearth,True,west,clear path,Ari,True,True
1215,68,435,362,river gate,True,wait,clear path,Fay,True,True
1216,68,452,386,arrival court,True,click,clear path,Milo,True,True
1217,68,469,410,tool alcove,True,north,clear path,Sera,True,True
1218,68,486,434,rain court,True,south,clear path,Tovan,True,True
1219,68,503,458,fiber loft,True,east,clear path,Nia,True,True
1220,68,520,482,west hearth,True,west,clear path,Ari,True,True
1221,68,537,506,river gate,True,wait,clear path,Fay,True,True
1222,68,554,90,arrival court,True,click,soft room boundary,Milo,True,True
1223,68,571,114,tool alcove,True,north,clear path,Sera,True,True
1224,69,593,344,fiber loft,True,east,clear path,Tovan,True,True
1225,69,610,368,west hearth,True,west,clear path,Nia,True,True
1226,69,627,392,river gate,True,wait,clear path,Ari,True,True
1227,69,644,416,arrival court,True,click,clear path,Fay,True,True
1228,69,661,440,tool alcove,True,north,clear path,Milo,True,True
1229,69,678,464,rain court,True,south,clear path,Sera,True,True
1230,69,695,488,fiber loft,True,east,clear path,Tovan,True,True
1231,69,712,512,west hearth,True,west,clear path,Nia,True,True
1232,69,729,96,river gate,True,wait,soft room boundary,Ari,True,True
1233,69,746,120,arrival court,True,click,clear path,Fay,True,True
1234,69,763,144,tool alcove,True,north,clear path,Milo,True,True
1235,69,780,168,rain court,True,south,clear path,Sera,True,True
1236,69,797,192,fiber loft,True,east,clear path,Tovan,True,True
1237,69,814,216,west hearth,True,west,clear path,Nia,True,True
1238,69,831,240,river gate,True,wait,clear path,Ari,True,True
1239,69,848,264,arrival court,True,click,clear path,Fay,True,True
1240,69,865,288,tool alcove,True,north,clear path,Milo,True,True
1241,69,882,312,rain court,True,south,clear path,Sera,True,True
1242,70,904,102,west hearth,True,west,soft room boundary,Tovan,True,True
1243,70,921,126,river gate,True,wait,clear path,Nia,True,True
1244,70,938,150,arrival court,True,click,clear path,Ari,True,True
1245,70,95,174,tool alcove,True,north,soft room boundary,Fay,True,True
1246,70,112,198,rain court,True,south,clear path,Milo,True,True
1247,70,129,222,fiber loft,True,east,clear path,Sera,True,True
1248,70,146,246,west hearth,True,west,clear path,Tovan,True,True
1249,70,163,270,river gate,True,wait,clear path,Nia,True,True
1250,70,180,294,arrival court,True,click,clear path,Ari,True,True
1251,70,197,318,tool alcove,True,north,clear path,Fay,True,True
1252,70,214,342,rain court,True,south,clear path,Milo,True,True
1253,70,231,366,fiber loft,True,east,clear path,Sera,True,True
1254,70,248,390,west hearth,True,west,clear path,Tovan,True,True
1255,70,265,414,river gate,True,wait,clear path,Nia,True,True
1256,70,282,438,arrival court,True,click,clear path,Ari,True,True
1257,70,299,462,tool alcove,True,north,clear path,Fay,True,True
1258,70,316,486,rain court,True,south,clear path,Milo,True,True
1259,70,333,510,fiber loft,True,east,clear path,Sera,True,True
1260,71,355,300,river gate,True,wait,clear path,Tovan,True,True
1261,71,372,324,arrival court,True,click,clear path,Nia,True,True
1262,71,389,348,tool alcove,True,north,clear path,Ari,True,True
1263,71,406,372,rain court,True,south,clear path,Fay,True,True
1264,71,423,396,fiber loft,True,east,clear path,Milo,True,True
1265,71,440,420,west hearth,True,west,clear path,Sera,True,True
1266,71,457,444,river gate,True,wait,clear path,Tovan,True,True
1267,71,474,468,arrival court,True,click,clear path,Nia,True,True
1268,71,491,492,tool alcove,True,north,clear path,Ari,True,True
1269,71,508,516,rain court,True,south,clear path,Fay,True,True
1270,71,525,100,fiber loft,True,east,soft room boundary,Milo,True,True
1271,71,542,124,west hearth,True,west,clear path,Sera,True,True
1272,71,559,148,river gate,True,wait,clear path,Tovan,True,True
1273,71,576,172,arrival court,True,click,clear path,Nia,True,True
1274,71,593,196,tool alcove,True,north,clear path,Ari,True,True
1275,71,610,220,rain court,True,south,clear path,Fay,True,True
1276,71,627,244,fiber loft,True,east,clear path,Milo,True,True
1277,71,644,268,west hearth,True,west,clear path,Sera,True,True
1278,72,666,498,arrival court,True,click,clear path,Tovan,True,True
1279,72,683,82,tool alcove,True,north,soft room boundary,Nia,True,True
1280,72,700,106,rain court,True,south,soft room boundary,Ari,True,True
1281,72,717,130,fiber loft,True,east,clear path,Fay,True,True
1282,72,734,154,west hearth,True,west,clear path,Milo,True,True
1283,72,751,178,river gate,True,wait,clear path,Sera,True,True
1284,72,768,202,arrival court,True,click,clear path,Tovan,True,True
1285,72,785,226,tool alcove,True,north,clear path,Nia,True,True
1286,72,802,250,rain court,True,south,clear path,Ari,True,True
1287,72,819,274,fiber loft,True,east,clear path,Fay,True,True
1288,72,836,298,west hearth,True,west,clear path,Milo,True,True
1289,72,853,322,river gate,True,wait,clear path,Sera,True,True
1290,72,870,346,arrival court,True,click,clear path,Tovan,True,True
1291,72,887,370,tool alcove,True,north,clear path,Nia,True,True
1292,72,904,394,rain court,True,south,clear path,Ari,True,True
1293,72,921,418,fiber loft,True,east,clear path,Fay,True,True
1294,72,938,442,west hearth,True,west,clear path,Milo,True,True
1295,72,95,466,river gate,True,wait,soft room boundary,Sera,True,True
1296,73,117,256,tool alcove,True,north,clear path,Tovan,True,True
1297,73,134,280,rain court,True,south,clear path,Nia,True,True
1298,73,151,304,fiber loft,True,east,clear path,Ari,True,True
1299,73,168,328,west hearth,True,west,clear path,Fay,True,True
1300,73,185,352,river gate,True,wait,clear path,Milo,True,True
1301,73,202,376,arrival court,True,click,clear path,Sera,True,True
1302,73,219,400,tool alcove,True,north,clear path,Tovan,True,True
1303,73,236,424,rain court,True,south,clear path,Nia,True,True
1304,73,253,448,fiber loft,True,east,clear path,Ari,True,True
1305,73,270,472,west hearth,True,west,clear path,Fay,True,True
1306,73,287,496,river gate,True,wait,clear path,Milo,True,True
1307,73,304,80,arrival court,True,click,soft room boundary,Sera,True,True
1308,73,321,104,tool alcove,True,north,soft room boundary,Tovan,True,True
