tick,day,ceremony_id,loop_id,agent,object_name,handling_action,object_contact_recorded,handoff_respected,ceremony_step_completed,object_state_changed,object_ceremony_score
248,21,v19-object-ceremony-d21-t08,v19-loop-032,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
249,21,v19-object-ceremony-d21-t09,v19-loop-032,Sova,ember bowl,touch_marker,1,1,0,1,1.0
250,21,v19-object-ceremony-d21-t10,v19-loop-032,Keth,path cord,lift_object,1,1,1,1,1.0
251,21,v19-object-ceremony-d21-t11,v19-loop-032,Melo,tally beads,offer_handoff,1,1,0,1,1.0
252,22,v19-object-ceremony-d22-t00,v19-loop-032,Ori,sap hook,tap_witness,1,1,0,0,0.75
253,22,v19-object-ceremony-d22-t01,v19-loop-032,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
254,22,v19-object-ceremony-d22-t02,v19-loop-032,Sova,ember bowl,touch_marker,1,1,0,1,1.0
255,22,v19-object-ceremony-d22-t03,v19-loop-032,Keth,path cord,lift_object,1,1,1,1,1.0
256,22,v19-object-ceremony-d22-t04,v19-loop-033,Melo,tally beads,offer_handoff,1,1,0,1,1.0
257,22,v19-object-ceremony-d22-t05,v19-loop-033,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
258,22,v19-object-ceremony-d22-t06,v19-loop-033,Ori,sap hook,tap_witness,1,1,1,1,1.0
259,22,v19-object-ceremony-d22-t07,v19-loop-033,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
260,22,v19-object-ceremony-d22-t08,v19-loop-033,Sova,ember bowl,touch_marker,1,1,1,1,1.0
261,22,v19-object-ceremony-d22-t09,v19-loop-033,Keth,path cord,lift_object,1,1,0,1,1.0
262,22,v19-object-ceremony-d22-t10,v19-loop-033,Melo,tally beads,offer_handoff,1,1,1,1,1.0
263,22,v19-object-ceremony-d22-t11,v19-loop-033,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
264,23,v19-object-ceremony-d23-t00,v19-loop-034,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
265,23,v19-object-ceremony-d23-t01,v19-loop-034,Sova,ember bowl,touch_marker,1,1,0,0,0.75
266,23,v19-object-ceremony-d23-t02,v19-loop-034,Keth,path cord,lift_object,1,0,0,0,0.5
267,23,v19-object-ceremony-d23-t03,v19-loop-034,Melo,tally beads,offer_handoff,1,1,0,1,1.0
268,23,v19-object-ceremony-d23-t04,v19-loop-034,Nari,ink ledger,place_between_agents,0,1,0,0,0.75
269,23,v19-object-ceremony-d23-t05,v19-loop-034,Ori,sap hook,tap_witness,1,1,0,1,1.0
270,23,v19-object-ceremony-d23-t06,v19-loop-034,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
271,23,v19-object-ceremony-d23-t07,v19-loop-034,Sova,ember bowl,touch_marker,1,1,0,1,1.0
272,23,v19-object-ceremony-d23-t08,v19-loop-035,Keth,path cord,lift_object,1,1,0,1,1.0
273,23,v19-object-ceremony-d23-t09,v19-loop-035,Melo,tally beads,offer_handoff,1,1,1,1,1.0
274,23,v19-object-ceremony-d23-t10,v19-loop-035,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
275,23,v19-object-ceremony-d23-t11,v19-loop-035,Ori,sap hook,tap_witness,1,1,1,1,1.0
276,24,v19-object-ceremony-d24-t00,v19-loop-035,Sova,ember bowl,touch_marker,1,1,0,1,1.0
277,24,v19-object-ceremony-d24-t01,v19-loop-035,Keth,path cord,lift_object,1,1,0,1,1.0
278,24,v19-object-ceremony-d24-t02,v19-loop-035,Melo,tally beads,offer_handoff,1,1,0,0,0.75
279,24,v19-object-ceremony-d24-t03,v19-loop-035,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
280,24,v19-object-ceremony-d24-t04,v19-loop-036,Ori,sap hook,tap_witness,1,1,1,1,1.0
281,24,v19-object-ceremony-d24-t05,v19-loop-036,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
282,24,v19-object-ceremony-d24-t06,v19-loop-036,Sova,ember bowl,touch_marker,1,1,0,1,1.0
283,24,v19-object-ceremony-d24-t07,v19-loop-036,Keth,path cord,lift_object,1,1,0,1,1.0
284,24,v19-object-ceremony-d24-t08,v19-loop-036,Melo,tally beads,offer_handoff,1,1,0,1,1.0
285,24,v19-object-ceremony-d24-t09,v19-loop-036,Nari,ink ledger,place_between_agents,1,0,1,0,0.5
286,24,v19-object-ceremony-d24-t10,v19-loop-036,Ori,sap hook,tap_witness,1,1,0,1,1.0
287,24,v19-object-ceremony-d24-t11,v19-loop-036,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
288,25,v19-object-ceremony-d25-t00,v19-loop-037,Keth,path cord,lift_object,1,1,0,1,1.0
289,25,v19-object-ceremony-d25-t01,v19-loop-037,Melo,tally beads,offer_handoff,1,1,0,1,1.0
290,25,v19-object-ceremony-d25-t02,v19-loop-037,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
291,25,v19-object-ceremony-d25-t03,v19-loop-037,Ori,sap hook,tap_witness,1,1,0,0,0.75
292,25,v19-object-ceremony-d25-t04,v19-loop-037,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
293,25,v19-object-ceremony-d25-t05,v19-loop-037,Sova,ember bowl,touch_marker,1,1,0,1,1.0
294,25,v19-object-ceremony-d25-t06,v19-loop-037,Keth,path cord,lift_object,1,1,0,1,1.0
295,25,v19-object-ceremony-d25-t07,v19-loop-037,Melo,tally beads,offer_handoff,1,1,0,1,1.0
296,25,v19-object-ceremony-d25-t08,v19-loop-038,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
297,25,v19-object-ceremony-d25-t09,v19-loop-038,Ori,sap hook,tap_witness,1,1,0,1,1.0
298,25,v19-object-ceremony-d25-t10,v19-loop-038,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
299,25,v19-object-ceremony-d25-t11,v19-loop-038,Sova,ember bowl,touch_marker,1,1,0,1,1.0
300,26,v19-object-ceremony-d26-t00,v19-loop-038,Melo,tally beads,offer_handoff,1,1,1,1,1.0
301,26,v19-object-ceremony-d26-t01,v19-loop-038,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
302,26,v19-object-ceremony-d26-t02,v19-loop-038,Ori,sap hook,tap_witness,1,1,0,1,1.0
303,26,v19-object-ceremony-d26-t03,v19-loop-038,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
304,26,v19-object-ceremony-d26-t04,v19-loop-039,Sova,ember bowl,touch_marker,1,0,0,0,0.5
305,26,v19-object-ceremony-d26-t05,v19-loop-039,Keth,path cord,lift_object,1,1,0,1,0.75
306,26,v19-object-ceremony-d26-t06,v19-loop-039,Melo,tally beads,offer_handoff,1,1,0,1,1.0
307,26,v19-object-ceremony-d26-t07,v19-loop-039,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
308,26,v19-object-ceremony-d26-t08,v19-loop-039,Ori,sap hook,tap_witness,1,1,0,1,1.0
309,26,v19-object-ceremony-d26-t09,v19-loop-039,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
310,26,v19-object-ceremony-d26-t10,v19-loop-039,Sova,ember bowl,touch_marker,1,1,0,1,1.0
311,26,v19-object-ceremony-d26-t11,v19-loop-039,Keth,path cord,lift_object,1,1,0,1,1.0
312,27,v19-object-ceremony-d27-t00,v19-loop-040,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
313,27,v19-object-ceremony-d27-t01,v19-loop-040,Ori,sap hook,tap_witness,1,1,0,1,1.0
314,27,v19-object-ceremony-d27-t02,v19-loop-040,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
315,27,v19-object-ceremony-d27-t03,v19-loop-040,Sova,ember bowl,touch_marker,1,1,0,1,1.0
316,27,v19-object-ceremony-d27-t04,v19-loop-040,Keth,path cord,lift_object,1,1,0,1,1.0
317,27,v19-object-ceremony-d27-t05,v19-loop-040,Melo,tally beads,offer_handoff,1,1,0,0,0.75
318,27,v19-object-ceremony-d27-t06,v19-loop-040,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
319,27,v19-object-ceremony-d27-t07,v19-loop-040,Ori,sap hook,tap_witness,1,1,0,1,1.0
320,27,v19-object-ceremony-d27-t08,v19-loop-041,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
321,27,v19-object-ceremony-d27-t09,v19-loop-041,Sova,ember bowl,touch_marker,1,1,0,1,1.0
322,27,v19-object-ceremony-d27-t10,v19-loop-041,Keth,path cord,lift_object,1,1,0,1,1.0
323,27,v19-object-ceremony-d27-t11,v19-loop-041,Melo,tally beads,offer_handoff,1,0,0,0,0.5
324,28,v19-object-ceremony-d28-t00,v19-loop-041,Ori,sap hook,tap_witness,1,1,0,1,1.0
325,28,v19-object-ceremony-d28-t01,v19-loop-041,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
326,28,v19-object-ceremony-d28-t02,v19-loop-041,Sova,ember bowl,touch_marker,1,1,0,1,1.0
327,28,v19-object-ceremony-d28-t03,v19-loop-041,Keth,path cord,lift_object,1,1,0,1,1.0
328,28,v19-object-ceremony-d28-t04,v19-loop-042,Melo,tally beads,offer_handoff,1,1,0,1,1.0
329,28,v19-object-ceremony-d28-t05,v19-loop-042,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
330,28,v19-object-ceremony-d28-t06,v19-loop-042,Ori,sap hook,tap_witness,1,1,1,0,0.75
331,28,v19-object-ceremony-d28-t07,v19-loop-042,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
332,28,v19-object-ceremony-d28-t08,v19-loop-042,Sova,ember bowl,touch_marker,1,1,0,1,1.0
333,28,v19-object-ceremony-d28-t09,v19-loop-042,Keth,path cord,lift_object,1,1,1,1,1.0
334,28,v19-object-ceremony-d28-t10,v19-loop-042,Melo,tally beads,offer_handoff,1,1,0,1,1.0
335,28,v19-object-ceremony-d28-t11,v19-loop-042,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
