tick,day,scene_id,focus_agent,keyboard_movement_visible,collision_prompt_visible,object_ceremony_state_visible,save_restore_visible,local_storage_state_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
291,20,v21-scene-d20,Vonn,1,0,1,0,1,1.26,121.939324,object ceremony state persists,1
292,20,v21-scene-d20,Sova,1,1,1,0,1,1.26,261.157088,object ceremony state persists,1
293,20,v21-scene-d20,Keth,True,1,1,0,1,1.1,34.274852,object ceremony state persists,1
294,20,v21-scene-d20,Melo,1,1,1,0,1,1.26,177.312616,object ceremony state persists,1
295,20,v21-scene-d20,Nari,1,1,1,0,1,1.26,315.39038,object ceremony state persists,1
296,20,v21-scene-d20,Ori,1,1,1,0,1,1.26,93.468144,object ceremony state persists,1
297,20,v21-scene-d20,Vonn,1,1,1,0,1,1.26,231.545908,object ceremony state persists,1
298,20,v21-scene-d20,Sova,1,1,1,0,1,1.26,9.623672,object ceremony state persists,1
299,20,v21-scene-d20,Keth,1,1,1,0,1,1.26,147.701436,object ceremony state persists,1
300,21,v21-scene-d21,Nari,True,1,1,1,1,1.1,272.2692,object ceremony state persists,1
301,21,v21-scene-d21,Ori,True,1,1,0,1,1.1,50.346964,object ceremony state persists,1
302,21,v21-scene-d21,Vonn,True,1,1,0,1,1.1,188.424728,object ceremony state persists,1
303,21,v21-scene-d21,Sova,True,1,1,0,1,1.1,326.502492,object ceremony state persists,1
304,21,v21-scene-d21,Keth,True,1,1,0,1,1.1,104.580256,object ceremony state persists,1
305,21,v21-scene-d21,Melo,True,1,1,0,1,1.1,242.65802,object ceremony state persists,1
306,21,v21-scene-d21,Nari,1,0,1,0,1,1.26,24.555784,object ceremony state persists,1
307,21,v21-scene-d21,Ori,True,1,1,1,1,1.1,158.813548,object ceremony state persists,1
308,21,v21-scene-d21,Vonn,1,1,1,0,1,1.26,301.851312,object ceremony state persists,1
309,21,v21-scene-d21,Sova,1,1,1,0,1,1.26,79.929076,object ceremony state persists,1
310,21,v21-scene-d21,Keth,False,1,1,0,1,1.17,215.21684,collision-aware prompt blocks movement,1
311,21,v21-scene-d21,Melo,1,1,1,0,1,1.26,356.084604,object ceremony state persists,1
312,21,v21-scene-d21,Nari,True,1,0,0,1,1.05,127.652368,avatar waits in scene,1
313,21,v21-scene-d21,Ori,True,1,1,1,1,1.1,267.280132,object ceremony state persists,1
314,21,v21-scene-d21,Vonn,True,0,1,0,1,1.1,44.217896,object ceremony state persists,1
315,22,v21-scene-d22,Keth,True,1,1,1,1,1.1,174.88566,object ceremony state persists,1
316,22,v21-scene-d22,Melo,1,1,1,0,1,1.26,317.923424,object ceremony state persists,1
317,22,v21-scene-d22,Nari,1,1,1,0,1,1.26,96.001188,object ceremony state persists,1
318,22,v21-scene-d22,Ori,True,1,1,0,1,1.1,229.118952,object ceremony state persists,1
319,22,v21-scene-d22,Vonn,1,1,1,0,1,1.26,12.156716,object ceremony state persists,1
320,22,v21-scene-d22,Sova,1,1,1,0,1,1.26,150.23448,object ceremony state persists,1
321,22,v21-scene-d22,Keth,False,1,1,0,1,1.17,285.522244,collision-aware prompt blocks movement,1
322,22,v21-scene-d22,Melo,1,1,1,0,1,1.26,66.390008,object ceremony state persists,1
323,22,v21-scene-d22,Nari,True,1,1,0,1,1.1,199.507772,object ceremony state persists,1
324,22,v21-scene-d22,Ori,True,1,1,0,1,1.1,337.585536,object ceremony state persists,1
325,22,v21-scene-d22,Vonn,1,1,1,0,1,1.26,120.6233,object ceremony state persists,1
326,22,v21-scene-d22,Sova,1,1,1,0,1,1.26,258.701064,object ceremony state persists,1
327,22,v21-scene-d22,Keth,True,1,1,0,1,1.1,31.818828,object ceremony state persists,1
328,22,v21-scene-d22,Melo,True,1,1,0,1,1.1,169.896592,object ceremony state persists,1
329,22,v21-scene-d22,Nari,1,1,1,0,1,1.26,312.934356,object ceremony state persists,1
330,23,v21-scene-d23,Vonn,True,1,1,0,1,1.1,77.50212,object ceremony state persists,1
331,23,v21-scene-d23,Sova,1,1,1,0,1,1.26,220.539884,object ceremony state persists,1
332,23,v21-scene-d23,Keth,True,1,1,0,1,1.1,353.657648,object ceremony state persists,1
333,23,v21-scene-d23,Melo,1,1,1,0,1,1.26,136.695412,object ceremony state persists,1
334,23,v21-scene-d23,Nari,True,1,1,0,1,1.1,269.813176,object ceremony state persists,1
335,23,v21-scene-d23,Ori,True,1,1,0,1,1.1,47.89094,object ceremony state persists,1
336,23,v21-scene-d23,Vonn,True,1,1,0,1,1.1,185.968704,object ceremony state persists,1
337,23,v21-scene-d23,Sova,1,1,1,0,1,1.26,329.006468,object ceremony state persists,1
338,23,v21-scene-d23,Keth,True,1,1,0,1,1.1,102.124232,object ceremony state persists,1
339,23,v21-scene-d23,Melo,1,1,1,0,1,1.26,245.161996,object ceremony state persists,1
340,23,v21-scene-d23,Nari,1,1,1,0,1,1.26,23.23976,object ceremony state persists,1
341,23,v21-scene-d23,Ori,False,1,0,0,1,1.12,156.977524,collision-aware prompt blocks movement,1
342,23,v21-scene-d23,Vonn,True,1,1,0,1,1.1,294.435288,object ceremony state persists,1
343,23,v21-scene-d23,Sova,1,1,0,0,1,1.21,75.923052,avatar moves through scene,1
344,23,v21-scene-d23,Keth,1,1,1,0,1,1.26,215.550816,object ceremony state persists,1
345,24,v21-scene-d24,Nari,True,0,1,0,1,1.1,338.97858,object ceremony state persists,1
346,24,v21-scene-d24,Ori,True,1,1,0,1,1.1,118.196344,object ceremony state persists,1
347,24,v21-scene-d24,Vonn,True,1,1,0,1,1.1,256.274108,object ceremony state persists,1
348,24,v21-scene-d24,Sova,1,1,1,0,1,1.26,39.311872,object ceremony state persists,1
349,24,v21-scene-d24,Keth,True,1,1,1,1,1.1,172.429636,object ceremony state persists,1
350,24,v21-scene-d24,Melo,True,1,1,0,1,1.1,310.5074,object ceremony state persists,1
351,24,v21-scene-d24,Nari,1,0,1,0,1,1.26,92.405164,object ceremony state persists,1
352,24,v21-scene-d24,Ori,True,1,1,0,1,1.1,226.662928,object ceremony state persists,1
353,24,v21-scene-d24,Vonn,1,1,1,0,1,1.26,9.700692,object ceremony state persists,1
354,24,v21-scene-d24,Sova,True,1,1,0,1,1.1,142.818456,object ceremony state persists,1
355,24,v21-scene-d24,Keth,True,1,1,1,1,1.1,280.89622,object ceremony state persists,1
356,24,v21-scene-d24,Melo,True,1,1,0,1,1.1,58.973984,object ceremony state persists,1
357,24,v21-scene-d24,Nari,True,1,1,0,1,1.1,197.051748,object ceremony state persists,1
358,24,v21-scene-d24,Ori,True,1,1,0,1,1.1,335.129512,object ceremony state persists,1
359,24,v21-scene-d24,Vonn,True,1,1,1,1,1.1,113.207276,object ceremony state persists,1
