tick,day,scene_id,agent,agent_x_before,agent_y_before,agent_x_after,agent_y_after,neutral_x,neutral_y,path_goal,avoided_avatar,approached_avatar,request_initiated,behavior_changed_by_reaction,pathing_consequence_score
211,14,v23-scene-d14,Ori,8.732892,5.124753,8.697695,5.103059,8.712572,5.303898,nearby-help,0,1,0,1,1.0
212,14,v23-scene-d14,Melo,7.086445,4.835015,7.095885,5.043712,6.935885,4.963712,object-inspection,0,0,0,1,0.75
213,14,v23-scene-d14,Vonn,2.542352,5.52206,3.191404,5.143061,2.711129,5.370489,nearby-help,0,1,0,1,1.0
214,14,v23-scene-d14,Keth,7.568388,3.664636,7.692239,3.402219,7.619078,3.554001,approach-and-request,0,0,1,1,0.75
215,14,v23-scene-d14,Nari,5.148598,5.592501,5.362261,5.379269,5.04085,5.633451,nearby-help,0,1,0,1,1.0
216,14,v23-scene-d14,Sova,5.304397,2.812398,5.418775,2.761462,5.087605,2.783166,nearby-help,0,1,0,1,1.0
217,14,v23-scene-d14,Ori,8.697695,5.103059,8.737773,5.07285,8.68371,5.286108,nearby-help,0,0,0,1,0.75
218,14,v23-scene-d14,Vonn,3.191404,5.143061,3.738717,4.876169,3.243351,5.05971,nearby-help,0,1,0,1,1.0
219,14,v23-scene-d14,Nari,5.362261,5.379269,5.554256,5.255936,5.216054,5.458601,nearby-help,0,1,0,1,1.0
220,14,v23-scene-d14,Melo,7.095885,5.043712,7.138758,4.970127,6.943626,5.134844,nearby-help,0,1,0,1,1.0
221,14,v23-scene-d14,Sova,5.418775,2.761462,5.507854,2.777656,5.181396,2.741399,nearby-help,0,1,0,1,1.0
222,14,v23-scene-d14,Nari,5.554256,5.255936,5.67159,5.189963,5.37349,5.357467,nearby-help,0,1,0,1,1.0
223,14,v23-scene-d14,Nari,5.67159,5.189963,5.74573,5.140912,5.469704,5.30337,nearby-help,0,1,0,1,1.0
224,15,v23-scene-d15,Melo,7.138758,4.970127,7.122227,4.923088,6.978781,5.074504,nearby-help,0,1,0,1,1.0
225,15,v23-scene-d15,Ori,8.737773,5.07285,8.713141,5.084246,8.716574,5.261337,nearby-help,0,1,0,1,1.0
226,15,v23-scene-d15,Sova,5.507854,2.777656,5.41444,2.834678,5.25444,2.754678,object-inspection,0,0,1,1,1.0
227,15,v23-scene-d15,Keth,7.692239,3.402219,7.797105,3.290416,7.720636,3.338819,nearby-help,0,0,0,1,0.75
228,15,v23-scene-d15,Melo,7.122227,4.923088,7.110176,4.841145,6.965226,5.035932,nearby-help,0,1,0,1,1.0
229,15,v23-scene-d15,Melo,7.110176,4.841145,7.113067,4.77223,6.955344,4.968739,nearby-help,0,1,0,1,1.0
230,15,v23-scene-d15,Melo,7.113067,4.77223,7.129368,4.717725,6.957715,4.912229,nearby-help,0,1,0,1,1.0
231,15,v23-scene-d15,Nari,5.74573,5.140912,5.830464,5.043016,5.530499,5.263148,nearby-help,0,1,0,1,1.0
232,15,v23-scene-d15,Vonn,3.738717,4.876169,4.151208,4.661549,3.692148,4.840859,nearby-help,0,1,0,1,1.0
233,15,v23-scene-d15,Vonn,4.151208,4.661549,3.569747,4.95469,4.030391,4.66487,conditional-access,1,0,1,1,1.0
234,15,v23-scene-d15,Ori,8.713141,5.084246,8.766194,5.080083,8.696376,5.270682,nearby-help,0,0,0,1,0.75
235,15,v23-scene-d15,Keth,7.797105,3.290416,7.723126,3.363798,7.806626,3.247141,conditional-access,0,0,1,1,0.75
236,15,v23-scene-d15,Keth,7.723126,3.363798,7.853828,3.232741,7.745964,3.307314,approach-and-request,0,0,1,1,0.75
237,15,v23-scene-d15,Vonn,3.569747,4.95469,3.069285,5.165098,3.553592,4.905246,conditional-access,1,0,0,1,0.75
238,15,v23-scene-d15,Vonn,3.069285,5.165098,3.593435,4.871682,3.143213,5.07778,approach-and-request,0,1,1,1,1.0
239,15,v23-scene-d15,Sova,5.41444,2.834678,5.478702,2.839672,5.177841,2.801436,nearby-help,0,1,0,1,1.0
240,16,v23-scene-d16,Melo,7.129368,4.717725,6.875969,5.134664,6.971082,4.867535,conditional-access,1,0,1,1,1.0
241,16,v23-scene-d16,Sova,5.478702,2.839672,5.512529,2.821964,5.230535,2.805531,nearby-help,0,0,0,1,0.75
242,16,v23-scene-d16,Keth,7.853828,3.232741,7.925898,3.171947,7.853139,3.199848,nearby-help,0,0,0,1,0.75
243,16,v23-scene-d16,Nari,5.830464,5.043016,5.858992,4.984694,5.59998,5.182873,nearby-help,0,1,0,1,1.0
244,16,v23-scene-d16,Melo,6.875969,5.134664,6.912169,4.935987,6.763295,5.209424,approach-and-request,0,1,1,1,1.0
245,16,v23-scene-d16,Keth,7.925898,3.171947,8.072236,3.229996,7.912236,3.149996,object-inspection,0,0,1,1,1.0
246,16,v23-scene-d16,Ori,8.766194,5.080083,8.771613,5.636036,8.739879,5.267268,conditional-access,1,0,1,1,1.0
247,16,v23-scene-d16,Melo,6.912169,4.935987,6.980498,4.787164,6.792978,5.046509,approach-and-request,0,1,0,1,0.75
248,16,v23-scene-d16,Ori,8.771613,5.636036,8.785673,5.418935,8.744322,5.723149,approach-and-request,0,1,1,1,1.0
249,16,v23-scene-d16,Nari,5.858992,4.984694,5.947231,4.954209,5.623374,5.135049,nearby-help,0,1,0,1,1.0
250,16,v23-scene-d16,Nari,5.947231,4.954209,5.855729,5.190051,5.695729,5.110051,object-inspection,0,0,1,1,1.0
251,16,v23-scene-d16,Keth,8.072236,3.229996,7.965272,3.295719,8.032234,3.197597,conditional-access,0,0,1,1,0.75
252,16,v23-scene-d16,Melo,6.980498,4.787164,7.058523,4.79396,6.849008,4.924475,nearby-help,0,0,0,1,0.75
253,16,v23-scene-d16,Keth,7.965272,3.295719,7.72238,3.425862,7.944523,3.25149,avoidance-path,0,0,1,1,0.75
254,16,v23-scene-d16,Vonn,3.593435,4.871682,4.016852,4.718331,3.573017,4.837179,nearby-help,0,1,0,1,1.0
255,16,v23-scene-d16,Melo,7.058523,4.79396,6.798289,5.190587,6.912989,4.930048,conditional-access,1,0,1,1,1.0
256,17,v23-scene-d17,Nari,5.855729,5.190051,5.780698,5.383442,5.620698,5.303442,object-inspection,0,0,1,1,1.0
257,17,v23-scene-d17,Keth,7.72238,3.425862,7.805679,3.264469,7.745351,3.358207,approach-and-request,0,0,0,1,0.5
258,17,v23-scene-d17,Sova,5.512529,2.821964,5.418274,2.871011,5.258274,2.791011,object-inspection,0,0,1,1,1.0
259,17,v23-scene-d17,Vonn,4.016852,4.718331,4.326742,4.551351,3.920219,4.711432,nearby-help,0,1,0,1,1.0
260,17,v23-scene-d17,Sova,5.418274,2.871011,5.499113,2.815158,5.180984,2.831229,nearby-help,0,1,0,1,1.0
261,17,v23-scene-d17,Nari,5.780698,5.383442,5.094992,5.93183,5.559173,5.462022,avoidance-path,1,0,1,1,1.0
262,17,v23-scene-d17,Sova,5.499113,2.815158,5.407273,2.86543,5.247273,2.78543,object-inspection,0,0,0,1,0.75
263,17,v23-scene-d17,Keth,7.805679,3.264469,7.933273,3.123054,7.813657,3.225865,approach-and-request,0,0,1,1,0.75
264,17,v23-scene-d17,Vonn,4.326742,4.551351,4.334329,4.654507,4.174329,4.574507,object-inspection,0,0,1,1,1.0
265,17,v23-scene-d17,Keth,7.933273,3.123054,8.066552,3.104449,7.918284,3.109905,nearby-help,0,0,0,1,0.75
266,17,v23-scene-d17,Nari,5.094992,5.93183,5.347779,5.630119,4.996893,5.911701,approach-and-request,0,1,1,1,1.0
267,17,v23-scene-d17,Ori,8.785673,5.418935,8.825078,5.367575,8.755852,5.545127,nearby-help,0,0,0,1,0.75
268,17,v23-scene-d17,Melo,6.798289,5.190587,6.893415,5.043161,6.699597,5.255281,approach-and-request,0,1,1,1,1.0
269,17,v23-scene-d17,Melo,6.893415,5.043161,6.950952,4.933929,6.7776,5.134392,approach-and-request,0,1,1,1,1.0
270,17,v23-scene-d17,Keth,8.066552,3.104449,8.11452,3.118793,8.027572,3.094648,nearby-help,0,0,0,1,0.75
271,17,v23-scene-d17,Sova,5.407273,2.86543,5.475676,2.864755,5.171964,2.826652,nearby-help,0,1,0,1,1.0
272,18,v23-scene-d18,Keth,8.11452,3.118793,8.134953,3.109854,8.066907,3.10641,nearby-help,0,0,0,1,0.75
273,18,v23-scene-d18,Ori,8.825078,5.367575,8.799997,5.301996,8.788164,5.503012,nearby-help,0,1,0,1,1.0
274,18,v23-scene-d18,Sova,5.475676,2.864755,5.531518,2.827964,5.228054,2.826099,nearby-help,0,1,0,1,1.0
275,18,v23-scene-d18,Vonn,4.334329,4.654507,4.578944,4.5062,4.18055,4.659096,nearby-help,0,1,0,1,1.0
276,18,v23-scene-d18,Nari,5.347779,5.630119,4.880839,6.057126,5.204178,5.664297,conditional-access,1,0,1,1,1.0
277,18,v23-scene-d18,Nari,4.880839,6.057126,4.981288,6.094443,4.821288,6.014443,object-inspection,0,0,0,1,0.75
278,18,v23-scene-d18,Melo,6.950952,4.933929,7.052498,4.864442,6.824781,5.044821,nearby-help,0,1,0,1,1.0
279,18,v23-scene-d18,Keth,8.134953,3.109854,8.219924,3.084166,8.083662,3.09908,nearby-help,0,0,0,1,0.75
280,18,v23-scene-d18,Nari,4.981288,6.094443,5.298686,5.806649,4.903656,6.045043,nearby-help,0,1,0,1,1.0
281,18,v23-scene-d18,Keth,8.219924,3.084166,8.287216,3.089741,8.153338,3.078016,nearby-help,0,0,0,1,0.75
282,18,v23-scene-d18,Vonn,4.578944,4.5062,4.810242,4.443852,4.381134,4.537484,nearby-help,0,1,0,1,1.0
283,18,v23-scene-d18,Ori,8.799997,5.301996,8.773021,5.743535,8.767598,5.449237,conditional-access,1,0,1,1,1.0
284,18,v23-scene-d18,Nari,5.298686,5.806649,5.505804,5.626042,5.163923,5.809052,nearby-help,0,1,0,1,1.0
285,18,v23-scene-d18,Nari,5.505804,5.626042,5.64769,5.488883,5.333759,5.660954,nearby-help,0,1,0,1,1.0
286,18,v23-scene-d18,Melo,7.052498,4.864442,7.08314,4.863925,6.908048,4.987843,nearby-help,0,0,0,1,0.75
287,18,v23-scene-d18,Vonn,4.810242,4.443852,4.923378,4.392935,4.570799,4.486359,nearby-help,0,1,0,1,1.0
288,19,v23-scene-d19,Melo,7.08314,4.863925,7.095904,4.841133,6.933174,4.987419,nearby-help,0,1,0,1,1.0
289,19,v23-scene-d19,Keth,8.287216,3.089741,8.368517,3.162587,8.208517,3.082587,object-inspection,0,0,1,1,1.0
290,19,v23-scene-d19,Vonn,4.923378,4.392935,4.304987,4.696844,4.66357,4.444606,conditional-access,1,0,1,1,1.0
291,19,v23-scene-d19,Keth,8.368517,3.162587,8.357621,3.116226,8.275184,3.142322,nearby-help,0,1,0,1,1.0
292,19,v23-scene-d19,Vonn,4.304987,4.696844,4.555186,4.478295,4.15649,4.693812,approach-and-request,0,1,0,1,0.75
293,19,v23-scene-d19,Nari,5.64769,5.488883,5.786584,5.333013,5.450106,5.548484,nearby-help,0,1,0,1,1.0
294,19,v23-scene-d19,Melo,7.095904,4.841133,7.171562,4.807977,6.943641,4.968729,nearby-help,0,1,0,1,1.0
295,19,v23-scene-d19,Melo,7.171562,4.807977,6.808311,5.222006,7.005681,4.941541,conditional-access,1,0,1,1,1.0
296,19,v23-scene-d19,Melo,6.808311,5.222006,6.93471,5.05507,6.707815,5.281045,approach-and-request,0,1,1,1,1.0
297,19,v23-scene-d19,Keth,8.357621,3.116226,8.391695,3.129064,8.266249,3.104305,nearby-help,0,0,0,1,0.75
298,19,v23-scene-d19,Melo,6.93471,5.05507,7.016429,4.95113,6.811462,5.144158,approach-and-request,0,1,1,1,1.0
299,19,v23-scene-d19,Ori,8.773021,5.743535,8.753619,6.12788,8.745478,5.811299,conditional-access,1,0,1,1,1.0
300,19,v23-scene-d19,Sova,5.531518,2.827964,5.602323,2.862272,5.273844,2.79593,nearby-help,0,1,0,1,1.0
301,19,v23-scene-d19,Sova,5.602323,2.862272,5.641972,2.884398,5.331905,2.824063,nearby-help,0,1,0,1,1.0
302,19,v23-scene-d19,Keth,8.391695,3.129064,8.356149,3.143779,8.29419,3.114833,nearby-help,0,1,0,1,1.0
303,19,v23-scene-d19,Keth,8.356149,3.143779,8.32252,3.143604,8.265042,3.126899,nearby-help,0,1,0,0,0.75
304,20,v23-scene-d20,Melo,7.016429,4.95113,7.04927,4.908447,6.878472,5.058926,nearby-help,0,1,0,1,1.0
305,20,v23-scene-d20,Vonn,4.555186,4.478295,4.71381,4.332404,4.361653,4.514602,approach-and-request,0,1,1,1,1.0
306,20,v23-scene-d20,Melo,7.04927,4.908447,7.093347,4.857907,6.905401,5.023927,nearby-help,0,1,0,1,1.0
307,20,v23-scene-d20,Sova,5.641972,2.884398,5.689651,2.84776,5.364417,2.842206,nearby-help,0,1,0,1,1.0
308,20,v23-scene-d20,Ori,8.753619,6.12788,8.555261,6.629954,8.729568,6.126461,avoidance-path,1,0,1,1,1.0
309,20,v23-scene-d20,Keth,8.32252,3.143604,8.359384,3.118187,8.237466,3.126755,nearby-help,0,0,0,1,0.75
310,20,v23-scene-d20,Ori,8.555261,6.629954,8.643412,6.202591,8.566914,6.538162,approach-and-request,0,1,1,1,1.0
311,20,v23-scene-d20,Keth,8.359384,3.118187,8.399217,3.121741,8.267695,3.105914,nearby-help,0,0,0,1,0.75
312,20,v23-scene-d20,Vonn,4.71381,4.332404,4.895635,4.255939,4.491724,4.394972,approach-and-request,0,1,0,1,0.75
313,20,v23-scene-d20,Vonn,4.895635,4.255939,5.053057,4.273662,4.640821,4.33227,nearby-help,0,1,0,1,1.0
314,20,v23-scene-d20,Keth,8.399217,3.121741,8.408326,3.155794,8.300358,3.108828,nearby-help,0,1,0,1,1.0
315,20,v23-scene-d20,Vonn,5.053057,4.273662,5.146378,4.297963,4.769907,4.346803,nearby-help,0,1,0,1,1.0
316,20,v23-scene-d20,Sova,5.689651,2.84776,5.103622,2.818398,5.403513,2.812163,conditional-access,1,0,1,1,1.0
317,20,v23-scene-d20,Keth,8.408326,3.155794,8.374532,3.176584,8.307827,3.136751,nearby-help,0,1,0,1,1.0
318,20,v23-scene-d20,Melo,7.093347,4.857907,7.108768,4.864516,6.941545,4.982484,nearby-help,0,0,0,1,0.75
319,20,v23-scene-d20,Sova,5.103622,2.818398,5.220293,2.768921,4.92297,2.788086,approach-and-request,0,1,1,1,1.0
320,21,v23-scene-d21,Keth,8.374532,3.176584,8.341994,3.157956,8.280117,3.153799,nearby-help,0,1,0,1,1.0
321,21,v23-scene-d21,Nari,5.786584,5.333013,5.853333,5.234414,5.563999,5.420671,nearby-help,0,1,0,1,1.0
322,21,v23-scene-d21,Vonn,5.146378,4.297963,5.20645,4.259841,4.84643,4.36673,nearby-help,0,1,0,1,1.0
323,21,v23-scene-d21,Keth,8.341994,3.157956,8.355295,3.129803,8.253435,3.138524,nearby-help,0,0,0,1,0.75
324,21,v23-scene-d21,Keth,8.355295,3.129803,8.378685,3.113349,8.264342,3.115439,nearby-help,0,0,0,1,0.75
325,21,v23-scene-d21,Keth,8.378685,3.113349,8.406637,3.109875,8.283522,3.101946,nearby-help,0,0,0,1,0.75
326,21,v23-scene-d21,Ori,8.643412,6.202591,8.799198,6.267724,8.639198,6.187724,object-inspection,0,0,1,1,1.0
327,21,v23-scene-d21,Keth,8.406637,3.109875,8.060885,3.242716,8.306442,3.099098,avoidance-path,0,0,0,1,0.5
328,21,v23-scene-d21,Melo,7.108768,4.864516,6.755955,5.217497,6.95419,4.987903,conditional-access,1,0,1,1,1.0
329,21,v23-scene-d21,Keth,8.060885,3.242716,7.767995,3.336062,8.022926,3.208027,avoidance-path,0,0,1,1,0.75
330,21,v23-scene-d21,Sova,5.220293,2.768921,5.35297,2.77033,5.01864,2.747515,approach-and-request,0,1,1,1,1.0
331,21,v23-scene-d21,Sova,5.35297,2.77033,5.438667,2.771757,5.127435,2.74867,approach-and-request,0,1,1,1,1.0
332,21,v23-scene-d21,Ori,8.799198,6.267724,8.801144,6.044696,8.766942,6.241134,nearby-help,0,1,0,1,1.0
333,21,v23-scene-d21,Keth,7.767995,3.336062,7.568236,3.429885,7.782756,3.284571,avoidance-path,0,0,1,1,0.75
334,21,v23-scene-d21,Sova,5.438667,2.771757,5.500933,2.812329,5.197707,2.749841,nearby-help,0,1,0,1,1.0
335,21,v23-scene-d21,Keth,7.568236,3.429885,7.700315,3.297871,7.618954,3.361506,approach-and-request,0,0,1,1,0.75
336,22,v23-scene-d22,Melo,6.755955,5.217497,6.336306,5.665492,6.664883,5.277348,avoidance-path,1,0,1,1,1.0
337,22,v23-scene-d22,Melo,6.336306,5.665492,6.526561,5.3812,6.320771,5.644703,approach-and-request,0,1,0,1,0.75
338,22,v23-scene-d22,Sova,5.500933,2.812329,5.582109,2.810767,5.248765,2.78311,nearby-help,0,1,0,1,1.0
339,22,v23-scene-d22,Vonn,5.20645,4.259841,5.271332,4.24173,4.895689,4.335469,nearby-help,0,1,0,1,1.0
340,22,v23-scene-d22,Ori,8.801144,6.044696,8.846157,5.834022,8.768538,6.058251,nearby-help,0,1,0,1,1.0
341,22,v23-scene-d22,Ori,8.846157,5.834022,8.887895,5.685859,8.805449,5.885498,nearby-help,0,1,0,1,1.0
342,22,v23-scene-d22,Melo,6.526561,5.3812,6.720511,5.198049,6.47678,5.411584,approach-and-request,0,1,0,1,0.75
343,22,v23-scene-d22,Keth,7.700315,3.297871,7.887258,3.333254,7.727258,3.253254,object-inspection,0,0,1,1,1.0
344,22,v23-scene-d22,Melo,6.720511,5.198049,6.855717,5.082972,6.635819,5.2614,approach-and-request,0,1,1,1,1.0
345,22,v23-scene-d22,Nari,5.853333,5.234414,5.778733,5.41982,5.618733,5.33982,object-inspection,0,0,1,1,1.0
346,22,v23-scene-d22,Sova,5.582109,2.810767,4.996118,2.761068,5.315329,2.781829,conditional-access,1,0,1,1,1.0
347,22,v23-scene-d22,Melo,6.855717,5.082972,6.91743,5.003107,6.746688,5.167037,approach-and-request,0,1,0,1,0.75
348,22,v23-scene-d22,Sova,4.996118,2.761068,4.500176,2.728272,4.834817,2.741076,conditional-access,1,0,1,1,1.0
349,22,v23-scene-d22,Ori,8.887895,5.685859,8.850557,5.598995,8.839674,5.764004,nearby-help,0,1,0,1,1.0
350,22,v23-scene-d22,Melo,6.91743,5.003107,6.968671,4.976996,6.797292,5.101548,nearby-help,0,0,0,1,0.75
351,22,v23-scene-d22,Keth,7.887258,3.333254,7.967954,3.290683,7.880552,3.282268,nearby-help,0,0,0,1,0.75
352,23,v23-scene-d23,Melo,6.968671,4.976996,7.020806,4.936251,6.83931,5.080137,nearby-help,0,1,0,1,1.0
353,23,v23-scene-d23,Ori,8.850557,5.598995,8.846582,5.495691,8.809057,5.692776,nearby-help,0,1,0,1,1.0
354,23,v23-scene-d23,Melo,7.020806,4.936251,7.088122,4.902051,6.882061,5.046726,nearby-help,0,1,0,1,1.0
355,23,v23-scene-d23,Sova,4.500176,2.728272,3.998443,2.75136,4.428144,2.714183,conditional-access,1,0,1,1,1.0
356,23,v23-scene-d23,Nari,5.778733,5.41982,5.892215,5.326601,5.557561,5.491852,nearby-help,0,1,0,1,1.0
357,23,v23-scene-d23,Vonn,5.271332,4.24173,5.337097,4.261116,4.948892,4.320619,nearby-help,0,1,0,1,1.0
358,23,v23-scene-d23,Vonn,5.337097,4.261116,5.386049,4.288528,5.002819,4.336516,nearby-help,0,1,0,1,1.0
359,23,v23-scene-d23,Melo,7.088122,4.902051,7.159654,4.927724,6.93726,5.018682,nearby-help,0,0,0,1,0.75
360,23,v23-scene-d23,Melo,7.159654,4.927724,7.20303,4.955768,6.995916,5.039734,nearby-help,0,0,0,1,0.75
361,23,v23-scene-d23,Sova,3.998443,2.75136,4.42107,2.773726,4.016723,2.733115,approach-and-request,0,1,1,1,1.0
362,23,v23-scene-d23,Vonn,5.386049,4.288528,5.378417,4.333484,5.04296,4.358993,nearby-help,0,1,0,1,1.0
363,23,v23-scene-d23,Melo,7.20303,4.955768,6.916914,5.268089,7.031485,5.06273,conditional-access,0,0,1,1,0.75
364,23,v23-scene-d23,Melo,6.916914,5.268089,6.94142,5.137541,6.796869,5.318833,approach-and-request,0,1,1,1,1.0
365,23,v23-scene-d23,Sova,4.42107,2.773726,4.523278,2.831455,4.363278,2.751455,object-inspection,0,0,1,1,1.0
366,23,v23-scene-d23,Sova,4.523278,2.831455,4.802423,2.858755,4.447088,2.798793,nearby-help,0,1,0,1,1.0
367,23,v23-scene-d23,Sova,4.802423,2.858755,5.018808,2.867633,4.675987,2.821179,nearby-help,0,1,0,1,1.0
368,24,v23-scene-d24,Sova,5.018808,2.867633,5.19471,2.868234,4.853422,2.828459,nearby-help,0,1,0,1,1.0
369,24,v23-scene-d24,Ori,8.846582,5.495691,8.845213,5.424113,8.805797,5.608067,nearby-help,0,1,0,1,1.0
370,24,v23-scene-d24,Sova,5.19471,2.868234,5.355554,2.870908,4.997662,2.828952,nearby-help,0,1,0,1,1.0
371,24,v23-scene-d24,Nari,5.892215,5.326601,5.967527,5.258437,5.650617,5.415413,nearby-help,0,1,0,1,1.0
372,24,v23-scene-d24,Sova,5.355554,2.870908,5.495145,2.892098,5.129554,2.831145,nearby-help,0,1,0,1,1.0
373,24,v23-scene-d24,Nari,5.967527,5.258437,6.033022,5.230914,5.712372,5.359518,nearby-help,0,1,0,1,1.0
374,24,v23-scene-d24,Keth,7.967954,3.290683,7.863694,3.277991,7.946722,3.24736,conditional-access,0,0,1,1,0.75
375,24,v23-scene-d24,Sova,5.495145,2.892098,5.589398,2.943213,5.244019,2.848521,nearby-help,0,1,0,1,1.0
376,24,v23-scene-d24,Melo,6.94142,5.137541,6.647674,5.418321,6.816965,5.211784,conditional-access,1,0,1,1,1.0
377,24,v23-scene-d24,Ori,8.845213,5.424113,8.838408,5.43597,8.804675,5.549373,nearby-help,0,1,0,1,1.0
378,24,v23-scene-d24,Ori,8.838408,5.43597,8.819366,5.4416,8.799095,5.559095,nearby-help,0,1,0,1,1.0
379,24,v23-scene-d24,Melo,6.647674,5.418321,6.432262,5.683394,6.576093,5.442024,conditional-access,1,0,1,1,1.0
380,24,v23-scene-d24,Melo,6.432262,5.683394,6.247041,5.936303,6.399455,5.659383,conditional-access,1,0,1,1,1.0
381,24,v23-scene-d24,Sova,5.589398,2.943213,5.599096,2.954938,5.321306,2.890435,nearby-help,0,1,0,1,1.0
382,24,v23-scene-d24,Ori,8.819366,5.4416,8.94348,5.643712,8.78348,5.563712,object-inspection,0,0,0,1,0.75
383,24,v23-scene-d24,Ori,8.94348,5.643712,8.890119,5.54417,8.885254,5.729444,nearby-help,0,1,0,1,1.0
384,25,v23-scene-d25,Vonn,5.378417,4.333484,5.363332,4.31386,5.036702,4.395857,nearby-help,0,0,0,1,0.75
385,25,v23-scene-d25,Nari,6.033022,5.230914,6.048654,5.181202,5.766078,5.336949,nearby-help,0,1,0,1,1.0
386,25,v23-scene-d25,Melo,6.247041,5.936303,5.840298,6.291119,6.247574,5.866769,avoidance-path,1,0,1,1,1.0
387,25,v23-scene-d25,Keth,7.863694,3.277991,7.604135,3.385785,7.861229,3.236953,avoidance-path,0,0,0,1,0.5
388,25,v23-scene-d25,Melo,5.840298,6.291119,5.45725,6.58325,5.914045,6.157717,avoidance-path,1,0,1,1,1.0
389,25,v23-scene-d25,Nari,6.048654,5.181202,5.938896,5.376186,5.778896,5.296186,object-inspection,0,0,1,1,1.0
390,25,v23-scene-d25,Keth,7.604135,3.385785,7.375622,3.43769,7.648391,3.325343,avoidance-path,0,0,1,1,0.75
391,25,v23-scene-d25,Keth,7.375622,3.43769,7.586229,3.365884,7.46101,3.367906,approach-and-request,0,0,1,1,0.75
392,25,v23-scene-d25,Nari,5.938896,5.376186,5.251401,5.766822,5.688895,5.456072,avoidance-path,1,0,0,1,0.75
393,25,v23-scene-d25,Keth,7.586229,3.365884,7.584608,3.318648,7.633708,3.309025,conditional-access,1,0,1,1,1.0
394,25,v23-scene-d25,Nari,5.251401,5.766822,4.841085,6.040267,5.125149,5.776394,conditional-access,1,0,1,1,1.0
395,25,v23-scene-d25,Keth,7.584608,3.318648,7.693863,3.262626,7.632379,3.270292,approach-and-request,0,0,1,1,0.75
396,25,v23-scene-d25,Melo,5.45725,6.58325,5.81974,6.127221,5.599945,6.397265,approach-and-request,0,1,1,1,1.0
397,25,v23-scene-d25,Vonn,5.363332,4.31386,5.319041,4.322771,5.024332,4.379765,nearby-help,0,0,0,1,0.75
398,25,v23-scene-d25,Sova,5.599096,2.954938,5.489258,2.980049,5.329258,2.900049,object-inspection,0,0,1,1,1.0
399,25,v23-scene-d25,Keth,7.693863,3.262626,7.790877,3.175753,7.721967,3.224353,approach-and-request,0,0,1,1,0.75
400,26,v23-scene-d26,Keth,7.790877,3.175753,7.906052,3.174068,7.801519,3.153117,nearby-help,0,0,0,1,0.75
401,26,v23-scene-d26,Melo,5.81974,6.127221,6.167607,5.819011,5.897187,6.023322,nearby-help,0,1,0,1,1.0
402,26,v23-scene-d26,Melo,6.167607,5.819011,6.440699,5.595101,6.182438,5.770589,nearby-help,0,1,0,1,1.0
403,26,v23-scene-d26,Vonn,5.319041,4.322771,5.34801,4.333826,4.988014,4.387072,nearby-help,0,1,0,1,1.0
404,26,v23-scene-d26,Sova,5.489258,2.980049,4.90285,2.921077,5.239192,2.92064,conditional-access,1,0,1,1,1.0
405,26,v23-scene-d26,Keth,7.906052,3.174068,8.019341,3.222181,7.895963,3.151736,nearby-help,0,0,0,1,0.75
406,26,v23-scene-d26,Keth,8.019341,3.222181,8.095243,3.268047,7.98886,3.191189,nearby-help,0,0,0,1,0.75
407,26,v23-scene-d26,Vonn,5.34801,4.333826,4.686754,4.510037,5.011768,4.396138,conditional-access,1,0,0,1,0.75
408,26,v23-scene-d26,Ori,8.890119,5.54417,8.852361,5.534589,8.841498,5.647819,nearby-help,0,1,0,1,1.0
409,26,v23-scene-d26,Vonn,4.686754,4.510037,4.788914,4.447481,4.469538,4.54063,approach-and-request,0,1,1,1,1.0
410,26,v23-scene-d26,Sova,4.90285,2.921077,4.456582,2.848381,4.758337,2.872283,conditional-access,1,0,1,1,1.0
411,26,v23-scene-d26,Nari,4.841085,6.040267,5.065206,5.770834,4.78869,6.000619,approach-and-request,0,1,1,1,1.0
412,26,v23-scene-d26,Nari,5.065206,5.770834,5.260801,5.619209,4.972469,5.779684,nearby-help,0,1,0,1,1.0
413,26,v23-scene-d26,Sova,4.456582,2.848381,4.057902,2.828278,4.392397,2.812673,conditional-access,1,0,1,1,1.0
414,26,v23-scene-d26,Sova,4.057902,2.828278,4.412559,2.788072,4.065479,2.796188,approach-and-request,0,1,1,1,1.0
415,26,v23-scene-d26,Keth,8.095243,3.268047,8.119728,3.244608,8.051099,3.228799,nearby-help,0,0,0,1,0.75
