tick,day,resident,minigame_id,step,action,failure_cause,failure_animation,recoverable,retry_visible,progress_before,progress_after
587,33,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is apologize,misaligned brace,thread unspools,True,True,0.611111,0.579111
588,33,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is ask_sensory,tool slips,tool clatters softly,True,True,0.666667,0.634667
589,33,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is request_space,none,patch peels back,True,False,0.722222,0.777222
590,33,Nia,repair-09-nia,return,Nia attempts return while avatar route is thank_resident,misaligned brace,steady success pulse,True,True,0.777778,0.745778
591,33,Ari,repair-09-ari,align,Ari attempts align while avatar route is ask_repair,tool slips,shake head and reset,True,True,0.833333,0.801333
592,33,Fay,repair-09-fay,bind,Fay attempts bind while avatar route is ask_help,none,sparks fade,True,False,0.888889,0.943889
593,33,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is offer_tool,misaligned brace,thread unspools,True,True,0.944444,0.912444
594,34,Sera,repair-10-sera,test,Sera attempts test while avatar route is apologize,tool slips,patch peels back,True,True,0.08,0.048
595,34,Tovan,repair-10-tovan,return,Tovan attempts return while avatar route is ask_sensory,none,steady success pulse,True,False,0.135556,0.190556
596,34,Nia,repair-10-nia,align,Nia attempts align while avatar route is request_space,misaligned brace,shake head and reset,True,True,0.191111,0.159111
597,34,Ari,repair-10-ari,bind,Ari attempts bind while avatar route is thank_resident,tool slips,sparks fade,True,True,0.246667,0.214667
598,34,Fay,repair-10-fay,brace,Fay attempts brace while avatar route is ask_repair,none,thread unspools,True,False,0.302222,0.357222
599,34,Milo,repair-10-milo,dry,Milo attempts dry while avatar route is ask_help,misaligned brace,tool clatters softly,True,True,0.357778,0.325778
600,34,Sera,repair-10-sera,test,Sera attempts test while avatar route is offer_tool,tool slips,patch peels back,True,True,0.413333,0.381333
601,34,Tovan,repair-10-tovan,return,Tovan attempts return while avatar route is apologize,none,steady success pulse,True,False,0.468889,0.523889
602,34,Nia,repair-10-nia,align,Nia attempts align while avatar route is ask_sensory,misaligned brace,shake head and reset,True,True,0.524444,0.492444
603,34,Ari,repair-10-ari,bind,Ari attempts bind while avatar route is request_space,tool slips,sparks fade,True,True,0.58,0.548
604,34,Fay,repair-10-fay,brace,Fay attempts brace while avatar route is thank_resident,none,thread unspools,True,False,0.635556,0.690556
605,34,Milo,repair-10-milo,dry,Milo attempts dry while avatar route is ask_repair,misaligned brace,tool clatters softly,True,True,0.691111,0.659111
606,34,Sera,repair-10-sera,test,Sera attempts test while avatar route is ask_help,tool slips,patch peels back,True,True,0.746667,0.714667
607,34,Tovan,repair-10-tovan,return,Tovan attempts return while avatar route is offer_tool,none,steady success pulse,True,False,0.802222,0.857222
608,34,Nia,repair-10-nia,align,Nia attempts align while avatar route is apologize,misaligned brace,shake head and reset,True,True,0.857778,0.825778
609,34,Ari,repair-10-ari,bind,Ari attempts bind while avatar route is ask_sensory,tool slips,sparks fade,True,True,0.913333,0.881333
610,34,Fay,repair-10-fay,brace,Fay attempts brace while avatar route is request_space,none,thread unspools,True,False,0.968889,1.0
611,34,Milo,repair-10-milo,dry,Milo attempts dry while avatar route is thank_resident,misaligned brace,tool clatters softly,True,True,0.98,0.948
612,35,Sera,repair-11-sera,return,Sera attempts return while avatar route is ask_repair,tool slips,steady success pulse,True,True,0.16,0.128
613,35,Tovan,repair-11-tovan,align,Tovan attempts align while avatar route is ask_help,none,shake head and reset,True,False,0.215556,0.270556
614,35,Nia,repair-11-nia,bind,Nia attempts bind while avatar route is offer_tool,misaligned brace,sparks fade,True,True,0.271111,0.239111
615,35,Ari,repair-11-ari,brace,Ari attempts brace while avatar route is apologize,tool slips,thread unspools,True,True,0.326667,0.294667
616,35,Fay,repair-11-fay,dry,Fay attempts dry while avatar route is ask_sensory,none,tool clatters softly,True,False,0.382222,0.437222
617,35,Milo,repair-11-milo,test,Milo attempts test while avatar route is request_space,misaligned brace,patch peels back,True,True,0.437778,0.405778
618,35,Sera,repair-11-sera,return,Sera attempts return while avatar route is thank_resident,tool slips,steady success pulse,True,True,0.493333,0.461333
619,35,Tovan,repair-11-tovan,align,Tovan attempts align while avatar route is ask_repair,none,shake head and reset,True,False,0.548889,0.603889
620,35,Nia,repair-11-nia,bind,Nia attempts bind while avatar route is ask_help,misaligned brace,sparks fade,True,True,0.604444,0.572444
621,35,Ari,repair-11-ari,brace,Ari attempts brace while avatar route is offer_tool,tool slips,thread unspools,True,True,0.66,0.628
622,35,Fay,repair-11-fay,dry,Fay attempts dry while avatar route is apologize,none,tool clatters softly,True,False,0.715556,0.770556
623,35,Milo,repair-11-milo,test,Milo attempts test while avatar route is ask_sensory,misaligned brace,patch peels back,True,True,0.771111,0.739111
624,35,Sera,repair-11-sera,return,Sera attempts return while avatar route is request_space,tool slips,steady success pulse,True,True,0.826667,0.794667
625,35,Tovan,repair-11-tovan,align,Tovan attempts align while avatar route is thank_resident,none,shake head and reset,True,False,0.882222,0.937222
626,35,Nia,repair-11-nia,bind,Nia attempts bind while avatar route is ask_repair,misaligned brace,sparks fade,True,True,0.937778,0.905778
627,35,Ari,repair-11-ari,brace,Ari attempts brace while avatar route is ask_help,tool slips,thread unspools,True,True,0.98,0.948
628,35,Fay,repair-11-fay,dry,Fay attempts dry while avatar route is offer_tool,none,tool clatters softly,True,False,0.98,1.0
629,35,Milo,repair-11-milo,test,Milo attempts test while avatar route is apologize,misaligned brace,patch peels back,True,True,0.98,0.948
630,36,Sera,repair-00-sera,align,Sera attempts align while avatar route is ask_sensory,tool slips,shake head and reset,True,True,0.0,0.0
631,36,Tovan,repair-00-tovan,bind,Tovan attempts bind while avatar route is request_space,none,sparks fade,True,False,0.055556,0.110556
632,36,Nia,repair-00-nia,brace,Nia attempts brace while avatar route is thank_resident,misaligned brace,thread unspools,True,True,0.111111,0.079111
633,36,Ari,repair-00-ari,dry,Ari attempts dry while avatar route is ask_repair,tool slips,tool clatters softly,True,True,0.166667,0.134667
634,36,Fay,repair-00-fay,test,Fay attempts test while avatar route is ask_help,none,patch peels back,True,False,0.222222,0.277222
635,36,Milo,repair-00-milo,return,Milo attempts return while avatar route is offer_tool,misaligned brace,steady success pulse,True,True,0.277778,0.245778
636,36,Sera,repair-00-sera,align,Sera attempts align while avatar route is apologize,tool slips,shake head and reset,True,True,0.333333,0.301333
637,36,Tovan,repair-00-tovan,bind,Tovan attempts bind while avatar route is ask_sensory,none,sparks fade,True,False,0.388889,0.443889
638,36,Nia,repair-00-nia,brace,Nia attempts brace while avatar route is request_space,misaligned brace,thread unspools,True,True,0.444444,0.412444
639,36,Ari,repair-00-ari,dry,Ari attempts dry while avatar route is thank_resident,tool slips,tool clatters softly,True,True,0.5,0.468
640,36,Fay,repair-00-fay,test,Fay attempts test while avatar route is ask_repair,none,patch peels back,True,False,0.555556,0.610556
641,36,Milo,repair-00-milo,return,Milo attempts return while avatar route is ask_help,misaligned brace,steady success pulse,True,True,0.611111,0.579111
642,36,Sera,repair-00-sera,align,Sera attempts align while avatar route is offer_tool,tool slips,shake head and reset,True,True,0.666667,0.634667
643,36,Tovan,repair-00-tovan,bind,Tovan attempts bind while avatar route is apologize,none,sparks fade,True,False,0.722222,0.777222
644,36,Nia,repair-00-nia,brace,Nia attempts brace while avatar route is ask_sensory,misaligned brace,thread unspools,True,True,0.777778,0.745778
645,36,Ari,repair-00-ari,dry,Ari attempts dry while avatar route is request_space,tool slips,tool clatters softly,True,True,0.833333,0.801333
646,36,Fay,repair-00-fay,test,Fay attempts test while avatar route is thank_resident,none,patch peels back,True,False,0.888889,0.943889
647,36,Milo,repair-00-milo,return,Milo attempts return while avatar route is ask_repair,misaligned brace,steady success pulse,True,True,0.944444,0.912444
648,37,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is ask_help,tool slips,sparks fade,True,True,0.08,0.048
649,37,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is offer_tool,none,thread unspools,True,False,0.135556,0.190556
650,37,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is apologize,misaligned brace,tool clatters softly,True,True,0.191111,0.159111
651,37,Ari,repair-01-ari,test,Ari attempts test while avatar route is ask_sensory,tool slips,patch peels back,True,True,0.246667,0.214667
652,37,Fay,repair-01-fay,return,Fay attempts return while avatar route is request_space,none,steady success pulse,True,False,0.302222,0.357222
653,37,Milo,repair-01-milo,align,Milo attempts align while avatar route is thank_resident,misaligned brace,shake head and reset,True,True,0.357778,0.325778
654,37,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is ask_repair,tool slips,sparks fade,True,True,0.413333,0.381333
655,37,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is ask_help,none,thread unspools,True,False,0.468889,0.523889
656,37,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is offer_tool,misaligned brace,tool clatters softly,True,True,0.524444,0.492444
657,37,Ari,repair-01-ari,test,Ari attempts test while avatar route is apologize,tool slips,patch peels back,True,True,0.58,0.548
658,37,Fay,repair-01-fay,return,Fay attempts return while avatar route is ask_sensory,none,steady success pulse,True,False,0.635556,0.690556
659,37,Milo,repair-01-milo,align,Milo attempts align while avatar route is request_space,misaligned brace,shake head and reset,True,True,0.691111,0.659111
660,37,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is thank_resident,tool slips,sparks fade,True,True,0.746667,0.714667
661,37,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is ask_repair,none,thread unspools,True,False,0.802222,0.857222
662,37,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is ask_help,misaligned brace,tool clatters softly,True,True,0.857778,0.825778
663,37,Ari,repair-01-ari,test,Ari attempts test while avatar route is offer_tool,tool slips,patch peels back,True,True,0.913333,0.881333
664,37,Fay,repair-01-fay,return,Fay attempts return while avatar route is apologize,none,steady success pulse,True,False,0.968889,1.0
665,37,Milo,repair-01-milo,align,Milo attempts align while avatar route is ask_sensory,misaligned brace,shake head and reset,True,True,0.98,0.948
666,38,Sera,repair-02-sera,brace,Sera attempts brace while avatar route is request_space,tool slips,thread unspools,True,True,0.16,0.128
667,38,Tovan,repair-02-tovan,dry,Tovan attempts dry while avatar route is thank_resident,none,tool clatters softly,True,False,0.215556,0.270556
668,38,Nia,repair-02-nia,test,Nia attempts test while avatar route is ask_repair,misaligned brace,patch peels back,True,True,0.271111,0.239111
669,38,Ari,repair-02-ari,return,Ari attempts return while avatar route is ask_help,tool slips,steady success pulse,True,True,0.326667,0.294667
670,38,Fay,repair-02-fay,align,Fay attempts align while avatar route is offer_tool,none,shake head and reset,True,False,0.382222,0.437222
671,38,Milo,repair-02-milo,bind,Milo attempts bind while avatar route is apologize,misaligned brace,sparks fade,True,True,0.437778,0.405778
672,38,Sera,repair-02-sera,brace,Sera attempts brace while avatar route is ask_sensory,tool slips,thread unspools,True,True,0.493333,0.461333
673,38,Tovan,repair-02-tovan,dry,Tovan attempts dry while avatar route is request_space,none,tool clatters softly,True,False,0.548889,0.603889
674,38,Nia,repair-02-nia,test,Nia attempts test while avatar route is thank_resident,misaligned brace,patch peels back,True,True,0.604444,0.572444
675,38,Ari,repair-02-ari,return,Ari attempts return while avatar route is ask_repair,tool slips,steady success pulse,True,True,0.66,0.628
676,38,Fay,repair-02-fay,align,Fay attempts align while avatar route is ask_help,none,shake head and reset,True,False,0.715556,0.770556
677,38,Milo,repair-02-milo,bind,Milo attempts bind while avatar route is offer_tool,misaligned brace,sparks fade,True,True,0.771111,0.739111
678,38,Sera,repair-02-sera,brace,Sera attempts brace while avatar route is apologize,tool slips,thread unspools,True,True,0.826667,0.794667
679,38,Tovan,repair-02-tovan,dry,Tovan attempts dry while avatar route is ask_sensory,none,tool clatters softly,True,False,0.882222,0.937222
680,38,Nia,repair-02-nia,test,Nia attempts test while avatar route is request_space,misaligned brace,patch peels back,True,True,0.937778,0.905778
681,38,Ari,repair-02-ari,return,Ari attempts return while avatar route is thank_resident,tool slips,steady success pulse,True,True,0.98,0.948
682,38,Fay,repair-02-fay,align,Fay attempts align while avatar route is ask_repair,none,shake head and reset,True,False,0.98,1.0
683,38,Milo,repair-02-milo,bind,Milo attempts bind while avatar route is ask_help,misaligned brace,sparks fade,True,True,0.98,0.948
684,39,Sera,repair-03-sera,dry,Sera attempts dry while avatar route is offer_tool,tool slips,tool clatters softly,True,True,0.0,0.0
685,39,Tovan,repair-03-tovan,test,Tovan attempts test while avatar route is apologize,none,patch peels back,True,False,0.055556,0.110556
686,39,Nia,repair-03-nia,return,Nia attempts return while avatar route is ask_sensory,misaligned brace,steady success pulse,True,True,0.111111,0.079111
687,39,Ari,repair-03-ari,align,Ari attempts align while avatar route is request_space,tool slips,shake head and reset,True,True,0.166667,0.134667
688,39,Fay,repair-03-fay,bind,Fay attempts bind while avatar route is thank_resident,none,sparks fade,True,False,0.222222,0.277222
689,39,Milo,repair-03-milo,brace,Milo attempts brace while avatar route is ask_repair,misaligned brace,thread unspools,True,True,0.277778,0.245778
690,39,Sera,repair-03-sera,dry,Sera attempts dry while avatar route is ask_help,tool slips,tool clatters softly,True,True,0.333333,0.301333
691,39,Tovan,repair-03-tovan,test,Tovan attempts test while avatar route is offer_tool,none,patch peels back,True,False,0.388889,0.443889
692,39,Nia,repair-03-nia,return,Nia attempts return while avatar route is apologize,misaligned brace,steady success pulse,True,True,0.444444,0.412444
693,39,Ari,repair-03-ari,align,Ari attempts align while avatar route is ask_sensory,tool slips,shake head and reset,True,True,0.5,0.468
694,39,Fay,repair-03-fay,bind,Fay attempts bind while avatar route is request_space,none,sparks fade,True,False,0.555556,0.610556
695,39,Milo,repair-03-milo,brace,Milo attempts brace while avatar route is thank_resident,misaligned brace,thread unspools,True,True,0.611111,0.579111
696,39,Sera,repair-03-sera,dry,Sera attempts dry while avatar route is ask_repair,tool slips,tool clatters softly,True,True,0.666667,0.634667
697,39,Tovan,repair-03-tovan,test,Tovan attempts test while avatar route is ask_help,none,patch peels back,True,False,0.722222,0.777222
698,39,Nia,repair-03-nia,return,Nia attempts return while avatar route is offer_tool,misaligned brace,steady success pulse,True,True,0.777778,0.745778
699,39,Ari,repair-03-ari,align,Ari attempts align while avatar route is apologize,tool slips,shake head and reset,True,True,0.833333,0.801333
700,39,Fay,repair-03-fay,bind,Fay attempts bind while avatar route is ask_sensory,none,sparks fade,True,False,0.888889,0.943889
701,39,Milo,repair-03-milo,brace,Milo attempts brace while avatar route is request_space,misaligned brace,thread unspools,True,True,0.944444,0.912444
702,40,Sera,repair-04-sera,test,Sera attempts test while avatar route is thank_resident,tool slips,patch peels back,True,True,0.08,0.048
703,40,Tovan,repair-04-tovan,return,Tovan attempts return while avatar route is ask_repair,none,steady success pulse,True,False,0.135556,0.190556
704,40,Nia,repair-04-nia,align,Nia attempts align while avatar route is ask_help,misaligned brace,shake head and reset,True,True,0.191111,0.159111
705,40,Ari,repair-04-ari,bind,Ari attempts bind while avatar route is offer_tool,tool slips,sparks fade,True,True,0.246667,0.214667
706,40,Fay,repair-04-fay,brace,Fay attempts brace while avatar route is apologize,none,thread unspools,True,False,0.302222,0.357222
707,40,Milo,repair-04-milo,dry,Milo attempts dry while avatar route is ask_sensory,misaligned brace,tool clatters softly,True,True,0.357778,0.325778
708,40,Sera,repair-04-sera,test,Sera attempts test while avatar route is request_space,tool slips,patch peels back,True,True,0.413333,0.381333
709,40,Tovan,repair-04-tovan,return,Tovan attempts return while avatar route is thank_resident,none,steady success pulse,True,False,0.468889,0.523889
710,40,Nia,repair-04-nia,align,Nia attempts align while avatar route is ask_repair,misaligned brace,shake head and reset,True,True,0.524444,0.492444
711,40,Ari,repair-04-ari,bind,Ari attempts bind while avatar route is ask_help,tool slips,sparks fade,True,True,0.58,0.548
712,40,Fay,repair-04-fay,brace,Fay attempts brace while avatar route is offer_tool,none,thread unspools,True,False,0.635556,0.690556
713,40,Milo,repair-04-milo,dry,Milo attempts dry while avatar route is apologize,misaligned brace,tool clatters softly,True,True,0.691111,0.659111
714,40,Sera,repair-04-sera,test,Sera attempts test while avatar route is ask_sensory,tool slips,patch peels back,True,True,0.746667,0.714667
715,40,Tovan,repair-04-tovan,return,Tovan attempts return while avatar route is request_space,none,steady success pulse,True,False,0.802222,0.857222
716,40,Nia,repair-04-nia,align,Nia attempts align while avatar route is thank_resident,misaligned brace,shake head and reset,True,True,0.857778,0.825778
717,40,Ari,repair-04-ari,bind,Ari attempts bind while avatar route is ask_repair,tool slips,sparks fade,True,True,0.913333,0.881333
718,40,Fay,repair-04-fay,brace,Fay attempts brace while avatar route is ask_help,none,thread unspools,True,False,0.968889,1.0
719,40,Milo,repair-04-milo,dry,Milo attempts dry while avatar route is offer_tool,misaligned brace,tool clatters softly,True,True,0.98,0.948
720,41,Sera,repair-05-sera,return,Sera attempts return while avatar route is apologize,tool slips,steady success pulse,True,True,0.16,0.128
721,41,Tovan,repair-05-tovan,align,Tovan attempts align while avatar route is ask_sensory,none,shake head and reset,True,False,0.215556,0.270556
722,41,Nia,repair-05-nia,bind,Nia attempts bind while avatar route is request_space,misaligned brace,sparks fade,True,True,0.271111,0.239111
723,41,Ari,repair-05-ari,brace,Ari attempts brace while avatar route is thank_resident,tool slips,thread unspools,True,True,0.326667,0.294667
724,41,Fay,repair-05-fay,dry,Fay attempts dry while avatar route is ask_repair,none,tool clatters softly,True,False,0.382222,0.437222
725,41,Milo,repair-05-milo,test,Milo attempts test while avatar route is ask_help,misaligned brace,patch peels back,True,True,0.437778,0.405778
726,41,Sera,repair-05-sera,return,Sera attempts return while avatar route is offer_tool,tool slips,steady success pulse,True,True,0.493333,0.461333
727,41,Tovan,repair-05-tovan,align,Tovan attempts align while avatar route is apologize,none,shake head and reset,True,False,0.548889,0.603889
728,41,Nia,repair-05-nia,bind,Nia attempts bind while avatar route is ask_sensory,misaligned brace,sparks fade,True,True,0.604444,0.572444
729,41,Ari,repair-05-ari,brace,Ari attempts brace while avatar route is request_space,tool slips,thread unspools,True,True,0.66,0.628
730,41,Fay,repair-05-fay,dry,Fay attempts dry while avatar route is thank_resident,none,tool clatters softly,True,False,0.715556,0.770556
731,41,Milo,repair-05-milo,test,Milo attempts test while avatar route is ask_repair,misaligned brace,patch peels back,True,True,0.771111,0.739111
732,41,Sera,repair-05-sera,return,Sera attempts return while avatar route is ask_help,tool slips,steady success pulse,True,True,0.826667,0.794667
733,41,Tovan,repair-05-tovan,align,Tovan attempts align while avatar route is offer_tool,none,shake head and reset,True,False,0.882222,0.937222
734,41,Nia,repair-05-nia,bind,Nia attempts bind while avatar route is apologize,misaligned brace,sparks fade,True,True,0.937778,0.905778
735,41,Ari,repair-05-ari,brace,Ari attempts brace while avatar route is ask_sensory,tool slips,thread unspools,True,True,0.98,0.948
736,41,Fay,repair-05-fay,dry,Fay attempts dry while avatar route is request_space,none,tool clatters softly,True,False,0.98,1.0
737,41,Milo,repair-05-milo,test,Milo attempts test while avatar route is thank_resident,misaligned brace,patch peels back,True,True,0.98,0.948
738,42,Sera,repair-06-sera,align,Sera attempts align while avatar route is ask_repair,tool slips,shake head and reset,True,True,0.0,0.0
739,42,Tovan,repair-06-tovan,bind,Tovan attempts bind while avatar route is ask_help,none,sparks fade,True,False,0.055556,0.110556
740,42,Nia,repair-06-nia,brace,Nia attempts brace while avatar route is offer_tool,misaligned brace,thread unspools,True,True,0.111111,0.079111
741,42,Ari,repair-06-ari,dry,Ari attempts dry while avatar route is apologize,tool slips,tool clatters softly,True,True,0.166667,0.134667
742,42,Fay,repair-06-fay,test,Fay attempts test while avatar route is ask_sensory,none,patch peels back,True,False,0.222222,0.277222
743,42,Milo,repair-06-milo,return,Milo attempts return while avatar route is request_space,misaligned brace,steady success pulse,True,True,0.277778,0.245778
744,42,Sera,repair-06-sera,align,Sera attempts align while avatar route is thank_resident,tool slips,shake head and reset,True,True,0.333333,0.301333
745,42,Tovan,repair-06-tovan,bind,Tovan attempts bind while avatar route is ask_repair,none,sparks fade,True,False,0.388889,0.443889
746,42,Nia,repair-06-nia,brace,Nia attempts brace while avatar route is ask_help,misaligned brace,thread unspools,True,True,0.444444,0.412444
747,42,Ari,repair-06-ari,dry,Ari attempts dry while avatar route is offer_tool,tool slips,tool clatters softly,True,True,0.5,0.468
748,42,Fay,repair-06-fay,test,Fay attempts test while avatar route is apologize,none,patch peels back,True,False,0.555556,0.610556
749,42,Milo,repair-06-milo,return,Milo attempts return while avatar route is ask_sensory,misaligned brace,steady success pulse,True,True,0.611111,0.579111
750,42,Sera,repair-06-sera,align,Sera attempts align while avatar route is request_space,tool slips,shake head and reset,True,True,0.666667,0.634667
751,42,Tovan,repair-06-tovan,bind,Tovan attempts bind while avatar route is thank_resident,none,sparks fade,True,False,0.722222,0.777222
752,42,Nia,repair-06-nia,brace,Nia attempts brace while avatar route is ask_repair,misaligned brace,thread unspools,True,True,0.777778,0.745778
753,42,Ari,repair-06-ari,dry,Ari attempts dry while avatar route is ask_help,tool slips,tool clatters softly,True,True,0.833333,0.801333
754,42,Fay,repair-06-fay,test,Fay attempts test while avatar route is offer_tool,none,patch peels back,True,False,0.888889,0.943889
755,42,Milo,repair-06-milo,return,Milo attempts return while avatar route is apologize,misaligned brace,steady success pulse,True,True,0.944444,0.912444
756,43,Sera,repair-07-sera,bind,Sera attempts bind while avatar route is ask_sensory,tool slips,sparks fade,True,True,0.08,0.048
757,43,Tovan,repair-07-tovan,brace,Tovan attempts brace while avatar route is request_space,none,thread unspools,True,False,0.135556,0.190556
758,43,Nia,repair-07-nia,dry,Nia attempts dry while avatar route is thank_resident,misaligned brace,tool clatters softly,True,True,0.191111,0.159111
759,43,Ari,repair-07-ari,test,Ari attempts test while avatar route is ask_repair,tool slips,patch peels back,True,True,0.246667,0.214667
760,43,Fay,repair-07-fay,return,Fay attempts return while avatar route is ask_help,none,steady success pulse,True,False,0.302222,0.357222
761,43,Milo,repair-07-milo,align,Milo attempts align while avatar route is offer_tool,misaligned brace,shake head and reset,True,True,0.357778,0.325778
762,43,Sera,repair-07-sera,bind,Sera attempts bind while avatar route is apologize,tool slips,sparks fade,True,True,0.413333,0.381333
763,43,Tovan,repair-07-tovan,brace,Tovan attempts brace while avatar route is ask_sensory,none,thread unspools,True,False,0.468889,0.523889
764,43,Nia,repair-07-nia,dry,Nia attempts dry while avatar route is request_space,misaligned brace,tool clatters softly,True,True,0.524444,0.492444
765,43,Ari,repair-07-ari,test,Ari attempts test while avatar route is thank_resident,tool slips,patch peels back,True,True,0.58,0.548
766,43,Fay,repair-07-fay,return,Fay attempts return while avatar route is ask_repair,none,steady success pulse,True,False,0.635556,0.690556
767,43,Milo,repair-07-milo,align,Milo attempts align while avatar route is ask_help,misaligned brace,shake head and reset,True,True,0.691111,0.659111
768,43,Sera,repair-07-sera,bind,Sera attempts bind while avatar route is offer_tool,tool slips,sparks fade,True,True,0.746667,0.714667
769,43,Tovan,repair-07-tovan,brace,Tovan attempts brace while avatar route is apologize,none,thread unspools,True,False,0.802222,0.857222
770,43,Nia,repair-07-nia,dry,Nia attempts dry while avatar route is ask_sensory,misaligned brace,tool clatters softly,True,True,0.857778,0.825778
771,43,Ari,repair-07-ari,test,Ari attempts test while avatar route is request_space,tool slips,patch peels back,True,True,0.913333,0.881333
772,43,Fay,repair-07-fay,return,Fay attempts return while avatar route is thank_resident,none,steady success pulse,True,False,0.968889,1.0
773,43,Milo,repair-07-milo,align,Milo attempts align while avatar route is ask_repair,misaligned brace,shake head and reset,True,True,0.98,0.948
774,44,Sera,repair-08-sera,brace,Sera attempts brace while avatar route is ask_help,tool slips,thread unspools,True,True,0.16,0.128
775,44,Tovan,repair-08-tovan,dry,Tovan attempts dry while avatar route is offer_tool,none,tool clatters softly,True,False,0.215556,0.270556
776,44,Nia,repair-08-nia,test,Nia attempts test while avatar route is apologize,misaligned brace,patch peels back,True,True,0.271111,0.239111
777,44,Ari,repair-08-ari,return,Ari attempts return while avatar route is ask_sensory,tool slips,steady success pulse,True,True,0.326667,0.294667
778,44,Fay,repair-08-fay,align,Fay attempts align while avatar route is request_space,none,shake head and reset,True,False,0.382222,0.437222
779,44,Milo,repair-08-milo,bind,Milo attempts bind while avatar route is thank_resident,misaligned brace,sparks fade,True,True,0.437778,0.405778
780,44,Sera,repair-08-sera,brace,Sera attempts brace while avatar route is ask_repair,tool slips,thread unspools,True,True,0.493333,0.461333
781,44,Tovan,repair-08-tovan,dry,Tovan attempts dry while avatar route is ask_help,none,tool clatters softly,True,False,0.548889,0.603889
782,44,Nia,repair-08-nia,test,Nia attempts test while avatar route is offer_tool,misaligned brace,patch peels back,True,True,0.604444,0.572444
783,44,Ari,repair-08-ari,return,Ari attempts return while avatar route is apologize,tool slips,steady success pulse,True,True,0.66,0.628
784,44,Fay,repair-08-fay,align,Fay attempts align while avatar route is ask_sensory,none,shake head and reset,True,False,0.715556,0.770556
785,44,Milo,repair-08-milo,bind,Milo attempts bind while avatar route is request_space,misaligned brace,sparks fade,True,True,0.771111,0.739111
786,44,Sera,repair-08-sera,brace,Sera attempts brace while avatar route is thank_resident,tool slips,thread unspools,True,True,0.826667,0.794667
787,44,Tovan,repair-08-tovan,dry,Tovan attempts dry while avatar route is ask_repair,none,tool clatters softly,True,False,0.882222,0.937222
788,44,Nia,repair-08-nia,test,Nia attempts test while avatar route is ask_help,misaligned brace,patch peels back,True,True,0.937778,0.905778
789,44,Ari,repair-08-ari,return,Ari attempts return while avatar route is offer_tool,tool slips,steady success pulse,True,True,0.98,0.948
790,44,Fay,repair-08-fay,align,Fay attempts align while avatar route is apologize,none,shake head and reset,True,False,0.98,1.0
791,44,Milo,repair-08-milo,bind,Milo attempts bind while avatar route is ask_sensory,misaligned brace,sparks fade,True,True,0.98,0.948
792,45,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is request_space,tool slips,tool clatters softly,True,True,0.0,0.0
793,45,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is thank_resident,none,patch peels back,True,False,0.055556,0.110556
794,45,Nia,repair-09-nia,return,Nia attempts return while avatar route is ask_repair,misaligned brace,steady success pulse,True,True,0.111111,0.079111
795,45,Ari,repair-09-ari,align,Ari attempts align while avatar route is ask_help,tool slips,shake head and reset,True,True,0.166667,0.134667
796,45,Fay,repair-09-fay,bind,Fay attempts bind while avatar route is offer_tool,none,sparks fade,True,False,0.222222,0.277222
797,45,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is apologize,misaligned brace,thread unspools,True,True,0.277778,0.245778
798,45,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is ask_sensory,tool slips,tool clatters softly,True,True,0.333333,0.301333
799,45,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is request_space,none,patch peels back,True,False,0.388889,0.443889
800,45,Nia,repair-09-nia,return,Nia attempts return while avatar route is thank_resident,misaligned brace,steady success pulse,True,True,0.444444,0.412444
801,45,Ari,repair-09-ari,align,Ari attempts align while avatar route is ask_repair,tool slips,shake head and reset,True,True,0.5,0.468
802,45,Fay,repair-09-fay,bind,Fay attempts bind while avatar route is ask_help,none,sparks fade,True,False,0.555556,0.610556
803,45,Milo,repair-09-milo,brace,Milo attempts brace while avatar route is offer_tool,misaligned brace,thread unspools,True,True,0.611111,0.579111
804,45,Sera,repair-09-sera,dry,Sera attempts dry while avatar route is apologize,tool slips,tool clatters softly,True,True,0.666667,0.634667
805,45,Tovan,repair-09-tovan,test,Tovan attempts test while avatar route is ask_sensory,none,patch peels back,True,False,0.722222,0.777222
806,45,Nia,repair-09-nia,return,Nia attempts return while avatar route is request_space,misaligned brace,steady success pulse,True,True,0.777778,0.745778
807,45,Ari,repair-09-ari,align,Ari attempts align while avatar route is thank_resident,tool slips,shake head and reset,True,True,0.833333,0.801333
