event_id,household,avatar_reputation,pressure_warning,care_reputation,boundary_reputation,propagated_story,later_social_consequence
277,Routehall,0.61,0.505176,1.0,1.0,avatar pressure travels as a caution story,household asks for boundary proof before cooperation
278,Marketroof,0.966,0.261118,1.0,0.87766,ordinary contact travels as neutral familiarity,household keeps ordinary distance
279,Quietledger,0.932,0.339107,1.0,0.93278,avatar care travels as a help story,household allows warmer greeting
280,Orchardring,0.756,0.429085,1.0,0.87202,ordinary contact travels as neutral familiarity,household keeps ordinary distance
281,Rainloft,0.964,0.28532,1.0,0.9115,avatar pressure travels as a caution story,household asks for boundary proof before cooperation
282,Hearthnest,0.96,0.29937,1.0,0.84304,avatar pressure travels as a caution story,household asks for boundary proof before cooperation
283,Marketroof,0.966,0.266346,1.0,0.88144,ordinary contact travels as neutral familiarity,household keeps ordinary distance
284,Quietledger,0.904,0.379565,1.0,0.94752,avatar pressure travels as a caution story,household asks for boundary proof before cooperation
285,Orchardring,0.728,0.469283,1.0,0.91568,avatar pressure travels as a caution story,household asks for boundary proof before cooperation
286,Rainloft,0.984,0.27464,1.0,0.916,avatar care travels as a help story,household allows warmer greeting
287,Hearthnest,0.96,0.304726,1.0,0.84736,ordinary contact travels as neutral familiarity,household keeps ordinary distance
288,Routehall,0.582,0.545504,1.0,1.0,avatar pressure travels as a caution story,household asks for boundary proof before cooperation
