tick_id,day,settlement_id,object_id,lender_id,borrower_id,route_weather,exposure_temperature_delta,wetness_delta,cold_risk_before,cold_risk_after,loan_condition,borrower_choice,shelter_available,object_protected,visible_weather_tag,bounded_exposure
824,46,glass_harbor,brass lantern,Nia,Sera,sleet,-0.143,0.216,0.655,0.668,route light:0.44,route changed through shelter,True,True,True,True
825,46,cinder_garden,seed tray,Pax,Juno,clear,0.015,0.0,0.279,0.285,food:0.458,loan continues with weather tag,True,False,True,True
826,46,lichen_bridge,meal ledger,Sol,Luma,cold fog,-0.075,0.088,0.608,0.638,nutrition:0.44,route changed through shelter,True,True,True,True
827,46,orchid_engine,valve key,Bea,Dax,drizzle,-0.03,0.08,0.50456,0.50096,repair:0.482,route changed through shelter,True,True,True,True
828,47,glass_harbor,tea kettle,Sera,Oren,wind,-0.03,0.016,0.668,0.668,comfort:0.44,route changed through shelter,True,True,True,True
829,47,cinder_garden,shade pole,Vale,Vale,dry gale,0.015,0.0,0.295,0.301,shelter:0.482,loan continues with weather tag,True,True,True,True
830,47,lichen_bridge,rope kit,Luma,Sol,crosswind,-0.0225,0.016,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
831,47,orchid_engine,meal box,Eli,Bea,steam leak,0.0525,0.112,0.596,0.617,food:0.462,route changed through shelter,True,True,True,True
832,47,moss_ward,water jar,Fay,Fay,cold rain,-0.0825,0.24,0.668,0.668,hydration:0.44,route changed through shelter,True,True,True,True
833,47,glass_harbor,net spool,Oren,Puck,wind,-0.03,0.016,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
834,47,cinder_garden,ash broom,Wren,Wren,dry gale,0.015,0.0,0.276,0.282,cleaning:0.496,loan continues with weather tag,True,True,True,True
835,47,lichen_bridge,signal bell,Rin,Kio,crosswind,-0.033,0.016,0.668,0.668,warning:0.44,route changed through shelter,True,True,True,True
836,47,orchid_engine,orchid lamp,Dax,Cai,steam leak,0.0525,0.112,0.551,0.572,comfort:0.456,route changed through shelter,True,True,True,True
837,47,moss_ward,lamp hook,Ari,Milo,cold rain,-0.0825,0.24,0.64372,0.668,safety:0.44,route changed through shelter,True,True,True,True
838,47,glass_harbor,brass lantern,Nia,Sera,wind,-0.044,0.016,0.668,0.668,route light:0.44,route changed through shelter,True,True,True,True
839,47,cinder_garden,seed tray,Pax,Juno,dry gale,0.015,0.0,0.285,0.291,food:0.45,loan continues with weather tag,True,True,True,True
840,47,lichen_bridge,meal ledger,Sol,Luma,crosswind,-0.0225,0.016,0.638,0.647,nutrition:0.44,route changed through shelter,True,True,True,True
841,47,orchid_engine,valve key,Bea,Dax,steam leak,0.0525,0.112,0.50096,0.53372,repair:0.472,route changed through shelter,True,True,True,True
842,47,moss_ward,moss cart,Milo,Tala,cold rain,-0.121,0.24,0.6435,0.668,transport:0.44,route changed through shelter,True,True,True,True
843,47,glass_harbor,tea kettle,Sera,Nia,wind,-0.03,0.016,0.668,0.668,comfort:0.44,route changed through shelter,True,True,True,True
844,47,cinder_garden,shade pole,Vale,Pax,dry gale,0.015,0.0,0.34,0.34,shelter:0.474,loan continues with weather tag,True,True,True,True
845,47,lichen_bridge,rope kit,Luma,Rin,crosswind,-0.0225,0.016,0.6525,0.65918,repair:0.44,route changed through shelter,True,True,True,True
846,48,moss_ward,water jar,Fay,Fay,wind,-0.03,0.016,0.668,0.668,hydration:0.44,route changed through shelter,True,True,True,True
847,48,glass_harbor,net spool,Oren,Puck,fog,-0.03,0.056,0.608,0.62,repair:0.44,route changed through shelter,True,True,True,True
848,48,cinder_garden,ash broom,Wren,Wren,dust wind,0.0375,0.0,0.337,0.34,cleaning:0.488,loan continues with weather tag,True,True,True,True
849,48,lichen_bridge,signal bell,Rin,Kio,clear,0.022,0.0,0.5925,0.5837,warning:0.44,route changed through shelter,True,True,True,True
850,48,orchid_engine,orchid lamp,Dax,Cai,cold draft,-0.0675,0.016,0.642,0.615,comfort:0.446,route changed through shelter,True,True,True,True
851,48,moss_ward,lamp hook,Ari,Milo,wind,-0.03,0.016,0.6435,0.64518,safety:0.44,route changed through shelter,True,True,True,True
852,48,glass_harbor,brass lantern,Nia,Sera,fog,-0.044,0.056,0.668,0.668,route light:0.44,route changed through shelter,True,True,True,True
853,48,cinder_garden,seed tray,Pax,Juno,dust wind,0.0375,0.0,0.34,0.34,food:0.442,loan continues with weather tag,True,True,True,True
855,48,orchid_engine,valve key,Bea,Dax,cold draft,-0.0675,0.016,0.53372,0.5084,repair:0.462,route changed through shelter,True,True,True,True
856,48,moss_ward,moss cart,Milo,Tala,wind,-0.044,0.016,0.668,0.668,transport:0.44,route changed through shelter,True,True,True,True
857,48,glass_harbor,tea kettle,Sera,Nia,fog,-0.03,0.056,0.668,0.668,comfort:0.44,route changed through shelter,True,True,True,True
858,48,cinder_garden,shade pole,Vale,Pax,dust wind,0.0375,0.0,0.34,0.34,shelter:0.456,loan continues with weather tag,True,False,True,True
859,48,lichen_bridge,rope kit,Luma,Rin,clear,0.015,0.0,0.65918,0.65318,repair:0.44,route changed through shelter,True,True,True,True
860,48,orchid_engine,meal box,Eli,Eli,cold draft,-0.0675,0.016,0.641,0.614,food:0.452,route changed through shelter,True,True,True,True
861,48,moss_ward,water jar,Fay,Ari,wind,-0.03,0.016,0.6575,0.65918,hydration:0.44,route changed through shelter,True,True,True,True
862,48,glass_harbor,net spool,Oren,Oren,fog,-0.03,0.056,0.608,0.62,repair:0.44,route changed through shelter,True,True,True,True
863,48,cinder_garden,ash broom,Wren,Vale,dust wind,0.0375,0.0,0.34,0.34,cleaning:0.48,loan continues with weather tag,True,True,True,True
865,49,moss_ward,lamp hook,Ari,Milo,rain,-0.0375,0.192,0.63468,0.65484,safety:0.44,route changed through shelter,True,True,True,True
867,49,cinder_garden,seed tray,Pax,Juno,cold night,-0.09,0.008,0.295,0.26026,food:0.44,loan continues with weather tag,True,True,True,True
868,49,lichen_bridge,meal ledger,Sol,Luma,hail,-0.105,0.108,0.5975,0.65084,nutrition:0.44,route changed through shelter,True,True,True,True
869,49,orchid_engine,valve key,Bea,Dax,engine heat,0.0825,0.0,0.424,0.457,repair:0.452,route changed through shelter,True,True,True,True
870,49,moss_ward,moss cart,Milo,Tala,rain,-0.055,0.192,0.6575,0.668,transport:0.44,route changed through shelter,True,True,True,True
871,49,glass_harbor,tea kettle,Sera,Nia,clear,0.015,0.0,0.668,0.662,comfort:0.44,route changed through shelter,True,True,True,True
872,49,cinder_garden,shade pole,Vale,Pax,cold night,-0.09,0.008,0.34,0.30526,shelter:0.448,loan continues with weather tag,True,True,True,True
873,49,lichen_bridge,rope kit,Luma,Rin,hail,-0.105,0.108,0.65318,0.668,repair:0.44,route changed through shelter,True,True,True,True
875,49,moss_ward,water jar,Fay,Ari,rain,-0.0375,0.192,0.65918,0.668,hydration:0.44,route changed through shelter,True,True,True,True
877,49,cinder_garden,ash broom,Wren,Vale,cold night,-0.09,0.008,0.34,0.30526,cleaning:0.472,loan continues with weather tag,True,True,True,True
878,49,lichen_bridge,signal bell,Rin,Sol,hail,-0.154,0.108,0.6185,0.65484,warning:0.44,route changed through shelter,True,True,True,True
879,49,orchid_engine,orchid lamp,Dax,Bea,engine heat,0.0825,0.0,0.62,0.62,comfort:0.44,route changed through shelter,True,True,True,True
880,49,moss_ward,lamp hook,Ari,Fay,rain,-0.0375,0.192,0.668,0.668,safety:0.44,route changed through shelter,True,True,True,True
881,49,glass_harbor,brass lantern,Nia,Puck,clear,0.022,0.0,0.626,0.6172,route light:0.44,route changed through shelter,True,True,True,True
882,50,lichen_bridge,meal ledger,Sol,Luma,rain,-0.0375,0.192,0.668,0.668,nutrition:0.44,route changed through shelter,True,True,True,True
883,50,orchid_engine,valve key,Bea,Dax,clear,0.015,0.0,0.529,0.535,repair:0.442,route changed through shelter,True,True,True,True
885,50,glass_harbor,tea kettle,Sera,Nia,spray,-0.0375,0.096,0.568,0.59308,comfort:0.44,route changed through shelter,True,True,True,True
886,50,cinder_garden,shade pole,Vale,Pax,heat,0.09,0.0,0.18876,0.22476,shelter:0.44,loan continues with weather tag,True,True,True,True
887,50,lichen_bridge,rope kit,Luma,Rin,rain,-0.0375,0.192,0.608,0.623,repair:0.44,route changed through shelter,True,True,True,True
889,50,moss_ward,water jar,Fay,Ari,clear,0.015,0.0,0.6435,0.6375,hydration:0.44,route changed through shelter,True,True,True,True
890,50,glass_harbor,net spool,Oren,Oren,spray,-0.0375,0.096,0.586,0.61108,repair:0.44,route changed through shelter,True,True,True,True
891,50,cinder_garden,ash broom,Wren,Vale,heat,0.09,0.0,0.30526,0.34126,cleaning:0.454,loan continues with weather tag,True,False,True,True
892,50,lichen_bridge,signal bell,Rin,Sol,rain,-0.055,0.192,0.65484,0.668,warning:0.44,route changed through shelter,True,True,True,True
893,50,orchid_engine,orchid lamp,Dax,Bea,clear,0.015,0.0,0.62,0.62,comfort:0.44,route changed through shelter,True,True,True,True
895,50,glass_harbor,brass lantern,Nia,Puck,spray,-0.055,0.096,0.6172,0.64928,route light:0.44,route changed through shelter,True,True,True,True
896,50,cinder_garden,seed tray,Pax,Wren,heat,0.09,0.0,0.2235,0.2595,food:0.44,loan delayed until weather clears,True,True,True,True
897,50,lichen_bridge,meal ledger,Sol,Kio,rain,-0.0375,0.192,0.668,0.668,nutrition:0.44,route changed through shelter,True,True,True,True
899,50,moss_ward,moss cart,Milo,Milo,clear,0.022,0.0,0.634,0.6252,transport:0.44,route changed through shelter,True,True,True,True
901,51,lichen_bridge,rope kit,Luma,Rin,cold fog,-0.075,0.088,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
902,51,orchid_engine,meal box,Eli,Eli,drizzle,-0.03,0.08,0.606,0.6024,food:0.442,route changed through shelter,True,True,True,True
903,51,moss_ward,water jar,Fay,Ari,mist,-0.0225,0.064,0.6035,0.61922,hydration:0.44,route changed through shelter,True,True,True,True
904,51,glass_harbor,net spool,Oren,Oren,sleet,-0.0975,0.216,0.63,0.668,repair:0.44,route changed through shelter,True,True,True,True
905,51,cinder_garden,ash broom,Wren,Vale,clear,0.015,0.0,0.295,0.301,cleaning:0.446,loan continues with weather tag,True,True,True,True
906,51,lichen_bridge,signal bell,Rin,Sol,cold fog,-0.11,0.088,0.668,0.668,warning:0.44,route changed through shelter,True,True,True,True
907,51,orchid_engine,orchid lamp,Dax,Bea,drizzle,-0.03,0.08,0.606,0.6024,comfort:0.44,route changed through shelter,True,True,True,True
908,51,moss_ward,lamp hook,Ari,Fay,mist,-0.0225,0.064,0.634,0.64972,safety:0.44,route changed through shelter,True,True,True,True
909,51,glass_harbor,brass lantern,Nia,Puck,sleet,-0.143,0.216,0.64928,0.668,route light:0.44,route changed through shelter,True,True,True,True
911,51,lichen_bridge,meal ledger,Sol,Kio,cold fog,-0.075,0.088,0.668,0.668,nutrition:0.44,route changed through shelter,True,True,True,True
912,51,orchid_engine,valve key,Bea,Cai,drizzle,-0.03,0.08,0.561,0.5574,repair:0.44,route changed through shelter,True,True,True,True
913,51,moss_ward,moss cart,Milo,Milo,mist,-0.033,0.064,0.6252,0.64512,transport:0.44,route changed through shelter,True,True,True,True
914,51,glass_harbor,tea kettle,Sera,Sera,sleet,-0.0975,0.216,0.603,0.642,comfort:0.44,route changed through shelter,True,True,True,True
915,51,cinder_garden,shade pole,Vale,Juno,clear,0.015,0.0,0.279,0.285,shelter:0.44,loan continues with weather tag,True,True,True,True
916,51,lichen_bridge,rope kit,Luma,Luma,cold fog,-0.075,0.088,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
917,51,orchid_engine,meal box,Eli,Dax,drizzle,-0.03,0.08,0.536,0.531,food:0.44,route changed through shelter,True,True,True,True
918,52,glass_harbor,net spool,Oren,Oren,wind,-0.03,0.016,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
919,52,cinder_garden,ash broom,Wren,Vale,dry gale,0.015,0.0,0.321,0.327,cleaning:0.44,loan continues with weather tag,True,True,True,True
920,52,lichen_bridge,signal bell,Rin,Sol,crosswind,-0.033,0.016,0.668,0.668,warning:0.44,route changed through shelter,True,True,True,True
921,52,orchid_engine,orchid lamp,Dax,Bea,steam leak,0.0525,0.112,0.551,0.572,comfort:0.44,route changed through shelter,True,True,True,True
922,52,moss_ward,lamp hook,Ari,Fay,cold rain,-0.0825,0.24,0.668,0.668,safety:0.44,route changed through shelter,True,True,True,True
923,52,glass_harbor,brass lantern,Nia,Puck,wind,-0.044,0.016,0.608,0.6256,route light:0.44,route changed through shelter,True,True,True,True
924,52,cinder_garden,seed tray,Pax,Wren,dry gale,0.015,0.0,0.276,0.282,food:0.44,loan delayed until weather clears,True,True,True,True
925,52,lichen_bridge,meal ledger,Sol,Kio,crosswind,-0.0225,0.016,0.608,0.617,nutrition:0.44,route changed through shelter,True,True,True,True
926,52,orchid_engine,valve key,Bea,Cai,steam leak,0.0525,0.112,0.551,0.572,repair:0.44,route changed through shelter,True,True,True,True
927,52,moss_ward,moss cart,Milo,Milo,cold rain,-0.121,0.24,0.64512,0.668,transport:0.44,route changed through shelter,True,True,True,True
928,52,glass_harbor,tea kettle,Sera,Sera,wind,-0.03,0.016,0.642,0.654,comfort:0.44,route changed through shelter,True,True,True,True
929,52,cinder_garden,shade pole,Vale,Juno,dry gale,0.015,0.0,0.285,0.291,shelter:0.44,loan continues with weather tag,True,True,True,True
930,52,lichen_bridge,rope kit,Luma,Luma,crosswind,-0.0225,0.016,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
931,52,orchid_engine,meal box,Eli,Dax,steam leak,0.0525,0.112,0.531,0.552,food:0.44,route changed through shelter,True,True,True,True
932,52,moss_ward,water jar,Fay,Tala,cold rain,-0.0825,0.24,0.668,0.668,hydration:0.44,route changed through shelter,True,True,True,True
933,52,glass_harbor,net spool,Oren,Nia,wind,-0.03,0.016,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
934,52,cinder_garden,ash broom,Wren,Pax,dry gale,0.015,0.0,0.34,0.34,cleaning:0.44,loan continues with weather tag,True,True,True,True
935,52,lichen_bridge,signal bell,Rin,Rin,crosswind,-0.033,0.016,0.6525,0.65918,warning:0.44,route changed through shelter,True,True,True,True
936,53,moss_ward,lamp hook,Ari,Fay,wind,-0.03,0.016,0.654,0.65568,safety:0.44,route changed through shelter,True,True,True,True
937,53,glass_harbor,brass lantern,Nia,Puck,fog,-0.044,0.056,0.6656,0.668,route light:0.44,route changed through shelter,True,True,True,True
938,53,cinder_garden,seed tray,Pax,Wren,dust wind,0.0375,0.0,0.337,0.34,food:0.44,loan delayed until weather clears,True,True,True,True
939,53,lichen_bridge,meal ledger,Sol,Kio,clear,0.015,0.0,0.6015,0.5955,nutrition:0.44,route changed through shelter,True,True,True,True
940,53,orchid_engine,valve key,Bea,Cai,cold draft,-0.0675,0.016,0.642,0.615,repair:0.44,route changed through shelter,True,True,True,True
941,53,moss_ward,moss cart,Milo,Milo,wind,-0.044,0.016,0.668,0.668,transport:0.44,route changed through shelter,True,True,True,True
942,53,glass_harbor,tea kettle,Sera,Sera,fog,-0.03,0.056,0.668,0.668,comfort:0.44,route changed through shelter,True,True,True,True
943,53,cinder_garden,shade pole,Vale,Juno,dust wind,0.0375,0.0,0.295,0.31,shelter:0.44,loan continues with weather tag,True,True,True,True
945,53,orchid_engine,meal box,Eli,Dax,cold draft,-0.0675,0.016,0.552,0.525,food:0.44,route changed through shelter,True,True,True,True
946,53,moss_ward,water jar,Fay,Tala,wind,-0.03,0.016,0.668,0.668,hydration:0.44,route changed through shelter,True,True,True,True
947,53,glass_harbor,net spool,Oren,Nia,fog,-0.03,0.056,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
948,53,cinder_garden,ash broom,Wren,Pax,dust wind,0.0375,0.0,0.34,0.34,cleaning:0.44,loan continues with weather tag,True,True,True,True
949,53,lichen_bridge,signal bell,Rin,Rin,clear,0.022,0.0,0.65918,0.65038,warning:0.44,route changed through shelter,True,True,True,True
950,53,orchid_engine,orchid lamp,Dax,Eli,cold draft,-0.0675,0.016,0.603,0.576,comfort:0.44,route changed through shelter,True,True,True,True
951,53,moss_ward,lamp hook,Ari,Ari,wind,-0.03,0.016,0.6435,0.64518,safety:0.44,route changed through shelter,True,True,True,True
952,53,glass_harbor,brass lantern,Nia,Oren,fog,-0.044,0.056,0.648,0.6656,route light:0.44,route changed through shelter,True,True,True,True
953,53,cinder_garden,seed tray,Pax,Vale,dust wind,0.0375,0.0,0.34,0.34,food:0.44,loan continues with weather tag,True,True,True,True
955,54,moss_ward,moss cart,Milo,Milo,rain,-0.055,0.192,0.6575,0.668,transport:0.44,route changed through shelter,True,True,True,True
957,54,cinder_garden,shade pole,Vale,Juno,cold night,-0.09,0.008,0.34,0.30526,shelter:0.44,loan continues with weather tag,True,False,True,True
958,54,lichen_bridge,rope kit,Luma,Luma,hail,-0.105,0.108,0.6185,0.65484,repair:0.44,route changed through shelter,True,True,True,True
959,54,orchid_engine,meal box,Eli,Dax,engine heat,0.0825,0.0,0.39,0.423,food:0.44,route changed through shelter,True,True,True,True
960,54,moss_ward,water jar,Fay,Tala,rain,-0.0375,0.192,0.6575,0.668,hydration:0.44,route changed through shelter,True,True,True,True
961,54,glass_harbor,net spool,Oren,Nia,clear,0.015,0.0,0.608,0.602,repair:0.44,route changed through shelter,True,True,True,True
962,54,cinder_garden,ash broom,Wren,Pax,cold night,-0.09,0.008,0.34,0.30526,cleaning:0.44,loan continues with weather tag,True,True,True,True
963,54,lichen_bridge,signal bell,Rin,Rin,hail,-0.154,0.108,0.65038,0.668,warning:0.44,route changed through shelter,True,True,True,True
965,54,moss_ward,lamp hook,Ari,Ari,rain,-0.0375,0.192,0.64518,0.66534,safety:0.44,route changed through shelter,True,True,True,True
967,54,cinder_garden,seed tray,Pax,Vale,cold night,-0.09,0.008,0.34,0.30526,food:0.44,loan continues with weather tag,True,True,True,True
968,54,lichen_bridge,meal ledger,Sol,Sol,hail,-0.105,0.108,0.6185,0.65484,nutrition:0.44,route changed through shelter,True,True,True,True
969,54,orchid_engine,valve key,Bea,Bea,engine heat,0.0825,0.0,0.62,0.62,repair:0.44,route changed through shelter,True,True,True,True
970,54,moss_ward,moss cart,Milo,Fay,rain,-0.055,0.192,0.668,0.668,transport:0.44,route changed through shelter,True,True,True,True
971,54,glass_harbor,tea kettle,Sera,Puck,clear,0.015,0.0,0.634,0.628,comfort:0.44,route changed through shelter,True,True,True,True
972,55,lichen_bridge,rope kit,Luma,Luma,rain,-0.0375,0.192,0.608,0.623,repair:0.44,route changed through shelter,True,True,True,True
973,55,orchid_engine,meal box,Eli,Dax,clear,0.015,0.0,0.54,0.546,food:0.44,route changed through shelter,True,True,True,True
975,55,glass_harbor,net spool,Oren,Nia,spray,-0.0375,0.096,0.568,0.59308,repair:0.44,route changed through shelter,True,True,True,True
976,55,cinder_garden,ash broom,Wren,Pax,heat,0.09,0.0,0.18876,0.22476,cleaning:0.44,loan continues with weather tag,True,True,True,True
977,55,lichen_bridge,signal bell,Rin,Rin,rain,-0.055,0.192,0.668,0.668,warning:0.44,route changed through shelter,True,True,True,True
979,55,moss_ward,lamp hook,Ari,Ari,clear,0.015,0.0,0.668,0.662,safety:0.44,route changed through shelter,True,True,True,True
980,55,glass_harbor,brass lantern,Nia,Oren,spray,-0.055,0.096,0.6316,0.66368,route light:0.44,route changed through shelter,True,True,True,True
981,55,cinder_garden,seed tray,Pax,Vale,heat,0.09,0.0,0.30526,0.34126,food:0.44,loan continues with weather tag,True,True,True,True
982,55,lichen_bridge,meal ledger,Sol,Sol,rain,-0.0375,0.192,0.65484,0.668,nutrition:0.44,route changed through shelter,True,True,True,True
983,55,orchid_engine,valve key,Bea,Bea,clear,0.015,0.0,0.62,0.62,repair:0.44,route changed through shelter,True,True,True,True
985,55,glass_harbor,tea kettle,Sera,Puck,spray,-0.0375,0.096,0.628,0.65308,comfort:0.44,route changed through shelter,True,True,True,True
986,55,cinder_garden,shade pole,Vale,Wren,heat,0.09,0.0,0.2235,0.2595,shelter:0.44,loan continues with weather tag,True,True,True,True
987,55,lichen_bridge,rope kit,Luma,Kio,rain,-0.0375,0.192,0.608,0.623,repair:0.44,route changed through shelter,True,True,True,True
989,55,moss_ward,water jar,Fay,Milo,clear,0.015,0.0,0.6095,0.6035,hydration:0.44,route changed through shelter,True,True,True,True
991,56,lichen_bridge,signal bell,Rin,Rin,cold fog,-0.11,0.088,0.668,0.668,warning:0.44,route changed through shelter,True,True,True,True
992,56,orchid_engine,orchid lamp,Dax,Eli,drizzle,-0.03,0.08,0.606,0.6024,comfort:0.44,route changed through shelter,True,True,True,True
993,56,moss_ward,lamp hook,Ari,Ari,mist,-0.0225,0.064,0.628,0.64372,safety:0.44,route changed through shelter,True,True,True,True
994,56,glass_harbor,brass lantern,Nia,Oren,sleet,-0.143,0.216,0.668,0.668,route light:0.44,route changed through shelter,True,True,True,True
995,56,cinder_garden,seed tray,Pax,Vale,clear,0.015,0.0,0.34,0.34,food:0.44,loan continues with weather tag,True,True,True,True
996,56,lichen_bridge,meal ledger,Sol,Sol,cold fog,-0.075,0.088,0.668,0.668,nutrition:0.44,route changed through shelter,True,True,True,True
997,56,orchid_engine,valve key,Bea,Bea,drizzle,-0.03,0.08,0.561,0.5574,repair:0.44,route changed through shelter,True,True,True,True
998,56,moss_ward,moss cart,Milo,Fay,mist,-0.033,0.064,0.634,0.65392,transport:0.44,route changed through shelter,True,True,True,True
999,56,glass_harbor,tea kettle,Sera,Puck,sleet,-0.0975,0.216,0.65308,0.668,comfort:0.44,route changed through shelter,True,True,True,True
1001,56,lichen_bridge,rope kit,Luma,Kio,cold fog,-0.075,0.088,0.623,0.653,repair:0.44,route changed through shelter,True,True,True,True
1002,56,orchid_engine,meal box,Eli,Cai,drizzle,-0.03,0.08,0.581,0.5774,food:0.44,route changed through shelter,True,True,True,True
1003,56,moss_ward,water jar,Fay,Milo,mist,-0.0225,0.064,0.6035,0.61922,hydration:0.44,route changed through shelter,True,True,True,True
1004,56,glass_harbor,net spool,Oren,Sera,sleet,-0.0975,0.216,0.663,0.668,repair:0.44,route changed through shelter,True,True,True,True
1005,56,cinder_garden,ash broom,Wren,Juno,clear,0.015,0.0,0.279,0.285,cleaning:0.44,loan continues with weather tag,True,True,True,True
1006,56,lichen_bridge,signal bell,Rin,Luma,cold fog,-0.11,0.088,0.668,0.668,warning:0.44,route changed through shelter,True,True,True,True
1007,56,orchid_engine,orchid lamp,Dax,Dax,drizzle,-0.03,0.08,0.547,0.542,comfort:0.44,route changed through shelter,True,True,True,True
1008,57,glass_harbor,brass lantern,Nia,Oren,wind,-0.044,0.016,0.608,0.6256,route light:0.44,route changed through shelter,True,True,True,True
1009,57,cinder_garden,seed tray,Pax,Vale,dry gale,0.015,0.0,0.34,0.34,food:0.44,loan continues with weather tag,True,True,True,True
1010,57,lichen_bridge,meal ledger,Sol,Sol,crosswind,-0.0225,0.016,0.668,0.668,nutrition:0.44,route changed through shelter,True,True,True,True
1011,57,orchid_engine,valve key,Bea,Bea,steam leak,0.0525,0.112,0.551,0.572,repair:0.44,route changed through shelter,True,True,True,True
1012,57,moss_ward,moss cart,Milo,Fay,cold rain,-0.121,0.24,0.6435,0.668,transport:0.44,route changed through shelter,True,True,True,True
1013,57,glass_harbor,tea kettle,Sera,Puck,wind,-0.03,0.016,0.668,0.668,comfort:0.44,route changed through shelter,True,True,True,True
1014,57,cinder_garden,shade pole,Vale,Wren,dry gale,0.015,0.0,0.276,0.282,shelter:0.44,loan continues with weather tag,True,True,True,True
1015,57,lichen_bridge,rope kit,Luma,Kio,crosswind,-0.0225,0.016,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
1016,57,orchid_engine,meal box,Eli,Cai,steam leak,0.0525,0.112,0.571,0.592,food:0.44,route changed through shelter,True,True,True,True
1017,57,moss_ward,water jar,Fay,Milo,cold rain,-0.0825,0.24,0.61922,0.66142,hydration:0.44,route changed through shelter,True,True,True,True
1018,57,glass_harbor,net spool,Oren,Sera,wind,-0.03,0.016,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
1019,57,cinder_garden,ash broom,Wren,Juno,dry gale,0.015,0.0,0.285,0.291,cleaning:0.44,loan continues with weather tag,True,True,True,True
1020,57,lichen_bridge,signal bell,Rin,Luma,crosswind,-0.033,0.016,0.668,0.668,warning:0.44,route changed through shelter,True,True,True,True
1021,57,orchid_engine,orchid lamp,Dax,Dax,steam leak,0.0525,0.112,0.542,0.563,comfort:0.44,route changed through shelter,True,True,True,True
1022,57,moss_ward,lamp hook,Ari,Tala,cold rain,-0.0825,0.24,0.6575,0.668,safety:0.44,route changed through shelter,True,True,True,True
1023,57,glass_harbor,brass lantern,Nia,Nia,wind,-0.044,0.016,0.608,0.6256,route light:0.44,route changed through shelter,True,True,True,True
1024,57,cinder_garden,seed tray,Pax,Pax,dry gale,0.015,0.0,0.34,0.34,food:0.44,loan continues with weather tag,True,True,True,True
1025,57,lichen_bridge,meal ledger,Sol,Rin,crosswind,-0.0225,0.016,0.5925,0.60318,nutrition:0.44,route changed through shelter,True,True,True,True
1026,58,moss_ward,moss cart,Milo,Fay,wind,-0.044,0.016,0.668,0.668,transport:0.44,route changed through shelter,True,True,True,True
1027,58,glass_harbor,tea kettle,Sera,Puck,fog,-0.03,0.056,0.668,0.668,comfort:0.44,route changed through shelter,True,True,True,True
1028,58,cinder_garden,shade pole,Vale,Wren,dust wind,0.0375,0.0,0.337,0.34,shelter:0.44,loan continues with weather tag,True,True,True,True
1029,58,lichen_bridge,rope kit,Luma,Kio,clear,0.015,0.0,0.6525,0.6465,repair:0.44,route changed through shelter,True,True,True,True
1030,58,orchid_engine,meal box,Eli,Cai,cold draft,-0.0675,0.016,0.648,0.621,food:0.44,route changed through shelter,True,True,True,True
1031,58,moss_ward,water jar,Fay,Milo,wind,-0.03,0.016,0.668,0.668,hydration:0.44,route changed through shelter,True,True,True,True
1032,58,glass_harbor,net spool,Oren,Sera,fog,-0.03,0.056,0.668,0.668,repair:0.44,route changed through shelter,True,True,True,True
1033,58,cinder_garden,ash broom,Wren,Juno,dust wind,0.0375,0.0,0.34,0.34,cleaning:0.44,loan continues with weather tag,True,True,True,True
1035,58,orchid_engine,orchid lamp,Dax,Dax,cold draft,-0.0675,0.016,0.563,0.536,comfort:0.44,route changed through shelter,True,True,True,True
1036,58,moss_ward,lamp hook,Ari,Tala,wind,-0.03,0.016,0.668,0.668,safety:0.44,route changed through shelter,True,True,True,True
1037,58,glass_harbor,brass lantern,Nia,Nia,fog,-0.044,0.056,0.6256,0.6432,route light:0.44,route changed through shelter,True,True,True,True
1038,58,cinder_garden,seed tray,Pax,Pax,dust wind,0.0375,0.0,0.34,0.34,food:0.44,loan continues with weather tag,True,True,True,True
1039,58,lichen_bridge,meal ledger,Sol,Rin,clear,0.015,0.0,0.60318,0.59718,nutrition:0.44,route changed through shelter,True,True,True,True
1040,58,orchid_engine,valve key,Bea,Eli,cold draft,-0.0675,0.016,0.621,0.594,repair:0.44,route changed through shelter,True,True,True,True
1041,58,moss_ward,moss cart,Milo,Ari,wind,-0.044,0.016,0.633,0.63468,transport:0.44,route changed through shelter,True,True,True,True
1042,58,glass_harbor,tea kettle,Sera,Oren,fog,-0.03,0.056,0.668,0.668,comfort:0.44,route changed through shelter,True,True,True,True
1043,58,cinder_garden,shade pole,Vale,Vale,dust wind,0.0375,0.0,0.295,0.31,shelter:0.44,loan delayed until weather clears,True,True,True,True
1045,59,moss_ward,water jar,Fay,Milo,rain,-0.0375,0.192,0.6575,0.668,hydration:0.44,route changed through shelter,True,True,True,True
1047,59,cinder_garden,ash broom,Wren,Juno,cold night,-0.09,0.008,0.34,0.30526,cleaning:0.44,loan continues with weather tag,True,True,True,True
