tick,day,slot,resident,room,canvas_focus,conversation_frame,sensory_frame,gesture_frame,inventory_frame,minigame_frame,consequence_frame,replay_frame_key,boundary_visible
812,46,2,Nia,fiber loft,Nia@fiber loft,812,812,812,812,812,812,v57-replay-00812,True
813,46,3,Ari,glasshouse,Ari@glasshouse,813,813,813,813,813,813,v57-replay-00813,True
814,46,4,Fay,river gate,Fay@river gate,814,814,814,814,814,814,v57-replay-00814,True
815,46,5,Milo,west hearth,Milo@west hearth,815,815,815,815,815,815,v57-replay-00815,True
816,46,6,Sera,rain court,Sera@rain court,816,816,816,816,816,816,v57-replay-00816,True
817,46,7,Tovan,tool alcove,Tovan@tool alcove,817,817,817,817,817,817,v57-replay-00817,True
818,46,8,Nia,fiber loft,Nia@fiber loft,818,818,818,818,818,818,v57-replay-00818,True
819,46,9,Ari,glasshouse,Ari@glasshouse,819,819,819,819,819,819,v57-replay-00819,True
820,46,10,Fay,river gate,Fay@river gate,820,820,820,820,820,820,v57-replay-00820,True
821,46,11,Milo,west hearth,Milo@west hearth,821,821,821,821,821,821,v57-replay-00821,True
822,46,12,Sera,rain court,Sera@rain court,822,822,822,822,822,822,v57-replay-00822,True
823,46,13,Tovan,tool alcove,Tovan@tool alcove,823,823,823,823,823,823,v57-replay-00823,True
824,46,14,Nia,fiber loft,Nia@fiber loft,824,824,824,824,824,824,v57-replay-00824,True
825,46,15,Ari,glasshouse,Ari@glasshouse,825,825,825,825,825,825,v57-replay-00825,True
826,46,16,Fay,river gate,Fay@river gate,826,826,826,826,826,826,v57-replay-00826,True
827,46,17,Milo,west hearth,Milo@west hearth,827,827,827,827,827,827,v57-replay-00827,True
828,47,0,Sera,tool alcove,Sera@tool alcove,828,828,828,828,828,828,v57-replay-00828,True
829,47,1,Tovan,fiber loft,Tovan@fiber loft,829,829,829,829,829,829,v57-replay-00829,True
830,47,2,Nia,glasshouse,Nia@glasshouse,830,830,830,830,830,830,v57-replay-00830,True
831,47,3,Ari,river gate,Ari@river gate,831,831,831,831,831,831,v57-replay-00831,True
832,47,4,Fay,west hearth,Fay@west hearth,832,832,832,832,832,832,v57-replay-00832,True
833,47,5,Milo,rain court,Milo@rain court,833,833,833,833,833,833,v57-replay-00833,True
834,47,6,Sera,tool alcove,Sera@tool alcove,834,834,834,834,834,834,v57-replay-00834,True
835,47,7,Tovan,fiber loft,Tovan@fiber loft,835,835,835,835,835,835,v57-replay-00835,True
836,47,8,Nia,glasshouse,Nia@glasshouse,836,836,836,836,836,836,v57-replay-00836,True
837,47,9,Ari,river gate,Ari@river gate,837,837,837,837,837,837,v57-replay-00837,True
838,47,10,Fay,west hearth,Fay@west hearth,838,838,838,838,838,838,v57-replay-00838,True
839,47,11,Milo,rain court,Milo@rain court,839,839,839,839,839,839,v57-replay-00839,True
840,47,12,Sera,tool alcove,Sera@tool alcove,840,840,840,840,840,840,v57-replay-00840,True
841,47,13,Tovan,fiber loft,Tovan@fiber loft,841,841,841,841,841,841,v57-replay-00841,True
842,47,14,Nia,glasshouse,Nia@glasshouse,842,842,842,842,842,842,v57-replay-00842,True
843,47,15,Ari,river gate,Ari@river gate,843,843,843,843,843,843,v57-replay-00843,True
844,47,16,Fay,west hearth,Fay@west hearth,844,844,844,844,844,844,v57-replay-00844,True
845,47,17,Milo,rain court,Milo@rain court,845,845,845,845,845,845,v57-replay-00845,True
846,48,0,Sera,fiber loft,Sera@fiber loft,846,846,846,846,846,846,v57-replay-00846,True
847,48,1,Tovan,glasshouse,Tovan@glasshouse,847,847,847,847,847,847,v57-replay-00847,True
848,48,2,Nia,river gate,Nia@river gate,848,848,848,848,848,848,v57-replay-00848,True
849,48,3,Ari,west hearth,Ari@west hearth,849,849,849,849,849,849,v57-replay-00849,True
850,48,4,Fay,rain court,Fay@rain court,850,850,850,850,850,850,v57-replay-00850,True
851,48,5,Milo,tool alcove,Milo@tool alcove,851,851,851,851,851,851,v57-replay-00851,True
852,48,6,Sera,fiber loft,Sera@fiber loft,852,852,852,852,852,852,v57-replay-00852,True
853,48,7,Tovan,glasshouse,Tovan@glasshouse,853,853,853,853,853,853,v57-replay-00853,True
854,48,8,Nia,river gate,Nia@river gate,854,854,854,854,854,854,v57-replay-00854,True
855,48,9,Ari,west hearth,Ari@west hearth,855,855,855,855,855,855,v57-replay-00855,True
856,48,10,Fay,rain court,Fay@rain court,856,856,856,856,856,856,v57-replay-00856,True
857,48,11,Milo,tool alcove,Milo@tool alcove,857,857,857,857,857,857,v57-replay-00857,True
858,48,12,Sera,fiber loft,Sera@fiber loft,858,858,858,858,858,858,v57-replay-00858,True
859,48,13,Tovan,glasshouse,Tovan@glasshouse,859,859,859,859,859,859,v57-replay-00859,True
860,48,14,Nia,river gate,Nia@river gate,860,860,860,860,860,860,v57-replay-00860,True
861,48,15,Ari,west hearth,Ari@west hearth,861,861,861,861,861,861,v57-replay-00861,True
862,48,16,Fay,rain court,Fay@rain court,862,862,862,862,862,862,v57-replay-00862,True
863,48,17,Milo,tool alcove,Milo@tool alcove,863,863,863,863,863,863,v57-replay-00863,True
864,49,0,Sera,glasshouse,Sera@glasshouse,864,864,864,864,864,864,v57-replay-00864,True
865,49,1,Tovan,river gate,Tovan@river gate,865,865,865,865,865,865,v57-replay-00865,True
866,49,2,Nia,west hearth,Nia@west hearth,866,866,866,866,866,866,v57-replay-00866,True
867,49,3,Ari,rain court,Ari@rain court,867,867,867,867,867,867,v57-replay-00867,True
868,49,4,Fay,tool alcove,Fay@tool alcove,868,868,868,868,868,868,v57-replay-00868,True
869,49,5,Milo,fiber loft,Milo@fiber loft,869,869,869,869,869,869,v57-replay-00869,True
870,49,6,Sera,glasshouse,Sera@glasshouse,870,870,870,870,870,870,v57-replay-00870,True
871,49,7,Tovan,river gate,Tovan@river gate,871,871,871,871,871,871,v57-replay-00871,True
872,49,8,Nia,west hearth,Nia@west hearth,872,872,872,872,872,872,v57-replay-00872,True
873,49,9,Ari,rain court,Ari@rain court,873,873,873,873,873,873,v57-replay-00873,True
874,49,10,Fay,tool alcove,Fay@tool alcove,874,874,874,874,874,874,v57-replay-00874,True
875,49,11,Milo,fiber loft,Milo@fiber loft,875,875,875,875,875,875,v57-replay-00875,True
876,49,12,Sera,glasshouse,Sera@glasshouse,876,876,876,876,876,876,v57-replay-00876,True
877,49,13,Tovan,river gate,Tovan@river gate,877,877,877,877,877,877,v57-replay-00877,True
878,49,14,Nia,west hearth,Nia@west hearth,878,878,878,878,878,878,v57-replay-00878,True
879,49,15,Ari,rain court,Ari@rain court,879,879,879,879,879,879,v57-replay-00879,True
880,49,16,Fay,tool alcove,Fay@tool alcove,880,880,880,880,880,880,v57-replay-00880,True
881,49,17,Milo,fiber loft,Milo@fiber loft,881,881,881,881,881,881,v57-replay-00881,True
882,50,0,Sera,river gate,Sera@river gate,882,882,882,882,882,882,v57-replay-00882,True
883,50,1,Tovan,west hearth,Tovan@west hearth,883,883,883,883,883,883,v57-replay-00883,True
884,50,2,Nia,rain court,Nia@rain court,884,884,884,884,884,884,v57-replay-00884,True
885,50,3,Ari,tool alcove,Ari@tool alcove,885,885,885,885,885,885,v57-replay-00885,True
886,50,4,Fay,fiber loft,Fay@fiber loft,886,886,886,886,886,886,v57-replay-00886,True
887,50,5,Milo,glasshouse,Milo@glasshouse,887,887,887,887,887,887,v57-replay-00887,True
888,50,6,Sera,river gate,Sera@river gate,888,888,888,888,888,888,v57-replay-00888,True
889,50,7,Tovan,west hearth,Tovan@west hearth,889,889,889,889,889,889,v57-replay-00889,True
890,50,8,Nia,rain court,Nia@rain court,890,890,890,890,890,890,v57-replay-00890,True
891,50,9,Ari,tool alcove,Ari@tool alcove,891,891,891,891,891,891,v57-replay-00891,True
892,50,10,Fay,fiber loft,Fay@fiber loft,892,892,892,892,892,892,v57-replay-00892,True
893,50,11,Milo,glasshouse,Milo@glasshouse,893,893,893,893,893,893,v57-replay-00893,True
894,50,12,Sera,river gate,Sera@river gate,894,894,894,894,894,894,v57-replay-00894,True
895,50,13,Tovan,west hearth,Tovan@west hearth,895,895,895,895,895,895,v57-replay-00895,True
896,50,14,Nia,rain court,Nia@rain court,896,896,896,896,896,896,v57-replay-00896,True
897,50,15,Ari,tool alcove,Ari@tool alcove,897,897,897,897,897,897,v57-replay-00897,True
898,50,16,Fay,fiber loft,Fay@fiber loft,898,898,898,898,898,898,v57-replay-00898,True
899,50,17,Milo,glasshouse,Milo@glasshouse,899,899,899,899,899,899,v57-replay-00899,True
900,51,0,Sera,west hearth,Sera@west hearth,900,900,900,900,900,900,v57-replay-00900,True
901,51,1,Tovan,rain court,Tovan@rain court,901,901,901,901,901,901,v57-replay-00901,True
902,51,2,Nia,tool alcove,Nia@tool alcove,902,902,902,902,902,902,v57-replay-00902,True
903,51,3,Ari,fiber loft,Ari@fiber loft,903,903,903,903,903,903,v57-replay-00903,True
904,51,4,Fay,glasshouse,Fay@glasshouse,904,904,904,904,904,904,v57-replay-00904,True
905,51,5,Milo,river gate,Milo@river gate,905,905,905,905,905,905,v57-replay-00905,True
906,51,6,Sera,west hearth,Sera@west hearth,906,906,906,906,906,906,v57-replay-00906,True
907,51,7,Tovan,rain court,Tovan@rain court,907,907,907,907,907,907,v57-replay-00907,True
908,51,8,Nia,tool alcove,Nia@tool alcove,908,908,908,908,908,908,v57-replay-00908,True
909,51,9,Ari,fiber loft,Ari@fiber loft,909,909,909,909,909,909,v57-replay-00909,True
910,51,10,Fay,glasshouse,Fay@glasshouse,910,910,910,910,910,910,v57-replay-00910,True
911,51,11,Milo,river gate,Milo@river gate,911,911,911,911,911,911,v57-replay-00911,True
912,51,12,Sera,west hearth,Sera@west hearth,912,912,912,912,912,912,v57-replay-00912,True
913,51,13,Tovan,rain court,Tovan@rain court,913,913,913,913,913,913,v57-replay-00913,True
914,51,14,Nia,tool alcove,Nia@tool alcove,914,914,914,914,914,914,v57-replay-00914,True
915,51,15,Ari,fiber loft,Ari@fiber loft,915,915,915,915,915,915,v57-replay-00915,True
916,51,16,Fay,glasshouse,Fay@glasshouse,916,916,916,916,916,916,v57-replay-00916,True
917,51,17,Milo,river gate,Milo@river gate,917,917,917,917,917,917,v57-replay-00917,True
918,52,0,Sera,rain court,Sera@rain court,918,918,918,918,918,918,v57-replay-00918,True
919,52,1,Tovan,tool alcove,Tovan@tool alcove,919,919,919,919,919,919,v57-replay-00919,True
920,52,2,Nia,fiber loft,Nia@fiber loft,920,920,920,920,920,920,v57-replay-00920,True
921,52,3,Ari,glasshouse,Ari@glasshouse,921,921,921,921,921,921,v57-replay-00921,True
922,52,4,Fay,river gate,Fay@river gate,922,922,922,922,922,922,v57-replay-00922,True
923,52,5,Milo,west hearth,Milo@west hearth,923,923,923,923,923,923,v57-replay-00923,True
924,52,6,Sera,rain court,Sera@rain court,924,924,924,924,924,924,v57-replay-00924,True
925,52,7,Tovan,tool alcove,Tovan@tool alcove,925,925,925,925,925,925,v57-replay-00925,True
926,52,8,Nia,fiber loft,Nia@fiber loft,926,926,926,926,926,926,v57-replay-00926,True
927,52,9,Ari,glasshouse,Ari@glasshouse,927,927,927,927,927,927,v57-replay-00927,True
928,52,10,Fay,river gate,Fay@river gate,928,928,928,928,928,928,v57-replay-00928,True
929,52,11,Milo,west hearth,Milo@west hearth,929,929,929,929,929,929,v57-replay-00929,True
930,52,12,Sera,rain court,Sera@rain court,930,930,930,930,930,930,v57-replay-00930,True
931,52,13,Tovan,tool alcove,Tovan@tool alcove,931,931,931,931,931,931,v57-replay-00931,True
932,52,14,Nia,fiber loft,Nia@fiber loft,932,932,932,932,932,932,v57-replay-00932,True
933,52,15,Ari,glasshouse,Ari@glasshouse,933,933,933,933,933,933,v57-replay-00933,True
934,52,16,Fay,river gate,Fay@river gate,934,934,934,934,934,934,v57-replay-00934,True
935,52,17,Milo,west hearth,Milo@west hearth,935,935,935,935,935,935,v57-replay-00935,True
936,53,0,Sera,tool alcove,Sera@tool alcove,936,936,936,936,936,936,v57-replay-00936,True
937,53,1,Tovan,fiber loft,Tovan@fiber loft,937,937,937,937,937,937,v57-replay-00937,True
938,53,2,Nia,glasshouse,Nia@glasshouse,938,938,938,938,938,938,v57-replay-00938,True
939,53,3,Ari,river gate,Ari@river gate,939,939,939,939,939,939,v57-replay-00939,True
940,53,4,Fay,west hearth,Fay@west hearth,940,940,940,940,940,940,v57-replay-00940,True
941,53,5,Milo,rain court,Milo@rain court,941,941,941,941,941,941,v57-replay-00941,True
942,53,6,Sera,tool alcove,Sera@tool alcove,942,942,942,942,942,942,v57-replay-00942,True
943,53,7,Tovan,fiber loft,Tovan@fiber loft,943,943,943,943,943,943,v57-replay-00943,True
944,53,8,Nia,glasshouse,Nia@glasshouse,944,944,944,944,944,944,v57-replay-00944,True
945,53,9,Ari,river gate,Ari@river gate,945,945,945,945,945,945,v57-replay-00945,True
946,53,10,Fay,west hearth,Fay@west hearth,946,946,946,946,946,946,v57-replay-00946,True
947,53,11,Milo,rain court,Milo@rain court,947,947,947,947,947,947,v57-replay-00947,True
948,53,12,Sera,tool alcove,Sera@tool alcove,948,948,948,948,948,948,v57-replay-00948,True
949,53,13,Tovan,fiber loft,Tovan@fiber loft,949,949,949,949,949,949,v57-replay-00949,True
950,53,14,Nia,glasshouse,Nia@glasshouse,950,950,950,950,950,950,v57-replay-00950,True
951,53,15,Ari,river gate,Ari@river gate,951,951,951,951,951,951,v57-replay-00951,True
952,53,16,Fay,west hearth,Fay@west hearth,952,952,952,952,952,952,v57-replay-00952,True
953,53,17,Milo,rain court,Milo@rain court,953,953,953,953,953,953,v57-replay-00953,True
954,54,0,Sera,fiber loft,Sera@fiber loft,954,954,954,954,954,954,v57-replay-00954,True
955,54,1,Tovan,glasshouse,Tovan@glasshouse,955,955,955,955,955,955,v57-replay-00955,True
956,54,2,Nia,river gate,Nia@river gate,956,956,956,956,956,956,v57-replay-00956,True
957,54,3,Ari,west hearth,Ari@west hearth,957,957,957,957,957,957,v57-replay-00957,True
958,54,4,Fay,rain court,Fay@rain court,958,958,958,958,958,958,v57-replay-00958,True
959,54,5,Milo,tool alcove,Milo@tool alcove,959,959,959,959,959,959,v57-replay-00959,True
960,54,6,Sera,fiber loft,Sera@fiber loft,960,960,960,960,960,960,v57-replay-00960,True
961,54,7,Tovan,glasshouse,Tovan@glasshouse,961,961,961,961,961,961,v57-replay-00961,True
962,54,8,Nia,river gate,Nia@river gate,962,962,962,962,962,962,v57-replay-00962,True
963,54,9,Ari,west hearth,Ari@west hearth,963,963,963,963,963,963,v57-replay-00963,True
964,54,10,Fay,rain court,Fay@rain court,964,964,964,964,964,964,v57-replay-00964,True
965,54,11,Milo,tool alcove,Milo@tool alcove,965,965,965,965,965,965,v57-replay-00965,True
966,54,12,Sera,fiber loft,Sera@fiber loft,966,966,966,966,966,966,v57-replay-00966,True
967,54,13,Tovan,glasshouse,Tovan@glasshouse,967,967,967,967,967,967,v57-replay-00967,True
968,54,14,Nia,river gate,Nia@river gate,968,968,968,968,968,968,v57-replay-00968,True
969,54,15,Ari,west hearth,Ari@west hearth,969,969,969,969,969,969,v57-replay-00969,True
970,54,16,Fay,rain court,Fay@rain court,970,970,970,970,970,970,v57-replay-00970,True
971,54,17,Milo,tool alcove,Milo@tool alcove,971,971,971,971,971,971,v57-replay-00971,True
972,55,0,Sera,glasshouse,Sera@glasshouse,972,972,972,972,972,972,v57-replay-00972,True
973,55,1,Tovan,river gate,Tovan@river gate,973,973,973,973,973,973,v57-replay-00973,True
974,55,2,Nia,west hearth,Nia@west hearth,974,974,974,974,974,974,v57-replay-00974,True
975,55,3,Ari,rain court,Ari@rain court,975,975,975,975,975,975,v57-replay-00975,True
976,55,4,Fay,tool alcove,Fay@tool alcove,976,976,976,976,976,976,v57-replay-00976,True
977,55,5,Milo,fiber loft,Milo@fiber loft,977,977,977,977,977,977,v57-replay-00977,True
978,55,6,Sera,glasshouse,Sera@glasshouse,978,978,978,978,978,978,v57-replay-00978,True
979,55,7,Tovan,river gate,Tovan@river gate,979,979,979,979,979,979,v57-replay-00979,True
980,55,8,Nia,west hearth,Nia@west hearth,980,980,980,980,980,980,v57-replay-00980,True
981,55,9,Ari,rain court,Ari@rain court,981,981,981,981,981,981,v57-replay-00981,True
982,55,10,Fay,tool alcove,Fay@tool alcove,982,982,982,982,982,982,v57-replay-00982,True
983,55,11,Milo,fiber loft,Milo@fiber loft,983,983,983,983,983,983,v57-replay-00983,True
984,55,12,Sera,glasshouse,Sera@glasshouse,984,984,984,984,984,984,v57-replay-00984,True
985,55,13,Tovan,river gate,Tovan@river gate,985,985,985,985,985,985,v57-replay-00985,True
986,55,14,Nia,west hearth,Nia@west hearth,986,986,986,986,986,986,v57-replay-00986,True
987,55,15,Ari,rain court,Ari@rain court,987,987,987,987,987,987,v57-replay-00987,True
988,55,16,Fay,tool alcove,Fay@tool alcove,988,988,988,988,988,988,v57-replay-00988,True
989,55,17,Milo,fiber loft,Milo@fiber loft,989,989,989,989,989,989,v57-replay-00989,True
990,56,0,Sera,river gate,Sera@river gate,990,990,990,990,990,990,v57-replay-00990,True
991,56,1,Tovan,west hearth,Tovan@west hearth,991,991,991,991,991,991,v57-replay-00991,True
992,56,2,Nia,rain court,Nia@rain court,992,992,992,992,992,992,v57-replay-00992,True
993,56,3,Ari,tool alcove,Ari@tool alcove,993,993,993,993,993,993,v57-replay-00993,True
994,56,4,Fay,fiber loft,Fay@fiber loft,994,994,994,994,994,994,v57-replay-00994,True
995,56,5,Milo,glasshouse,Milo@glasshouse,995,995,995,995,995,995,v57-replay-00995,True
996,56,6,Sera,river gate,Sera@river gate,996,996,996,996,996,996,v57-replay-00996,True
997,56,7,Tovan,west hearth,Tovan@west hearth,997,997,997,997,997,997,v57-replay-00997,True
998,56,8,Nia,rain court,Nia@rain court,998,998,998,998,998,998,v57-replay-00998,True
999,56,9,Ari,tool alcove,Ari@tool alcove,999,999,999,999,999,999,v57-replay-00999,True
1000,56,10,Fay,fiber loft,Fay@fiber loft,1000,1000,1000,1000,1000,1000,v57-replay-01000,True
1001,56,11,Milo,glasshouse,Milo@glasshouse,1001,1001,1001,1001,1001,1001,v57-replay-01001,True
1002,56,12,Sera,river gate,Sera@river gate,1002,1002,1002,1002,1002,1002,v57-replay-01002,True
1003,56,13,Tovan,west hearth,Tovan@west hearth,1003,1003,1003,1003,1003,1003,v57-replay-01003,True
1004,56,14,Nia,rain court,Nia@rain court,1004,1004,1004,1004,1004,1004,v57-replay-01004,True
1005,56,15,Ari,tool alcove,Ari@tool alcove,1005,1005,1005,1005,1005,1005,v57-replay-01005,True
1006,56,16,Fay,fiber loft,Fay@fiber loft,1006,1006,1006,1006,1006,1006,v57-replay-01006,True
1007,56,17,Milo,glasshouse,Milo@glasshouse,1007,1007,1007,1007,1007,1007,v57-replay-01007,True
1008,57,0,Sera,west hearth,Sera@west hearth,1008,1008,1008,1008,1008,1008,v57-replay-01008,True
1009,57,1,Tovan,rain court,Tovan@rain court,1009,1009,1009,1009,1009,1009,v57-replay-01009,True
1010,57,2,Nia,tool alcove,Nia@tool alcove,1010,1010,1010,1010,1010,1010,v57-replay-01010,True
1011,57,3,Ari,fiber loft,Ari@fiber loft,1011,1011,1011,1011,1011,1011,v57-replay-01011,True
1012,57,4,Fay,glasshouse,Fay@glasshouse,1012,1012,1012,1012,1012,1012,v57-replay-01012,True
1013,57,5,Milo,river gate,Milo@river gate,1013,1013,1013,1013,1013,1013,v57-replay-01013,True
1014,57,6,Sera,west hearth,Sera@west hearth,1014,1014,1014,1014,1014,1014,v57-replay-01014,True
1015,57,7,Tovan,rain court,Tovan@rain court,1015,1015,1015,1015,1015,1015,v57-replay-01015,True
1016,57,8,Nia,tool alcove,Nia@tool alcove,1016,1016,1016,1016,1016,1016,v57-replay-01016,True
1017,57,9,Ari,fiber loft,Ari@fiber loft,1017,1017,1017,1017,1017,1017,v57-replay-01017,True
1018,57,10,Fay,glasshouse,Fay@glasshouse,1018,1018,1018,1018,1018,1018,v57-replay-01018,True
1019,57,11,Milo,river gate,Milo@river gate,1019,1019,1019,1019,1019,1019,v57-replay-01019,True
1020,57,12,Sera,west hearth,Sera@west hearth,1020,1020,1020,1020,1020,1020,v57-replay-01020,True
1021,57,13,Tovan,rain court,Tovan@rain court,1021,1021,1021,1021,1021,1021,v57-replay-01021,True
1022,57,14,Nia,tool alcove,Nia@tool alcove,1022,1022,1022,1022,1022,1022,v57-replay-01022,True
1023,57,15,Ari,fiber loft,Ari@fiber loft,1023,1023,1023,1023,1023,1023,v57-replay-01023,True
1024,57,16,Fay,glasshouse,Fay@glasshouse,1024,1024,1024,1024,1024,1024,v57-replay-01024,True
1025,57,17,Milo,river gate,Milo@river gate,1025,1025,1025,1025,1025,1025,v57-replay-01025,True
1026,58,0,Sera,rain court,Sera@rain court,1026,1026,1026,1026,1026,1026,v57-replay-01026,True
1027,58,1,Tovan,tool alcove,Tovan@tool alcove,1027,1027,1027,1027,1027,1027,v57-replay-01027,True
1028,58,2,Nia,fiber loft,Nia@fiber loft,1028,1028,1028,1028,1028,1028,v57-replay-01028,True
1029,58,3,Ari,glasshouse,Ari@glasshouse,1029,1029,1029,1029,1029,1029,v57-replay-01029,True
1030,58,4,Fay,river gate,Fay@river gate,1030,1030,1030,1030,1030,1030,v57-replay-01030,True
1031,58,5,Milo,west hearth,Milo@west hearth,1031,1031,1031,1031,1031,1031,v57-replay-01031,True
1032,58,6,Sera,rain court,Sera@rain court,1032,1032,1032,1032,1032,1032,v57-replay-01032,True
1033,58,7,Tovan,tool alcove,Tovan@tool alcove,1033,1033,1033,1033,1033,1033,v57-replay-01033,True
1034,58,8,Nia,fiber loft,Nia@fiber loft,1034,1034,1034,1034,1034,1034,v57-replay-01034,True
1035,58,9,Ari,glasshouse,Ari@glasshouse,1035,1035,1035,1035,1035,1035,v57-replay-01035,True
1036,58,10,Fay,river gate,Fay@river gate,1036,1036,1036,1036,1036,1036,v57-replay-01036,True
1037,58,11,Milo,west hearth,Milo@west hearth,1037,1037,1037,1037,1037,1037,v57-replay-01037,True
1038,58,12,Sera,rain court,Sera@rain court,1038,1038,1038,1038,1038,1038,v57-replay-01038,True
1039,58,13,Tovan,tool alcove,Tovan@tool alcove,1039,1039,1039,1039,1039,1039,v57-replay-01039,True
1040,58,14,Nia,fiber loft,Nia@fiber loft,1040,1040,1040,1040,1040,1040,v57-replay-01040,True
1041,58,15,Ari,glasshouse,Ari@glasshouse,1041,1041,1041,1041,1041,1041,v57-replay-01041,True
1042,58,16,Fay,river gate,Fay@river gate,1042,1042,1042,1042,1042,1042,v57-replay-01042,True
1043,58,17,Milo,west hearth,Milo@west hearth,1043,1043,1043,1043,1043,1043,v57-replay-01043,True
1044,59,0,Sera,tool alcove,Sera@tool alcove,1044,1044,1044,1044,1044,1044,v57-replay-01044,True
1045,59,1,Tovan,fiber loft,Tovan@fiber loft,1045,1045,1045,1045,1045,1045,v57-replay-01045,True
1046,59,2,Nia,glasshouse,Nia@glasshouse,1046,1046,1046,1046,1046,1046,v57-replay-01046,True
1047,59,3,Ari,river gate,Ari@river gate,1047,1047,1047,1047,1047,1047,v57-replay-01047,True
1048,59,4,Fay,west hearth,Fay@west hearth,1048,1048,1048,1048,1048,1048,v57-replay-01048,True
1049,59,5,Milo,rain court,Milo@rain court,1049,1049,1049,1049,1049,1049,v57-replay-01049,True
1050,59,6,Sera,tool alcove,Sera@tool alcove,1050,1050,1050,1050,1050,1050,v57-replay-01050,True
1051,59,7,Tovan,fiber loft,Tovan@fiber loft,1051,1051,1051,1051,1051,1051,v57-replay-01051,True
1052,59,8,Nia,glasshouse,Nia@glasshouse,1052,1052,1052,1052,1052,1052,v57-replay-01052,True
1053,59,9,Ari,river gate,Ari@river gate,1053,1053,1053,1053,1053,1053,v57-replay-01053,True
1054,59,10,Fay,west hearth,Fay@west hearth,1054,1054,1054,1054,1054,1054,v57-replay-01054,True
1055,59,11,Milo,rain court,Milo@rain court,1055,1055,1055,1055,1055,1055,v57-replay-01055,True
1056,59,12,Sera,tool alcove,Sera@tool alcove,1056,1056,1056,1056,1056,1056,v57-replay-01056,True
1057,59,13,Tovan,fiber loft,Tovan@fiber loft,1057,1057,1057,1057,1057,1057,v57-replay-01057,True
1058,59,14,Nia,glasshouse,Nia@glasshouse,1058,1058,1058,1058,1058,1058,v57-replay-01058,True
1059,59,15,Ari,river gate,Ari@river gate,1059,1059,1059,1059,1059,1059,v57-replay-01059,True
1060,59,16,Fay,west hearth,Fay@west hearth,1060,1060,1060,1060,1060,1060,v57-replay-01060,True
1061,59,17,Milo,rain court,Milo@rain court,1061,1061,1061,1061,1061,1061,v57-replay-01061,True
1062,60,0,Sera,fiber loft,Sera@fiber loft,1062,1062,1062,1062,1062,1062,v57-replay-01062,True
1063,60,1,Tovan,glasshouse,Tovan@glasshouse,1063,1063,1063,1063,1063,1063,v57-replay-01063,True
1064,60,2,Nia,river gate,Nia@river gate,1064,1064,1064,1064,1064,1064,v57-replay-01064,True
1065,60,3,Ari,west hearth,Ari@west hearth,1065,1065,1065,1065,1065,1065,v57-replay-01065,True
1066,60,4,Fay,rain court,Fay@rain court,1066,1066,1066,1066,1066,1066,v57-replay-01066,True
1067,60,5,Milo,tool alcove,Milo@tool alcove,1067,1067,1067,1067,1067,1067,v57-replay-01067,True
1068,60,6,Sera,fiber loft,Sera@fiber loft,1068,1068,1068,1068,1068,1068,v57-replay-01068,True
1069,60,7,Tovan,glasshouse,Tovan@glasshouse,1069,1069,1069,1069,1069,1069,v57-replay-01069,True
1070,60,8,Nia,river gate,Nia@river gate,1070,1070,1070,1070,1070,1070,v57-replay-01070,True
1071,60,9,Ari,west hearth,Ari@west hearth,1071,1071,1071,1071,1071,1071,v57-replay-01071,True
1072,60,10,Fay,rain court,Fay@rain court,1072,1072,1072,1072,1072,1072,v57-replay-01072,True
1073,60,11,Milo,tool alcove,Milo@tool alcove,1073,1073,1073,1073,1073,1073,v57-replay-01073,True
1074,60,12,Sera,fiber loft,Sera@fiber loft,1074,1074,1074,1074,1074,1074,v57-replay-01074,True
1075,60,13,Tovan,glasshouse,Tovan@glasshouse,1075,1075,1075,1075,1075,1075,v57-replay-01075,True
1076,60,14,Nia,river gate,Nia@river gate,1076,1076,1076,1076,1076,1076,v57-replay-01076,True
1077,60,15,Ari,west hearth,Ari@west hearth,1077,1077,1077,1077,1077,1077,v57-replay-01077,True
1078,60,16,Fay,rain court,Fay@rain court,1078,1078,1078,1078,1078,1078,v57-replay-01078,True
1079,60,17,Milo,tool alcove,Milo@tool alcove,1079,1079,1079,1079,1079,1079,v57-replay-01079,True
1080,61,0,Sera,glasshouse,Sera@glasshouse,1080,1080,1080,1080,1080,1080,v57-replay-01080,True
1081,61,1,Tovan,river gate,Tovan@river gate,1081,1081,1081,1081,1081,1081,v57-replay-01081,True
1082,61,2,Nia,west hearth,Nia@west hearth,1082,1082,1082,1082,1082,1082,v57-replay-01082,True
1083,61,3,Ari,rain court,Ari@rain court,1083,1083,1083,1083,1083,1083,v57-replay-01083,True
1084,61,4,Fay,tool alcove,Fay@tool alcove,1084,1084,1084,1084,1084,1084,v57-replay-01084,True
1085,61,5,Milo,fiber loft,Milo@fiber loft,1085,1085,1085,1085,1085,1085,v57-replay-01085,True
1086,61,6,Sera,glasshouse,Sera@glasshouse,1086,1086,1086,1086,1086,1086,v57-replay-01086,True
1087,61,7,Tovan,river gate,Tovan@river gate,1087,1087,1087,1087,1087,1087,v57-replay-01087,True
1088,61,8,Nia,west hearth,Nia@west hearth,1088,1088,1088,1088,1088,1088,v57-replay-01088,True
1089,61,9,Ari,rain court,Ari@rain court,1089,1089,1089,1089,1089,1089,v57-replay-01089,True
