generation,year,epoch,settlement_id,population_band,climate_pressure,resource_pressure,conflict_pressure,cooperation_rate,inherited_story_count,pre_avatar
70,2100,7,signal,603,0.315,0.466,0.132,0.94,138,True
70,2100,7,orchard,614,0.36,0.2,0.228,0.94,138,True
70,2100,7,repair_ring,625,0.405,0.238,0.132,0.94,138,True
71,2130,8,riverbend,577,0.225,0.428,0.26,0.94,140,True
71,2130,8,roofward,588,0.27,0.466,0.164,0.94,140,True
71,2130,8,archive,599,0.315,0.2,0.26,0.94,140,True
71,2130,8,signal,610,0.36,0.238,0.164,0.94,140,True
71,2130,8,orchard,621,0.405,0.276,0.26,0.94,140,True
71,2130,8,repair_ring,632,0.45,0.314,0.164,0.94,140,True
72,2160,8,riverbend,584,0.27,0.2,0.1,0.94,142,True
72,2160,8,roofward,595,0.315,0.238,0.196,0.94,142,True
72,2160,8,archive,606,0.36,0.276,0.1,0.94,142,True
72,2160,8,signal,617,0.405,0.314,0.196,0.94,142,True
72,2160,8,orchard,628,0.45,0.352,0.1,0.94,142,True
72,2160,8,repair_ring,639,0.18,0.39,0.196,0.94,142,True
73,2190,8,riverbend,591,0.315,0.276,0.132,0.94,144,True
73,2190,8,roofward,602,0.36,0.314,0.228,0.94,144,True
73,2190,8,archive,613,0.405,0.352,0.132,0.94,144,True
73,2190,8,signal,624,0.45,0.39,0.228,0.94,144,True
73,2190,8,orchard,635,0.18,0.428,0.132,0.94,144,True
73,2190,8,repair_ring,646,0.225,0.466,0.228,0.94,144,True
74,2220,8,riverbend,598,0.36,0.352,0.164,0.94,146,True
74,2220,8,roofward,609,0.405,0.39,0.26,0.94,146,True
74,2220,8,archive,620,0.45,0.428,0.164,0.94,146,True
74,2220,8,signal,631,0.18,0.466,0.26,0.94,146,True
74,2220,8,orchard,642,0.225,0.2,0.164,0.94,146,True
74,2220,8,repair_ring,653,0.27,0.238,0.26,0.94,146,True
75,2250,8,riverbend,605,0.405,0.428,0.196,0.94,148,True
75,2250,8,roofward,616,0.45,0.466,0.1,0.94,148,True
75,2250,8,archive,627,0.18,0.2,0.196,0.94,148,True
75,2250,8,signal,638,0.225,0.238,0.1,0.94,148,True
75,2250,8,orchard,649,0.27,0.276,0.196,0.94,148,True
75,2250,8,repair_ring,660,0.315,0.314,0.1,0.94,148,True
76,2280,8,riverbend,612,0.45,0.2,0.228,0.94,150,True
76,2280,8,roofward,623,0.18,0.238,0.132,0.94,150,True
76,2280,8,archive,634,0.225,0.276,0.228,0.94,150,True
76,2280,8,signal,645,0.27,0.314,0.132,0.94,150,True
76,2280,8,orchard,656,0.315,0.352,0.228,0.94,150,True
76,2280,8,repair_ring,667,0.36,0.39,0.132,0.94,150,True
77,2310,8,riverbend,619,0.18,0.276,0.26,0.94,152,True
77,2310,8,roofward,630,0.225,0.314,0.164,0.94,152,True
77,2310,8,archive,641,0.27,0.352,0.26,0.94,152,True
77,2310,8,signal,652,0.315,0.39,0.164,0.94,152,True
77,2310,8,orchard,663,0.36,0.428,0.26,0.94,152,True
77,2310,8,repair_ring,674,0.405,0.466,0.164,0.94,152,True
78,2340,8,riverbend,626,0.225,0.352,0.1,0.94,154,True
78,2340,8,roofward,637,0.27,0.39,0.196,0.94,154,True
78,2340,8,archive,648,0.315,0.428,0.1,0.94,154,True
78,2340,8,signal,659,0.36,0.466,0.196,0.94,154,True
78,2340,8,orchard,670,0.405,0.2,0.1,0.94,154,True
78,2340,8,repair_ring,681,0.45,0.238,0.196,0.94,154,True
79,2370,8,riverbend,633,0.27,0.428,0.132,0.94,156,True
79,2370,8,roofward,644,0.315,0.466,0.228,0.94,156,True
79,2370,8,archive,655,0.36,0.2,0.132,0.94,156,True
79,2370,8,signal,666,0.405,0.238,0.228,0.94,156,True
79,2370,8,orchard,677,0.45,0.276,0.132,0.94,156,True
79,2370,8,repair_ring,688,0.18,0.314,0.228,0.94,156,True
80,2400,8,riverbend,640,0.315,0.2,0.164,0.94,158,False
80,2400,8,roofward,651,0.36,0.238,0.26,0.94,158,False
80,2400,8,archive,662,0.405,0.276,0.164,0.94,158,False
80,2400,8,signal,673,0.45,0.314,0.26,0.94,158,False
80,2400,8,orchard,684,0.18,0.352,0.164,0.94,158,False
80,2400,8,repair_ring,695,0.225,0.39,0.26,0.94,158,False
