tick_id,day,session_id,settlement_id,resident_id,phrase,prior_memory,visible_consequence,trust_before,trust_after,proximity_before,proximity_after,consequence_saved,reply_bounded_to_phrasebook,no_autonomous_language_claim,no_llm_call
1209,68,canvas-session-012,orchid_engine,Eli,valve wait,prior:valve wait:canvas-session-012,keeps valve boundary,0.95,0.95,0.68,0.684,True,True,True,True
1210,68,canvas-session-012,moss_ward,Ari,loom wait,prior:loom wait:canvas-session-012,approaches after help,0.95,0.95,0.718,0.724,True,True,True,True
1211,68,canvas-session-012,glass_harbor,Oren,tea first,prior:tea first:canvas-session-012,lets avatar carry small part,0.95,0.95,0.68,0.684,True,True,True,True
1212,68,canvas-session-012,cinder_garden,Vale,seed sleep,prior:seed sleep:canvas-session-012,remembers cooled path,0.95,0.95,0.684,0.688,True,True,True,True
1213,68,canvas-session-012,lichen_bridge,Sol,signal hush,prior:signal hush:canvas-session-012,signals from a distance,0.95,0.95,0.684,0.688,True,True,True,True
1214,68,canvas-session-012,orchid_engine,Bea,orchid rest,prior:orchid rest:canvas-session-012,trusts slow repair,0.95,0.95,0.684,0.688,True,True,True,True
1215,68,canvas-session-012,moss_ward,Fay,path dry,prior:path dry:canvas-session-012,shares safer route,0.95,0.95,0.72,0.724,True,True,True,True
1216,68,canvas-session-012,glass_harbor,Puck,net keeper,prior:net keeper:canvas-session-012,faces avatar longer,0.95,0.95,0.68,0.684,True,True,True,True
1217,68,canvas-session-012,cinder_garden,Wren,cool hand,prior:cool hand:canvas-session-012,accepts slow handoff,0.95,0.95,0.68,0.684,True,True,True,True
1218,68,canvas-session-012,lichen_bridge,Kio,rope safe,prior:rope safe:canvas-session-012,shares a bowl marker,0.95,0.95,0.68,0.684,True,True,True,True
1219,68,canvas-session-012,orchid_engine,Cai,gear lane,prior:gear lane:canvas-session-012,waits without flinch,0.95,0.95,0.68,0.684,True,True,True,True
1220,68,canvas-session-012,moss_ward,Milo,ledger no touch,prior:ledger no touch:canvas-session-012,keeps respectful distance,0.95,0.95,0.722,0.726,True,True,True,True
1221,68,canvas-session-012,glass_harbor,Sera,lamp bright,prior:lamp bright:canvas-session-012,warns before fog,0.95,0.95,0.68,0.684,True,True,True,True
1222,68,canvas-session-012,cinder_garden,Juno,shade first,prior:shade first:canvas-session-012,moves closer to shade,0.95,0.95,0.68,0.684,True,True,True,True
1223,68,canvas-session-012,lichen_bridge,Luma,bowl shared,prior:bowl shared:canvas-session-012,offers spare knot,0.95,0.95,0.684,0.688,True,True,True,True
1224,69,canvas-session-012,moss_ward,Fay,loom wait,prior:loom wait:canvas-session-012,approaches after help,0.95,0.95,0.724,0.73,True,True,True,True
1225,69,canvas-session-012,glass_harbor,Puck,tea first,prior:tea first:canvas-session-012,lets avatar carry small part,0.95,0.95,0.684,0.688,True,True,True,True
1226,69,canvas-session-012,cinder_garden,Wren,seed sleep,prior:seed sleep:canvas-session-012,remembers cooled path,0.95,0.95,0.684,0.688,True,True,True,True
1227,69,canvas-session-012,lichen_bridge,Kio,signal hush,prior:signal hush:canvas-session-012,signals from a distance,0.95,0.95,0.684,0.688,True,True,True,True
1228,69,canvas-session-012,orchid_engine,Cai,orchid rest,prior:orchid rest:canvas-session-012,trusts slow repair,0.95,0.95,0.684,0.688,True,True,True,True
1229,69,canvas-session-012,moss_ward,Milo,path dry,prior:path dry:canvas-session-012,shares safer route,0.95,0.95,0.726,0.73,True,True,True,True
1230,69,canvas-session-012,glass_harbor,Sera,net keeper,prior:net keeper:canvas-session-012,faces avatar longer,0.95,0.95,0.684,0.688,True,True,True,True
1231,69,canvas-session-012,cinder_garden,Juno,cool hand,prior:cool hand:canvas-session-012,accepts slow handoff,0.95,0.95,0.684,0.688,True,True,True,True
1232,69,canvas-session-012,lichen_bridge,Luma,rope safe,prior:rope safe:canvas-session-012,shares a bowl marker,0.95,0.95,0.688,0.692,True,True,True,True
1233,69,canvas-session-012,orchid_engine,Dax,gear lane,prior:gear lane:canvas-session-012,waits without flinch,0.95,0.95,0.684,0.688,True,True,True,True
1234,69,canvas-session-012,moss_ward,Tala,ledger no touch,prior:ledger no touch:canvas-session-012,keeps respectful distance,0.95,0.95,0.726,0.73,True,True,True,True
1235,69,canvas-session-012,glass_harbor,Nia,lamp bright,prior:lamp bright:canvas-session-012,warns before fog,0.95,0.95,0.684,0.688,True,True,True,True
1236,69,canvas-session-012,cinder_garden,Pax,shade first,prior:shade first:canvas-session-012,moves closer to shade,0.95,0.95,0.684,0.688,True,True,True,True
1237,69,canvas-session-012,lichen_bridge,Rin,bowl shared,prior:bowl shared:canvas-session-012,offers spare knot,0.95,0.95,0.684,0.688,True,True,True,True
1238,69,canvas-session-012,orchid_engine,Eli,valve wait,prior:valve wait:canvas-session-012,keeps valve boundary,0.95,0.95,0.684,0.688,True,True,True,True
1239,69,canvas-session-012,moss_ward,Ari,loom wait,prior:loom wait:canvas-session-012,approaches after help,0.95,0.95,0.724,0.73,True,True,True,True
1240,69,canvas-session-012,glass_harbor,Oren,tea first,prior:tea first:canvas-session-012,lets avatar carry small part,0.95,0.95,0.684,0.688,True,True,True,True
1241,69,canvas-session-012,cinder_garden,Vale,seed sleep,prior:seed sleep:canvas-session-012,remembers cooled path,0.95,0.95,0.688,0.692,True,True,True,True
1242,70,canvas-session-012,orchid_engine,Dax,orchid rest,prior:orchid rest:canvas-session-012,trusts slow repair,0.95,0.95,0.688,0.692,True,True,True,True
1243,70,canvas-session-012,moss_ward,Tala,path dry,prior:path dry:canvas-session-012,shares safer route,0.95,0.95,0.73,0.734,True,True,True,True
1244,70,canvas-session-012,glass_harbor,Nia,net keeper,prior:net keeper:canvas-session-012,faces avatar longer,0.95,0.95,0.688,0.692,True,True,True,True
1245,70,canvas-session-012,cinder_garden,Pax,cool hand,prior:cool hand:canvas-session-012,accepts slow handoff,0.95,0.95,0.688,0.692,True,True,True,True
1246,70,canvas-session-012,lichen_bridge,Rin,rope safe,prior:rope safe:canvas-session-012,shares a bowl marker,0.95,0.95,0.688,0.692,True,True,True,True
1247,70,canvas-session-012,orchid_engine,Eli,gear lane,prior:gear lane:canvas-session-012,waits without flinch,0.95,0.95,0.688,0.692,True,True,True,True
1248,70,canvas-session-012,moss_ward,Ari,ledger no touch,prior:ledger no touch:canvas-session-012,keeps respectful distance,0.95,0.95,0.73,0.734,True,True,True,True
1249,70,canvas-session-012,glass_harbor,Oren,lamp bright,prior:lamp bright:canvas-session-012,warns before fog,0.95,0.95,0.688,0.692,True,True,True,True
1250,70,canvas-session-012,cinder_garden,Vale,shade first,prior:shade first:canvas-session-012,moves closer to shade,0.95,0.95,0.692,0.696,True,True,True,True
1251,70,canvas-session-012,lichen_bridge,Sol,bowl shared,prior:bowl shared:canvas-session-012,offers spare knot,0.95,0.95,0.688,0.692,True,True,True,True
1252,70,canvas-session-012,orchid_engine,Bea,valve wait,prior:valve wait:canvas-session-012,keeps valve boundary,0.95,0.95,0.688,0.692,True,True,True,True
1253,70,canvas-session-012,moss_ward,Fay,loom wait,prior:loom wait:canvas-session-012,approaches after help,0.95,0.95,0.73,0.736,True,True,True,True
1254,70,canvas-session-012,glass_harbor,Puck,tea first,prior:tea first:canvas-session-012,lets avatar carry small part,0.95,0.95,0.688,0.692,True,True,True,True
1255,70,canvas-session-012,cinder_garden,Wren,seed sleep,prior:seed sleep:canvas-session-012,remembers cooled path,0.95,0.95,0.688,0.692,True,True,True,True
1256,70,canvas-session-012,lichen_bridge,Kio,signal hush,prior:signal hush:canvas-session-012,signals from a distance,0.95,0.95,0.688,0.692,True,True,True,True
1257,70,canvas-session-012,orchid_engine,Cai,orchid rest,prior:orchid rest:canvas-session-012,trusts slow repair,0.95,0.95,0.688,0.692,True,True,True,True
1258,70,canvas-session-012,moss_ward,Milo,path dry,prior:path dry:canvas-session-012,shares safer route,0.95,0.95,0.73,0.734,True,True,True,True
1259,70,canvas-session-012,glass_harbor,Sera,net keeper,prior:net keeper:canvas-session-012,faces avatar longer,0.95,0.95,0.688,0.692,True,True,True,True
1260,71,canvas-session-012,lichen_bridge,Sol,rope safe,prior:rope safe:canvas-session-012,shares a bowl marker,0.95,0.95,0.692,0.696,True,True,True,True
1261,71,canvas-session-012,orchid_engine,Bea,gear lane,prior:gear lane:canvas-session-012,waits without flinch,0.95,0.95,0.692,0.696,True,True,True,True
1262,71,canvas-session-012,moss_ward,Fay,ledger no touch,prior:ledger no touch:canvas-session-012,keeps respectful distance,0.95,0.95,0.736,0.74,True,True,True,True
1263,71,canvas-session-012,glass_harbor,Puck,lamp bright,prior:lamp bright:canvas-session-012,warns before fog,0.95,0.95,0.692,0.696,True,True,True,True
1264,71,canvas-session-012,cinder_garden,Wren,shade first,prior:shade first:canvas-session-012,moves closer to shade,0.95,0.95,0.692,0.696,True,True,True,True
1265,71,canvas-session-012,lichen_bridge,Kio,bowl shared,prior:bowl shared:canvas-session-012,offers spare knot,0.95,0.95,0.692,0.696,True,True,True,True
1266,71,canvas-session-012,orchid_engine,Cai,valve wait,prior:valve wait:canvas-session-012,keeps valve boundary,0.95,0.95,0.692,0.696,True,True,True,True
1267,71,canvas-session-012,moss_ward,Milo,loom wait,prior:loom wait:canvas-session-012,approaches after help,0.95,0.95,0.734,0.74,True,True,True,True
1268,71,canvas-session-012,glass_harbor,Sera,tea first,prior:tea first:canvas-session-012,lets avatar carry small part,0.95,0.95,0.692,0.696,True,True,True,True
1269,71,canvas-session-012,cinder_garden,Juno,seed sleep,prior:seed sleep:canvas-session-012,remembers cooled path,0.95,0.95,0.688,0.692,True,True,True,True
1270,71,canvas-session-012,lichen_bridge,Luma,signal hush,prior:signal hush:canvas-session-012,signals from a distance,0.95,0.95,0.692,0.696,True,True,True,True
1271,71,canvas-session-012,orchid_engine,Dax,orchid rest,prior:orchid rest:canvas-session-012,trusts slow repair,0.95,0.95,0.692,0.696,True,True,True,True
1272,71,canvas-session-012,moss_ward,Tala,path dry,prior:path dry:canvas-session-012,shares safer route,0.95,0.95,0.734,0.738,True,True,True,True
1273,71,canvas-session-012,glass_harbor,Nia,net keeper,prior:net keeper:canvas-session-012,faces avatar longer,0.95,0.95,0.692,0.696,True,True,True,True
1274,71,canvas-session-012,cinder_garden,Pax,cool hand,prior:cool hand:canvas-session-012,accepts slow handoff,0.95,0.95,0.692,0.696,True,True,True,True
1275,71,canvas-session-012,lichen_bridge,Rin,rope safe,prior:rope safe:canvas-session-012,shares a bowl marker,0.95,0.95,0.692,0.696,True,True,True,True
1276,71,canvas-session-012,orchid_engine,Eli,gear lane,prior:gear lane:canvas-session-012,waits without flinch,0.95,0.95,0.692,0.696,True,True,True,True
1277,71,canvas-session-012,moss_ward,Ari,ledger no touch,prior:ledger no touch:canvas-session-012,keeps respectful distance,0.95,0.95,0.734,0.738,True,True,True,True
1278,72,canvas-session-012,cinder_garden,Juno,shade first,prior:shade first:canvas-session-012,moves closer to shade,0.95,0.95,0.692,0.696,True,True,True,True
1279,72,canvas-session-012,lichen_bridge,Luma,bowl shared,prior:bowl shared:canvas-session-012,offers spare knot,0.95,0.95,0.696,0.7,True,True,True,True
1280,72,canvas-session-012,orchid_engine,Dax,valve wait,prior:valve wait:canvas-session-012,keeps valve boundary,0.95,0.95,0.696,0.7,True,True,True,True
1281,72,canvas-session-012,moss_ward,Tala,loom wait,prior:loom wait:canvas-session-012,approaches after help,0.95,0.95,0.738,0.744,True,True,True,True
1282,72,canvas-session-012,glass_harbor,Nia,tea first,prior:tea first:canvas-session-012,lets avatar carry small part,0.95,0.95,0.696,0.7,True,True,True,True
1283,72,canvas-session-012,cinder_garden,Pax,seed sleep,prior:seed sleep:canvas-session-012,remembers cooled path,0.95,0.95,0.696,0.7,True,True,True,True
1284,72,canvas-session-012,lichen_bridge,Rin,signal hush,prior:signal hush:canvas-session-012,signals from a distance,0.95,0.95,0.696,0.7,True,True,True,True
1285,72,canvas-session-012,orchid_engine,Eli,orchid rest,prior:orchid rest:canvas-session-012,trusts slow repair,0.95,0.95,0.696,0.7,True,True,True,True
1286,72,canvas-session-012,moss_ward,Ari,path dry,prior:path dry:canvas-session-012,shares safer route,0.95,0.95,0.738,0.742,True,True,True,True
1287,72,canvas-session-012,glass_harbor,Oren,net keeper,prior:net keeper:canvas-session-012,faces avatar longer,0.95,0.95,0.692,0.696,True,True,True,True
1288,72,canvas-session-012,cinder_garden,Vale,cool hand,prior:cool hand:canvas-session-012,accepts slow handoff,0.95,0.95,0.696,0.7,True,True,True,True
1289,72,canvas-session-012,lichen_bridge,Sol,rope safe,prior:rope safe:canvas-session-012,shares a bowl marker,0.95,0.95,0.696,0.7,True,True,True,True
1290,72,canvas-session-012,orchid_engine,Bea,gear lane,prior:gear lane:canvas-session-012,waits without flinch,0.95,0.95,0.696,0.7,True,True,True,True
1291,72,canvas-session-012,moss_ward,Fay,ledger no touch,prior:ledger no touch:canvas-session-012,keeps respectful distance,0.95,0.95,0.74,0.744,True,True,True,True
1292,72,canvas-session-012,glass_harbor,Puck,lamp bright,prior:lamp bright:canvas-session-012,warns before fog,0.95,0.95,0.696,0.7,True,True,True,True
1293,72,canvas-session-012,cinder_garden,Wren,shade first,prior:shade first:canvas-session-012,moves closer to shade,0.95,0.95,0.696,0.7,True,True,True,True
1294,72,canvas-session-012,lichen_bridge,Kio,bowl shared,prior:bowl shared:canvas-session-012,offers spare knot,0.95,0.95,0.696,0.7,True,True,True,True
1295,72,canvas-session-012,orchid_engine,Cai,valve wait,prior:valve wait:canvas-session-012,keeps valve boundary,0.95,0.95,0.696,0.7,True,True,True,True
1296,73,canvas-session-013,glass_harbor,Oren,tea first,prior:tea first:canvas-session-013,lets avatar carry small part,0.95,0.95,0.696,0.7,True,True,True,True
1297,73,canvas-session-013,cinder_garden,Vale,seed sleep,prior:seed sleep:canvas-session-013,remembers cooled path,0.95,0.95,0.7,0.704,True,True,True,True
1298,73,canvas-session-013,lichen_bridge,Sol,signal hush,prior:signal hush:canvas-session-013,signals from a distance,0.95,0.95,0.7,0.704,True,True,True,True
1299,73,canvas-session-013,orchid_engine,Bea,orchid rest,prior:orchid rest:canvas-session-013,trusts slow repair,0.95,0.95,0.7,0.704,True,True,True,True
1300,73,canvas-session-013,moss_ward,Fay,path dry,prior:path dry:canvas-session-013,shares safer route,0.95,0.95,0.744,0.748,True,True,True,True
1301,73,canvas-session-013,glass_harbor,Puck,net keeper,prior:net keeper:canvas-session-013,faces avatar longer,0.95,0.95,0.7,0.704,True,True,True,True
1302,73,canvas-session-013,cinder_garden,Wren,cool hand,prior:cool hand:canvas-session-013,accepts slow handoff,0.95,0.95,0.7,0.704,True,True,True,True
1303,73,canvas-session-013,lichen_bridge,Kio,rope safe,prior:rope safe:canvas-session-013,shares a bowl marker,0.95,0.95,0.7,0.704,True,True,True,True
1304,73,canvas-session-013,orchid_engine,Cai,gear lane,prior:gear lane:canvas-session-013,waits without flinch,0.95,0.95,0.7,0.704,True,True,True,True
1305,73,canvas-session-013,moss_ward,Milo,ledger no touch,prior:ledger no touch:canvas-session-013,keeps respectful distance,0.95,0.95,0.74,0.744,True,True,True,True
1306,73,canvas-session-013,glass_harbor,Sera,lamp bright,prior:lamp bright:canvas-session-013,warns before fog,0.95,0.95,0.696,0.7,True,True,True,True
1307,73,canvas-session-013,cinder_garden,Juno,shade first,prior:shade first:canvas-session-013,moves closer to shade,0.95,0.95,0.696,0.7,True,True,True,True
1308,73,canvas-session-013,lichen_bridge,Luma,bowl shared,prior:bowl shared:canvas-session-013,offers spare knot,0.95,0.95,0.7,0.704,True,True,True,True
1309,73,canvas-session-013,orchid_engine,Dax,valve wait,prior:valve wait:canvas-session-013,keeps valve boundary,0.95,0.95,0.7,0.704,True,True,True,True
1310,73,canvas-session-013,moss_ward,Tala,loom wait,prior:loom wait:canvas-session-013,approaches after help,0.95,0.95,0.744,0.75,True,True,True,True
1311,73,canvas-session-013,glass_harbor,Nia,tea first,prior:tea first:canvas-session-013,lets avatar carry small part,0.95,0.95,0.7,0.704,True,True,True,True
1312,73,canvas-session-013,cinder_garden,Pax,seed sleep,prior:seed sleep:canvas-session-013,remembers cooled path,0.95,0.95,0.7,0.704,True,True,True,True
1313,73,canvas-session-013,lichen_bridge,Rin,signal hush,prior:signal hush:canvas-session-013,signals from a distance,0.95,0.95,0.7,0.704,True,True,True,True
1314,74,canvas-session-013,moss_ward,Milo,path dry,prior:path dry:canvas-session-013,shares safer route,0.95,0.95,0.744,0.748,True,True,True,True
1315,74,canvas-session-013,glass_harbor,Sera,net keeper,prior:net keeper:canvas-session-013,faces avatar longer,0.95,0.95,0.7,0.704,True,True,True,True
1316,74,canvas-session-013,cinder_garden,Juno,cool hand,prior:cool hand:canvas-session-013,accepts slow handoff,0.95,0.95,0.7,0.704,True,True,True,True
1317,74,canvas-session-013,lichen_bridge,Luma,rope safe,prior:rope safe:canvas-session-013,shares a bowl marker,0.95,0.95,0.704,0.708,True,True,True,True
1318,74,canvas-session-013,orchid_engine,Dax,gear lane,prior:gear lane:canvas-session-013,waits without flinch,0.95,0.95,0.704,0.708,True,True,True,True
1319,74,canvas-session-013,moss_ward,Tala,ledger no touch,prior:ledger no touch:canvas-session-013,keeps respectful distance,0.95,0.95,0.75,0.754,True,True,True,True
1320,74,canvas-session-013,glass_harbor,Nia,lamp bright,prior:lamp bright:canvas-session-013,warns before fog,0.95,0.95,0.704,0.708,True,True,True,True
1321,74,canvas-session-013,cinder_garden,Pax,shade first,prior:shade first:canvas-session-013,moves closer to shade,0.95,0.95,0.704,0.708,True,True,True,True
1322,74,canvas-session-013,lichen_bridge,Rin,bowl shared,prior:bowl shared:canvas-session-013,offers spare knot,0.95,0.95,0.704,0.708,True,True,True,True
1323,74,canvas-session-013,orchid_engine,Eli,valve wait,prior:valve wait:canvas-session-013,keeps valve boundary,0.95,0.95,0.7,0.704,True,True,True,True
1324,74,canvas-session-013,moss_ward,Ari,loom wait,prior:loom wait:canvas-session-013,approaches after help,0.95,0.95,0.742,0.748,True,True,True,True
1325,74,canvas-session-013,glass_harbor,Oren,tea first,prior:tea first:canvas-session-013,lets avatar carry small part,0.95,0.95,0.7,0.704,True,True,True,True
1326,74,canvas-session-013,cinder_garden,Vale,seed sleep,prior:seed sleep:canvas-session-013,remembers cooled path,0.95,0.95,0.704,0.708,True,True,True,True
1327,74,canvas-session-013,lichen_bridge,Sol,signal hush,prior:signal hush:canvas-session-013,signals from a distance,0.95,0.95,0.704,0.708,True,True,True,True
1328,74,canvas-session-013,orchid_engine,Bea,orchid rest,prior:orchid rest:canvas-session-013,trusts slow repair,0.95,0.95,0.704,0.708,True,True,True,True
1329,74,canvas-session-013,moss_ward,Fay,path dry,prior:path dry:canvas-session-013,shares safer route,0.95,0.95,0.748,0.752,True,True,True,True
1330,74,canvas-session-013,glass_harbor,Puck,net keeper,prior:net keeper:canvas-session-013,faces avatar longer,0.95,0.95,0.704,0.708,True,True,True,True
1331,74,canvas-session-013,cinder_garden,Wren,cool hand,prior:cool hand:canvas-session-013,accepts slow handoff,0.95,0.95,0.704,0.708,True,True,True,True
1332,75,canvas-session-013,orchid_engine,Eli,gear lane,prior:gear lane:canvas-session-013,waits without flinch,0.95,0.95,0.704,0.708,True,True,True,True
1333,75,canvas-session-013,moss_ward,Ari,ledger no touch,prior:ledger no touch:canvas-session-013,keeps respectful distance,0.95,0.95,0.748,0.752,True,True,True,True
1334,75,canvas-session-013,glass_harbor,Oren,lamp bright,prior:lamp bright:canvas-session-013,warns before fog,0.95,0.95,0.704,0.708,True,True,True,True
1335,75,canvas-session-013,cinder_garden,Vale,shade first,prior:shade first:canvas-session-013,moves closer to shade,0.95,0.95,0.708,0.712,True,True,True,True
1336,75,canvas-session-013,lichen_bridge,Sol,bowl shared,prior:bowl shared:canvas-session-013,offers spare knot,0.95,0.95,0.708,0.712,True,True,True,True
1337,75,canvas-session-013,orchid_engine,Bea,valve wait,prior:valve wait:canvas-session-013,keeps valve boundary,0.95,0.95,0.708,0.712,True,True,True,True
1338,75,canvas-session-013,moss_ward,Fay,loom wait,prior:loom wait:canvas-session-013,approaches after help,0.95,0.95,0.752,0.758,True,True,True,True
1339,75,canvas-session-013,glass_harbor,Puck,tea first,prior:tea first:canvas-session-013,lets avatar carry small part,0.95,0.95,0.708,0.712,True,True,True,True
1340,75,canvas-session-013,cinder_garden,Wren,seed sleep,prior:seed sleep:canvas-session-013,remembers cooled path,0.95,0.95,0.708,0.712,True,True,True,True
1341,75,canvas-session-013,lichen_bridge,Kio,signal hush,prior:signal hush:canvas-session-013,signals from a distance,0.95,0.95,0.704,0.708,True,True,True,True
1342,75,canvas-session-013,orchid_engine,Cai,orchid rest,prior:orchid rest:canvas-session-013,trusts slow repair,0.95,0.95,0.704,0.708,True,True,True,True
1343,75,canvas-session-013,moss_ward,Milo,path dry,prior:path dry:canvas-session-013,shares safer route,0.95,0.95,0.748,0.752,True,True,True,True
1344,75,canvas-session-013,glass_harbor,Sera,net keeper,prior:net keeper:canvas-session-013,faces avatar longer,0.95,0.95,0.704,0.708,True,True,True,True
1345,75,canvas-session-013,cinder_garden,Juno,cool hand,prior:cool hand:canvas-session-013,accepts slow handoff,0.95,0.95,0.704,0.708,True,True,True,True
1346,75,canvas-session-013,lichen_bridge,Luma,rope safe,prior:rope safe:canvas-session-013,shares a bowl marker,0.95,0.95,0.708,0.712,True,True,True,True
1347,75,canvas-session-013,orchid_engine,Dax,gear lane,prior:gear lane:canvas-session-013,waits without flinch,0.95,0.95,0.708,0.712,True,True,True,True
1348,75,canvas-session-013,moss_ward,Tala,ledger no touch,prior:ledger no touch:canvas-session-013,keeps respectful distance,0.95,0.95,0.754,0.758,True,True,True,True
1349,75,canvas-session-013,glass_harbor,Nia,lamp bright,prior:lamp bright:canvas-session-013,warns before fog,0.95,0.95,0.708,0.712,True,True,True,True
1350,76,canvas-session-013,lichen_bridge,Kio,bowl shared,prior:bowl shared:canvas-session-013,offers spare knot,0.95,0.95,0.708,0.712,True,True,True,True
1351,76,canvas-session-013,orchid_engine,Cai,valve wait,prior:valve wait:canvas-session-013,keeps valve boundary,0.95,0.95,0.708,0.712,True,True,True,True
1352,76,canvas-session-013,moss_ward,Milo,loom wait,prior:loom wait:canvas-session-013,approaches after help,0.95,0.95,0.752,0.758,True,True,True,True
1353,76,canvas-session-013,glass_harbor,Sera,tea first,prior:tea first:canvas-session-013,lets avatar carry small part,0.95,0.95,0.708,0.712,True,True,True,True
1354,76,canvas-session-013,cinder_garden,Juno,seed sleep,prior:seed sleep:canvas-session-013,remembers cooled path,0.95,0.95,0.708,0.712,True,True,True,True
1355,76,canvas-session-013,lichen_bridge,Luma,signal hush,prior:signal hush:canvas-session-013,signals from a distance,0.95,0.95,0.712,0.716,True,True,True,True
1356,76,canvas-session-013,orchid_engine,Dax,orchid rest,prior:orchid rest:canvas-session-013,trusts slow repair,0.95,0.95,0.712,0.716,True,True,True,True
1357,76,canvas-session-013,moss_ward,Tala,path dry,prior:path dry:canvas-session-013,shares safer route,0.95,0.95,0.758,0.762,True,True,True,True
1358,76,canvas-session-013,glass_harbor,Nia,net keeper,prior:net keeper:canvas-session-013,faces avatar longer,0.95,0.95,0.712,0.716,True,True,True,True
1359,76,canvas-session-013,cinder_garden,Pax,cool hand,prior:cool hand:canvas-session-013,accepts slow handoff,0.95,0.95,0.708,0.712,True,True,True,True
1360,76,canvas-session-013,lichen_bridge,Rin,rope safe,prior:rope safe:canvas-session-013,shares a bowl marker,0.95,0.95,0.708,0.712,True,True,True,True
1361,76,canvas-session-013,orchid_engine,Eli,gear lane,prior:gear lane:canvas-session-013,waits without flinch,0.95,0.95,0.708,0.712,True,True,True,True
1362,76,canvas-session-013,moss_ward,Ari,ledger no touch,prior:ledger no touch:canvas-session-013,keeps respectful distance,0.95,0.95,0.752,0.756,True,True,True,True
1363,76,canvas-session-013,glass_harbor,Oren,lamp bright,prior:lamp bright:canvas-session-013,warns before fog,0.95,0.95,0.708,0.712,True,True,True,True
1364,76,canvas-session-013,cinder_garden,Vale,shade first,prior:shade first:canvas-session-013,moves closer to shade,0.95,0.95,0.712,0.716,True,True,True,True
1365,76,canvas-session-013,lichen_bridge,Sol,bowl shared,prior:bowl shared:canvas-session-013,offers spare knot,0.95,0.95,0.712,0.716,True,True,True,True
1366,76,canvas-session-013,orchid_engine,Bea,valve wait,prior:valve wait:canvas-session-013,keeps valve boundary,0.95,0.95,0.712,0.716,True,True,True,True
1367,76,canvas-session-013,moss_ward,Fay,loom wait,prior:loom wait:canvas-session-013,approaches after help,0.95,0.95,0.758,0.764,True,True,True,True
1368,77,canvas-session-013,cinder_garden,Pax,seed sleep,prior:seed sleep:canvas-session-013,remembers cooled path,0.95,0.95,0.712,0.716,True,True,True,True
1369,77,canvas-session-013,lichen_bridge,Rin,signal hush,prior:signal hush:canvas-session-013,signals from a distance,0.95,0.95,0.712,0.716,True,True,True,True
1370,77,canvas-session-013,orchid_engine,Eli,orchid rest,prior:orchid rest:canvas-session-013,trusts slow repair,0.95,0.95,0.712,0.716,True,True,True,True
1371,77,canvas-session-013,moss_ward,Ari,path dry,prior:path dry:canvas-session-013,shares safer route,0.95,0.95,0.756,0.76,True,True,True,True
1372,77,canvas-session-013,glass_harbor,Oren,net keeper,prior:net keeper:canvas-session-013,faces avatar longer,0.95,0.95,0.712,0.716,True,True,True,True
1373,77,canvas-session-013,cinder_garden,Vale,cool hand,prior:cool hand:canvas-session-013,accepts slow handoff,0.95,0.95,0.716,0.72,True,True,True,True
1374,77,canvas-session-013,lichen_bridge,Sol,rope safe,prior:rope safe:canvas-session-013,shares a bowl marker,0.95,0.95,0.716,0.72,True,True,True,True
1375,77,canvas-session-013,orchid_engine,Bea,gear lane,prior:gear lane:canvas-session-013,waits without flinch,0.95,0.95,0.716,0.72,True,True,True,True
1376,77,canvas-session-013,moss_ward,Fay,ledger no touch,prior:ledger no touch:canvas-session-013,keeps respectful distance,0.95,0.95,0.764,0.768,True,True,True,True
1377,77,canvas-session-013,glass_harbor,Puck,lamp bright,prior:lamp bright:canvas-session-013,warns before fog,0.95,0.95,0.712,0.716,True,True,True,True
1378,77,canvas-session-013,cinder_garden,Wren,shade first,prior:shade first:canvas-session-013,moves closer to shade,0.95,0.95,0.712,0.716,True,True,True,True
1379,77,canvas-session-013,lichen_bridge,Kio,bowl shared,prior:bowl shared:canvas-session-013,offers spare knot,0.95,0.95,0.712,0.716,True,True,True,True
1380,77,canvas-session-013,orchid_engine,Cai,valve wait,prior:valve wait:canvas-session-013,keeps valve boundary,0.95,0.95,0.712,0.716,True,True,True,True
1381,77,canvas-session-013,moss_ward,Milo,loom wait,prior:loom wait:canvas-session-013,approaches after help,0.95,0.95,0.758,0.764,True,True,True,True
1382,77,canvas-session-013,glass_harbor,Sera,tea first,prior:tea first:canvas-session-013,lets avatar carry small part,0.95,0.95,0.712,0.716,True,True,True,True
1383,77,canvas-session-013,cinder_garden,Juno,seed sleep,prior:seed sleep:canvas-session-013,remembers cooled path,0.95,0.95,0.712,0.716,True,True,True,True
1384,77,canvas-session-013,lichen_bridge,Luma,signal hush,prior:signal hush:canvas-session-013,signals from a distance,0.95,0.95,0.716,0.72,True,True,True,True
1385,77,canvas-session-013,orchid_engine,Dax,orchid rest,prior:orchid rest:canvas-session-013,trusts slow repair,0.95,0.95,0.716,0.72,True,True,True,True
1386,78,canvas-session-013,glass_harbor,Puck,net keeper,prior:net keeper:canvas-session-013,faces avatar longer,0.95,0.95,0.716,0.72,True,True,True,True
1387,78,canvas-session-013,cinder_garden,Wren,cool hand,prior:cool hand:canvas-session-013,accepts slow handoff,0.95,0.95,0.716,0.72,True,True,True,True
