tick_id,day,settlement_id,resident_id,turn_index,avatar_phrase,resident_phrase,intent,response_key,confidence_before,confidence_after,misunderstanding_risk,bounded_phrasebook,no_llm_call,private_workspace_not_dumped,frequency_hz,flower_phase
540,31,glass_harbor,Nia,108,I ask net owner,lamp stays bright,repair uncertainty,admit_unknown,0.75,0.768,0.04,True,True,True,15.84022,0.559833
541,31,cinder_garden,Pax,108,I offer cool stone,cool hand means wait,offer bounded aid,offer_trade,0.75,0.754,0.04,True,True,True,18.39926,0.585463
542,31,lichen_bridge,Rin,108,I do not step on rope,bell has keeper,respect boundary,step_back,0.676,0.686,0.064,True,True,True,17.05342,0.579093
543,31,orchid_engine,Eli,108,I need translation,say it with palms,answer bounded phrase,answer_known,0.676,0.682,0.104,True,True,True,19.39264,0.606722
544,31,moss_ward,Ari,108,I wait,warm cup first,repair uncertainty,ask_clarify,0.75,0.768,0.04,True,True,True,14.7777,0.565352
545,31,glass_harbor,Oren,109,I ask net owner,lamp stays bright,repair uncertainty,gesture_repair,0.75,0.768,0.04,True,True,True,15.92132,0.582981
546,31,cinder_garden,Vale,109,I offer cool stone,cool hand means wait,repair uncertainty,admit_unknown,0.676,0.694,0.064,True,True,True,18.46374,0.608611
547,31,lichen_bridge,Sol,109,I do not step on rope,bell has keeper,offer bounded aid,offer_trade,0.676,0.68,0.064,True,True,True,17.14006,0.602241
548,31,orchid_engine,Bea,109,I need translation,say it with palms,respect boundary,step_back,0.75,0.76,0.04,True,True,True,19.5039,0.62987
549,31,moss_ward,Fay,109,I wait,warm cup first,answer bounded phrase,answer_known,0.75,0.756,0.04,True,True,True,14.85532,0.5885
550,31,glass_harbor,Puck,110,I ask net owner,lamp stays bright,repair uncertainty,ask_clarify,0.676,0.694,0.064,True,True,True,15.98174,0.60613
551,31,cinder_garden,Wren,110,I offer cool stone,cool hand means wait,repair uncertainty,gesture_repair,0.676,0.694,0.064,True,True,True,18.55264,0.631759
552,31,lichen_bridge,Kio,110,I do not step on rope,bell has keeper,repair uncertainty,admit_unknown,0.75,0.768,0.04,True,True,True,17.2537,0.625389
553,31,orchid_engine,Cai,110,I need translation,say it with palms,offer bounded aid,offer_trade,0.75,0.754,0.04,True,True,True,19.58274,0.653019
554,31,moss_ward,Milo,110,I wait,warm cup first,respect boundary,step_back,0.676,0.686,0.064,True,True,True,14.91742,0.611648
555,31,glass_harbor,Sera,111,I ask net owner,lamp stays bright,answer bounded phrase,answer_known,0.676,0.682,0.104,True,True,True,16.06664,0.629278
556,31,cinder_garden,Juno,111,I offer cool stone,cool hand means wait,repair uncertainty,ask_clarify,0.75,0.768,0.04,True,True,True,18.66222,0.654907
557,31,lichen_bridge,Luma,111,I do not step on rope,bell has keeper,repair uncertainty,gesture_repair,0.75,0.768,0.04,True,True,True,17.33532,0.648537
558,32,moss_ward,Ari,111,I offer trade,blanket path clear,offer bounded aid,offer_trade,0.768,0.772,0.04,True,True,True,15.01868,0.631
559,32,glass_harbor,Oren,112,I do not dim lamp,fog catcher closed,respect boundary,step_back,0.768,0.778,0.04,True,True,True,16.16222,0.64863
560,32,cinder_garden,Vale,112,I need translation,repeat without hurry,answer bounded phrase,answer_known,0.694,0.7,0.086,True,True,True,18.70478,0.674259
561,32,lichen_bridge,Sol,112,I touch rope post,signal hush first,repair uncertainty,ask_clarify,0.68,0.698,0.06,True,True,True,17.38328,0.667889
562,32,orchid_engine,Bea,111,I ask valve custom,orchid lamp rests,repair uncertainty,gesture_repair,0.76,0.778,0.04,True,True,True,19.74712,0.695519
563,32,moss_ward,Fay,112,I offer trade,blanket path clear,repair uncertainty,admit_unknown,0.756,0.774,0.04,True,True,True,15.09958,0.654148
564,32,glass_harbor,Puck,113,I do not dim lamp,fog catcher closed,offer bounded aid,offer_trade,0.694,0.698,0.046,True,True,True,16.22272,0.671778
565,32,cinder_garden,Wren,113,I need translation,repeat without hurry,respect boundary,step_back,0.694,0.704,0.046,True,True,True,18.79354,0.697407
566,32,lichen_bridge,Kio,113,I touch rope post,signal hush first,answer bounded phrase,answer_known,0.768,0.774,0.04,True,True,True,17.49474,0.691037
567,32,orchid_engine,Cai,112,I ask valve custom,orchid lamp rests,repair uncertainty,ask_clarify,0.754,0.772,0.04,True,True,True,19.82596,0.718667
568,32,moss_ward,Milo,113,I offer trade,blanket path clear,repair uncertainty,gesture_repair,0.686,0.704,0.054,True,True,True,15.16064,0.677296
569,32,glass_harbor,Sera,114,I do not dim lamp,fog catcher closed,repair uncertainty,admit_unknown,0.682,0.7,0.058,True,True,True,16.3109,0.694926
570,32,cinder_garden,Juno,114,I need translation,repeat without hurry,offer bounded aid,offer_trade,0.768,0.772,0.04,True,True,True,18.9032,0.720556
571,32,lichen_bridge,Luma,114,I touch rope post,signal hush first,respect boundary,step_back,0.768,0.778,0.04,True,True,True,17.57622,0.714185
572,32,orchid_engine,Dax,113,I ask valve custom,orchid lamp rests,answer bounded phrase,answer_known,0.676,0.682,0.104,True,True,True,19.88174,0.741815
573,32,moss_ward,Tala,114,I offer trade,blanket path clear,repair uncertainty,ask_clarify,0.676,0.694,0.064,True,True,True,15.24612,0.700444
574,32,glass_harbor,Nia,115,I do not dim lamp,fog catcher closed,repair uncertainty,gesture_repair,0.768,0.786,0.04,True,True,True,16.42474,0.718074
575,32,cinder_garden,Pax,115,I need translation,repeat without hurry,repair uncertainty,admit_unknown,0.754,0.772,0.04,True,True,True,18.98248,0.743704
576,33,orchid_engine,Bea,114,I do not turn key,cup before engine,respect boundary,step_back,0.778,0.788,0.04,True,True,True,19.98802,0.761167
577,33,moss_ward,Fay,115,I need translation,speak slower,answer bounded phrase,answer_known,0.774,0.78,0.04,True,True,True,15.34062,0.719796
578,33,glass_harbor,Puck,116,I wait by lamp,tea before crossing,repair uncertainty,ask_clarify,0.698,0.716,0.042,True,True,True,16.46646,0.737426
579,33,cinder_garden,Wren,116,I ask seed path,seed rows sleep,repair uncertainty,gesture_repair,0.704,0.722,0.04,True,True,True,19.03676,0.763056
580,33,lichen_bridge,Kio,115,I offer rope help,meal room welcomes,repair uncertainty,admit_unknown,0.774,0.792,0.04,True,True,True,17.73796,0.756685
581,33,orchid_engine,Cai,115,I do not turn key,cup before engine,offer bounded aid,offer_trade,0.772,0.776,0.04,True,True,True,20.06694,0.784315
582,33,moss_ward,Milo,116,I need translation,speak slower,respect boundary,step_back,0.704,0.714,0.04,True,True,True,15.40154,0.742944
583,33,glass_harbor,Sera,117,I wait by lamp,tea before crossing,answer bounded phrase,answer_known,0.7,0.706,0.08,True,True,True,16.55194,0.760574
584,33,cinder_garden,Juno,117,I ask seed path,seed rows sleep,repair uncertainty,ask_clarify,0.772,0.79,0.04,True,True,True,19.14694,0.786204
585,33,lichen_bridge,Luma,116,I offer rope help,meal room welcomes,repair uncertainty,gesture_repair,0.778,0.796,0.04,True,True,True,17.81944,0.779833
586,33,orchid_engine,Dax,116,I do not turn key,cup before engine,repair uncertainty,admit_unknown,0.682,0.7,0.058,True,True,True,20.12496,0.807463
587,33,moss_ward,Tala,117,I need translation,speak slower,offer bounded aid,offer_trade,0.694,0.698,0.046,True,True,True,15.4871,0.766093
588,33,glass_harbor,Nia,118,I wait by lamp,tea before crossing,respect boundary,step_back,0.786,0.796,0.04,True,True,True,16.66564,0.783722
589,33,cinder_garden,Pax,118,I ask seed path,seed rows sleep,answer bounded phrase,answer_known,0.772,0.778,0.04,True,True,True,19.22352,0.809352
590,33,lichen_bridge,Rin,117,I offer rope help,meal room welcomes,repair uncertainty,ask_clarify,0.686,0.704,0.054,True,True,True,17.87464,0.802981
591,33,orchid_engine,Eli,117,I do not turn key,cup before engine,repair uncertainty,gesture_repair,0.682,0.7,0.058,True,True,True,20.2149,0.830611
592,33,moss_ward,Ari,118,I need translation,speak slower,repair uncertainty,admit_unknown,0.772,0.79,0.04,True,True,True,15.60242,0.789241
593,33,glass_harbor,Oren,119,I wait by lamp,tea before crossing,offer bounded aid,offer_trade,0.778,0.782,0.04,True,True,True,16.74138,0.80687
594,34,lichen_bridge,Kio,118,I need translation,gesture again,answer bounded phrase,answer_known,0.792,0.798,0.04,True,True,True,17.979,0.822333
595,34,orchid_engine,Cai,118,I wait outside ring,valve listener first,repair uncertainty,ask_clarify,0.776,0.794,0.04,True,True,True,20.31016,0.849963
596,34,moss_ward,Milo,119,I ask rain custom,rain clay is named,repair uncertainty,gesture_repair,0.714,0.732,0.04,True,True,True,15.64528,0.808593
597,34,glass_harbor,Sera,120,I offer salt token,net has keeper,repair uncertainty,admit_unknown,0.706,0.724,0.04,True,True,True,16.79516,0.826222
598,34,cinder_garden,Juno,119,I do not cross rows,ash path open,offer bounded aid,offer_trade,0.79,0.794,0.04,True,True,True,19.38792,0.851852
599,34,lichen_bridge,Luma,119,I need translation,gesture again,respect boundary,step_back,0.796,0.806,0.04,True,True,True,18.06216,0.845481
600,34,orchid_engine,Dax,119,I wait outside ring,valve listener first,answer bounded phrase,answer_known,0.7,0.706,0.08,True,True,True,20.366,0.873111
601,34,moss_ward,Tala,120,I ask rain custom,rain clay is named,repair uncertainty,ask_clarify,0.698,0.716,0.042,True,True,True,15.73032,0.831741
602,34,glass_harbor,Nia,121,I offer salt token,net has keeper,repair uncertainty,gesture_repair,0.796,0.814,0.04,True,True,True,16.90938,0.84937
603,34,cinder_garden,Pax,120,I do not cross rows,ash path open,repair uncertainty,admit_unknown,0.778,0.796,0.04,True,True,True,19.46674,0.875
604,34,lichen_bridge,Rin,120,I need translation,gesture again,offer bounded aid,offer_trade,0.704,0.708,0.04,True,True,True,18.11562,0.86863
605,34,orchid_engine,Eli,120,I wait outside ring,valve listener first,respect boundary,step_back,0.7,0.71,0.04,True,True,True,20.45762,0.896259
606,34,moss_ward,Ari,121,I ask rain custom,rain clay is named,answer bounded phrase,answer_known,0.79,0.796,0.04,True,True,True,15.84346,0.854889
607,34,glass_harbor,Oren,122,I offer salt token,net has keeper,repair uncertainty,ask_clarify,0.782,0.8,0.04,True,True,True,16.9846,0.872519
608,34,cinder_garden,Vale,121,I do not cross rows,ash path open,repair uncertainty,gesture_repair,0.7,0.718,0.04,True,True,True,19.526,0.898148
609,34,lichen_bridge,Sol,121,I need translation,gesture again,repair uncertainty,admit_unknown,0.698,0.716,0.042,True,True,True,18.20632,0.891778
610,34,orchid_engine,Bea,121,I wait outside ring,valve listener first,offer bounded aid,offer_trade,0.788,0.792,0.04,True,True,True,20.5677,0.919407
611,34,moss_ward,Fay,122,I ask rain custom,rain clay is named,respect boundary,step_back,0.78,0.79,0.04,True,True,True,15.92152,0.878037
612,35,cinder_garden,Juno,122,I bow to shade,shade cloth first,repair uncertainty,ask_clarify,0.794,0.812,0.04,True,True,True,19.63114,0.9175
613,35,lichen_bridge,Luma,122,I ask bell custom,rope has tension,repair uncertainty,gesture_repair,0.806,0.824,0.04,True,True,True,18.30538,0.91113
614,35,orchid_engine,Dax,122,I offer gear cloth,gear lane open,repair uncertainty,admit_unknown,0.706,0.724,0.04,True,True,True,20.61026,0.938759
615,35,moss_ward,Tala,123,I do not touch,trade can wait,offer bounded aid,offer_trade,0.716,0.72,0.04,True,True,True,15.9713,0.897389
616,35,glass_harbor,Nia,123,I need translation,repeat with bell,respect boundary,step_back,0.814,0.824,0.04,True,True,True,17.15028,0.915019
617,35,cinder_garden,Pax,123,I bow to shade,shade cloth first,answer bounded phrase,answer_known,0.796,0.802,0.04,True,True,True,19.70778,0.940648
618,35,lichen_bridge,Rin,123,I ask bell custom,rope has tension,repair uncertainty,ask_clarify,0.708,0.726,0.04,True,True,True,18.35884,0.934278
619,35,orchid_engine,Eli,123,I offer gear cloth,gear lane open,repair uncertainty,gesture_repair,0.71,0.728,0.04,True,True,True,20.70084,0.961907
620,35,moss_ward,Ari,124,I do not touch,trade can wait,repair uncertainty,admit_unknown,0.796,0.814,0.04,True,True,True,16.08772,0.920537
621,35,glass_harbor,Oren,124,I need translation,repeat with bell,offer bounded aid,offer_trade,0.8,0.804,0.04,True,True,True,17.22558,0.938167
622,35,cinder_garden,Vale,124,I bow to shade,shade cloth first,respect boundary,step_back,0.718,0.728,0.04,True,True,True,19.7669,0.963796
623,35,lichen_bridge,Sol,124,I ask bell custom,rope has tension,answer bounded phrase,answer_known,0.716,0.722,0.064,True,True,True,18.44736,0.957426
624,35,orchid_engine,Bea,124,I offer gear cloth,gear lane open,repair uncertainty,ask_clarify,0.792,0.81,0.04,True,True,True,20.81092,0.985056
625,35,moss_ward,Fay,125,I do not touch,trade can wait,repair uncertainty,gesture_repair,0.79,0.808,0.04,True,True,True,16.16474,0.943685
626,35,glass_harbor,Puck,125,I need translation,repeat with bell,repair uncertainty,admit_unknown,0.716,0.734,0.04,True,True,True,17.2895,0.961315
627,35,cinder_garden,Wren,125,I bow to shade,shade cloth first,offer bounded aid,offer_trade,0.722,0.726,0.04,True,True,True,19.85574,0.986944
628,35,lichen_bridge,Kio,125,I ask bell custom,rope has tension,respect boundary,step_back,0.798,0.808,0.04,True,True,True,18.56094,0.980574
629,35,orchid_engine,Cai,125,I offer gear cloth,gear lane open,answer bounded phrase,answer_known,0.794,0.8,0.04,True,True,True,20.89172,0.008204
630,36,glass_harbor,Nia,126,I ask net owner,lamp stays bright,repair uncertainty,gesture_repair,0.824,0.842,0.04,True,True,True,17.3935,0.980667
631,36,cinder_garden,Pax,126,I offer cool stone,cool hand means wait,repair uncertainty,admit_unknown,0.802,0.82,0.04,True,True,True,19.951,0.006296
632,36,lichen_bridge,Rin,126,I do not step on rope,bell has keeper,offer bounded aid,offer_trade,0.726,0.73,0.04,True,True,True,18.59982,0.999926
633,36,orchid_engine,Eli,126,I need translation,say it with palms,respect boundary,step_back,0.728,0.738,0.04,True,True,True,20.94174,0.027556
634,36,moss_ward,Ari,126,I wait,warm cup first,answer bounded phrase,answer_known,0.814,0.82,0.04,True,True,True,16.32876,0.986185
635,36,glass_harbor,Oren,127,I ask net owner,lamp stays bright,repair uncertainty,ask_clarify,0.804,0.822,0.04,True,True,True,17.46932,0.003815
636,36,cinder_garden,Vale,127,I offer cool stone,cool hand means wait,repair uncertainty,gesture_repair,0.728,0.746,0.04,True,True,True,20.01012,0.029444
637,36,lichen_bridge,Sol,127,I do not step on rope,bell has keeper,repair uncertainty,admit_unknown,0.722,0.74,0.04,True,True,True,18.69058,0.023074
638,36,orchid_engine,Bea,127,I need translation,say it with palms,offer bounded aid,offer_trade,0.81,0.814,0.04,True,True,True,21.0519,0.050704
639,36,moss_ward,Fay,127,I wait,warm cup first,respect boundary,step_back,0.808,0.818,0.04,True,True,True,16.40564,0.009333
640,36,glass_harbor,Puck,128,I ask net owner,lamp stays bright,answer bounded phrase,answer_known,0.734,0.74,0.046,True,True,True,17.53054,0.026963
641,36,cinder_garden,Wren,128,I offer cool stone,cool hand means wait,repair uncertainty,ask_clarify,0.726,0.744,0.04,True,True,True,20.09948,0.052593
642,36,lichen_bridge,Kio,128,I do not step on rope,bell has keeper,repair uncertainty,gesture_repair,0.808,0.826,0.04,True,True,True,18.80416,0.046222
643,36,orchid_engine,Cai,128,I need translation,say it with palms,repair uncertainty,admit_unknown,0.8,0.818,0.04,True,True,True,21.13494,0.073852
644,36,moss_ward,Milo,128,I wait,warm cup first,offer bounded aid,offer_trade,0.732,0.736,0.04,True,True,True,16.46244,0.032481
645,36,glass_harbor,Sera,129,I ask net owner,lamp stays bright,respect boundary,step_back,0.724,0.734,0.04,True,True,True,17.61536,0.050111
646,36,cinder_garden,Juno,129,I offer cool stone,cool hand means wait,answer bounded phrase,answer_known,0.812,0.818,0.04,True,True,True,20.2127,0.075741
647,36,lichen_bridge,Luma,129,I do not step on rope,bell has keeper,repair uncertainty,ask_clarify,0.824,0.842,0.04,True,True,True,18.8886,0.06937
648,37,moss_ward,Ari,129,I offer trade,blanket path clear,repair uncertainty,admit_unknown,0.82,0.838,0.04,True,True,True,16.57198,0.051833
649,37,glass_harbor,Oren,130,I do not dim lamp,fog catcher closed,offer bounded aid,offer_trade,0.822,0.826,0.04,True,True,True,17.7103,0.069463
650,37,cinder_garden,Vale,130,I need translation,repeat without hurry,respect boundary,step_back,0.746,0.756,0.04,True,True,True,20.25284,0.095093
651,37,lichen_bridge,Sol,130,I touch rope post,signal hush first,answer bounded phrase,answer_known,0.74,0.746,0.04,True,True,True,18.93162,0.088722
652,37,orchid_engine,Bea,129,I ask valve custom,orchid lamp rests,repair uncertainty,ask_clarify,0.814,0.832,0.04,True,True,True,21.29512,0.116352
653,37,moss_ward,Fay,130,I offer trade,blanket path clear,repair uncertainty,gesture_repair,0.818,0.836,0.04,True,True,True,16.64938,0.074981
654,37,glass_harbor,Puck,131,I do not dim lamp,fog catcher closed,repair uncertainty,admit_unknown,0.74,0.758,0.04,True,True,True,17.77376,0.092611
655,37,cinder_garden,Wren,131,I need translation,repeat without hurry,offer bounded aid,offer_trade,0.744,0.748,0.04,True,True,True,20.34046,0.118241
656,37,lichen_bridge,Kio,131,I touch rope post,signal hush first,respect boundary,step_back,0.826,0.836,0.04,True,True,True,19.04688,0.11187
657,37,orchid_engine,Cai,130,I ask valve custom,orchid lamp rests,answer bounded phrase,answer_known,0.818,0.824,0.04,True,True,True,21.37598,0.1395
658,37,moss_ward,Milo,131,I offer trade,blanket path clear,repair uncertainty,ask_clarify,0.736,0.754,0.04,True,True,True,16.70566,0.09813
659,37,glass_harbor,Sera,132,I do not dim lamp,fog catcher closed,repair uncertainty,gesture_repair,0.734,0.752,0.04,True,True,True,17.8591,0.115759
660,37,cinder_garden,Juno,132,I need translation,repeat without hurry,repair uncertainty,admit_unknown,0.818,0.836,0.04,True,True,True,20.45592,0.141389
661,37,lichen_bridge,Luma,132,I touch rope post,signal hush first,offer bounded aid,offer_trade,0.842,0.846,0.04,True,True,True,19.12958,0.135019
662,37,orchid_engine,Dax,131,I ask valve custom,orchid lamp rests,respect boundary,step_back,0.724,0.734,0.04,True,True,True,21.43046,0.162648
663,37,moss_ward,Tala,132,I offer trade,blanket path clear,answer bounded phrase,answer_known,0.72,0.726,0.06,True,True,True,16.78956,0.121278
664,37,glass_harbor,Nia,133,I do not dim lamp,fog catcher closed,repair uncertainty,ask_clarify,0.842,0.86,0.04,True,True,True,17.97854,0.138907
665,37,cinder_garden,Pax,133,I need translation,repeat without hurry,repair uncertainty,gesture_repair,0.82,0.838,0.04,True,True,True,20.53552,0.164537
666,38,orchid_engine,Bea,132,I do not turn key,cup before engine,offer bounded aid,offer_trade,0.832,0.836,0.04,True,True,True,21.5361,0.182
667,38,moss_ward,Fay,133,I need translation,speak slower,respect boundary,step_back,0.836,0.846,0.04,True,True,True,16.89028,0.14063
668,38,glass_harbor,Puck,134,I wait by lamp,tea before crossing,answer bounded phrase,answer_known,0.758,0.764,0.04,True,True,True,18.0148,0.158259
669,38,cinder_garden,Wren,134,I ask seed path,seed rows sleep,repair uncertainty,ask_clarify,0.748,0.766,0.04,True,True,True,20.58368,0.183889
670,38,lichen_bridge,Kio,133,I offer rope help,meal room welcomes,repair uncertainty,gesture_repair,0.836,0.854,0.04,True,True,True,19.2901,0.177519
671,38,orchid_engine,Cai,133,I do not turn key,cup before engine,repair uncertainty,admit_unknown,0.824,0.842,0.04,True,True,True,21.62024,0.205148
672,38,moss_ward,Milo,134,I need translation,speak slower,offer bounded aid,offer_trade,0.754,0.758,0.04,True,True,True,16.94664,0.163778
673,38,glass_harbor,Sera,135,I wait by lamp,tea before crossing,respect boundary,step_back,0.752,0.762,0.04,True,True,True,18.1,0.181407
674,38,cinder_garden,Juno,135,I ask seed path,seed rows sleep,answer bounded phrase,answer_known,0.836,0.842,0.04,True,True,True,20.69696,0.207037
675,38,lichen_bridge,Luma,134,I offer rope help,meal room welcomes,repair uncertainty,ask_clarify,0.846,0.86,0.04,True,True,True,19.37164,0.200667
676,38,orchid_engine,Dax,134,I do not turn key,cup before engine,repair uncertainty,gesture_repair,0.734,0.752,0.04,True,True,True,21.67368,0.228296
677,38,moss_ward,Tala,135,I need translation,speak slower,repair uncertainty,admit_unknown,0.726,0.744,0.04,True,True,True,17.03382,0.186926
678,38,glass_harbor,Nia,136,I wait by lamp,tea before crossing,offer bounded aid,offer_trade,0.86,0.86,0.04,True,True,True,18.21836,0.204556
679,38,cinder_garden,Pax,136,I ask seed path,seed rows sleep,respect boundary,step_back,0.838,0.848,0.04,True,True,True,20.77642,0.230185
680,38,lichen_bridge,Rin,135,I offer rope help,meal room welcomes,answer bounded phrase,answer_known,0.73,0.736,0.05,True,True,True,19.41756,0.223815
681,38,orchid_engine,Eli,135,I do not turn key,cup before engine,repair uncertainty,ask_clarify,0.738,0.756,0.04,True,True,True,21.76348,0.251444
682,38,moss_ward,Ari,136,I need translation,speak slower,repair uncertainty,gesture_repair,0.838,0.856,0.04,True,True,True,17.1565,0.210074
683,38,glass_harbor,Oren,137,I wait by lamp,tea before crossing,repair uncertainty,admit_unknown,0.826,0.844,0.04,True,True,True,18.29352,0.227704
684,39,lichen_bridge,Kio,136,I need translation,gesture again,respect boundary,step_back,0.854,0.86,0.04,True,True,True,19.52984,0.243167
685,39,orchid_engine,Cai,136,I wait outside ring,valve listener first,answer bounded phrase,answer_known,0.842,0.848,0.04,True,True,True,21.86128,0.270796
686,39,moss_ward,Milo,137,I ask rain custom,rain clay is named,repair uncertainty,ask_clarify,0.758,0.776,0.04,True,True,True,17.19038,0.229426
687,39,glass_harbor,Sera,138,I offer salt token,net has keeper,repair uncertainty,gesture_repair,0.762,0.78,0.04,True,True,True,18.34322,0.247056
688,39,cinder_garden,Juno,137,I do not cross rows,ash path open,repair uncertainty,admit_unknown,0.842,0.86,0.04,True,True,True,20.94018,0.272685
689,39,lichen_bridge,Luma,137,I need translation,gesture again,offer bounded aid,offer_trade,0.86,0.86,0.04,True,True,True,19.61146,0.266315
690,39,orchid_engine,Dax,137,I wait outside ring,valve listener first,respect boundary,step_back,0.752,0.762,0.04,True,True,True,21.91458,0.293944
691,39,moss_ward,Tala,138,I ask rain custom,rain clay is named,answer bounded phrase,answer_known,0.744,0.75,0.04,True,True,True,17.27486,0.252574
692,39,glass_harbor,Nia,139,I offer salt token,net has keeper,repair uncertainty,ask_clarify,0.86,0.86,0.04,True,True,True,18.45688,0.270204
693,39,cinder_garden,Pax,138,I do not cross rows,ash path open,repair uncertainty,gesture_repair,0.848,0.86,0.04,True,True,True,21.0179,0.295833
694,39,lichen_bridge,Rin,138,I need translation,gesture again,repair uncertainty,admit_unknown,0.736,0.754,0.04,True,True,True,19.66078,0.289463
695,39,orchid_engine,Eli,138,I wait outside ring,valve listener first,offer bounded aid,offer_trade,0.756,0.76,0.04,True,True,True,22.00446,0.317093
696,39,moss_ward,Ari,139,I ask rain custom,rain clay is named,respect boundary,step_back,0.856,0.86,0.04,True,True,True,17.39566,0.275722
697,39,glass_harbor,Oren,140,I offer salt token,net has keeper,answer bounded phrase,answer_known,0.844,0.85,0.04,True,True,True,18.53456,0.293352
698,39,cinder_garden,Vale,139,I do not cross rows,ash path open,repair uncertainty,ask_clarify,0.756,0.774,0.04,True,True,True,21.07406,0.318981
699,39,lichen_bridge,Sol,139,I need translation,gesture again,repair uncertainty,gesture_repair,0.746,0.764,0.04,True,True,True,19.75388,0.312611
700,39,orchid_engine,Bea,139,I wait outside ring,valve listener first,repair uncertainty,admit_unknown,0.836,0.854,0.04,True,True,True,22.11984,0.340241
701,39,moss_ward,Fay,140,I ask rain custom,rain clay is named,offer bounded aid,offer_trade,0.846,0.85,0.04,True,True,True,17.46944,0.29887
702,40,cinder_garden,Juno,140,I bow to shade,shade cloth first,answer bounded phrase,answer_known,0.86,0.86,0.04,True,True,True,21.17948,0.338333
703,40,lichen_bridge,Luma,140,I ask bell custom,rope has tension,repair uncertainty,ask_clarify,0.86,0.86,0.04,True,True,True,19.84946,0.331963
704,40,orchid_engine,Dax,140,I offer gear cloth,gear lane open,repair uncertainty,gesture_repair,0.762,0.78,0.04,True,True,True,22.15832,0.359593
705,40,moss_ward,Tala,141,I do not touch,trade can wait,repair uncertainty,admit_unknown,0.75,0.768,0.04,True,True,True,17.51808,0.318222
706,40,glass_harbor,Nia,141,I need translation,repeat with bell,offer bounded aid,offer_trade,0.86,0.86,0.04,True,True,True,18.6967,0.335852
707,40,cinder_garden,Pax,141,I bow to shade,shade cloth first,respect boundary,step_back,0.86,0.86,0.04,True,True,True,21.25772,0.361481
708,40,lichen_bridge,Rin,141,I ask bell custom,rope has tension,answer bounded phrase,answer_known,0.754,0.76,0.04,True,True,True,19.90182,0.355111
709,40,orchid_engine,Eli,141,I offer gear cloth,gear lane open,repair uncertainty,ask_clarify,0.76,0.778,0.04,True,True,True,22.24768,0.382741
710,40,moss_ward,Ari,142,I do not touch,trade can wait,repair uncertainty,gesture_repair,0.86,0.86,0.04,True,True,True,17.63418,0.34137
711,40,glass_harbor,Oren,142,I need translation,repeat with bell,repair uncertainty,admit_unknown,0.85,0.86,0.04,True,True,True,18.77546,0.359
712,40,cinder_garden,Vale,142,I bow to shade,shade cloth first,offer bounded aid,offer_trade,0.774,0.778,0.04,True,True,True,21.31504,0.38463
713,40,lichen_bridge,Sol,142,I ask bell custom,rope has tension,respect boundary,step_back,0.764,0.774,0.04,True,True,True,19.9966,0.378259
714,40,orchid_engine,Bea,142,I offer gear cloth,gear lane open,answer bounded phrase,answer_known,0.854,0.86,0.04,True,True,True,22.36088,0.405889
715,40,moss_ward,Fay,143,I do not touch,trade can wait,repair uncertainty,ask_clarify,0.85,0.86,0.04,True,True,True,17.71034,0.364519
716,40,glass_harbor,Puck,143,I need translation,repeat with bell,repair uncertainty,gesture_repair,0.764,0.782,0.04,True,True,True,18.83602,0.382148
717,40,cinder_garden,Wren,143,I bow to shade,shade cloth first,repair uncertainty,admit_unknown,0.766,0.784,0.04,True,True,True,21.40672,0.407778
718,40,lichen_bridge,Kio,143,I ask bell custom,rope has tension,offer bounded aid,offer_trade,0.86,0.86,0.04,True,True,True,20.10836,0.401407
719,40,orchid_engine,Cai,143,I offer gear cloth,gear lane open,respect boundary,step_back,0.848,0.858,0.04,True,True,True,22.44218,0.429037
720,41,glass_harbor,Nia,144,I ask net owner,lamp stays bright,repair uncertainty,ask_clarify,0.86,0.86,0.04,True,True,True,18.9347,0.4015
721,41,cinder_garden,Pax,144,I offer cool stone,cool hand means wait,repair uncertainty,gesture_repair,0.86,0.86,0.04,True,True,True,21.49572,0.42713
722,41,lichen_bridge,Rin,144,I do not step on rope,bell has keeper,repair uncertainty,admit_unknown,0.76,0.778,0.04,True,True,True,20.14608,0.420759
723,41,orchid_engine,Eli,144,I need translation,say it with palms,offer bounded aid,offer_trade,0.778,0.782,0.04,True,True,True,22.48866,0.448389
724,41,moss_ward,Ari,144,I wait,warm cup first,respect boundary,step_back,0.86,0.86,0.04,True,True,True,17.87218,0.407019
725,41,glass_harbor,Oren,145,I ask net owner,lamp stays bright,answer bounded phrase,answer_known,0.86,0.86,0.04,True,True,True,19.01476,0.424648
726,41,cinder_garden,Vale,145,I offer cool stone,cool hand means wait,repair uncertainty,ask_clarify,0.778,0.796,0.04,True,True,True,21.55826,0.450278
727,41,lichen_bridge,Sol,145,I do not step on rope,bell has keeper,repair uncertainty,gesture_repair,0.774,0.792,0.04,True,True,True,20.23982,0.443907
728,41,orchid_engine,Bea,145,I need translation,say it with palms,repair uncertainty,admit_unknown,0.86,0.86,0.04,True,True,True,22.59992,0.471537
729,41,moss_ward,Fay,145,I wait,warm cup first,offer bounded aid,offer_trade,0.86,0.86,0.04,True,True,True,17.95016,0.430167
730,41,glass_harbor,Puck,146,I ask net owner,lamp stays bright,respect boundary,step_back,0.782,0.792,0.04,True,True,True,19.07692,0.447796
