tick_id,day,settlement_id,reload_index,phrasebook_count,gesture_count,question_count,sensory_count,memory_count,checksum,restored_phrasebook_visible,restored_gesture_visible,restored_question_visible,restored_sensory_visible,restored_memory_visible,replay_exportable
2475,138,lichen_bridge,59,495,289,274,495,495,2f60de3556bb0c14,True,True,True,True,True,True
2484,139,lichen_bridge,60,497,291,275,497,497,3b74a6ec0df9b755,True,True,True,True,True,True
2493,139,cinder_garden,59,499,292,276,499,499,014b7d079fb6f450,True,True,True,True,True,True
2502,140,cinder_garden,60,501,294,277,501,501,e5263b9e88f50125,True,True,True,True,True,True
2511,140,glass_harbor,59,503,293,279,503,503,c134a0848182dc70,True,True,True,True,True,True
2520,141,glass_harbor,60,505,295,280,505,505,83ee5d7418bb9a07,True,True,True,True,True,True
2529,141,moss_ward,59,506,295,282,506,506,74b20506279b3e6a,True,True,True,True,True,True
2538,142,moss_ward,60,508,297,284,508,508,dc103e51b329041b,True,True,True,True,True,True
2547,142,orchid_engine,60,509,296,284,509,509,8c50cc445b1dbfd8,True,True,True,True,True,True
2556,143,orchid_engine,61,511,298,285,511,511,440b377585cd3e47,True,True,True,True,True,True
2565,143,lichen_bridge,61,513,299,284,513,513,9c09beedf5b90f9d,True,True,True,True,True,True
2574,144,lichen_bridge,62,515,301,286,515,515,c139f5064fe03fe3,True,True,True,True,True,True
2583,144,cinder_garden,61,517,302,286,517,517,49f023f94f5ab1da,True,True,True,True,True,True
2592,145,cinder_garden,62,519,304,287,519,519,0da512b27283a1b9,True,True,True,True,True,True
2601,145,glass_harbor,61,521,304,290,521,521,e772f524a4223540,True,True,True,True,True,True
2610,146,glass_harbor,62,523,306,291,523,523,da05447a60c9a90e,True,True,True,True,True,True
2619,146,moss_ward,61,524,305,291,524,524,79897b224b71ecd0,True,True,True,True,True,True
2628,147,moss_ward,62,526,307,292,526,526,9829fb8a0a3c1e82,True,True,True,True,True,True
2637,147,orchid_engine,62,527,307,293,527,527,a3693849ded306da,True,True,True,True,True,True
2646,148,orchid_engine,63,529,309,295,529,529,66bde5c0953404b3,True,True,True,True,True,True
2655,148,lichen_bridge,63,531,310,295,531,531,0b18214e132f615f,True,True,True,True,True,True
2664,149,lichen_bridge,64,533,312,296,533,533,559b0d12418d279b,True,True,True,True,True,True
2673,149,cinder_garden,63,535,312,296,535,535,20adebcd590f9cdc,True,True,True,True,True,True
2682,150,cinder_garden,64,537,314,298,537,537,8e9672525216fa73,True,True,True,True,True,True
2683,150,lichen_bridge,65,537,313,298,537,537,f263a592dcd51b36,True,True,True,True,True,True
2684,150,orchid_engine,64,537,314,297,537,537,6fcf11a6b1323e57,True,True,True,True,True,True
2685,150,moss_ward,63,538,314,299,538,538,45738092913c9818,True,True,True,True,True,True
2686,150,glass_harbor,63,538,314,299,538,538,63da227ea95d1856,True,True,True,True,True,True
2687,150,cinder_garden,65,538,314,299,538,538,190f94ed24219d5f,True,True,True,True,True,True
2688,150,lichen_bridge,66,538,314,299,538,538,deb8c06f0af77b8c,True,True,True,True,True,True
2689,150,orchid_engine,65,538,314,298,538,538,b2203b425e8ad496,True,True,True,True,True,True
2690,150,moss_ward,64,539,315,299,539,539,5626b2333b8c3519,True,True,True,True,True,True
2691,150,glass_harbor,64,539,314,300,539,539,bd954a461a88d379,True,True,True,True,True,True
2692,150,cinder_garden,66,539,315,299,539,539,2be8d760a76285cc,True,True,True,True,True,True
2693,150,lichen_bridge,67,539,314,300,539,539,6a4f8c89aa008cbe,True,True,True,True,True,True
2694,150,orchid_engine,66,539,315,299,539,539,7d88985edcaeb301,True,True,True,True,True,True
2695,150,moss_ward,65,540,315,300,540,540,7a7e31facda70677,True,True,True,True,True,True
2696,150,glass_harbor,65,540,315,300,540,540,04cc213bb5c78acb,True,True,True,True,True,True
2697,150,cinder_garden,67,540,315,300,540,540,301e269551c4be98,True,True,True,True,True,True
2698,150,lichen_bridge,68,540,315,300,540,540,0333b4dd4cbdd871,True,True,True,True,True,True
2699,150,orchid_engine,67,540,315,300,540,540,54efaf7b34156c2f,True,True,True,True,True,True
